Orthogroup	Solenopsis_invicta	Vespa_mandarinia
OG0000006	XP_039307826.1, XP_025989709.2, XP_039302413.1, XP_039302410.1, XP_025989687.2, XP_011164849.2, XP_011164848.3	XP_035718471.1
OG0000006	XP_025994613.2, XP_039309023.1, XP_039308762.1, XP_025994617.2, XP_039309001.1, XP_011163479.2, XP_039309032.1, XP_039308749.1, XP_039309026.1, XP_039309013.1, XP_039309018.1, XP_039309027.1, XP_039309014.1, XP_039309007.1, XP_039309030.1, XP_039309029.1, XP_025994615.2, XP_039308995.1	XP_035718468.1, XP_035718469.1, XP_035718470.1
OG0000006	XP_039311113.1	XP_035732062.1
OG0000006	XP_011171479.2, XP_039306260.1	XP_035740898.1
OG0000008	XP_011158384.1, XP_039305295.1, XP_039307163.1	XP_035740079.1, XP_035736062.1, XP_035736014.1, XP_035739952.1, XP_035739953.1
OG0000008	XP_039305326.1, XP_039305325.1, XP_039305297.1	XP_035736007.1
OG0000008	XP_011158386.1, XP_039305296.1	XP_035736200.1, XP_035736201.1, XP_035736202.1
OG0000008	XP_039305528.1	XP_035739950.1, XP_035739951.1, XP_035739948.1
OG0000009	XP_039307552.1, XP_039307297.1, XP_011172819.1, XP_011172814.2, XP_011172813.1, XP_011172812.1, XP_039306889.1, XP_011172811.1, XP_011158271.1, XP_011155385.2, XP_039312296.1, XP_039312297.1	XP_035722243.1
OG0000009	XP_011175447.1, XP_039310444.1, XP_039310445.1, XP_039313457.1, XP_039315616.1, XP_039301753.1, XP_011175446.1, XP_011175444.1, XP_011168514.1, XP_011175440.1, XP_011175442.1, XP_011175441.1, XP_039310443.1	XP_035733996.1
OG0000009	XP_011172780.1, XP_011160035.1, XP_039307038.1, XP_011172781.1, XP_039307039.1, XP_039307040.1, XP_025986432.2, XP_025986433.1, XP_011166535.1, XP_011172782.1, XP_025986445.2	XP_035722232.1, XP_035722233.1, XP_035722235.1, XP_035722241.1, XP_035722237.1, XP_035722240.1, XP_035722236.1, XP_035722238.1, XP_035722239.1
OG0000010	XP_011173267.1, XP_011169844.2, XP_011165897.1	XP_035742748.1, XP_035725549.1, XP_035737761.1
OG0000010	XP_025997575.1, XP_011165199.1, XP_039315379.1, XP_039315378.1, XP_039315520.1, XP_011171567.1, XP_039313512.1, XP_039309910.1, XP_011173321.1, XP_011156630.1, XP_039313808.1, XP_039309913.1, XP_039312408.1, XP_039302116.1, XP_011157126.2, XP_011170473.1, XP_011166544.1, XP_039312409.1, XP_011163118.1	XP_035740330.1, XP_035741893.1, XP_035731225.1, XP_035742782.1, XP_035739222.1
OG0000011	XP_011169700.2	XP_035728332.1
OG0000012	XP_011157834.1	XP_035733658.1
OG0000012	XP_025991007.1	XP_035731058.1, XP_035731059.1
OG0000013	XP_011165753.2	XP_035732971.1
OG0000013	XP_011166327.1	XP_035725915.1
OG0000013	XP_011158467.1, XP_011158466.1	XP_035732323.1
OG0000013	XP_039315701.1	XP_035732322.1
OG0000014	XP_011156264.2, XP_011163196.1	XP_035717855.1, XP_035725913.1, XP_035733113.1, XP_035733114.1, XP_035733115.1, XP_035735278.1
OG0000016	XP_039309201.1, XP_039311133.1, XP_011174804.3, XP_011171157.1, XP_011170184.2, XP_039310366.1, XP_039313041.1, XP_011159853.1, XP_011171075.1	XP_035739379.1
OG0000017	XP_039311373.1, XP_025996377.1	XP_035728385.1
OG0000018	XP_025993846.1, XP_039312756.1	XP_035730877.1
OG0000018	XP_011168181.2, XP_011168177.2	XP_035718019.1
OG0000018	XP_039312480.1, XP_039312479.1	XP_035718148.1
OG0000019	XP_025990211.2	XP_035725561.1
OG0000019	XP_025993384.1, XP_025996194.1, XP_039304954.1, XP_011171050.2, XP_011171052.2, XP_039306693.1, XP_011163180.2, XP_039309449.1, XP_025993961.1, XP_025987780.2, XP_025987781.2, XP_025987782.2, XP_039314384.1, XP_039314385.1	XP_035720602.1
OG0000019	XP_011155421.1, XP_025990075.1, XP_039308626.1	XP_035726985.1
OG0000020	XP_025986429.1	XP_035723591.1
OG0000020	XP_011159576.2	XP_035725275.1
OG0000020	XP_025987337.1	XP_035728836.1
OG0000020	XP_025991589.1	XP_035730287.1, XP_035730285.1, XP_035730286.1, XP_035730288.1, XP_035730289.1
OG0000021	XP_011158408.1, XP_011158409.1, XP_011158407.1, XP_039314153.1	XP_035729141.1
OG0000021	XP_011162935.1	XP_035721174.1, XP_035721172.1, XP_035721170.1, XP_035721169.1, XP_035721173.1
OG0000021	XP_011159438.1	XP_035723530.1
OG0000021	XP_025991392.1	XP_035729144.1
OG0000022	XP_011163652.1	XP_035721830.1
OG0000022	XP_011166335.1	XP_035735991.1, XP_035732965.1, XP_035735255.1
OG0000023	XP_011163199.1, XP_011166349.1	XP_035735383.1
OG0000023	XP_011156269.1	XP_035735257.1, XP_035725926.1, XP_035725925.1, XP_035725924.1, XP_035725922.1
OG0000024	XP_025992331.1	XP_035742194.1
OG0000024	XP_011168449.1, XP_011168448.1	XP_035728675.1, XP_035728676.1, XP_035728677.1
OG0000024	XP_025991932.1	XP_035738183.1
OG0000024	XP_025991934.1	XP_035738182.1
OG0000025	XP_039304822.1	XP_035742376.1, XP_035742379.1, XP_035739240.1, XP_035725547.1, XP_035740254.1
OG0000025	XP_039305170.1	XP_035744177.1, XP_035744179.1, XP_035744180.1, XP_035744178.1
OG0000025	XP_039312992.1	XP_035720907.1
OG0000026	XP_039304799.1	XP_035728457.1
OG0000026	XP_011175708.1, XP_039313524.1, XP_039313525.1, XP_039313526.1, XP_025989861.1, XP_039313527.1	XP_035718093.1, XP_035718094.1
OG0000027	XP_011156268.1	XP_035732973.1, XP_035725930.1
OG0000029	XP_011175216.3	XP_035732363.1, XP_035732348.1
OG0000029	XP_025987625.1	XP_035737588.1
OG0000029	XP_025994361.1	XP_035732367.1, XP_035732349.1
OG0000030	XP_025986100.1	XP_035739081.1, XP_035741463.1, XP_035741476.1, XP_035742381.1, XP_035742412.1, XP_035741466.1
OG0000030	XP_011165417.3, XP_039308147.1, XP_039313768.1	XP_035723581.1
OG0000032	XP_025991246.2	XP_035735826.1
OG0000032	XP_011165027.1, XP_011165031.2, XP_011165029.2, XP_011165028.2	XP_035730167.1
OG0000034	XP_039305181.1, XP_039305981.1, XP_039305980.1, XP_039305969.1, XP_039305975.1	XP_035720594.1
OG0000034	XP_039302507.1, XP_039315321.1, XP_039307234.1	XP_035741912.1, XP_035741914.1
OG0000035	XP_039312187.1	XP_035731371.1
OG0000036	XP_011166049.1	XP_035729817.1, XP_035729794.1
OG0000037	XP_011161783.1	XP_035725074.1
OG0000038	XP_011172049.1	XP_035735001.1, XP_035735000.1
OG0000038	XP_011174246.2	XP_035727166.1
OG0000038	XP_025991821.1	XP_035733817.1
OG0000039	XP_039303491.1, XP_039306765.1, XP_025995650.1	XP_035742491.1, XP_035738048.1, XP_035739234.1, XP_035741853.1, XP_035742781.1, XP_035742675.1, XP_035742780.1
OG0000040	XP_011164376.1, XP_011164378.1	XP_035729456.1
OG0000040	XP_011157958.2, XP_011160398.1	XP_035729457.1
OG0000040	XP_039308303.1, XP_011155953.3, XP_025987097.2, XP_039308361.1, XP_039303181.1	XP_035742485.1
OG0000040	XP_011170816.1	XP_035725216.1
OG0000041	XP_011173672.1, XP_011173741.1	XP_035743035.1
OG0000041	XP_039304943.1, XP_039304942.1, XP_011173639.1	XP_035742719.1
OG0000041	XP_011173634.1, XP_011173641.1	XP_035742718.1, XP_035742717.1
OG0000042	XP_025988401.1, XP_025988400.1	XP_035732212.1
OG0000043	XP_011166108.1	XP_035731122.1
OG0000043	XP_011172450.1	XP_035718657.1
OG0000044	XP_039306340.1, XP_025986513.2	XP_035717273.1
OG0000044	XP_025986454.1	XP_035744089.1, XP_035744088.1
OG0000045	XP_011157503.2	XP_035720478.1, XP_035720481.1, XP_035720479.1
OG0000045	XP_011156768.2	XP_035731034.1, XP_035731019.1
OG0000045	XP_025992324.2	XP_035720482.1
OG0000045	XP_039312826.1	XP_035742841.1
OG0000046	XP_011168512.1	XP_035742705.1
OG0000046	XP_011168531.1	XP_035734549.1
OG0000046	XP_039310878.1, XP_039310880.1, XP_039310879.1	XP_035728851.1, XP_035728840.1
OG0000050	XP_039305304.1, XP_039305308.1, XP_039305204.1, XP_011163179.1, XP_039310190.1, XP_025987483.2, XP_039310191.1	XP_035737134.1, XP_035737133.1, XP_035737132.1, XP_035737155.1, XP_035737128.1
OG0000052	XP_039313337.1	XP_035730522.1
OG0000052	XP_011160846.1	XP_035743009.1, XP_035743008.1
OG0000053	XP_011162891.2	XP_035737765.1, XP_035725546.1
OG0000054	XP_011164393.2	XP_035724338.1
OG0000054	XP_011164215.1, XP_011164214.2	XP_035724099.1, XP_035724441.1
OG0000055	XP_039311167.1	XP_035726348.1, XP_035726347.1
OG0000055	XP_039311121.1	XP_035720014.1
OG0000056	XP_039301684.1	XP_035726130.1
OG0000056	XP_025992809.2	XP_035718477.1
OG0000056	XP_011167471.3	XP_035728622.1
OG0000056	XP_039313454.1	XP_035733992.1
OG0000056	XP_039306715.1	XP_035741213.1
OG0000057	XP_011165693.1	XP_035734097.1
OG0000057	XP_011161996.1	XP_035721261.1
OG0000057	XP_011165691.1	XP_035734267.1, XP_035734266.1
OG0000057	XP_011165692.1	XP_035734264.1
OG0000058	XP_011160196.3, XP_039304404.1, XP_011166290.1, XP_011160197.2, XP_039304698.1, XP_039304395.1, XP_039304704.1, XP_039304706.1	XP_035728639.1, XP_035728540.1, XP_035728643.1, XP_035728642.1, XP_035728641.1
OG0000060	XP_011166599.1, XP_039312995.1, XP_039313020.1	XP_035730103.1
OG0000060	XP_011166588.1, XP_039313855.1, XP_039313856.1	XP_035738199.1, XP_035738201.1, XP_035738202.1
OG0000061	XP_039302873.1	XP_035724328.1
OG0000062	XP_025989351.2	XP_035737336.1
OG0000064	XP_039307225.1, XP_039307226.1, XP_039311776.1, XP_039315322.1, XP_039307227.1, XP_039311779.1, XP_039315318.1, XP_039315366.1, XP_039303574.1, XP_039302503.1, XP_039302506.1, XP_039302487.1	XP_035728239.1, XP_035741915.1, XP_035741916.1, XP_035741917.1
OG0000065	XP_011161811.1, XP_039309142.1, XP_025991903.1, XP_011161836.1, XP_011161820.1	XP_035738514.1, XP_035738515.1, XP_035738510.1, XP_035738511.1, XP_035738513.1, XP_035738516.1
OG0000067	XP_011168949.1	XP_035734988.1
OG0000067	XP_039302008.1, XP_011157859.1	XP_035729269.1
OG0000067	XP_011157858.1, XP_025991420.1	XP_035729165.1
OG0000067	XP_025989655.1	XP_035724654.1
OG0000069	XP_039305623.1, XP_025987486.1	XP_035737423.1
OG0000069	XP_011163891.1, XP_039303799.1, XP_039303801.1, XP_025989421.2, XP_039303891.1, XP_011171057.2, XP_039309137.1, XP_039309138.1, XP_039308972.1, XP_039308973.1, XP_039308974.1, XP_039309139.1, XP_039308971.1, XP_039308970.1, XP_039308969.1, XP_039309140.1, XP_011168216.3	XP_035737135.1
OG0000070	XP_039308656.1	XP_035741675.1, XP_035741496.1, XP_035741497.1, XP_035741498.1, XP_035741499.1, XP_035741500.1, XP_035741698.1, XP_035741699.1, XP_035729713.1, XP_035730159.1, XP_035730158.1
OG0000070	XP_039308666.1, XP_025985811.2, XP_025985886.1, XP_039308665.1, XP_039308664.1, XP_039308741.1	XP_035741501.1, XP_035741694.1, XP_035741503.1, XP_035741697.1, XP_035741696.1, XP_035741504.1
OG0000073	XP_011157914.1	XP_035733744.1
OG0000074	XP_011157636.1, XP_025987236.2, XP_025987238.1, XP_039314707.1	XP_035719932.1, XP_035736547.1
OG0000075	XP_039315525.1, XP_039302537.1, XP_039309549.1, XP_039302019.1, XP_025993999.1	XP_035737766.1, XP_035725545.1
OG0000075	XP_025991875.2	XP_035722714.1
OG0000077	XP_039302621.1, XP_039302625.1, XP_039315173.1, XP_039315174.1, XP_039315175.1, XP_039310516.1, XP_039315171.1, XP_039315172.1, XP_039302627.1, XP_039302624.1, XP_039306266.1, XP_039309147.1, XP_039309148.1, XP_039309146.1, XP_039306562.1, XP_039306405.1, XP_039303879.1, XP_039303880.1, XP_039308266.1, XP_039308272.1	XP_035738027.1
OG0000077	XP_039304084.1, XP_039313109.1, XP_011160421.1, XP_039312541.1, XP_039312459.1, XP_039312511.1, XP_039312512.1, XP_039312737.1, XP_039312644.1, XP_025993195.1	XP_035722352.1, XP_035740324.1, XP_035742569.1, XP_035742630.1, XP_035738069.1
OG0000078	XP_039309962.1, XP_039310440.1, XP_011156215.2, XP_039309961.1, XP_039310430.1, XP_039309963.1, XP_011155704.2, XP_011155659.3, XP_011155817.3, XP_039309966.1, XP_011156294.1, XP_039310434.1, XP_011155782.2, XP_011155805.2, XP_025991287.2, XP_039309964.1	XP_035741908.1, XP_035741909.1, XP_035741910.1, XP_035741911.1
OG0000079	XP_025987034.1	XP_035741810.1
OG0000079	XP_025987035.1	XP_035741818.1
OG0000079	XP_025987036.2	XP_035741817.1
OG0000080	XP_039313662.1, XP_011161097.1, XP_011161096.1	XP_035724002.1
OG0000080	XP_011173727.1	XP_035722996.1
OG0000081	XP_011174507.3, XP_025987271.2, XP_011174500.3	XP_035739549.1, XP_035739551.1, XP_035739552.1
OG0000081	XP_025987228.1, XP_025987227.1, XP_025987226.2, XP_039314403.1, XP_039314406.1, XP_039314405.1, XP_039314325.1, XP_025987223.2, XP_039314716.1, XP_025987270.2	XP_035739553.1
OG0000082	XP_011158501.1	XP_035733049.1
OG0000082	XP_039315682.1, XP_039315686.1, XP_039315687.1, XP_039315688.1, XP_039315689.1, XP_039315684.1, XP_039315685.1	XP_035733058.1, XP_035733057.1, XP_035733059.1
OG0000084	XP_011155841.2	XP_035738869.1
OG0000084	XP_039310256.1, XP_011155840.3	XP_035739145.1
OG0000085	XP_025987478.1, XP_025987477.1	XP_035737189.1
OG0000086	XP_039314702.1, XP_039314703.1, XP_039314704.1, XP_039314705.1, XP_025990739.2	XP_035718518.1
OG0000086	XP_011155770.1	XP_035718534.1
OG0000086	XP_011160046.2, XP_039311358.1, XP_039311357.1, XP_025989233.2	XP_035737219.1, XP_035737220.1
OG0000087	XP_025989498.1, XP_011170042.2	XP_035734892.1
OG0000088	XP_025996218.1, XP_039311698.1	XP_035718097.1
OG0000089	XP_039308778.1, XP_011166981.2, XP_011166985.2	XP_035732042.1
OG0000089	XP_011171848.1	XP_035729577.1
OG0000090	XP_039304169.1, XP_011174534.3, XP_039313194.1	XP_035719369.1
OG0000091	XP_011175219.1, XP_011175223.1, XP_011175233.1	XP_035743855.1
OG0000092	XP_011165503.1	XP_035729950.1
OG0000092	XP_011175720.1, XP_011175721.1	XP_035719716.1, XP_035719715.1
OG0000092	XP_011162964.1	XP_035718227.1
OG0000094	XP_039302038.1, XP_039302037.1, XP_039302036.1, XP_025991363.1	XP_035735320.1, XP_035735319.1, XP_035735318.1
OG0000094	XP_039303166.1	XP_035729864.1
OG0000095	XP_025997578.1, XP_039304282.1	XP_035720092.1
OG0000096	XP_011156409.1, XP_039313932.1	XP_035735801.1
OG0000096	XP_039306601.1	XP_035724668.1, XP_035724666.1
OG0000097	XP_025987027.1, XP_025987029.1, XP_039302265.1, XP_025987030.1	XP_035742312.1, XP_035742314.1, XP_035742313.1
OG0000097	XP_025992182.1, XP_011159441.1	XP_035739103.1, XP_035739101.1, XP_035739102.1, XP_035736455.1, XP_035736447.1
OG0000098	XP_025996352.1	XP_035733072.1, XP_035733137.1
OG0000099	XP_039314446.1, XP_025989491.1, XP_025989492.2, XP_039314447.1, XP_011166692.1, XP_039301759.1, XP_039301757.1, XP_039301758.1, XP_039310390.1, XP_039314464.1, XP_039314463.1, XP_039311961.1, XP_039311641.1	XP_035723282.1, XP_035723292.1, XP_035723300.1
OG0000099	XP_039314426.1	XP_035721767.1
OG0000099	XP_011164670.2	XP_035729911.1
OG0000101	XP_011159599.3	XP_035724161.1
OG0000101	XP_025989569.1	XP_035724180.1
OG0000102	XP_025989688.2, XP_025989699.1	XP_035722712.1
OG0000102	XP_025989703.1	XP_035722713.1
OG0000103	XP_011161395.1	XP_035728991.1
OG0000103	XP_011161367.1	XP_035729002.1, XP_035728999.1
OG0000103	XP_011161334.1	XP_035729084.1, XP_035729085.1, XP_035729086.1, XP_035729088.1
OG0000106	XP_039301706.1	XP_035733408.1
OG0000106	XP_039314717.1	XP_035733484.1
OG0000106	XP_039302268.1, XP_039302270.1	XP_035742386.1, XP_035733487.1, XP_035733491.1, XP_035733520.1, XP_035733489.1, XP_035733485.1, XP_035733486.1, XP_035727546.1, XP_035733497.1, XP_035733502.1, XP_035733494.1, XP_035742377.1, XP_035733495.1, XP_035733496.1, XP_035733499.1, XP_035733501.1, XP_035733500.1, XP_035742401.1, XP_035733493.1, XP_035742397.1, XP_035742391.1, XP_035742388.1, XP_035742396.1, XP_035742394.1, XP_035742389.1, XP_035742398.1, XP_035742399.1, XP_035727502.1, XP_035742387.1, XP_035733492.1
OG0000107	XP_011159805.1	XP_035735907.1
OG0000108	XP_025985914.1	XP_035729104.1
OG0000109	XP_011157413.1, XP_011157412.1	XP_035733082.1, XP_035733090.1, XP_035733088.1, XP_035733089.1, XP_035733086.1, XP_035733087.1, XP_035733084.1, XP_035733085.1, XP_035733092.1, XP_035733093.1, XP_035733091.1
OG0000110	XP_025991740.2, XP_025991741.2, XP_039308312.1, XP_039308317.1, XP_039308316.1, XP_039308308.1, XP_039308309.1, XP_039308311.1, XP_039308310.1, XP_039308313.1, XP_039308315.1, XP_039308314.1	XP_035727648.1, XP_035727647.1
OG0000111	XP_039301713.1, XP_011165202.1, XP_025990766.2, NP_001291520.1	XP_035718068.1
OG0000111	XP_039308795.1	XP_035719146.1
OG0000112	XP_025989590.2	XP_035719175.1, XP_035719174.1, XP_035719177.1, XP_035719176.1, XP_035719171.1, XP_035719172.1
OG0000113	XP_011169897.1	XP_035724028.1
OG0000113	XP_011176341.1, XP_011176387.1	XP_035725454.1
OG0000114	XP_039314478.1, XP_011172282.1, XP_025993302.2, XP_025993279.1, XP_039314479.1	XP_035719468.1
OG0000115	NP_001291541.1	XP_035719374.1
OG0000115	XP_011165645.2, XP_011165643.1, XP_011165649.2, XP_011165650.1	XP_035728117.1
OG0000116	XP_011158331.1, XP_039303768.1	XP_035728572.1, XP_035728573.1
OG0000116	XP_039303766.1	XP_035728508.1, XP_035728506.1, XP_035728507.1
OG0000117	XP_011157894.1	XP_035721151.1
OG0000117	XP_011170972.1, XP_011170971.1	XP_035728960.1
OG0000119	XP_039303820.1, XP_025988519.1, XP_011160452.1, XP_011160472.1, XP_039303816.1, XP_011160453.1, XP_011160457.2, XP_011160459.1, XP_011160469.1	XP_035728103.1, XP_035728091.1, XP_035728092.1, XP_035728099.1, XP_035728090.1, XP_035728088.1
OG0000120	XP_011175144.2	XP_035743508.1
OG0000122	XP_039310041.1	XP_035742190.1
OG0000122	XP_039305859.1	XP_035722129.1
OG0000122	XP_025995487.2	XP_035738975.1
OG0000122	XP_011173307.2	XP_035738980.1
OG0000123	XP_011169664.1	XP_035725246.1, XP_035725252.1
OG0000124	XP_039302015.1	XP_035724659.1
OG0000125	XP_011166830.1, XP_011166831.1	XP_035743368.1, XP_035743367.1
OG0000126	XP_011155410.1, XP_039309160.1, XP_039309158.1, XP_025990026.1, XP_025990027.1, XP_025990024.1	XP_035731654.1, XP_035731655.1, XP_035731651.1, XP_035731652.1, XP_035731657.1, XP_035731656.1, XP_035731659.1, XP_035731653.1, XP_035731650.1
OG0000127	XP_011165176.1, XP_039307622.1, XP_025994182.1	XP_035718002.1, XP_035726611.1, XP_035726612.1, XP_035720274.1
OG0000127	XP_039307613.1, XP_039307615.1	XP_035726374.1
OG0000129	XP_039310447.1, XP_039310449.1, XP_039310448.1, XP_025991275.2, XP_025991277.2	XP_035741994.1, XP_035741995.1
OG0000130	XP_039309465.1	XP_035721963.1
OG0000130	XP_025991693.1, XP_025991692.1	XP_035721444.1
OG0000131	XP_011159624.1	XP_035742296.1
OG0000131	XP_011168548.1	XP_035733339.1
OG0000131	XP_011168539.1	XP_035733338.1
OG0000132	XP_039305040.1, XP_011175354.1	XP_035721782.1, XP_035721781.1
OG0000132	XP_011162113.1	XP_035732604.1
OG0000133	XP_025988235.1, XP_025988236.1, XP_039308247.1, XP_039308246.1	XP_035741242.1
OG0000134	XP_011160707.1	XP_035740651.1
OG0000135	XP_011168086.1	XP_035717163.1
OG0000135	XP_025992521.1	XP_035725594.1
OG0000136	XP_011168434.2, XP_011168435.1, XP_011168438.2, XP_039309206.1, XP_025989059.2, XP_011168437.1, XP_011168436.1, XP_011168451.1	XP_035728633.1, XP_035728680.1, XP_035728635.1, XP_035728634.1
OG0000137	XP_039302269.1, XP_011164282.1	XP_035738396.1
OG0000137	XP_025987902.2, XP_011171988.2, XP_011171990.2, XP_011171989.2	XP_035732267.1
OG0000138	XP_011156769.2	XP_035730963.1, XP_035730973.1, XP_035730946.1, XP_035730956.1, XP_035730998.1, XP_035731008.1, XP_035730984.1, XP_035730990.1
OG0000139	XP_011163312.2, XP_025992297.2	XP_035719417.1, XP_035719753.1
OG0000141	XP_011172931.2	XP_035723074.1, XP_035723075.1, XP_035723073.1
OG0000141	XP_011173169.1	XP_035722392.1, XP_035722391.1
OG0000143	XP_011158940.1, XP_011158941.1	XP_035726587.1, XP_035726585.1, XP_035726586.1
OG0000145	XP_039310475.1, XP_039310474.1	XP_035739706.1, XP_035739705.1
OG0000145	XP_025989810.1	XP_035732035.1, XP_035732034.1, XP_035732031.1, XP_035732032.1, XP_035732029.1, XP_035732030.1, XP_035732028.1, XP_035732033.1
OG0000146	XP_011158610.1, XP_011163024.1, XP_011163029.1	XP_035732991.1, XP_035732990.1, XP_035732989.1, XP_035732988.1
OG0000147	XP_025987816.1, XP_039314750.1	XP_035734708.1
OG0000149	XP_011168700.1	XP_035726837.1
OG0000149	XP_039303906.1, XP_011168707.2, XP_011168703.2, XP_011168705.2, XP_011168706.2, XP_011168701.2	XP_035726846.1, XP_035726843.1, XP_035726842.1, XP_035726847.1, XP_035726845.1
OG0000150	XP_011156682.1, XP_025991203.1, XP_011156666.1, XP_011156673.1, XP_025991204.1	XP_035733965.1, XP_035733966.1, XP_035733963.1, XP_035733964.1, XP_035733961.1, XP_035733962.1
OG0000151	XP_011167344.2	XP_035735864.1, XP_035735857.1, XP_035735862.1, XP_035735863.1, XP_035735861.1, XP_035735859.1, XP_035735858.1
OG0000152	XP_011159593.1, XP_011159592.1	XP_035722053.1
OG0000153	XP_025991417.2	XP_035727062.1
OG0000154	XP_039306572.1, XP_011172804.1, XP_039306683.1	XP_035743057.1, XP_035743056.1
OG0000156	XP_039313051.1, XP_039313052.1, XP_011167313.1, XP_011167314.1, XP_011167312.1	XP_035723493.1
OG0000157	XP_039311111.1, XP_039311110.1	XP_035732192.1, XP_035732282.1, XP_035732281.1
OG0000158	XP_039312830.1	XP_035740201.1
OG0000158	XP_011168943.1, XP_011168955.1, XP_039312827.1	XP_035740054.1, XP_035740197.1, XP_035740199.1, XP_035740200.1, XP_035740198.1
OG0000160	XP_025995468.2	XP_035723999.1
OG0000160	XP_039307899.1	XP_035733330.1, XP_035733325.1, XP_035733326.1, XP_035733328.1, XP_035733329.1
OG0000161	XP_011171818.2, XP_011157167.1, XP_011171836.1	XP_035719666.1, XP_035719656.1, XP_035719675.1
OG0000162	XP_025990139.1	XP_035740246.1, XP_035740247.1
OG0000164	XP_011175603.2, XP_039313027.1	XP_035732024.1
OG0000165	XP_011162664.1, XP_011162665.1, XP_025987522.1, XP_025987521.1	XP_035743313.1, XP_035743321.1, XP_035743314.1, XP_035743315.1, XP_035743316.1, XP_035743317.1, XP_035743320.1, XP_035743319.1, XP_035743322.1, XP_035743323.1
OG0000165	XP_011173553.1	XP_035734576.1
OG0000166	XP_025986750.2, XP_025986751.2, XP_039305072.1, XP_039305077.1	XP_035717393.1, XP_035717400.1, XP_035717381.1, XP_035717387.1, XP_035717382.1, XP_035717384.1
OG0000167	XP_039311578.1, XP_039308937.1, XP_039311365.1, XP_039311497.1, XP_039311504.1, XP_039311499.1, XP_039311501.1, XP_039311842.1, XP_039311838.1, XP_039311840.1, XP_039311839.1, XP_039311841.1, XP_039311843.1, XP_039304764.1, XP_025992708.1, XP_025992860.2, XP_039311364.1, XP_039311507.1, XP_039311486.1, XP_039311514.1, XP_039311548.1, XP_025991798.2, XP_039311463.1, XP_039303700.1, XP_039311478.1, XP_039311469.1, XP_039311471.1, XP_039311511.1, XP_025991838.1, XP_039311491.1, XP_025992926.2, XP_025992930.2, XP_039311517.1, XP_039311506.1, XP_039311572.1, XP_039311577.1, XP_039311539.1, XP_039311528.1, XP_039311534.1, XP_039311537.1, XP_039311538.1, XP_011162865.2, XP_039311289.1, XP_039311311.1, XP_039311434.1, XP_039311268.1, XP_039311363.1, XP_039311356.1, XP_039311429.1, XP_039311418.1, XP_039311378.1, XP_039311190.1, XP_039311472.1, XP_039311502.1, XP_039311564.1, XP_025988030.2, XP_039311637.1, XP_039311402.1, XP_039311182.1, XP_025988013.2, XP_039311263.1, XP_039311319.1, XP_025988032.2, XP_039311541.1, XP_039311119.1, XP_039311096.1, XP_039311345.1, XP_039311425.1, XP_039311606.1	XP_035725133.1, XP_035725137.1
