Orthogroup	Solenopsis_invicta	Eufriesea_mexicana
OG0000020	XP_025986409.1	XP_017759431.1
OG0000020	XP_025987337.1	XP_017763358.1
OG0000020	XP_025991589.1	XP_017756344.1
OG0000020	XP_011157847.1	XP_017763402.1
OG0000021	XP_011158408.1, XP_011158409.1, XP_011158407.1, XP_039314153.1	XP_017759339.1
OG0000021	XP_011162935.1	XP_017763116.1
OG0000021	XP_011159438.1	XP_017758713.1, XP_017758722.1, XP_017758731.1
OG0000021	XP_025991392.1	XP_017759315.1
OG0000022	XP_011163652.1	XP_017760075.1
OG0000022	XP_011166335.1	XP_017764538.1
OG0000022	XP_011163198.1	XP_017764547.1
OG0000024	XP_025992331.1	XP_017760258.1, XP_017760233.1, XP_017760260.1
OG0000024	XP_011168449.1, XP_011168448.1	XP_017753491.1
OG0000024	XP_025991932.1	XP_017753899.1
OG0000024	XP_025991934.1	XP_017753900.1
OG0000025	XP_039305170.1	XP_017765117.1
OG0000025	XP_025993123.1, XP_039309257.1	XP_017765323.1
OG0000026	XP_039304799.1	XP_017756869.1
OG0000026	XP_011175708.1, XP_039313524.1, XP_039313525.1, XP_039313526.1, XP_025989861.1, XP_039313527.1	XP_017760223.1
OG0000027	XP_011156268.1	XP_017764550.1
OG0000027	XP_039307731.1	XP_017764549.1
OG0000029	XP_011175277.3	XP_017755085.1
OG0000029	XP_025987625.1	XP_017764405.1, XP_017764404.1
OG0000029	XP_025994361.1	XP_017755092.1
OG0000030	XP_025986100.1	XP_017764870.1
OG0000030	XP_011165417.3, XP_039308147.1, XP_039313768.1	XP_017761417.1, XP_017761416.1
OG0000032	XP_011159466.2	XP_017765759.1, XP_017765770.1
OG0000032	XP_011165027.1, XP_011165031.2, XP_011165029.2, XP_011165028.2	XP_017762938.1
OG0000034	XP_039302507.1, XP_039315321.1, XP_039307234.1	XP_017754777.1, XP_017754795.1, XP_017754776.1, XP_017754775.1, XP_017754778.1, XP_017754793.1, XP_017754773.1, XP_017754772.1
OG0000035	XP_039312187.1	XP_017767482.1
OG0000035	XP_025987669.2	XP_017761425.1
OG0000036	XP_011166049.1	XP_017761194.1, XP_017761192.1
OG0000037	XP_011161783.1	XP_017756758.1
OG0000038	XP_011172049.1	XP_017766133.1, XP_017752930.1
OG0000038	XP_011173370.1	XP_017765835.1
OG0000038	XP_011174246.2	XP_017758046.1
OG0000038	XP_025991821.1	XP_017752947.1
OG0000039	XP_011160646.1, XP_039303925.1, XP_011163115.1	XP_017762235.1
OG0000040	XP_039308303.1, XP_011155953.3, XP_025987097.2, XP_039308361.1, XP_039303181.1	XP_017754464.1
OG0000040	XP_011170816.1	XP_017760639.1
OG0000041	XP_011173672.1	XP_017765151.1
OG0000041	XP_011173741.1	XP_017765153.1
OG0000041	XP_039304942.1, XP_011173639.1	XP_017759621.1
OG0000041	XP_011173634.1, XP_011173641.1	XP_017759618.1, XP_017759619.1, XP_017759620.1
OG0000041	XP_011167847.1	XP_017754630.1
OG0000042	XP_025988401.1, XP_025988400.1	XP_017757032.1
OG0000042	XP_025993549.1, XP_011172554.1	XP_017758606.1
OG0000043	XP_011166108.1	XP_017765446.1
OG0000043	XP_011172450.1	XP_017755191.1
OG0000044	XP_039306340.1, XP_025986513.2	XP_017767293.1
OG0000044	XP_025986454.1	XP_017767299.1, XP_017767300.1
OG0000044	XP_025986451.2, XP_025986364.1, XP_025986365.1, XP_025986366.1, XP_025986367.1	XP_017767304.1
OG0000045	XP_011156768.2	XP_017753918.1
OG0000045	XP_025992324.2	XP_017763731.1
OG0000045	XP_039312826.1	XP_017757512.1
OG0000046	XP_011168512.1	XP_017765106.1
OG0000046	XP_011168531.1	XP_017757713.1
OG0000046	XP_039310878.1, XP_039310880.1, XP_039310879.1	XP_017764994.1
OG0000048	XP_011160449.2	XP_017756884.1
OG0000050	XP_039305304.1, XP_039305308.1, XP_039305204.1, XP_011163179.1, XP_039310190.1, XP_025987483.2, XP_039310191.1	XP_017754840.1
OG0000051	XP_039312743.1, XP_011170442.1	XP_017765501.1, XP_017765020.1
OG0000052	XP_039313337.1	XP_017753622.1
OG0000053	XP_011162891.2	XP_017757950.1, XP_017767290.1, XP_017760652.1
OG0000054	XP_011164393.2	XP_017761989.1
OG0000054	XP_011164215.1, XP_011164214.2	XP_017761973.1, XP_017761971.1
OG0000055	XP_039311167.1	XP_017756618.1, XP_017756620.1
OG0000055	XP_039311121.1	XP_017753007.1
OG0000055	XP_011169776.2	XP_017754560.1
OG0000055	XP_011162045.1	XP_017759282.1
OG0000056	XP_039301684.1	XP_017763577.1
OG0000056	XP_025992809.2	XP_017761920.1
OG0000056	XP_011167471.3	XP_017759468.1
OG0000056	XP_039313454.1	XP_017758914.1
OG0000057	XP_011165693.1	XP_017757145.1
OG0000057	XP_011161996.1	XP_017767144.1
OG0000057	XP_011165691.1	XP_017757194.1
OG0000057	XP_011165692.1	XP_017757144.1
OG0000058	XP_011160196.3, XP_039304404.1, XP_011166290.1, XP_011160197.2, XP_039304698.1, XP_039304395.1, XP_039304704.1, XP_039304706.1	XP_017758952.1, XP_017765356.1, XP_017765413.1, XP_017759157.1, XP_017760962.1, XP_017760963.1, XP_017760967.1, XP_017760966.1, XP_017753024.1, XP_017760964.1
OG0000060	XP_011166599.1, XP_039312995.1, XP_039313020.1	XP_017755704.1
OG0000060	XP_011166588.1, XP_039313855.1, XP_039313856.1	XP_017757183.1, XP_017756939.1, XP_017764156.1, XP_017757105.1, XP_017764190.1, XP_017764182.1, XP_017764164.1, XP_017757028.1, XP_017764173.1, XP_017757262.1
OG0000061	XP_039310102.1	XP_017754233.1
OG0000062	XP_025989351.2	XP_017759727.1
OG0000064	XP_039307225.1, XP_039307226.1, XP_039311776.1, XP_039315322.1, XP_039307227.1, XP_039311779.1, XP_039315318.1, XP_039315366.1, XP_039303574.1, XP_039302503.1, XP_039302506.1, XP_039302487.1	XP_017753432.1, XP_017753408.1, XP_017753409.1, XP_017753435.1, XP_017753433.1, XP_017753407.1, XP_017753436.1, XP_017753410.1
OG0000065	XP_011161811.1, XP_039309142.1, XP_025991903.1, XP_011161836.1, XP_011161820.1	XP_017764117.1
OG0000065	XP_039308740.1, XP_011176028.1, XP_011176027.2	XP_017764126.1
OG0000065	XP_039307834.1, XP_039307956.1, XP_011165754.1, XP_039313781.1, XP_039313721.1, XP_039307833.1, XP_039313722.1, XP_011164020.1, XP_039307832.1, XP_039307645.1, XP_039308148.1, XP_025994478.1	XP_017764130.1
OG0000067	XP_011168949.1	XP_017760301.1
OG0000067	XP_039302008.1, XP_011157859.1	XP_017757819.1
OG0000067	XP_011157858.1, XP_025991420.1	XP_017757818.1
OG0000067	XP_025989655.1	XP_017760549.1
OG0000069	XP_025987486.1	XP_017754841.1
OG0000069	XP_011163891.1, XP_039303799.1, XP_039303801.1, XP_025989421.2, XP_039303891.1, XP_011171057.2, XP_039309137.1, XP_039309138.1, XP_039308972.1, XP_039308973.1, XP_039308974.1, XP_039309139.1, XP_039308971.1, XP_039308970.1, XP_039308969.1, XP_039309140.1, XP_011168216.3	XP_017754843.1
OG0000070	XP_039308666.1, XP_025985811.2, XP_025985886.1, XP_039308665.1, XP_039308664.1, XP_039308741.1	XP_017764085.1
OG0000073	XP_011157914.1	XP_017761867.1, XP_017761873.1, XP_017761872.1, XP_017761874.1
OG0000074	XP_011157636.1, XP_025987236.2, XP_025987238.1, XP_039314707.1	XP_017761968.1, XP_017758620.1
OG0000074	XP_025985929.1	XP_017765289.1
OG0000076	XP_011165898.1	XP_017759694.1
OG0000077	XP_039302621.1, XP_039302625.1, XP_039315173.1, XP_039315174.1, XP_039315175.1, XP_039310516.1, XP_039315171.1, XP_039315172.1, XP_039302627.1, XP_039302624.1, XP_039306266.1, XP_039309147.1, XP_039309148.1, XP_039309146.1, XP_039306562.1, XP_039306405.1, XP_039303879.1, XP_039303880.1, XP_039308266.1, XP_039308272.1	XP_017764095.1
OG0000077	XP_039304084.1, XP_039313109.1, XP_011160421.1, XP_039312541.1, XP_039312459.1, XP_039312511.1, XP_039312512.1, XP_039312737.1, XP_039312644.1, XP_025993195.1	XP_017755927.1
OG0000078	XP_011156318.2, XP_039310413.1, XP_039310414.1, XP_039310426.1, XP_011155581.2, XP_011155595.2, XP_011155606.1	XP_017756551.1
OG0000078	XP_039309962.1, XP_039310440.1, XP_011156215.2, XP_039309961.1, XP_039310430.1, XP_039309963.1, XP_011155704.2, XP_011155659.3, XP_011155817.3, XP_039309966.1, XP_011156294.1, XP_039310434.1, XP_011155782.2, XP_011155805.2, XP_025991287.2, XP_039309964.1	XP_017753026.1, XP_017753027.1, XP_017753037.1, XP_017753029.1
OG0000079	XP_025987035.1	XP_017754553.1
OG0000079	XP_025987036.2	XP_017754550.1
OG0000080	XP_039313662.1, XP_011161097.1, XP_011161096.1	XP_017763299.1
OG0000080	XP_025995013.1	XP_017763330.1, XP_017763331.1
OG0000080	XP_011173727.1	XP_017763303.1
OG0000081	XP_025987228.1, XP_025987227.1, XP_025987226.2, XP_039314403.1, XP_039314406.1, XP_039314405.1, XP_039314325.1, XP_025987223.2, XP_039314716.1, XP_025987270.2	XP_017758034.1
OG0000082	XP_011158501.1	XP_017760559.1
OG0000082	XP_011158493.1	XP_017760564.1
OG0000084	XP_011155841.2	XP_017759810.1
OG0000084	XP_011155844.1	XP_017759811.1
OG0000084	XP_039310256.1, XP_011155840.3	XP_017759821.1
OG0000084	XP_011155335.1	XP_017757681.1
OG0000085	XP_025987478.1, XP_025987477.1	XP_017759168.1, XP_017759169.1
OG0000086	XP_039314702.1, XP_039314703.1, XP_039314704.1, XP_039314705.1, XP_025990739.2	XP_017752779.1, XP_017752829.1, XP_017752828.1
OG0000086	XP_011160046.2, XP_039311358.1, XP_039311357.1, XP_025989233.2	XP_017758047.1
OG0000087	XP_025989498.1, XP_011170042.2	XP_017764961.1
OG0000088	XP_025996218.1, XP_039311698.1	XP_017758470.1
OG0000089	XP_039308778.1, XP_011166981.2, XP_011166985.2	XP_017760295.1, XP_017760292.1, XP_017760296.1, XP_017760294.1, XP_017760299.1, XP_017760298.1, XP_017760293.1
OG0000089	XP_011171848.1	XP_017760239.1
OG0000090	XP_039304169.1, XP_011174534.3, XP_039313194.1	XP_017756654.1
OG0000091	XP_011175219.1, XP_011175223.1, XP_011175233.1	XP_017755131.1
OG0000092	XP_011165503.1	XP_017761157.1
OG0000092	XP_011175720.1, XP_011175721.1	XP_017758288.1, XP_017758287.1
OG0000092	XP_011162964.1	XP_017766724.1, XP_017766723.1
OG0000093	XP_025997695.2, XP_039308825.1, XP_039312413.1	XP_017759423.1
OG0000093	XP_039306021.1	XP_017764516.1
OG0000094	XP_039302038.1, XP_039302037.1, XP_039302036.1, XP_025991363.1	XP_017754032.1
OG0000094	XP_039303166.1	XP_017763745.1
OG0000095	NP_001291530.1, XP_039307299.1, XP_039307298.1, XP_011156878.1, XP_039307311.1, NP_001291531.1, XP_039312645.1, XP_039304610.1, XP_039304261.1, XP_039304262.1, XP_025997578.1, XP_039304282.1	XP_017758948.1
OG0000096	XP_011156409.1, XP_039313932.1	XP_017759853.1
OG0000096	XP_039306601.1	XP_017753661.1
OG0000097	XP_025987027.1, XP_025987029.1, XP_039302265.1, XP_025987030.1	XP_017759272.1, XP_017759271.1
OG0000097	XP_025992182.1, XP_011159441.1	XP_017755959.1, XP_017755960.1
OG0000098	XP_025996352.1	XP_017760521.1, XP_017760519.1, XP_017760520.1, XP_017760517.1, XP_017760518.1, XP_017760523.1, XP_017760524.1, XP_017760522.1
OG0000099	XP_039314446.1, XP_025989491.1, XP_025989492.2, XP_039314447.1, XP_011166692.1, XP_039301759.1, XP_039301757.1, XP_039301758.1, XP_039310390.1, XP_039314464.1, XP_039314463.1, XP_039311961.1, XP_039311641.1	XP_017762062.1, XP_017762063.1
OG0000099	XP_039314426.1	XP_017765789.1
OG0000099	XP_011164670.2	XP_017763025.1
OG0000101	XP_011159599.3	XP_017762608.1
OG0000101	XP_025989569.1	XP_017752973.1, XP_017752972.1, XP_017762351.1
OG0000102	XP_025989688.2, XP_025989699.1	XP_017755997.1
OG0000102	XP_025989703.1	XP_017756026.1
OG0000103	XP_011161395.1	XP_017761262.1
OG0000103	XP_011161367.1	XP_017759973.1
OG0000103	XP_011161334.1	XP_017759705.1
OG0000106	XP_039314717.1	XP_017761703.1
OG0000107	XP_011159805.1	XP_017763391.1
OG0000108	XP_025985914.1	XP_017755056.1, XP_017755065.1
OG0000109	XP_011157413.1, XP_011157412.1	XP_017765546.1, XP_017765544.1, XP_017765545.1, XP_017765540.1, XP_017765542.1, XP_017765541.1, XP_017765543.1
OG0000110	XP_025991740.2, XP_025991741.2, XP_039308312.1, XP_039308317.1, XP_039308316.1, XP_039308308.1, XP_039308309.1, XP_039308311.1, XP_039308310.1, XP_039308313.1, XP_039308315.1, XP_039308314.1	XP_017752642.1
OG0000111	XP_039301713.1	XP_017759645.1
OG0000111	XP_039308795.1	XP_017756246.1
OG0000112	XP_025989590.2	XP_017760945.1, XP_017760944.1
OG0000113	XP_011169897.1	XP_017754450.1
OG0000113	XP_011176341.1, XP_011176387.1	XP_017766321.1
OG0000114	XP_039314478.1, XP_011172282.1, XP_025993302.2, XP_025993279.1, XP_039314479.1	XP_017755231.1
OG0000115	XP_011165645.2	XP_017757043.1
OG0000116	XP_011158331.1, XP_039303768.1	XP_017756858.1
OG0000116	XP_039303766.1	XP_017756906.1
OG0000117	XP_011157894.1	XP_017754328.1
OG0000117	XP_011170972.1, XP_011170971.1	XP_017755804.1
OG0000119	XP_039303820.1, XP_025988519.1, XP_011160452.1, XP_011160472.1, XP_039303816.1, XP_011160453.1, XP_011160457.2, XP_011160459.1, XP_011160469.1	XP_017756878.1, XP_017756873.1
OG0000120	XP_011175144.2	XP_017760327.1, XP_017760326.1, XP_017760325.1
OG0000122	XP_039310041.1	XP_017760255.1
OG0000122	XP_039305859.1	XP_017766449.1
OG0000122	XP_025995487.2	XP_017761215.1
OG0000122	XP_011173307.2	XP_017765619.1
OG0000123	XP_011169664.1	XP_017760450.1, XP_017760451.1, XP_017760448.1, XP_017760449.1, XP_017760452.1
OG0000124	XP_039302015.1	XP_017759439.1, XP_017759448.1
OG0000125	XP_011166830.1, XP_011166831.1	XP_017752157.1, XP_017752160.1, XP_017752159.1, XP_017752162.1, XP_017752161.1, XP_017752163.1, XP_017767778.1, XP_017767758.1
OG0000126	XP_011155410.1, XP_039309160.1, XP_039309158.1, XP_025990026.1, XP_025990027.1, XP_025990024.1	XP_017753608.1, XP_017753607.1, XP_017753606.1, XP_017753605.1, XP_017753604.1
OG0000127	XP_011165176.1, XP_039307622.1, XP_025994182.1	XP_017754012.1, XP_017754013.1
OG0000127	XP_039307613.1, XP_039307615.1	XP_017754044.1
OG0000129	XP_039310447.1, XP_039310449.1, XP_039310448.1, XP_025991275.2, XP_025991277.2	XP_017753388.1
OG0000130	XP_025991693.1, XP_025991692.1	XP_017759668.1
OG0000131	XP_011159624.1	XP_017758818.1
OG0000131	XP_011168548.1	XP_017761464.1, XP_017761457.1, XP_017761449.1
OG0000132	XP_039305040.1, XP_011175354.1	XP_017760124.1
OG0000132	XP_011162113.1	XP_017756059.1
OG0000133	XP_025988235.1, XP_025988236.1, XP_039308247.1, XP_039308246.1	XP_017755394.1
OG0000135	XP_025991427.1	XP_017761243.1
OG0000135	XP_011168086.1	XP_017754219.1
OG0000135	XP_025992521.1	XP_017756053.1, XP_017756054.1
OG0000136	XP_011168434.2, XP_011168435.1, XP_011168438.2, XP_039309206.1, XP_025989059.2, XP_011168437.1, XP_011168436.1, XP_011168451.1	XP_017753466.1, XP_017753465.1, XP_017753464.1, XP_017753463.1, XP_017753462.1, XP_017753460.1
OG0000137	XP_039302269.1, XP_011164282.1	XP_017761738.1
OG0000137	XP_025987902.2, XP_011171988.2, XP_011171990.2, XP_011171989.2	XP_017758968.1
OG0000138	XP_011156769.2	XP_017753919.1
OG0000139	XP_011163331.1, XP_011163323.1, XP_011163250.1	XP_017764607.1
OG0000139	XP_011163312.2, XP_025992297.2	XP_017764606.1
OG0000141	XP_011172931.2	XP_017757816.1
OG0000141	XP_011173169.1	XP_017756234.1
OG0000142	XP_039305867.1, XP_025986931.2, XP_039314570.1, XP_025986941.2, XP_025986936.2, XP_039314535.1, XP_039314558.1, XP_011168007.2, XP_039314529.1, XP_039314590.1, XP_039314564.1, XP_039305868.1, XP_039305708.1, XP_039305809.1, XP_039305616.1, XP_039305178.1, XP_039305782.1	XP_017752989.1, XP_017752988.1, XP_017752990.1
OG0000143	XP_011158940.1, XP_011158941.1	XP_017765696.1, XP_017765697.1, XP_017765698.1
OG0000144	XP_011155485.2	XP_017759465.1
OG0000144	XP_011155484.1	XP_017759475.1
OG0000145	XP_039310475.1, XP_039310474.1	XP_017753508.1, XP_017753509.1
OG0000145	XP_025989810.1	XP_017752454.1
OG0000146	XP_011158610.1	XP_017762149.1
OG0000146	XP_011163024.1, XP_011163029.1	XP_017755057.1, XP_017755054.1, XP_017755055.1
OG0000146	XP_011157598.1	XP_017757313.1
OG0000147	XP_025987816.1, XP_039314750.1	XP_017755245.1
OG0000149	XP_011168700.1	XP_017752370.1
OG0000149	XP_039303906.1, XP_011168707.2, XP_011168703.2, XP_011168705.2, XP_011168706.2, XP_011168701.2	XP_017752374.1, XP_017752372.1, XP_017752371.1
OG0000150	XP_011156682.1, XP_025991203.1, XP_011156666.1, XP_011156673.1, XP_025991204.1	XP_017761423.1
OG0000151	XP_011167344.2	XP_017754495.1, XP_017754494.1
OG0000152	XP_011159593.1, XP_011159592.1	XP_017752525.1, XP_017752524.1, XP_017752522.1, XP_017752523.1, XP_017752519.1, XP_017752521.1
OG0000153	XP_025991417.2	XP_017752578.1, XP_017752577.1
OG0000154	XP_039306572.1, XP_011172804.1, XP_039306683.1	XP_017755034.1, XP_017755068.1
OG0000156	XP_039313051.1, XP_039313052.1, XP_011167313.1, XP_011167314.1, XP_011167312.1	XP_017764881.1
OG0000157	XP_039311111.1, XP_039311110.1	XP_017766530.1, XP_017766794.1
OG0000160	XP_025995468.2	XP_017762321.1
OG0000160	XP_039307899.1	XP_017760990.1, XP_017760976.1, XP_017760983.1, XP_017760969.1
OG0000161	XP_011171818.2, XP_011157167.1, XP_011171836.1	XP_017766190.1
OG0000162	XP_011158164.1	XP_017760068.1, XP_017761789.1
OG0000162	XP_025990139.1	XP_017758852.1
OG0000164	XP_011175603.2, XP_039313027.1	XP_017752455.1
OG0000165	XP_011162664.1, XP_011162665.1, XP_025987522.1, XP_025987521.1	XP_017763109.1, XP_017763110.1, XP_017763108.1
OG0000165	XP_011173553.1	XP_017754783.1
OG0000166	XP_025986750.2, XP_025986751.2, XP_039305072.1, XP_039305077.1	XP_017765680.1
OG0000170	XP_011161392.2	XP_017767455.1
OG0000171	XP_011160261.1, XP_039309768.1, XP_011160941.1, XP_039309770.1, XP_011160937.1, XP_011160936.1	XP_017763743.1, XP_017763746.1
OG0000172	XP_039313711.1	XP_017756212.1, XP_017756209.1, XP_017756208.1, XP_017756205.1, XP_017756207.1, XP_017756206.1, XP_017756210.1, XP_017756211.1
OG0000173	XP_025993243.1, XP_011165836.1, XP_039304290.1, XP_011165837.1, XP_011165835.1	XP_017753788.1, XP_017753789.1
OG0000174	XP_025991237.1, XP_025991236.1, XP_025991235.1, XP_025991234.1, XP_025991233.1, XP_039302167.1, XP_039302166.1	XP_017759915.1, XP_017759914.1, XP_017759916.1, XP_017765580.1
OG0000175	XP_039302006.1, XP_039302007.1, XP_011157853.1	XP_017757084.1, XP_017757081.1, XP_017757082.1, XP_017757083.1
OG0000176	XP_025986721.1	XP_017757060.1
OG0000177	XP_025993788.1	XP_017754838.1
OG0000177	XP_011167661.1	XP_017754830.1
OG0000179	XP_039308745.1	XP_017762472.1
OG0000179	XP_011164111.1	XP_017762477.1, XP_017762476.1
OG0000179	XP_011163234.1	XP_017764861.1
OG0000180	XP_011166951.1, XP_011166952.1, XP_025986052.1, XP_025986051.1	XP_017764209.1, XP_017764210.1, XP_017764208.1
OG0000181	XP_025994298.1, XP_025994299.1, XP_039312812.1, XP_039312813.1, XP_011169149.1, XP_011169148.1	XP_017763403.1, XP_017763404.1
OG0000182	XP_011171027.1, XP_039307169.1, XP_039307168.1, XP_039307167.1, XP_039307166.1, XP_025991013.1	XP_017761809.1, XP_017761808.1
OG0000183	XP_011173713.1, XP_011173715.1	XP_017755734.1
OG0000183	XP_025992667.1	XP_017758250.1
OG0000184	XP_039308158.1, XP_039308138.1, XP_039308136.1	XP_017766044.1
OG0000185	XP_011158491.1, XP_011158492.1	XP_017760602.1
OG0000185	XP_039315703.1, XP_039315704.1, XP_039315705.1, XP_039315702.1	XP_017760610.1
OG0000186	XP_039303622.1, XP_025989743.2, XP_011172186.2, XP_039302616.1, XP_011172178.2, XP_011172155.1, XP_025989742.2, XP_011172133.1	XP_017765694.1, XP_017765695.1
OG0000187	XP_039309150.1, XP_011165088.1, XP_011165087.1	XP_017755788.1, XP_017755787.1
OG0000188	XP_039308892.1, XP_039308891.1, XP_039308889.1, XP_039308888.1	XP_017762123.1
OG0000188	XP_011168465.1	XP_017761111.1
OG0000189	XP_011170993.1, XP_039306223.1	XP_017753499.1
OG0000190	XP_011166168.1, XP_039304064.1, XP_025988559.1	XP_017757675.1, XP_017757673.1, XP_017757674.1
OG0000191	XP_039315120.1, XP_011164616.2	XP_017753882.1
OG0000192	XP_039310511.1, XP_039310512.1, XP_039310513.1, XP_039310514.1, XP_025989114.2, XP_025989113.2, XP_011155855.2	XP_017760341.1, XP_017758954.1, XP_017758953.1
OG0000194	XP_039304800.1	XP_017756837.1
OG0000194	XP_011158373.2	XP_017756836.1
OG0000194	XP_025992171.1, XP_039304703.1	XP_017756838.1
