Orthogroup	Solenopsis_invicta	Bombus_terrestris
OG0000013	XP_011158467.1, XP_011158466.1, XP_039315701.1	XP_003400771.1, XP_003400772.1
OG0000014	XP_011163196.1	XP_012175524.1, XP_003393114.1
OG0000018	XP_025993846.1, XP_039312756.1	XP_012169775.2
OG0000018	XP_011164408.2, XP_039302267.1, XP_025988897.1, XP_025988898.1, XP_011164281.1, XP_025988901.1	XP_012164635.1, XP_012164634.1, XP_012164629.1, XP_012164630.1
OG0000018	XP_011168181.2, XP_011168177.2	XP_012169298.1
OG0000018	XP_039312480.1, XP_039312479.1	XP_003399081.1
OG0000019	XP_025990211.2	XP_003398973.1, XP_020721097.1, XP_020721100.1, XP_020721101.1, XP_020721098.1, XP_020721099.1
OG0000019	XP_025995191.1, XP_039305114.1, XP_039305111.1, XP_039305113.1, XP_039305526.1, XP_025995621.1, XP_011155911.3, XP_039305205.1, XP_039305125.1, XP_011176163.1	XP_003401753.1
OG0000019	XP_011155421.1, XP_025990075.1, XP_039308626.1	XP_003401949.1
OG0000020	XP_025986429.1	XP_012167183.1
OG0000020	XP_011159576.2	XP_003394639.2
OG0000020	XP_025986409.1	XP_012167185.1
OG0000020	XP_025987337.1	XP_003393559.1
OG0000020	XP_025991589.1	XP_012173392.1
OG0000020	XP_011157847.1	XP_020723566.1
OG0000021	XP_011158408.1, XP_011158409.1, XP_011158407.1, XP_039314153.1	XP_012171597.1, XP_020722326.1, XP_003400632.1
OG0000021	XP_011162935.1	XP_003396414.1, XP_012165450.1, XP_012165451.1
OG0000021	XP_011159438.1	XP_012169135.1
OG0000021	XP_025991392.1	XP_012171598.1, XP_012171599.1, XP_003400635.1
OG0000022	XP_011163652.1	XP_003394856.1
OG0000022	XP_011163198.1	XP_003392968.1
OG0000024	XP_025992331.1	XP_003402753.1
OG0000024	XP_011168449.1, XP_011168448.1	XP_012165904.1, XP_012165907.1, XP_012165906.1
OG0000024	XP_025991932.1	XP_003401519.1
OG0000024	XP_025991934.1	XP_003401520.1
OG0000026	XP_011175708.1, XP_039313524.1, XP_039313525.1, XP_039313526.1, XP_025989861.1, XP_039313527.1	XP_020719884.1, XP_003397076.1, XP_012166367.1, XP_012166366.1, XP_012166369.1, XP_012166368.1
OG0000027	XP_011156268.1	XP_003392964.1, XP_003392970.1
OG0000028	XP_039307886.1, XP_025993453.2, XP_025997479.2, XP_011171716.1	XP_012174214.1, XP_012167645.1, XP_020723728.1
OG0000029	XP_011175277.3	XP_003399185.1, XP_012169459.1
OG0000029	XP_025987625.1	XP_003399852.3
OG0000029	XP_025994361.1	XP_020721315.1
OG0000030	XP_025986100.1	XP_020720274.1
OG0000030	XP_011165417.3, XP_039308147.1, XP_039313768.1	XP_012170594.1, XP_003399944.1
OG0000032	XP_011165027.1, XP_011165031.2, XP_011165029.2, XP_011165028.2	XP_003398435.1, XP_012174894.1, XP_003403021.1, XP_003398436.1, XP_003398432.1, XP_003398434.1
OG0000034	XP_039302507.1, XP_039315321.1, XP_039307234.1	XP_012169049.1, XP_012169050.1, XP_012175294.2, XP_020721191.1, XP_020721239.1, XP_012169504.1, XP_020721189.1, XP_020721190.1, XP_012169044.2, XP_020721192.1, XP_012169499.2
OG0000035	XP_039312187.1	XP_003394979.1
OG0000035	XP_025987669.2	XP_020718418.1
OG0000036	XP_011166049.1	XP_003401252.1, XP_012172397.1, XP_012175443.1
OG0000037	XP_011161783.1	XP_003403001.3
OG0000038	XP_011172049.1	XP_003396169.1, XP_003399700.1
OG0000038	XP_011173370.1	XP_003394986.1, XP_020718384.1
OG0000038	XP_011174246.2	XP_012172201.2
OG0000038	XP_025991821.1	XP_012172637.1
OG0000039	XP_011156429.1, XP_039311353.1, XP_039306735.1, XP_039312872.1, XP_025996405.1, XP_039303491.1, XP_039306765.1, XP_025995650.1, XP_039315519.1, XP_025996976.1, XP_011161413.1, XP_039307954.1, XP_011164139.3, XP_039315258.1, XP_039309669.1, XP_011171625.1, XP_039306397.1, XP_039304359.1, XP_011170179.1, XP_039301770.1, XP_039311331.1, XP_039303495.1, XP_039303407.1, XP_039303449.1, XP_039312874.1, XP_039315492.1, XP_039312525.1, XP_039311327.1, XP_039305149.1, XP_025994381.1, XP_011162982.1, XP_039315449.1, XP_039309120.1, XP_039310752.1, XP_039304385.1, XP_011169959.1, XP_039301724.1, XP_039303416.1	XP_012175480.1
OG0000039	XP_011160646.1, XP_039303925.1, XP_011163115.1	XP_012175491.1, XP_012173831.1, XP_012171920.1, XP_012169517.1, XP_020723949.1
OG0000039	XP_011164143.1, XP_011156930.1, XP_039311301.1, XP_011170898.1	XP_012171921.1, XP_020723189.1
OG0000040	XP_011164376.1, XP_011164378.1	XP_003402742.1
OG0000040	XP_039308303.1, XP_011155953.3, XP_025987097.2, XP_039308361.1, XP_039303181.1	XP_003393535.1
OG0000040	XP_011170816.1	XP_012164479.1
OG0000041	XP_011173741.1	XP_003396990.1
OG0000041	XP_039304942.1, XP_011173639.1	XP_003394488.1
OG0000041	XP_011173634.1, XP_011173641.1	XP_003394490.1
OG0000041	XP_011167847.1	XP_003399722.1
OG0000042	XP_025988401.1, XP_025988400.1	NP_001272327.1, XP_012163186.1
OG0000042	XP_025993549.1, XP_011172554.1	NP_001267818.1
OG0000043	XP_011166108.1	XP_003392868.1
OG0000044	XP_025986454.1	XP_020723893.1, XP_012175325.1
OG0000044	XP_025986451.2, XP_025986364.1, XP_025986365.1, XP_025986366.1, XP_025986367.1	XP_020723251.1
OG0000045	XP_011157503.2	XP_003395914.2
OG0000045	XP_011156768.2	XP_003403314.1, XP_020719958.1, XP_003402225.2
OG0000045	XP_025992324.2	XP_012164669.1
OG0000045	XP_039312826.1	XP_020718668.1, XP_020718669.1, XP_020718666.1, XP_020718667.1, XP_020718665.1, XP_020718671.1, XP_020718670.1
OG0000046	XP_011168512.1	XP_012176148.2
OG0000046	XP_011168531.1	XP_003397462.1
OG0000048	XP_011160449.2	XP_020720387.1
OG0000048	XP_039303831.1	XP_020720390.1
OG0000050	XP_039305304.1, XP_039305308.1, XP_039305204.1, XP_011163179.1, XP_039310190.1, XP_025987483.2, XP_039310191.1	XP_003398997.1
OG0000052	XP_039313337.1	XP_003397480.1
OG0000053	XP_039309233.1	XP_012169560.1
OG0000053	XP_011162891.2	XP_012174238.1, XP_020718269.1
OG0000054	XP_011164393.2	XP_012175318.1
OG0000054	XP_011164215.1, XP_011164214.2	XP_003402283.1, XP_003403304.1, XP_003403303.1
OG0000055	XP_039311167.1	XP_003401668.1, XP_020722884.1
OG0000055	XP_039311121.1	XP_012170773.1
OG0000055	XP_011169776.2	XP_020718283.1
OG0000055	XP_011162045.1	XP_012170213.1
OG0000056	XP_039301684.1	XP_020723650.1
OG0000056	XP_025992809.2	XP_020721195.1
OG0000056	XP_011167471.3	XP_003399457.3
OG0000056	XP_039313454.1	XP_020723637.1
OG0000056	XP_039306715.1	XP_020718834.1
OG0000057	XP_011165693.1	XP_003395180.1
OG0000057	XP_011161996.1	XP_003400373.1
OG0000057	XP_011165691.1	XP_003395196.1
OG0000057	XP_011165692.1	XP_003395170.1
OG0000058	XP_011160196.3, XP_039304404.1, XP_011166290.1, XP_011160197.2, XP_039304698.1, XP_039304395.1, XP_039304704.1, XP_039304706.1	XP_020723333.1, XP_012173473.1, XP_012173466.1, XP_003397834.1, XP_020720441.1, XP_003403225.1, XP_012164723.2, XP_020719146.1, XP_020719100.1, XP_020720439.1, XP_020720438.1, XP_012167402.1
OG0000060	XP_011166588.1, XP_039313855.1, XP_039313856.1	XP_020721716.1
OG0000061	XP_039310102.1	XP_003392898.1
OG0000061	XP_039311104.1	XP_003401246.1, XP_003401245.1, XP_012172395.1, XP_020722644.1
OG0000062	XP_025989351.2	XP_012175695.2
OG0000064	XP_039307225.1, XP_039307226.1, XP_039311776.1, XP_039315322.1, XP_039307227.1, XP_039311779.1, XP_039315318.1, XP_039315366.1, XP_039303574.1, XP_039302503.1, XP_039302506.1, XP_039302487.1	XP_020721662.1, XP_020723854.1, XP_003399526.1, XP_012169978.1, XP_020721562.1, XP_003402807.2, XP_020721563.1, XP_012169979.1, XP_012170046.1
OG0000065	XP_011161811.1, XP_039309142.1, XP_025991903.1, XP_011161836.1, XP_011161820.1	XP_003398334.1
OG0000065	XP_039308740.1, XP_011176028.1, XP_011176027.2	XP_012168045.1
OG0000065	XP_039307834.1, XP_039307956.1, XP_011165754.1, XP_039313781.1, XP_039313721.1, XP_039307833.1, XP_039313722.1, XP_011164020.1, XP_039307832.1, XP_039307645.1, XP_039308148.1, XP_025994478.1	XP_012168044.1, XP_003403408.2
OG0000067	XP_011168949.1	XP_003397328.1
OG0000067	XP_039302008.1, XP_011157859.1	XP_003400944.1
OG0000067	XP_011157858.1, XP_025991420.1	XP_020722094.1
OG0000067	XP_025989655.1	XP_020722130.1
OG0000069	XP_025987486.1	XP_012169151.1, XP_020721324.1
OG0000069	XP_011163891.1, XP_039303799.1, XP_039303801.1, XP_025989421.2, XP_039303891.1, XP_011171057.2, XP_039309137.1, XP_039309138.1, XP_039308972.1, XP_039308973.1, XP_039308974.1, XP_039309139.1, XP_039308971.1, XP_039308970.1, XP_039308969.1, XP_039309140.1, XP_011168216.3	XP_012169153.1
OG0000070	XP_039308666.1, XP_025985811.2, XP_025985886.1, XP_039308665.1, XP_039308664.1, XP_039308741.1	XP_012167492.2, XP_012167490.1, XP_020720119.1
OG0000073	XP_011157914.1	XP_020722566.1, XP_020719067.1, XP_020719074.1, XP_003393329.1, XP_012166351.1, XP_003393341.1, XP_003393340.1, XP_003393343.1, XP_012166402.1
OG0000074	XP_011157636.1, XP_025987236.2, XP_025987238.1, XP_039314707.1	XP_012175299.1
OG0000074	XP_025985929.1	XP_003396140.1
OG0000077	XP_039302621.1, XP_039302625.1, XP_039315173.1, XP_039315174.1, XP_039315175.1, XP_039310516.1, XP_039315171.1, XP_039315172.1, XP_039302627.1, XP_039302624.1, XP_039306266.1, XP_039309147.1, XP_039309148.1, XP_039309146.1, XP_039306562.1, XP_039306405.1, XP_039303879.1, XP_039303880.1, XP_039308266.1, XP_039308272.1	NP_001267840.1
OG0000077	XP_039304084.1, XP_039313109.1, XP_011160421.1, XP_039312541.1, XP_039312459.1, XP_039312511.1, XP_039312512.1, XP_039312737.1, XP_039312644.1, XP_025993195.1	XP_012166572.2
OG0000078	XP_011156318.2, XP_039310413.1, XP_039310414.1, XP_039310426.1, XP_011155581.2, XP_011155595.2, XP_011155606.1	XP_020720864.1, XP_012168558.1
OG0000078	XP_039309962.1, XP_039310440.1, XP_011156215.2, XP_039309961.1, XP_039310430.1, XP_039309963.1, XP_011155704.2, XP_011155659.3, XP_011155817.3, XP_039309966.1, XP_011156294.1, XP_039310434.1, XP_011155782.2, XP_011155805.2, XP_025991287.2, XP_039309964.1	XP_020723334.1, XP_020723842.1
OG0000079	XP_011155938.1	XP_020718417.1
OG0000079	XP_025987034.1	XP_020718406.1
OG0000079	XP_025987035.1	XP_020718407.1
OG0000079	XP_025987036.2	XP_020718411.1
OG0000080	XP_039313662.1, XP_011161097.1, XP_011161096.1	XP_003399522.1
OG0000080	XP_025995013.1	XP_012169830.1
OG0000080	XP_011173727.1	XP_012169831.1
OG0000081	XP_011174507.3, XP_025987271.2, XP_011174500.3	XP_003401176.1
OG0000081	XP_025987228.1, XP_025987227.1, XP_025987226.2, XP_039314403.1, XP_039314406.1, XP_039314405.1, XP_039314325.1, XP_025987223.2, XP_039314716.1, XP_025987270.2	XP_020722589.1, XP_003403422.1, XP_003403234.2, XP_020722487.1, XP_003401115.1, XP_003401178.1, XP_020722598.1, XP_020722486.1, XP_003401116.2, XP_020722597.1, XP_003403027.1
OG0000082	XP_011158501.1	XP_012171770.1
OG0000082	XP_011158493.1	XP_012171768.1, XP_003400713.1, XP_020722282.1
OG0000082	XP_011158531.2	XP_003400712.1
OG0000084	XP_011155841.2	XP_003393656.1
OG0000084	XP_011155844.1	XP_003393657.1
OG0000084	XP_039310256.1, XP_011155840.3	XP_012172250.1
OG0000084	XP_011155335.1	XP_003400023.1
OG0000085	XP_025987478.1, XP_025987477.1	XP_012176300.1, XP_012176301.1, XP_020724351.1, XP_003394432.1, XP_003394433.1
OG0000086	XP_039314702.1, XP_039314703.1, XP_039314704.1, XP_039314705.1, XP_025990739.2	XP_003401334.1
OG0000086	XP_011160046.2, XP_039311358.1, XP_039311357.1, XP_025989233.2	XP_012172254.1
OG0000087	XP_025989498.1, XP_011170042.2	XP_020722624.1, XP_012172367.1
OG0000088	XP_025996218.1, XP_039311698.1	XP_003398593.1
OG0000089	XP_039308778.1, XP_011166981.2, XP_011166985.2	XP_003397324.1, XP_003397322.1, XP_003397323.1, XP_012166700.1, XP_012166697.1
OG0000089	XP_011171848.1	XP_003396210.1
OG0000090	XP_011157440.1, XP_039303621.1, XP_025995823.2, XP_039305402.1, XP_039302928.1	XP_012174871.1
OG0000090	XP_025995911.1	XP_012174400.2
OG0000090	XP_039307242.1, XP_039308386.1, XP_025997709.2, XP_039305766.1, XP_039303294.1, XP_039310030.1, XP_039310471.1, XP_039305112.1, XP_025997607.1, XP_039311201.1, XP_039304885.1, XP_011172670.2	XP_012171815.1
OG0000091	XP_011175219.1, XP_011175223.1, XP_011175233.1	XP_020721177.1, XP_003402576.2, XP_020721343.1, XP_012169463.2
OG0000092	XP_011165503.1	XP_020718694.1
OG0000092	XP_011175720.1, XP_011175721.1	XP_020718989.1, XP_003395974.1
OG0000092	XP_011162964.1	XP_003400287.1, XP_012171069.1
OG0000093	XP_039313509.1, XP_039303479.1, XP_011161917.1	XP_012168446.1
OG0000094	XP_039302038.1, XP_039302037.1, XP_039302036.1, XP_025991363.1	XP_012164578.1
OG0000094	XP_039303166.1	XP_012170607.1
OG0000095	NP_001291530.1, XP_039307299.1, XP_039307298.1, XP_011156878.1, XP_039307311.1, NP_001291531.1, XP_039312645.1, XP_039304610.1, XP_039304261.1, XP_039304262.1, XP_025997578.1, XP_039304282.1	XP_003398964.1
OG0000096	XP_011156409.1, XP_039313932.1	XP_003400671.1, XP_003400637.1
OG0000096	XP_039306601.1	XP_003395393.1, XP_012166067.2
OG0000097	XP_025987027.1, XP_025987029.1, XP_039302265.1, XP_025987030.1	XP_012170206.1, XP_003399689.1
OG0000097	XP_025992182.1, XP_011159441.1	XP_012173498.1, XP_020723033.1
OG0000098	XP_025996352.1	XP_012168084.1, XP_012168083.1, XP_012168086.1, XP_012168085.1, XP_003398369.1
OG0000099	XP_039314446.1, XP_025989491.1, XP_025989492.2, XP_039314447.1, XP_011166692.1, XP_039301759.1, XP_039301757.1, XP_039301758.1, XP_039310390.1, XP_039314464.1, XP_039314463.1, XP_039311961.1, XP_039311641.1	XP_020722786.1
OG0000099	XP_039314426.1	XP_012172596.1
OG0000099	XP_011164670.2	XP_020722424.1
OG0000101	XP_011159599.3	XP_003397360.1
OG0000101	XP_025989569.1	XP_020719744.1
OG0000102	XP_025989688.2, XP_025989699.1	XP_020722917.1
OG0000102	XP_025989703.1	XP_012173277.1
OG0000103	XP_011161395.1	XP_012168396.1, XP_012168395.1, XP_020720588.1
OG0000103	XP_011161367.1	XP_012168399.1
OG0000103	XP_011161334.1	XP_012168403.1
OG0000106	XP_039314717.1	XP_012164627.2
OG0000107	XP_011159805.1	XP_012169401.1, XP_020720964.1
OG0000108	XP_025985914.1	XP_012174803.1
OG0000109	XP_011157413.1, XP_011157412.1	XP_003398706.1, XP_003398707.1
OG0000110	XP_025991740.2, XP_025991741.2, XP_039308312.1, XP_039308317.1, XP_039308316.1, XP_039308308.1, XP_039308309.1, XP_039308311.1, XP_039308310.1, XP_039308313.1, XP_039308315.1, XP_039308314.1	XP_003400537.1, XP_012171442.1, XP_012171440.1, XP_012171439.1
OG0000111	XP_039301713.1	XP_012165042.1
OG0000111	XP_039308795.1	XP_012173034.1
OG0000112	XP_025989590.2	XP_012168598.1, XP_020720998.1, XP_012168597.1, XP_012168596.1, XP_012168595.1
OG0000113	XP_011176341.1, XP_011176387.1	XP_020718272.1, XP_003394925.1
OG0000114	XP_011161124.1	XP_020718755.1
OG0000114	XP_039314478.1, XP_011172282.1, XP_025993302.2, XP_025993279.1, XP_039314479.1	XP_020718756.1
OG0000115	NP_001291541.1	XP_003395150.1
OG0000115	XP_011165645.2, XP_011165643.1, XP_011165649.2, XP_011165650.1	XP_012163601.1
OG0000116	XP_011158331.1, XP_039303768.1	XP_012167612.1, XP_020720167.1, XP_020720163.1, XP_020720164.1, XP_020720166.1, XP_012167610.1, XP_012167613.1, XP_020720165.1, XP_003397905.1, XP_003397904.1, XP_012167611.1, XP_003397903.1
OG0000116	XP_039303766.1	XP_020720215.1, XP_003397775.1
OG0000117	XP_011157894.1	XP_012176486.1
OG0000117	XP_011170972.1, XP_011170971.1	XP_003398039.1
OG0000119	XP_039303820.1, XP_025988519.1, XP_011160452.1, XP_011160472.1, XP_039303816.1, XP_011160453.1, XP_011160457.2, XP_011160459.1, XP_011160469.1	XP_020720337.1, XP_020720348.1, XP_020720338.1, XP_020720336.1, XP_020720341.1
OG0000120	XP_011175144.2	XP_003400542.1, XP_012171451.1, XP_012171452.1, XP_012171449.1, XP_012171450.1, XP_012171447.1, XP_012171454.1, XP_012171455.1
OG0000122	XP_039310041.1	XP_012165001.1
OG0000122	XP_039305859.1	XP_012174370.1
OG0000122	XP_025995487.2	XP_003401982.1
OG0000122	XP_011173307.2	XP_012173486.1
OG0000123	XP_011169664.1	XP_003397633.1, XP_012167209.1, XP_012167212.1, XP_012167211.1, XP_012167208.1, XP_012167210.1
OG0000124	XP_039302015.1	XP_012164839.1
OG0000125	XP_011166830.1, XP_011166831.1	XP_003402889.2, XP_003402892.1, XP_003402547.3
OG0000126	XP_011155410.1, XP_039309160.1, XP_039309158.1, XP_025990026.1, XP_025990027.1, XP_025990024.1	XP_012173626.1, XP_003402194.1, XP_020723219.1, XP_020723220.1, XP_020723218.1, XP_012173627.1
OG0000127	XP_011165176.1, XP_039307622.1, XP_025994182.1	XP_003393060.1, XP_003393061.1, XP_012163415.1, XP_012163409.1
OG0000127	XP_039307613.1, XP_039307615.1	XP_003393059.1, XP_020718439.1, XP_020718434.1
OG0000128	XP_039306786.1, XP_039312393.1, XP_039309505.1, XP_039313498.1, XP_039306739.1, XP_025988163.2, XP_039303559.1, XP_039306752.1, XP_039303482.1, XP_011174706.1, XP_039315251.1, XP_039310402.1, XP_039311972.1, XP_039313520.1, XP_039303522.1, XP_039314690.1, XP_039311326.1, XP_025997681.2, XP_039308691.1, XP_039308809.1	XP_012174242.1
OG0000128	XP_039303517.1, XP_039301924.1, XP_011164071.2	XP_020723962.1
OG0000129	XP_039310447.1, XP_039310449.1, XP_039310448.1, XP_025991275.2, XP_025991277.2	XP_003398638.1, XP_012168489.1, XP_012168490.1, XP_012168488.1, XP_012168487.1, XP_012168486.1, XP_012168485.1, XP_012168484.1
OG0000130	XP_039309465.1	XP_020719394.1, XP_003396651.1
OG0000130	XP_025991693.1, XP_025991692.1	XP_003396649.1, XP_012165702.1
OG0000131	XP_011159624.1	XP_003398970.1
OG0000131	XP_011168548.1	XP_003396371.1
OG0000131	XP_011168539.1	XP_003396370.1
OG0000132	XP_039305040.1, XP_011175354.1	XP_003402425.1
OG0000132	XP_011162113.1	XP_003402485.1
OG0000133	XP_025988235.1, XP_025988236.1, XP_039308247.1, XP_039308246.1	XP_012176311.1, XP_020724157.1, XP_020724156.1, XP_020724158.1
OG0000133	XP_039303648.1	XP_012168402.1
OG0000135	XP_025991427.1	XP_003393370.1
OG0000135	XP_011168086.1	XP_003393110.1
OG0000135	XP_025992521.1	XP_003394582.1
OG0000136	XP_011168434.2, XP_011168435.1, XP_011168438.2, XP_039309206.1, XP_025989059.2, XP_011168437.1, XP_011168436.1, XP_011168451.1	XP_012165909.1, XP_020719676.1, XP_012165896.1, XP_020723712.1, XP_003396782.1, XP_003402992.1
OG0000137	XP_039302269.1, XP_011164282.1	XP_012164639.1, XP_012164637.1, XP_012164636.1, XP_012164638.1
OG0000137	XP_025987902.2, XP_011171988.2, XP_011171990.2, XP_011171989.2	XP_012175108.1, XP_012170724.1
OG0000138	XP_011156769.2	XP_003397345.2, XP_012166619.1
OG0000139	XP_011163331.1, XP_011163323.1, XP_011163250.1	XP_003399181.1
OG0000139	XP_011163312.2, XP_025992297.2	XP_003399195.1
OG0000140	XP_039311174.1	XP_020718525.1
OG0000141	XP_011172931.2	XP_003400951.1
OG0000141	XP_011173169.1	XP_012174890.1, XP_003396959.1
OG0000142	XP_039305867.1, XP_025986931.2, XP_039314570.1, XP_025986941.2, XP_025986936.2, XP_039314535.1, XP_039314558.1, XP_011168007.2, XP_039314529.1, XP_039314590.1, XP_039314564.1, XP_039305868.1, XP_039305708.1, XP_039305809.1, XP_039305616.1, XP_039305178.1, XP_039305782.1	XP_012175459.1, XP_020721950.1, XP_020721953.1, XP_012170791.1, XP_012170790.1, XP_020721952.1
OG0000143	XP_011158940.1, XP_011158941.1	XP_020722543.1, XP_012175058.1, XP_020722547.1, XP_020722544.1, XP_020722545.1
OG0000144	XP_011155485.2	XP_003401782.1
OG0000144	XP_011155484.1	XP_003401781.1
OG0000145	XP_039310475.1, XP_039310474.1	XP_003393298.1
OG0000145	XP_025989810.1	XP_012164960.1
OG0000146	XP_011158610.1	XP_003402123.1
OG0000146	XP_011163024.1, XP_011163029.1	XP_003397806.1
OG0000146	XP_011157598.1	XP_012176245.1
OG0000147	XP_025987816.1, XP_039314750.1	XP_012164120.1, XP_012164121.1, XP_012164119.1
OG0000149	XP_011168700.1	XP_003394540.1
OG0000149	XP_039303906.1, XP_011168707.2, XP_011168703.2, XP_011168705.2, XP_011168706.2, XP_011168701.2	XP_012175460.1, XP_020724080.1
OG0000150	XP_011156682.1, XP_025991203.1, XP_011156666.1, XP_011156673.1, XP_025991204.1	XP_012170499.1, XP_012170501.1, XP_012170500.1, XP_003399855.1, XP_020721682.1, XP_012170498.1
OG0000151	XP_011167344.2	XP_003402871.1, XP_012174602.1, XP_012174601.1, XP_012174604.1, XP_012174600.1, XP_012174599.1
OG0000152	XP_011159593.1, XP_011159592.1	XP_012173071.1, XP_012173070.1, XP_012173069.1, XP_012173068.1, XP_012173075.1, XP_012173067.1
OG0000153	XP_025991417.2	XP_003400832.1, XP_012171882.1, XP_012171883.1
OG0000154	XP_039306572.1, XP_011172804.1, XP_039306683.1	XP_012167367.1, XP_012167365.1
OG0000156	XP_039313051.1, XP_039313052.1, XP_011167313.1, XP_011167314.1, XP_011167312.1	XP_003396400.1
OG0000157	XP_039311111.1, XP_039311110.1	XP_020721948.1, XP_003400109.2
OG0000158	XP_039312830.1	XP_012164498.1
OG0000160	XP_025995468.2	XP_012168631.1
OG0000162	XP_011158164.1	XP_012170034.1
OG0000162	XP_025990139.1	XP_003397561.2
OG0000164	XP_011175603.2, XP_039313027.1	XP_020718980.1
OG0000165	XP_011162664.1, XP_011162665.1, XP_025987522.1, XP_025987521.1	XP_003397183.1, XP_012166526.1
