Orthogroup	Solenopsis_invicta	Drosophila_melanogaster
OG0000013	XP_011166327.1	NP_001027323.1, NP_001027328.1, NP_001027363.1, NP_001027368.1, NP_001027353.1, NP_001027358.1, NP_001027348.1, NP_001027343.1, NP_001027289.1, NP_001027285.1, NP_001027333.1
OG0000013	XP_011158467.1, XP_011158466.1, XP_039315701.1	NP_001259374.1
OG0000013	XP_011158471.1	NP_001260082.1
OG0000017	XP_039311373.1, XP_025996377.1	NP_524913.1, NP_524914.3, NP_524912.1, NP_788656.1, NP_524915.1, NP_525114.1, NP_524916.1, NP_001034042.1, NP_001287302.1, NP_001287303.1
OG0000018	XP_025993846.1, XP_039312756.1	NP_001262747.1, NP_609930.4, NP_995741.2, NP_650086.2, NP_001260823.1, NP_001245943.1, NP_001260548.1
OG0000018	XP_039312480.1, XP_039312479.1	NP_001247286.1
OG0000019	XP_011158633.2	NP_001014548.1
OG0000019	XP_011155421.1, XP_025990075.1, XP_039308626.1	NP_001285811.1, NP_001260357.1, NP_609429.1, NP_001285807.1, NP_001285806.1, NP_001260356.1, NP_609419.1, NP_609420.1, NP_723607.1, NP_524667.1
OG0000020	XP_025986429.1	NP_723103.1
OG0000020	XP_011159576.2	NP_001097100.1, NP_001188701.2
OG0000020	XP_025986409.1	NP_723828.1
OG0000020	XP_025987337.1	NP_001137799.1, NP_723441.2
OG0000020	XP_011157847.1	NP_001259218.1
OG0000021	XP_011158408.1, XP_011158409.1, XP_011158407.1, XP_039314153.1	NP_648539.1
OG0000021	XP_011159438.1	NP_001263113.1, NP_651812.1, NP_001189282.1
OG0000022	XP_011163652.1	NP_001027366.1, NP_001027371.1, NP_001027376.1
OG0000022	XP_011166335.1	NP_001027336.1, NP_001027346.1, NP_001027356.1, NP_001027361.1, NP_001027331.1, NP_001027351.1, NP_001027292.1, NP_001027326.1, NP_001027381.1, NP_001027321.1, NP_001027316.1, NP_001027386.1, NP_724343.1, NP_001027306.1, NP_001027311.1, NP_001027301.1, NP_001027341.1
OG0000026	XP_039304799.1	NP_729591.1, NP_001287018.1
OG0000026	XP_011175708.1, XP_039313524.1, XP_039313525.1, XP_039313526.1, XP_025989861.1, XP_039313527.1	NP_001014616.2
OG0000027	XP_011156268.1	NP_724344.1, NP_001027312.1, NP_001027302.1, NP_001027297.1, NP_001027293.1, NP_001027307.1, NP_001027342.1
OG0000027	XP_039307731.1	NP_001027317.1
OG0000029	XP_011175216.3, XP_011175277.3	NP_647872.1, NP_650813.2
OG0000029	XP_025994361.1	NP_647875.1, NP_647873.2
OG0000032	XP_039305331.1, XP_011173570.2	NP_001285067.1
OG0000032	XP_025991246.2	NP_611166.2
OG0000032	XP_011159466.2, XP_011165027.1, XP_011165031.2, XP_011165029.2, XP_011165028.2	NP_651524.1, NP_651523.1, NP_651522.1, NP_651525.1, NP_651526.1, NP_651521.1, NP_651520.1, NP_651403.1
OG0000033	XP_025986730.2, XP_039303561.1, XP_025996385.1, XP_039315246.1, XP_039303378.1, XP_039303408.1	NP_001036361.1
OG0000033	XP_039311284.1, XP_039302324.1, XP_039305808.1, XP_039315262.1	NP_001285694.1
OG0000035	XP_039312187.1	NP_001285591.1, NP_609909.1, NP_609911.1, NP_001246082.2
OG0000035	XP_025987669.2	NP_001261394.1, NP_001287111.1
OG0000037	XP_011161783.1	NP_001137869.1, NP_648209.1, NP_001262052.1, NP_001261293.1, NP_001097547.1, NP_649120.1, NP_649121.1
OG0000038	XP_011172049.1	NP_476772.1, NP_524264.1
OG0000040	XP_039308303.1, XP_011155953.3, XP_025987097.2, XP_039308361.1, XP_039303181.1, XP_011155958.2, XP_025987203.2, XP_011170816.1	NP_650601.2, NP_650599.1, NP_001097818.1, NP_001287372.1, NP_650598.1, NP_001138068.1, NP_732214.1, NP_650603.1, NP_650604.1
OG0000041	XP_011173672.1	NP_001014725.1
OG0000041	XP_011173634.1, XP_011173641.1	NP_001262200.1
OG0000041	XP_011167847.1	NP_477037.2
OG0000042	XP_025993436.2, XP_025988401.1, XP_025988400.1	NP_731781.1
OG0000042	XP_025993549.1, XP_011172554.1	NP_651966.2, NP_650201.1, NP_652731.1
OG0000043	XP_011166108.1	NP_001286870.1
OG0000044	XP_039306340.1, XP_025986513.2, XP_025986454.1	NP_732652.1, NP_001303538.1, NP_650979.1
OG0000044	XP_025986451.2, XP_025986364.1, XP_025986365.1, XP_025986366.1, XP_025986367.1	NP_651674.3
OG0000045	XP_011157503.2, XP_011156768.2, XP_025992324.2	NP_001188791.2, NP_609522.1, NP_476627.3, NP_610381.1, NP_476628.2, NP_610382.2, NP_476625.2, NP_610384.1, NP_001286198.1, NP_724679.2
OG0000046	XP_011168512.1	NP_001285139.1
OG0000046	XP_011168531.1, XP_039310878.1, XP_039310880.1, XP_039310879.1	NP_001262586.1
OG0000047	XP_039311272.1, XP_039307231.1, XP_039307232.1, XP_025997124.1, XP_039305177.1, XP_039308536.1, XP_039308537.1, XP_039302440.1	NP_652056.2
OG0000050	XP_039305304.1, XP_039305308.1, XP_039305204.1, XP_011163179.1, XP_039310190.1, XP_025987483.2, XP_039310191.1	NP_001246965.1, NP_524262.1, NP_001163540.1, NP_524266.1, NP_611678.1, NP_524269.3, NP_001262345.1, NP_524261.1, NP_524259.2, NP_731165.2, NP_001246962.1, NP_001287487.1
OG0000052	XP_039313337.1	NP_610332.3, NP_726254.1, NP_611723.3, NP_611722.2, NP_001286747.1, NP_001286144.1, NP_611724.1, NP_651903.2, NP_611725.2, NP_611376.1, NP_001286591.1, NP_611375.2
OG0000052	XP_011160846.1	NP_652665.3, NP_609664.1, NP_620115.2
OG0000052	XP_025995966.1	NP_725600.1
OG0000053	XP_039309233.1	NP_610793.1
OG0000054	XP_011164215.1, XP_011164214.2	NP_477282.2, NP_729146.1, NP_729147.1
OG0000055	XP_039311167.1	NP_001284925.1
OG0000055	XP_039311121.1	NP_650904.3
OG0000055	XP_011169776.2	NP_609815.1
OG0000055	XP_011162045.1	NP_001246914.1
OG0000056	XP_039301684.1, XP_025992809.2	NP_001369131.1
OG0000056	XP_011167471.3	NP_647937.2
OG0000057	XP_011161996.1, XP_011165691.1	NP_524290.2
OG0000057	XP_011165692.1	NP_523842.2
OG0000060	XP_011166599.1, XP_039312995.1, XP_039313020.1	NP_650848.1
OG0000060	XP_011166588.1, XP_039313855.1, XP_039313856.1	NP_001163168.1
OG0000061	XP_039302873.1, XP_039310102.1	NP_001097692.1
OG0000061	XP_039311104.1	NP_648605.1, NP_536732.1, NP_523675.1, NP_611234.1
OG0000062	XP_025989351.2	NP_001261156.1
OG0000065	XP_039308740.1, XP_011176028.1, XP_011176027.2, XP_039307834.1, XP_039307956.1, XP_011165754.1, XP_039313781.1, XP_039313721.1, XP_039307833.1, XP_039313722.1, XP_011164020.1, XP_039307832.1, XP_039307645.1, XP_039308148.1, XP_025994478.1	NP_524105.2, NP_001285777.1, NP_001027266.1, NP_001027272.1, NP_648885.1, NP_652673.2
OG0000066	XP_039306035.1, XP_039312738.1, XP_039302943.1, XP_011173934.3, XP_025996408.2, XP_039303305.1, XP_039313707.1, XP_039303413.1, XP_025996127.1, XP_011159374.1	NP_610976.1
OG0000067	XP_011168949.1	NP_001284994.1
OG0000067	XP_011157858.1, XP_025991420.1	NP_001261491.1
OG0000068	XP_025993298.2, XP_039312003.1, XP_039302002.1, XP_039301996.1, XP_039309209.1, XP_039310968.1, XP_039315494.1, XP_039308060.1, XP_025992133.2, XP_039306295.1, XP_039307933.1, XP_025996623.2, XP_039303039.1, XP_039302948.1, XP_039302079.1, XP_039315232.1	NP_001245670.1
OG0000072	XP_011174276.1, XP_039303571.1	NP_663311.1
OG0000073	XP_025995879.2, XP_025994688.1, XP_039309614.1, XP_011166088.3	NP_648529.1
OG0000074	XP_025985929.1	NP_536776.2
OG0000077	XP_039302621.1, XP_039302625.1, XP_039315173.1, XP_039315174.1, XP_039315175.1, XP_039310516.1, XP_039315171.1, XP_039315172.1, XP_039302627.1, XP_039302624.1, XP_039306266.1, XP_039309147.1, XP_039309148.1, XP_039309146.1, XP_039306562.1, XP_039306405.1, XP_039303879.1, XP_039303880.1, XP_039308266.1, XP_039308272.1	NP_001137778.2, NP_001259986.1
OG0000077	XP_039304084.1, XP_039313109.1, XP_011160421.1, XP_039312541.1, XP_039312459.1, XP_039312511.1, XP_039312512.1, XP_039312737.1, XP_039312644.1, XP_025993195.1	NP_001015405.3
OG0000080	XP_039313662.1, XP_011161097.1, XP_011161096.1	NP_001262255.1
OG0000080	XP_011173727.1	NP_001262254.1
OG0000082	XP_011158501.1, XP_039315682.1, XP_039315686.1, XP_039315687.1, XP_039315688.1, XP_039315689.1, XP_039315684.1, XP_039315685.1, XP_011158493.1, XP_011158531.2	NP_001260835.1, NP_648293.1, NP_725122.2, NP_611364.2, NP_609726.1, NP_572219.1
OG0000085	XP_025987478.1, XP_025987477.1	NP_651221.1
OG0000086	XP_039314702.1, XP_039314703.1, XP_039314704.1, XP_039314705.1, XP_025990739.2	NP_651662.1, NP_651661.1, NP_001287578.1, NP_611736.1, NP_001033953.1
OG0000086	XP_011160046.2, XP_039311358.1, XP_039311357.1, XP_025989233.2	NP_650254.1, NP_001246901.1, NP_001368950.1, NP_001097766.1
OG0000087	XP_025989498.1, XP_011170042.2	NP_001261716.1
OG0000088	XP_025996218.1, XP_039311698.1	NP_476589.4
OG0000089	XP_039308778.1, XP_011166981.2, XP_011166985.2	NP_001162840.1, NP_001259800.1
OG0000091	XP_011175219.1, XP_011175223.1, XP_011175233.1	NP_524957.2, NP_524956.2, NP_001260209.1, NP_001356884.1, NP_001036345.1, NP_001163067.1, NP_001246154.1, NP_001163116.1, NP_610246.3, NP_524851.1, NP_524805.1, NP_609341.1, NP_001027395.1, NP_001036553.1, NP_610261.1, NP_524953.1, NP_524955.2, NP_610244.2
OG0000092	XP_011165503.1, XP_011175720.1, XP_011175721.1, XP_011175719.1, XP_011162964.1	NP_001262592.1
OG0000094	XP_039303166.1	NP_001284983.1, NP_651446.2, NP_650069.2
OG0000096	XP_011156409.1, XP_039313932.1	NP_726022.1, NP_001246550.1
OG0000096	XP_039306601.1	NP_611542.2
OG0000097	XP_025987027.1, XP_025987029.1, XP_039302265.1, XP_025987030.1, XP_025992182.1, XP_011159441.1	NP_524611.1
OG0000098	XP_025996352.1	NP_001260487.1
OG0000099	XP_039314446.1, XP_025989491.1, XP_025989492.2, XP_039314447.1, XP_011166692.1, XP_039301759.1, XP_039301757.1, XP_039301758.1, XP_039310390.1, XP_039314464.1, XP_039314463.1, XP_039311961.1, XP_039311641.1	NP_608954.1
OG0000099	XP_039314426.1	NP_001034071.1
OG0000099	XP_011164670.2	NP_651628.1
OG0000101	XP_011159599.3	NP_001286204.1, NP_610403.1, NP_609640.1
OG0000101	XP_025989569.1	NP_001285802.1, NP_001015212.1
OG0000102	XP_025989688.2, XP_025989699.1, XP_011164886.1, XP_011164887.1, XP_039303339.1, XP_039303337.1, XP_025989702.1, XP_025989701.1, XP_025989700.1, XP_011164888.1, XP_025989703.1	NP_609468.4, NP_001163660.1, NP_001027201.1, NP_730363.2
OG0000103	XP_011161395.1	NP_001303368.1
OG0000108	XP_025985914.1	NP_648918.1
OG0000109	XP_011157413.1, XP_011157412.1	NP_648392.1, NP_001245736.1
OG0000110	XP_025991740.2, XP_025991741.2, XP_039308312.1, XP_039308317.1, XP_039308316.1, XP_039308308.1, XP_039308309.1, XP_039308311.1, XP_039308310.1, XP_039308313.1, XP_039308315.1, XP_039308314.1	NP_788521.2, NP_729246.2, NP_729014.1
OG0000111	XP_039308795.1	NP_650264.1
OG0000113	XP_011169897.1, XP_011176341.1, XP_011176387.1	NP_650037.2, NP_649736.3, NP_001097703.1, NP_652649.1, NP_652648.1, NP_652650.2, NP_649737.1, NP_001138022.2, NP_650035.1, NP_001262348.1, NP_649688.1
OG0000114	XP_011161124.1	NP_572582.1, NP_651168.1, NP_524362.2, NP_001303421.1, NP_650380.2
OG0000115	NP_001291541.1, XP_011165645.2, XP_011165643.1, XP_011165649.2, XP_011165650.1	NP_001261040.1
OG0000117	XP_011157894.1	NP_001286115.1
OG0000117	XP_011170972.1, XP_011170971.1	NP_001262809.1
OG0000120	XP_011175144.2	NP_001260010.1, NP_001162947.1
OG0000122	XP_039310041.1	NP_001287102.1, NP_001163462.1, NP_649023.1
OG0000122	XP_039305859.1	NP_610807.3
OG0000123	XP_011169664.1	NP_001259925.1
OG0000124	XP_039302015.1	NP_001260435.1, NP_001245746.1
OG0000125	XP_011166830.1, XP_011166831.1, XP_039307624.1	NP_651172.1, NP_001097888.1
OG0000126	XP_011155410.1, XP_039309160.1, XP_039309158.1, XP_025990026.1, XP_025990027.1, XP_025990024.1	NP_477498.1, NP_996167.1
OG0000127	XP_011165176.1, XP_039307622.1, XP_025994182.1	NP_001261916.1
OG0000127	XP_039307613.1, XP_039307615.1	NP_477127.1
OG0000129	XP_039310447.1, XP_039310449.1, XP_039310448.1, XP_025991275.2, XP_025991277.2	NP_001188842.2
OG0000130	XP_039309465.1	NP_723165.2
OG0000130	XP_025991693.1, XP_025991692.1	NP_001014474.3
OG0000131	XP_011159624.1	NP_001259087.1
OG0000131	XP_011168548.1, XP_011168539.1	NP_001097667.1
OG0000132	XP_039305040.1, XP_011175354.1	NP_001245934.1, NP_001137808.1, NP_609121.2
OG0000132	XP_011162113.1	NP_001245823.1, NP_724088.2, NP_724087.1
OG0000133	XP_025988235.1, XP_025988236.1, XP_039308247.1, XP_039308246.1	NP_001368939.1
OG0000134	XP_011160707.1	NP_525003.2
OG0000135	XP_011168086.1	NP_001286904.1
OG0000135	XP_025992521.1	NP_524655.1
OG0000136	XP_011168434.2, XP_011168435.1, XP_011168438.2, XP_039309206.1, XP_025989059.2, XP_011168437.1, XP_011168436.1, XP_011168451.1	NP_611126.1, NP_611131.2, NP_001285647.1, NP_001097337.1
OG0000137	XP_039302269.1, XP_011164282.1, XP_025987902.2, XP_011171988.2, XP_011171990.2, XP_011171989.2	NP_727460.1, NP_611465.2
OG0000138	XP_011156769.2	NP_001036303.2
OG0000139	XP_011163331.1, XP_011163323.1, XP_011163250.1, XP_011163312.2, XP_025992297.2, XP_039315649.1, XP_039315647.1, XP_039301829.1, XP_039315650.1, XP_039302240.1, XP_039302238.1, XP_039302239.1, XP_025994094.1, XP_039304648.1, XP_039304661.1, XP_039304659.1, XP_039304653.1, XP_039304655.1, XP_039304654.1, XP_039304658.1, XP_039304657.1, XP_039304656.1, XP_039304652.1, XP_039304651.1, XP_039304649.1, XP_039304664.1, XP_039304665.1, XP_039304663.1, XP_039304662.1	NP_651882.1
OG0000141	XP_011172931.2	NP_001287037.1
OG0000141	XP_011173169.1	NP_724101.4
OG0000143	XP_011158940.1, XP_011158941.1	NP_001259687.1
OG0000144	XP_011155485.2, XP_011155484.1	NP_001287042.1, NP_649034.3, NP_524065.1, NP_001261825.1, NP_511138.2, NP_001285556.1, NP_523868.1
OG0000145	XP_039310475.1, XP_039310474.1, XP_025989810.1	NP_651930.2
OG0000146	XP_011158610.1	NP_648843.1
OG0000146	XP_011157598.1	NP_610294.1
OG0000147	XP_039307845.1, XP_025987816.1, XP_039314750.1	NP_001245762.1
OG0000149	XP_011168700.1	NP_648425.1
OG0000149	XP_039303906.1, XP_011168707.2, XP_011168703.2, XP_011168705.2, XP_011168706.2, XP_011168701.2	NP_647686.1
OG0000150	XP_011156682.1, XP_025991203.1, XP_011156666.1, XP_011156673.1, XP_025991204.1	NP_001246198.1
OG0000151	XP_011167344.2	NP_001287124.1
OG0000152	XP_011159593.1, XP_011159592.1	NP_001260743.1
OG0000153	XP_025991417.2	NP_001261584.1
OG0000154	XP_039306572.1, XP_011172804.1, XP_039306683.1	NP_001262752.1, NP_730301.3, NP_611464.3, NP_728408.3, NP_788912.3, NP_001259763.1
OG0000156	XP_039313051.1, XP_039313052.1, XP_011167313.1, XP_011167314.1, XP_011167312.1	NP_647767.1
OG0000157	XP_039311111.1, XP_039311110.1	NP_787956.1, NP_608518.1, NP_608517.1, NP_001285871.1, NP_001285870.1, NP_650703.1
OG0000158	XP_039312830.1, XP_011168943.1, XP_011168955.1, XP_039312827.1	NP_648354.1
OG0000160	XP_025995468.2	NP_001034016.1, NP_649019.2
OG0000160	XP_039307899.1	NP_649428.1
OG0000161	XP_011171818.2, XP_011157167.1, XP_011171836.1	NP_001261749.1, NP_788501.1
OG0000162	XP_011158164.1	NP_001285015.1
OG0000162	XP_025990139.1	NP_001262916.1
OG0000164	XP_011175603.2, XP_039313027.1	NP_001137966.2, NP_649013.3, NP_649012.2, NP_001260346.1
OG0000165	XP_011162664.1, XP_011162665.1, XP_025987522.1, XP_025987521.1	NP_001245593.1
OG0000165	XP_011173553.1	NP_001284986.1
OG0000166	XP_025986750.2, XP_025986751.2, XP_039305072.1, XP_039305077.1	NP_001097498.1
OG0000168	XP_025989788.2	NP_001261500.1
OG0000171	XP_011160261.1, XP_039309768.1, XP_011160941.1, XP_039309770.1, XP_011160937.1, XP_011160936.1	NP_609310.2, NP_609309.1
OG0000173	XP_025993243.1, XP_011165836.1, XP_039304290.1, XP_011165837.1, XP_011165835.1	NP_001247239.1
OG0000174	XP_025991237.1, XP_025991236.1, XP_025991235.1, XP_025991234.1, XP_025991233.1, XP_039302167.1, XP_039302166.1	NP_725682.2, NP_001286533.1, NP_611218.1
OG0000175	XP_039302006.1, XP_039302007.1, XP_011157853.1	NP_001163218.1
OG0000177	XP_025993788.1	NP_001261827.1
OG0000177	XP_011167661.1	NP_001261829.1
OG0000178	XP_011165136.1	NP_001356914.1
OG0000179	XP_011164111.1	NP_523366.2, NP_648697.1
OG0000180	XP_011166951.1, XP_011166952.1, XP_025986052.1, XP_025986051.1	NP_001027161.1
OG0000182	XP_011171027.1, XP_039307169.1, XP_039307168.1, XP_039307167.1, XP_039307166.1, XP_025991013.1	NP_001163460.1
OG0000183	XP_011173713.1, XP_011173715.1	NP_001287555.1
OG0000183	XP_025992667.1	NP_524074.1
OG0000184	XP_039308158.1, XP_039308138.1, XP_039308136.1	NP_995642.1, NP_523504.2, NP_001162633.1
OG0000185	XP_011158491.1, XP_011158492.1	NP_001259439.1
OG0000186	XP_039303622.1, XP_025989743.2, XP_011172186.2, XP_039302616.1, XP_011172178.2, XP_011172155.1, XP_025989742.2, XP_011172133.1	NP_573320.1
OG0000187	XP_039309150.1, XP_011165088.1, XP_011165087.1	NP_001188856.1
OG0000188	XP_011168465.1	NP_524551.2, NP_476974.1
OG0000189	XP_011170993.1, XP_039306223.1	NP_608557.4, NP_523485.3, NP_523484.2, NP_001036373.1
OG0000190	XP_011166168.1, XP_039304064.1, XP_025988559.1	NP_732717.1
OG0000191	XP_039315120.1, XP_011164616.2	NP_001036260.3, NP_996138.2, NP_611672.1, NP_573169.2, NP_001246909.1, NP_477232.1, NP_648125.3
OG0000192	XP_039310511.1, XP_039310512.1, XP_039310513.1, XP_039310514.1, XP_025989114.2, XP_025989113.2, XP_011155855.2	NP_611994.3
OG0000194	XP_039304800.1	NP_648207.1
OG0000196	XP_039306717.1, XP_011171411.1, XP_011171412.1, XP_039306716.1	NP_001261758.1
OG0000196	XP_011161482.2	NP_730938.1
OG0000197	XP_011157191.1	NP_001287082.1
OG0000198	XP_011163990.2, XP_039313887.1, XP_025994493.1	NP_611747.2
OG0000200	XP_011170758.1	NP_001262796.1
OG0000200	XP_011168061.1, XP_011168064.1	NP_001259616.1
OG0000201	XP_025990401.2	NP_649026.1
OG0000201	XP_039308817.1, XP_011165064.3, XP_039308820.1, XP_011165062.1, XP_011165070.2, XP_011165069.2	NP_730973.1, NP_001262292.1, NP_649563.1, NP_730974.1, NP_569875.2
OG0000202	XP_025993071.1	NP_001260674.1
OG0000203	XP_011160113.1, XP_011160112.1	NP_001369023.1, NP_001287406.1, NP_650804.2, NP_650803.1
OG0000203	XP_011168468.1, XP_039309884.1	NP_648067.2
OG0000204	XP_011157986.2, XP_039310926.1, XP_039310928.1, XP_039310930.1, XP_039310927.1, XP_025986662.2, XP_025986663.1, XP_011157989.1, XP_039310924.1, XP_025986661.1, XP_011157991.1, XP_011156232.2	NP_001188590.1
OG0000205	XP_011168746.1, XP_039308307.1	NP_001097505.1
OG0000206	XP_025988777.2, XP_039314221.1, XP_039314222.1	NP_650893.2
OG0000206	XP_039314588.1, XP_039314587.1, XP_039314586.1, XP_039302134.1, XP_039302063.1, XP_011172221.2, XP_011172346.2, XP_025993307.2	NP_001097707.1, NP_001287222.1
OG0000207	XP_025996998.1	NP_001286310.1, NP_001287091.1
OG0000207	XP_011156648.1, NP_001291516.1	NP_001246139.1
OG0000208	XP_011156625.1	NP_001137606.1
OG0000209	XP_011160517.1, XP_011160520.1	NP_001163199.1
OG0000212	XP_011175849.1, XP_011175847.2	NP_611810.1, NP_788433.2, NP_611812.2, NP_001261154.1
OG0000213	XP_039307097.1, XP_039307100.1, XP_039307098.1, XP_039307099.1, XP_039307096.1	NP_648589.1
OG0000214	XP_011162082.1	NP_001260290.1
OG0000214	XP_025990048.1, XP_025990047.1	NP_001247324.1
OG0000215	XP_025993451.1, XP_039314411.1, XP_011167858.1, XP_011167862.1, XP_039314414.1, XP_039314413.1, XP_011167867.1, XP_039314640.1	NP_649139.1
OG0000216	XP_011163750.1	NP_524598.1, NP_001262008.1, NP_572780.3, NP_573003.2, NP_001284806.1, NP_647723.2, NP_609129.2, NP_523961.2, NP_648129.2, NP_525044.1
OG0000217	XP_011155464.2	NP_608323.1, NP_608322.1, NP_650959.2, NP_001286373.1, NP_651158.1, NP_996269.2, NP_651160.3, NP_651159.3, NP_001259710.1, NP_608590.2, NP_001285060.1
OG0000218	XP_011160002.1, XP_011160001.1, XP_011160003.1, XP_011160000.1	NP_649086.2
OG0000219	XP_011168754.1, XP_011168753.1, XP_011168751.1, XP_011168750.1, XP_011168748.1	NP_610764.1
OG0000220	XP_039306555.1, XP_039306557.1, XP_039306558.1, XP_039306556.1, XP_039306554.1, XP_011172901.1	NP_650528.1
OG0000221	XP_025986297.1	NP_001036320.3
OG0000223	XP_011166243.1	NP_523986.2
OG0000223	XP_011158143.1	NP_524142.2, NP_524141.1
OG0000224	XP_011167331.2, XP_025988662.1, XP_011167330.1, XP_025988660.1	NP_647862.1, NP_728942.1
OG0000225	XP_011163590.1, XP_011163589.1, XP_039304922.1, XP_011163592.1	NP_536756.1
OG0000226	XP_039305990.1, XP_011165709.2, XP_039305989.1, XP_025988432.1, XP_025988435.1	NP_001356958.1
OG0000226	XP_025988429.1	NP_611241.2
OG0000227	XP_025988617.1, XP_025988616.1	NP_001262022.1
OG0000229	XP_011167118.1	NP_726223.1, NP_001303360.1, NP_001246468.1
OG0000230	XP_039310937.1, XP_011157985.1	NP_001286852.1
OG0000231	XP_039311197.1, XP_025994418.1, XP_025994419.1, XP_025994417.1	NP_650028.1, NP_650029.1, NP_001285882.1
OG0000232	XP_011161208.1, XP_011161207.1	NP_001303567.1
OG0000233	XP_011165376.2, XP_011165374.2, XP_011165377.1, XP_011165378.1, XP_011165383.1, XP_025993530.1, XP_011165381.1, XP_011165400.1, XP_025993534.2	NP_001284927.1, NP_572297.1, NP_727067.1, NP_572298.1
OG0000234	XP_039301750.1, XP_039301749.1, XP_025986027.1, XP_025986025.2, XP_025986029.1, XP_025986030.1, XP_025986032.1, XP_025986033.1, XP_025986034.1, XP_025992614.1, XP_011166748.1, XP_039301747.1, XP_011166749.1, XP_011166747.1, XP_011166745.1, XP_011166746.1	NP_726740.1, NP_649880.1, NP_649881.1
OG0000235	XP_039301746.1, XP_011176069.1, XP_011176072.1, XP_011176068.1	NP_001261046.1
OG0000236	XP_025993904.1	NP_524368.5
OG0000237	XP_025992756.2	NP_523862.1
OG0000239	XP_011164898.1, XP_011164905.1, XP_039315084.1, XP_039313572.1, XP_025986634.2, XP_025986633.2, XP_025986632.2	NP_733091.1, NP_611452.2, NP_001285793.1, NP_651369.1, NP_001027211.3, NP_001287526.1, NP_651371.1, NP_733121.1, NP_651372.1, NP_651370.2, NP_001262006.1, NP_001260130.1, NP_569859.1, NP_609015.2, NP_573269.1
OG0000241	XP_011175763.2	NP_001097059.1, NP_647821.2, NP_001285749.1
OG0000243	XP_039301690.1, XP_039301691.1, XP_011170229.2, XP_039312287.1, XP_039312290.1, XP_011163953.1, XP_039304163.1, XP_011166868.1, XP_011166866.1, XP_011166867.2	NP_608584.1, NP_523761.2
OG0000244	XP_039306518.1, XP_011175201.1, XP_011175202.1	NP_610117.1
OG0000245	XP_011162616.1	NP_476812.1, NP_610443.1, NP_524760.1
OG0000246	XP_011161827.1, XP_039303228.1	NP_724163.1
OG0000246	XP_039302793.1, XP_039302661.1	NP_476592.1
OG0000247	XP_011173011.1	NP_649833.1, NP_648548.1
OG0000249	XP_011156910.2, XP_039306219.1, XP_011156908.1, XP_011174006.1	NP_572996.1
OG0000250	XP_011161725.1, XP_025995993.1, XP_025995992.1, XP_011156530.2, XP_039308592.1	NP_650508.1, NP_001285102.1
OG0000252	XP_025997250.1	NP_730950.2
OG0000253	XP_039309534.1	NP_001263132.1
OG0000254	XP_011166638.1	NP_732295.1
OG0000254	XP_011155529.1	NP_001368946.1
