Orthogroup	Solenopsis_invicta	Aedes_aegypti
OG0000016	XP_025994129.1, XP_039306761.1, XP_039313966.1, XP_039309074.1, XP_039304382.1, XP_039314252.1, XP_039306750.1, XP_039304356.1, XP_039301762.1, XP_039309915.1, XP_039303543.1, XP_039303418.1, XP_039303421.1, XP_039309887.1, XP_039304375.1, XP_039308808.1, XP_025991342.1, XP_039308631.1, XP_039309201.1, XP_039311133.1, XP_011174804.3, XP_011171157.1, XP_011170184.2, XP_039310366.1, XP_039313041.1, XP_011159853.1, XP_011171075.1, XP_039313514.1, XP_025997160.1, XP_039303210.1, XP_025996227.1, XP_039315353.1	XP_021712581.1, XP_021694278.1, XP_021695205.1
OG0000017	XP_039311373.1, XP_025996377.1	XP_001658009.2, XP_021693938.1, XP_001658007.2
OG0000018	XP_025993846.1, XP_039312756.1	XP_021697392.1, XP_021697390.1, XP_021697387.1, XP_021697388.1, XP_021697389.1, XP_021697393.1
OG0000018	XP_011168181.2, XP_011168177.2	XP_021706785.1, XP_021706786.1, XP_021706787.1, XP_021706788.1, XP_001651693.2
OG0000018	XP_039312480.1, XP_039312479.1	XP_021706781.1
OG0000019	XP_025990211.2	XP_021694331.1, XP_021694068.1
OG0000019	XP_011158633.2	XP_001663502.2, XP_001663504.2
OG0000019	XP_025993384.1, XP_025996194.1, XP_039304954.1, XP_011171050.2, XP_011171052.2, XP_039306693.1, XP_011163180.2, XP_039309449.1, XP_025993961.1, XP_025987780.2, XP_025987781.2, XP_025987782.2, XP_039314384.1, XP_039314385.1, XP_011155421.1, XP_025990075.1, XP_039308626.1	XP_001651730.2, XP_001662493.2, XP_001662497.2, XP_001662494.2, XP_021694070.1, XP_001662317.1, XP_001650036.2, XP_001662495.2
OG0000020	XP_011159576.2	XP_021703507.1, XP_021703506.1, XP_021703509.1, XP_001651414.2, XP_021703508.1, XP_021700207.1, XP_021700205.1, XP_021700206.1, XP_021700209.1, XP_021700211.1, XP_021700210.1
OG0000020	XP_025986409.1	XP_021703504.1
OG0000020	XP_025987337.1	XP_021700919.1, XP_001650147.2
OG0000020	XP_025991589.1	XP_021706790.1
OG0000020	XP_011157847.1	XP_021699908.1
OG0000021	XP_011158408.1, XP_011158409.1, XP_011158407.1, XP_039314153.1	XP_001654997.1, XP_021710336.1, XP_021710335.1
OG0000021	XP_011159438.1	XP_021699404.1
OG0000022	XP_011166335.1	XP_021705289.1, XP_021705290.1, XP_021705016.1, XP_001657264.1, XP_001657267.1, XP_021705823.1, XP_021705017.1, XP_021705021.1, XP_021706527.1, XP_021706530.1, XP_021706531.1, XP_021706558.1, XP_021706529.1, XP_021706526.1, XP_021706571.1, XP_021706528.1, XP_021705296.1, XP_001657271.1, XP_001657278.1, XP_021706534.1, XP_021706548.1, XP_001652489.1, XP_001656988.1, XP_021706565.1, XP_021706568.1
OG0000026	XP_011175708.1, XP_039313524.1, XP_039313525.1, XP_039313526.1, XP_025989861.1, XP_039313527.1	XP_021706420.1
OG0000027	XP_011156268.1	XP_021705028.1, XP_001663888.1, XP_021706536.1
OG0000029	XP_011175216.3, XP_011175277.3	XP_001654720.1, XP_021711708.1, XP_021704638.1, XP_021712736.1, XP_001654721.1, XP_021693569.1, XP_001660358.1, XP_001657546.2, XP_001660353.1, XP_001660356.1, XP_001660354.2, XP_001660359.1, XP_001660349.1, XP_021693574.1, XP_001660357.1, XP_001650809.1
OG0000029	XP_025987625.1	XP_001664018.2
OG0000029	XP_025994361.1	XP_021704637.1, XP_021704641.1, XP_021712735.1
OG0000030	XP_025986100.1	XP_001658050.1
OG0000032	XP_025991246.2	XP_021705631.1, XP_021705632.1, XP_021705633.1, XP_021705630.1
OG0000032	XP_011159466.2, XP_011165027.1, XP_011165031.2, XP_011165029.2, XP_011165028.2	XP_001652526.1, XP_021707253.1, XP_001652524.1, XP_001652523.2, XP_021707252.1, XP_001652525.1, XP_001652527.2, XP_001652528.2, XP_001652520.1, XP_021708318.1, XP_001662930.2, XP_021709531.1
OG0000033	XP_025997304.2, XP_039310411.1, XP_039302735.1, XP_039308530.1, XP_011156674.1, XP_039308575.1, XP_025996780.1, XP_039303526.1	XP_021707816.1
OG0000033	XP_025996388.2	XP_021705680.1, XP_021704128.1
OG0000033	XP_039311284.1, XP_039302324.1, XP_039305808.1, XP_039315262.1, XP_039315453.1	XP_021702767.1
OG0000035	XP_039312187.1	XP_001650274.2, XP_001662128.2
OG0000036	XP_011166052.2, XP_011166051.2, XP_011166050.1, XP_011166049.1	XP_021695536.1
OG0000037	XP_011161783.1	XP_021698956.1, XP_021698957.1, XP_021698955.1, XP_001655400.1, XP_001659628.2, XP_001654516.2, XP_001650153.1, XP_001659658.1, XP_001650182.1, XP_001659653.2, XP_001659654.2, XP_001659610.1, XP_001647747.1, XP_001659651.2, XP_001659656.2, XP_001659657.1
OG0000038	XP_011172049.1	XP_001652144.1, XP_001663407.1
OG0000040	XP_011164376.1, XP_011164378.1, XP_011157958.2, XP_011160398.1, XP_011156988.3, XP_011156956.1, XP_039307920.1	XP_001659969.2, XP_001659962.1
OG0000040	XP_039308303.1, XP_011155953.3, XP_025987097.2, XP_039308361.1, XP_039303181.1, XP_011155958.2, XP_025987203.2, XP_011170816.1	XP_021698609.1, XP_021698904.1, XP_001661388.1, XP_021698905.1, XP_021709866.1, XP_001654842.2, XP_001662080.2, XP_001662079.2, XP_001662078.2, XP_001658738.1, XP_001652121.2, XP_001662077.2, XP_001662076.1
OG0000041	XP_011173741.1	XP_001655176.1, XP_001655175.1
OG0000041	XP_011173634.1, XP_011173641.1	XP_001659963.1
OG0000041	XP_011167847.1	XP_001649531.1
OG0000042	XP_025993436.2, XP_025988401.1, XP_025988400.1	XP_021693433.1
OG0000043	XP_011166108.1	XP_001660749.1
OG0000044	XP_039306340.1, XP_025986513.2, XP_025986454.1	XP_001662886.2, XP_021704584.1, XP_021704583.1, XP_021704585.1, XP_001658981.2, XP_001659766.2, XP_001662888.1, XP_021693815.1, XP_001662885.2, XP_021693817.1, XP_001651477.2
OG0000044	XP_025986451.2, XP_025986364.1, XP_025986365.1, XP_025986366.1, XP_025986367.1	XP_021712943.1
OG0000045	XP_011157503.2, XP_011156768.2, XP_025992324.2	XP_001660907.2, XP_021707666.1, XP_001660908.1, XP_001660906.2, XP_001660189.2, XP_001649784.1, XP_001649787.1, XP_001649783.1, XP_001649786.1, XP_001649788.1, XP_001656785.2
OG0000046	XP_011168512.1	XP_021707218.1, XP_011493320.1, XP_021711730.1, XP_021711729.1, XP_021711733.1, XP_021711731.1
OG0000046	XP_011168531.1, XP_039310878.1, XP_039310880.1, XP_039310879.1	XP_021707697.1
OG0000047	XP_039311272.1, XP_039307231.1, XP_039307232.1, XP_025997124.1, XP_039305177.1, XP_039308536.1, XP_039308537.1, XP_039302440.1, XP_039313115.1, XP_025995702.2, XP_011168112.2, XP_039314092.1, XP_039314091.1, XP_039305683.1, XP_039315307.1, XP_039309942.1	XP_021713287.1, XP_021713290.1, XP_021698064.1, XP_021698875.1, XP_021705066.1, XP_021697550.1
OG0000050	XP_039305304.1, XP_039305308.1, XP_039305204.1, XP_011163179.1, XP_039310190.1, XP_025987483.2, XP_039310191.1	XP_001654509.1, XP_011493543.2, XP_001650372.3, XP_001648942.1, XP_001655125.2, XP_021711298.1, XP_001656532.2, XP_021712588.1, XP_001656533.1, XP_021711977.1, XP_021712587.1, XP_001656534.2, XP_021712580.1, XP_001656535.1, XP_021712578.1, XP_001656536.1, XP_021712579.1, XP_021712589.1, XP_001656537.1
OG0000052	XP_011160846.1	XP_001653763.1
OG0000052	XP_025995966.1	XP_021711564.1
OG0000053	XP_039309233.1	XP_021695319.1, XP_021692971.1, XP_021711432.1
OG0000054	XP_011164215.1, XP_011164214.2	XP_001661677.2, XP_001657098.2, XP_001663703.1, XP_001663705.1, XP_001658209.1, XP_001658210.1, XP_001663706.1, XP_001663702.2
OG0000055	XP_039311167.1	XP_021695325.1, XP_021695326.1, XP_001650510.1, XP_021695322.1, XP_021695324.1, XP_021695323.1
OG0000055	XP_039311121.1	XP_001654841.2
OG0000056	XP_039301684.1, XP_025992809.2	XP_021702305.1
OG0000056	XP_011167471.3	XP_021704129.1
OG0000057	XP_011165693.1	XP_001656025.1
OG0000057	XP_011161996.1, XP_011165691.1	XP_021701591.1
OG0000057	XP_011165692.1	XP_001656026.2
OG0000059	XP_025993817.1	XP_021708124.1
OG0000059	XP_039302107.1, XP_039302911.1, XP_025995022.2	XP_021711752.1, XP_021706436.1, XP_021695266.1, XP_021695996.1, XP_021694735.1
OG0000059	XP_039304379.1, XP_011171889.2	XP_021694291.1
OG0000060	XP_011166599.1, XP_039312995.1, XP_039313020.1	XP_001663993.2
OG0000060	XP_011166588.1, XP_039313855.1, XP_039313856.1	XP_021710092.1, XP_021710091.1, XP_001652667.1
OG0000061	XP_039302873.1, XP_039310102.1	XP_021693614.1, XP_021693615.1, XP_021693616.1
OG0000061	XP_039311104.1	XP_001664194.1, XP_001664195.2, XP_001661118.2
OG0000062	XP_025989351.2	XP_001661011.1, XP_001663492.1, XP_001663494.1, XP_001661010.2, XP_001663490.2, XP_001663495.1, XP_021698193.1, XP_001663497.1, XP_001663499.2
OG0000063	XP_039310558.1, XP_039310562.1, XP_039314694.1, XP_039304383.1, XP_011171114.2, XP_039303555.1, XP_025989898.1, XP_011171877.1, XP_039306356.1, XP_039309572.1, XP_039315364.1	XP_021706514.1, XP_021712878.1
OG0000065	XP_011161811.1, XP_039309142.1, XP_025991903.1, XP_011161836.1, XP_011161820.1	XP_011493201.1
OG0000065	XP_039308740.1, XP_011176028.1, XP_011176027.2, XP_039307834.1, XP_039307956.1, XP_011165754.1, XP_039313781.1, XP_039313721.1, XP_039307833.1, XP_039313722.1, XP_011164020.1, XP_039307832.1, XP_039307645.1, XP_039308148.1, XP_025994478.1	XP_011493637.2, XP_011493079.2, XP_011493699.2, XP_021699125.1
OG0000066	XP_039309173.1	XP_021704301.1
OG0000067	XP_011168949.1	XP_001653435.1
OG0000067	XP_011157858.1, XP_025991420.1	XP_001653950.2, XP_001654592.2
OG0000067	XP_025989655.1	XP_001661370.1, XP_021698916.1
OG0000068	XP_025993298.2, XP_039312003.1, XP_039302002.1, XP_039301996.1, XP_039309209.1, XP_039310968.1, XP_039315494.1, XP_039308060.1, XP_025992133.2, XP_039306295.1, XP_039307933.1, XP_025996623.2, XP_039303039.1, XP_039302948.1, XP_039302079.1, XP_039315232.1	XP_021712444.1, XP_021694306.1
OG0000071	XP_039312667.1, XP_025987085.2, XP_039303086.1, XP_039302962.1	XP_021703680.1, XP_021702229.1, XP_021694311.1, XP_021706464.1, XP_021703997.1, XP_021695236.1, XP_021701192.1, XP_021709271.1, XP_021695636.1, XP_021710570.1, XP_021708727.1, XP_021702221.1, XP_021706502.1, XP_021694267.1
OG0000071	XP_039304072.1, XP_039304071.1, XP_039304070.1	XP_021696059.1
OG0000074	XP_025985929.1	XP_021707386.1
OG0000077	XP_039302621.1, XP_039302625.1, XP_039315173.1, XP_039315174.1, XP_039315175.1, XP_039310516.1, XP_039315171.1, XP_039315172.1, XP_039302627.1, XP_039302624.1, XP_039306266.1, XP_039309147.1, XP_039309148.1, XP_039309146.1, XP_039306562.1, XP_039306405.1, XP_039303879.1, XP_039303880.1, XP_039308266.1, XP_039308272.1	XP_001658180.2
OG0000077	XP_039304084.1, XP_039313109.1, XP_011160421.1, XP_039312541.1, XP_039312459.1, XP_039312511.1, XP_039312512.1, XP_039312737.1, XP_039312644.1, XP_025993195.1	XP_001654967.2, XP_001654963.2, XP_021703368.1, XP_001659008.2
OG0000079	XP_025987036.2	XP_001662329.1
OG0000080	XP_039313662.1, XP_011161097.1, XP_011161096.1	XP_021693685.1
OG0000082	XP_011158501.1, XP_039315682.1, XP_039315686.1, XP_039315687.1, XP_039315688.1, XP_039315689.1, XP_039315684.1, XP_039315685.1, XP_011158493.1, XP_011158531.2	XP_021710856.1, XP_021710857.1, XP_021710858.1, XP_021710859.1, XP_001657071.2, XP_021705242.1, XP_021705991.1, XP_001657061.2, XP_021707062.1, XP_021711080.1
OG0000085	XP_025987478.1, XP_025987477.1	XP_001657682.1, XP_021712292.1, XP_001657680.2, XP_021712303.1, XP_001657679.2, XP_021712327.1, XP_021693916.1, XP_021693917.1
OG0000086	XP_039314702.1, XP_039314703.1, XP_039314704.1, XP_039314705.1, XP_025990739.2	XP_021701219.1
OG0000086	XP_011160046.2, XP_039311358.1, XP_039311357.1, XP_025989233.2	XP_021694055.1, XP_001658786.2, XP_001658476.2, XP_001661765.2, XP_001658478.3, XP_001658781.1, XP_021696093.1, XP_021696094.1, XP_001661116.2, XP_001661117.2
OG0000087	XP_025989498.1, XP_011170042.2	XP_001648461.1, XP_001648458.1
OG0000088	XP_025996218.1, XP_039311698.1	XP_021702205.1
OG0000089	XP_039308778.1, XP_011166981.2, XP_011166985.2	XP_001654187.2
OG0000091	XP_011175219.1, XP_011175223.1, XP_011175233.1	XP_021699738.1
OG0000092	XP_011165503.1	XP_021707375.1
OG0000092	XP_011162964.1	XP_021709998.1, XP_001655951.1
OG0000094	XP_039302038.1, XP_039302037.1, XP_039302036.1, XP_025991363.1	XP_021702456.1, XP_001660396.2
OG0000094	XP_039303166.1	XP_001651974.1, XP_001652484.1, XP_001656201.1
OG0000095	NP_001291530.1, XP_039307299.1, XP_039307298.1, XP_011156878.1, XP_039307311.1, NP_001291531.1, XP_039312645.1, XP_039304610.1, XP_039304261.1, XP_039304262.1, XP_025997578.1, XP_039304282.1	XP_001649682.2
OG0000096	XP_011156409.1, XP_039313932.1	XP_001656233.2, XP_001663568.1, XP_021707618.1, XP_001662520.2, XP_021697666.1, XP_021697668.1, XP_021697665.1
OG0000096	XP_039306601.1	XP_021710758.1, XP_021710759.1, XP_001663099.2, XP_021698426.1, XP_001663097.2
OG0000097	XP_025987027.1, XP_025987029.1, XP_039302265.1, XP_025987030.1, XP_025992182.1, XP_011159441.1	XP_021709275.1, XP_021709276.1, XP_011493325.1, XP_021709274.1
OG0000098	XP_025996352.1	XP_001660410.1
OG0000099	XP_039314446.1, XP_025989491.1, XP_025989492.2, XP_039314447.1, XP_011166692.1, XP_039301759.1, XP_039301757.1, XP_039301758.1, XP_039310390.1, XP_039314464.1, XP_039314463.1, XP_039311961.1, XP_039311641.1	XP_021708064.1, XP_021708068.1, XP_021708072.1
OG0000099	XP_039314426.1	XP_001650952.2
OG0000099	XP_011164670.2	XP_021710287.1
OG0000101	XP_011159599.3	XP_001652481.1
OG0000101	XP_025989569.1	XP_021705368.1, XP_001655706.1, XP_021704385.1, XP_021706472.1, XP_001655711.1
OG0000102	XP_025989688.2, XP_025989699.1, XP_011164886.1, XP_011164887.1, XP_039303339.1, XP_039303337.1, XP_025989702.1, XP_025989701.1, XP_025989700.1, XP_011164888.1, XP_025989703.1	XP_001654053.1, XP_021698700.1, XP_021698701.1, XP_021698703.1, XP_021698702.1, XP_021698704.1, XP_021698696.1, XP_021698697.1, XP_021698698.1, XP_021698699.1, XP_021698692.1, XP_021698693.1, XP_021698694.1, XP_001654056.2, XP_001654054.2
OG0000103	XP_011161395.1	XP_001661506.1
OG0000108	XP_025985914.1	XP_001650340.2, XP_021698830.1, XP_001659854.2, XP_021694990.1, XP_021698831.1, XP_021698828.1
OG0000109	XP_011157413.1, XP_011157412.1	XP_021709303.1
OG0000110	XP_025991740.2, XP_025991741.2, XP_039308312.1, XP_039308317.1, XP_039308316.1, XP_039308308.1, XP_039308309.1, XP_039308311.1, XP_039308310.1, XP_039308313.1, XP_039308315.1, XP_039308314.1	XP_021711612.1, XP_021711613.1
OG0000111	XP_039308795.1	XP_021704753.1
OG0000112	XP_025989590.2	XP_001656354.2, XP_021704950.1, XP_021704946.1, XP_001656353.2, XP_021704942.1
OG0000113	XP_011169897.1, XP_011176341.1, XP_011176387.1	XP_021706759.1, XP_021708730.1, XP_021699104.1, XP_021711742.1, XP_021704959.1, XP_001659002.1, XP_001664257.2, XP_001664258.1, XP_021712497.1, XP_001658997.1, XP_001659000.1, XP_001658999.1, XP_021712496.1, XP_001659001.1, XP_001659007.1
OG0000114	XP_011161124.1	XP_001650347.2, XP_001647864.2, XP_001647865.1, XP_001647870.2, XP_001650899.2, XP_001647873.3, XP_001647872.2, XP_001650301.1
OG0000114	XP_039314478.1, XP_011172282.1, XP_025993302.2, XP_025993279.1, XP_039314479.1	XP_001656658.2
OG0000115	NP_001291541.1, XP_011165645.2, XP_011165643.1, XP_011165649.2, XP_011165650.1	XP_021711348.1
OG0000116	XP_011158331.1, XP_039303768.1, XP_039303766.1	XP_021695569.1
OG0000117	XP_011157894.1	XP_001658273.1
OG0000117	XP_011170972.1, XP_011170971.1	XP_021708342.1, XP_021708343.1, XP_021708344.1, XP_021708345.1, XP_021708346.1
OG0000118	XP_011169789.1, XP_039310497.1	XP_021693048.1, XP_021707566.1, XP_021707125.1, XP_021697078.1, XP_021700766.1, XP_021698879.1
OG0000118	XP_039310529.1, XP_039312202.1, XP_039312203.1, XP_039302436.1, XP_011170400.3, XP_039306067.1	XP_021703512.1
OG0000118	XP_039312190.1, XP_039307181.1, XP_039307180.1, XP_039305761.1	XP_021693212.1
OG0000119	XP_039303820.1, XP_025988519.1, XP_011160452.1, XP_011160472.1, XP_039303816.1, XP_011160453.1, XP_011160457.2, XP_011160459.1, XP_011160469.1	XP_021699975.1, XP_021699973.1, XP_021699978.1, XP_021699974.1
OG0000120	XP_011175144.2	XP_021702687.1
OG0000121	XP_039309060.1	XP_021706922.1
OG0000121	XP_039311335.1, XP_025991788.2, XP_039303575.1	XP_021703681.1, XP_021707262.1, XP_021711713.1, XP_021696466.1, XP_021696467.1, XP_021712906.1, XP_021712905.1, XP_021694710.1
OG0000122	XP_039310041.1	XP_001650409.1, XP_021711773.1
OG0000122	XP_039305859.1	XP_021707885.1
OG0000123	XP_011169664.1	XP_001658691.1, XP_021703858.1, XP_021703857.1, XP_021703856.1, XP_021703860.1, XP_021703865.1, XP_021703863.1, XP_021703864.1, XP_021703861.1, XP_021703862.1, XP_021703859.1
OG0000124	XP_039302015.1	XP_021693241.1, XP_021693242.1, XP_021693243.1, XP_021693244.1, XP_021693245.1, XP_021693246.1, XP_021693247.1, XP_021693248.1
OG0000125	XP_011166830.1, XP_011166831.1, XP_039307624.1	XP_001657204.2
OG0000126	XP_011155410.1, XP_039309160.1, XP_039309158.1, XP_025990026.1, XP_025990027.1, XP_025990024.1	XP_021694197.1
OG0000127	XP_011165176.1, XP_039307622.1, XP_025994182.1	XP_021695483.1, XP_021695480.1, XP_021695481.1, XP_021695484.1
OG0000127	XP_039307613.1, XP_039307615.1	XP_021705806.1, XP_021705807.1, XP_001657917.3
OG0000129	XP_039310447.1, XP_039310449.1, XP_039310448.1, XP_025991275.2, XP_025991277.2	XP_021700581.1, XP_021700580.1, XP_021700583.1, XP_001650044.1, XP_021700585.1, XP_021700582.1, XP_021700584.1
OG0000130	XP_039309465.1	XP_021695251.1
OG0000130	XP_025991693.1, XP_025991692.1	XP_021700367.1
OG0000131	XP_011159624.1	XP_021705306.1
OG0000131	XP_011168548.1, XP_011168539.1	XP_021707624.1, XP_021707623.1, XP_021707625.1, XP_001652515.1
OG0000132	XP_039305040.1, XP_011175354.1	XP_001653225.3, XP_021709729.1, XP_021709728.1, XP_021709730.1, XP_021709732.1, XP_021709733.1, XP_021709734.1
OG0000132	XP_011162113.1	XP_021700410.1, XP_001660044.3, XP_001660042.3
OG0000133	XP_025988235.1, XP_025988236.1, XP_039308247.1, XP_039308246.1	XP_021702724.1, XP_021702723.1
OG0000134	XP_011160707.1	XP_001652277.1
OG0000135	XP_011168086.1	XP_021711278.1, XP_021711277.1, XP_001651832.2
OG0000135	XP_025992521.1	XP_021697743.1, XP_021697742.1, XP_001649900.1, XP_021697746.1, XP_021697744.1, XP_021697745.1
OG0000136	XP_011168434.2, XP_011168435.1, XP_011168438.2, XP_039309206.1, XP_025989059.2, XP_011168437.1, XP_011168436.1, XP_011168451.1	XP_021698234.1, XP_001663772.2, XP_001661186.2, XP_021701760.1, XP_021701761.1, XP_021701762.1, XP_001663776.1, XP_021712126.1, XP_001660827.1, XP_001656378.1, XP_001656375.1
OG0000137	XP_039302269.1, XP_011164282.1, XP_025987902.2, XP_011171988.2, XP_011171990.2, XP_011171989.2	XP_021710706.1, XP_021710707.1, XP_021710708.1, XP_021710709.1
OG0000138	XP_011156769.2	XP_021712084.1, XP_021694527.1
OG0000139	XP_011163331.1, XP_011163323.1, XP_011163250.1, XP_011163312.2, XP_025992297.2, XP_039315649.1, XP_039315647.1, XP_039301829.1, XP_039315650.1, XP_039302240.1, XP_039302238.1, XP_039302239.1, XP_025994094.1, XP_039304648.1, XP_039304661.1, XP_039304659.1, XP_039304653.1, XP_039304655.1, XP_039304654.1, XP_039304658.1, XP_039304657.1, XP_039304656.1, XP_039304652.1, XP_039304651.1, XP_039304649.1, XP_039304664.1, XP_039304665.1, XP_039304663.1, XP_039304662.1	XP_001663072.2
OG0000141	XP_011173169.1	XP_001663030.2
OG0000143	XP_011158940.1, XP_011158941.1	XP_021706097.1, XP_021706098.1, XP_021706096.1, XP_021706093.1, XP_021706094.1
OG0000144	XP_011155485.2, XP_011155484.1	XP_001663963.2, XP_001661466.2, XP_001659531.1, XP_021708224.1, XP_001657247.2, XP_021709081.1, XP_021705010.1, XP_001658835.2
OG0000145	XP_039310475.1, XP_039310474.1, XP_025989810.1	XP_001661017.2
OG0000146	XP_011158610.1	XP_001662762.1
OG0000146	XP_011157598.1	XP_001660580.2
OG0000147	XP_039307845.1, XP_025987816.1, XP_039314750.1	XP_021708848.1, XP_001659371.1
OG0000149	XP_011168700.1	XP_021701465.1
OG0000149	XP_039303906.1, XP_011168707.2, XP_011168703.2, XP_011168705.2, XP_011168706.2, XP_011168701.2	XP_021701466.1, XP_021701469.1, XP_021701468.1, XP_021701472.1, XP_021701467.1
OG0000150	XP_011156682.1, XP_025991203.1, XP_011156666.1, XP_011156673.1, XP_025991204.1	XP_021698126.1, XP_021698125.1, XP_021698128.1, XP_021698127.1
OG0000151	XP_011167344.2	XP_021697798.1
OG0000152	XP_011159593.1, XP_011159592.1	XP_001653160.1
OG0000153	XP_025991417.2	XP_021697591.1, XP_021697584.1, XP_021697583.1, XP_021697588.1, XP_021697587.1, XP_021697586.1, XP_021697585.1, XP_021697590.1, XP_021697589.1
OG0000154	XP_039306572.1, XP_011172804.1, XP_039306683.1	XP_001662815.2
