Orthogroup	Osmia_lignaria	Anopheles_gambiae
OG0000018	XP_034193265.1, XP_034193266.1, XP_034193267.1, XP_034193268.1	XP_558678.4, XP_551022.4, XP_321300.4
OG0000018	XP_034193261.1, XP_034193695.1, XP_034193694.1	XP_312930.5
OG0000019	XP_034176014.1	XP_321444.5
OG0000019	XP_034185441.1	XP_003436388.1, XP_312768.5, XP_314084.4, XP_312606.4
OG0000020	XP_034186694.1, XP_034186692.1	XP_314903.3, XP_554132.3
OG0000020	XP_034192547.1	XP_314904.3
OG0000020	XP_034171877.1	XP_001238085.2, XP_319101.4
OG0000020	XP_034185768.1	XP_312941.4
OG0000021	XP_034176195.1, XP_034176197.1, XP_034176196.1	XP_320239.4, XP_312638.5
OG0000021	XP_034184869.1	XP_003436878.1, XP_315178.5, XP_315182.5, XP_315184.4
OG0000021	XP_034181343.1	XP_321592.4
OG0000022	XP_034173512.1	XP_318363.4
OG0000022	XP_034187482.1	XP_318365.3
OG0000026	XP_034194425.1	XP_558069.3
OG0000026	XP_034181081.1	XP_321915.5
OG0000026	XP_034179246.1	XP_320025.4, XP_320023.4, XP_320032.4, XP_320040.3, XP_320020.4, XP_553184.3
OG0000026	XP_034195801.1, XP_034196365.1	XP_322033.4
OG0000027	XP_034174017.1	XP_315129.4
OG0000027	XP_034173430.1	XP_306825.4, XP_307607.3
OG0000029	XP_034181406.1, XP_034181408.1	XP_311670.4, XP_001688322.1, XP_001688325.1, XP_001688324.1, XP_001688323.1, XP_311667.3, XP_001230823.2, XP_001230824.2, XP_306539.4, XP_001230390.1, XP_321427.2, XP_001238481.1, XP_321429.3, XP_551138.2, XP_551139.2, XP_551141.1
OG0000029	XP_034187040.1	XP_319711.4
OG0000029	XP_034181507.1	XP_001688326.1, XP_003436466.1, XP_560960.4, XP_311664.4
OG0000030	XP_034172323.1	XP_320774.4
OG0000032	XP_034196186.1	XP_001231044.2
OG0000032	XP_034191636.1	XP_309525.4
OG0000032	XP_034177599.1, XP_034177331.1, XP_034185955.1	XP_321319.5, XP_320826.2, XP_320829.4, XP_313740.5, XP_310281.6
OG0000035	XP_034174457.1	XP_317561.4
OG0000036	XP_034179599.1, XP_034179598.1, XP_034186699.1, XP_034186700.1	XP_001237843.1, XP_001688918.1, XP_316607.4, XP_001237840.1, XP_001688914.1, XP_001688917.1
OG0000037	XP_034181170.1	XP_308914.4, XP_308913.3, XP_001237150.1, XP_308915.3, XP_316348.4, XP_308909.2, XP_556645.1, XP_308908.3, XP_308891.2, XP_316624.3, XP_001688133.1, XP_001688134.1, XP_308903.4, XP_001237148.2, XP_001688135.1, XP_001237147.2, XP_001688132.1, XP_001237146.1, XP_001688131.1, XP_308896.4, XP_308892.4, XP_001688124.1, XP_001688129.1, XP_001688130.1, XP_001688127.1, XP_001688128.1, XP_001688125.1, XP_001688120.1, XP_001688126.1, XP_001688123.1, XP_001237145.2, XP_001688119.1, XP_001688121.1, XP_001688122.1
OG0000038	XP_034191028.1, XP_034195488.1	XP_551626.4, XP_321937.5, XP_309723.4
OG0000038	XP_034179614.1	XP_312152.5
OG0000040	XP_034170854.1, XP_034170811.1, XP_034170810.1, XP_034170809.1	XP_314093.2, XP_565496.1, XP_309032.2, XP_309033.2, XP_309036.1, XP_565054.3, XP_308619.3, XP_001689276.1, XP_318423.5, XP_001689275.1, XP_552320.3, XP_310364.7
OG0000041	XP_034174489.1, XP_034174481.1	XP_001230772.1, XP_003437050.1, XP_003437049.1
OG0000041	XP_034183066.1, XP_034183064.1	XP_313971.4
OG0000041	XP_034186914.1	XP_315271.4
OG0000042	XP_034173998.1	XP_311704.5
OG0000042	XP_034187660.1	XP_003436850.1, XP_313877.5
OG0000043	XP_034173650.1	XP_317400.2
OG0000043	XP_034192580.1	XP_317404.2
OG0000044	XP_034185423.1, XP_034185424.1, XP_034185422.1	XP_318000.4, XP_001689317.2, XP_003435967.1, XP_003435966.1, XP_003436699.1, XP_312430.5, XP_554544.3, XP_307174.4, XP_562562.2, XP_313478.5
OG0000044	XP_034185647.1, XP_034185650.1, XP_034185648.1	XP_003436574.1
OG0000045	XP_034196329.1, XP_034196330.1, XP_034181260.1	XP_001689203.1, XP_316055.4, XP_552857.3, XP_319713.4, XP_320938.3, XP_320155.3, XP_320159.3, XP_320158.1, XP_552300.3
OG0000046	XP_034194263.1	XP_313085.3
OG0000046	XP_034188783.1, XP_034179386.1	XP_001689308.2
OG0000046	XP_034176742.1	XP_315042.3
OG0000050	XP_034183260.1	XP_316295.4, XP_316296.3, XP_309020.3, XP_315770.4, XP_321363.4, XP_312052.3, XP_321362.2, XP_312564.5
OG0000052	XP_034186731.1, XP_034194880.1	XP_319685.4
OG0000052	XP_034191839.1	XP_555802.2, XP_317786.3
OG0000052	XP_034176227.1	XP_320291.3
OG0000054	XP_034176647.1	XP_556684.2
OG0000054	XP_034176640.1, XP_034176646.1	XP_316036.1, XP_316039.1, XP_316038.1, XP_316040.1, XP_316041.3
OG0000055	XP_034185035.1, XP_034185036.1, XP_034185034.1, XP_034185037.1	XP_553645.3
OG0000055	XP_034178359.1	XP_312790.4
OG0000055	XP_034190706.1	XP_321277.5
OG0000056	XP_034195921.1, XP_034174982.1	XP_318579.4
OG0000056	XP_034181068.1	XP_550805.4
OG0000056	XP_034175501.1, XP_034175497.1	XP_317863.3
OG0000057	XP_034187515.1	XP_309765.4
OG0000057	XP_034187514.1	XP_314483.4
OG0000057	XP_034187518.1	XP_315005.3
OG0000060	XP_034191137.1	XP_318748.4
OG0000061	XP_034172253.1	XP_003436493.1, XP_003436494.1, XP_003436495.1, XP_309674.5
OG0000061	XP_034191746.1, XP_034191745.1, XP_034191749.1, XP_034191748.1, XP_034191747.1	XP_309223.5, XP_003437178.1, XP_003437179.1, XP_311857.4
OG0000065	XP_034186031.1, XP_034186030.1, XP_034186029.1, XP_034186032.1	XP_321329.4
OG0000065	XP_034186028.1	XP_565271.3
OG0000067	XP_034188060.1	XP_320481.4
OG0000067	XP_034180395.1, XP_034180397.1	XP_315003.3, XP_001688603.1, XP_315671.4
OG0000067	XP_034192090.1	XP_315363.4
OG0000074	XP_034195150.1	XP_321263.5
OG0000077	XP_034178573.1, XP_034178581.1	XP_319941.4
OG0000077	XP_034192524.1	XP_316979.4, XP_321166.4
OG0000079	XP_034174764.1	XP_001238492.1
OG0000080	XP_034191096.1	XP_313655.5
OG0000082	XP_034191540.1, XP_034191538.1, XP_034191541.1, XP_034191539.1, XP_034191543.1, XP_034191542.1, XP_034191544.1, XP_034191545.1	XP_309846.3, XP_564070.3, XP_309845.4, XP_309840.2
OG0000085	XP_034192632.1, XP_034192631.1, XP_034171418.1	XP_003436490.1, XP_560023.4, XP_001688203.2, XP_309687.5, XP_316739.3
OG0000086	XP_034193956.1	XP_552698.3
OG0000086	XP_034193661.1	XP_312070.5, XP_313588.3, XP_313589.2, XP_313388.5, XP_003436544.1, XP_562493.4, XP_003436543.1
OG0000087	XP_034179280.1, XP_034179279.1	XP_308086.3, XP_309579.4, XP_309577.4, XP_308085.4
OG0000087	XP_034179278.1	XP_306334.2, XP_308083.4, XP_308082.4
OG0000088	XP_034186223.1	XP_317091.3
OG0000089	XP_034188076.1, XP_034188075.1, XP_034188074.1	XP_319737.4
OG0000089	XP_034183382.1	XP_310298.6
OG0000091	XP_034181366.1, XP_034181369.1, XP_034181364.1	XP_314159.2, XP_314157.3, XP_314156.2, XP_314158.2
OG0000092	XP_034172508.1	XP_003435946.1, XP_003435945.1, XP_003435944.1, XP_003435942.1, XP_003435943.1
OG0000092	XP_034178502.1	XP_321262.1, XP_003435947.1
OG0000094	XP_034172066.1	XP_317094.4, XP_001689000.1
OG0000094	XP_034183347.1, XP_034183349.1, XP_034183348.1	XP_321973.5, XP_321095.5, XP_003435979.1, XP_003435978.1, XP_001238431.2, XP_321571.5
OG0000094	XP_034186765.1	XP_312311.5
OG0000095	XP_034175885.1	XP_316096.4, XP_316098.3, XP_316099.4
OG0000096	XP_034192124.1	XP_003436133.1, XP_003436134.1, XP_316142.4, XP_315650.4
OG0000096	XP_034177248.1	XP_307732.4, XP_319801.4, XP_316256.4, XP_314312.4, XP_316448.2
OG0000097	XP_034190835.1, XP_034190836.1, XP_034176738.1, XP_034176739.1	XP_003436515.1, XP_003436516.1, XP_562379.1
OG0000098	XP_034189435.1, XP_034189436.1, XP_034189437.1, XP_034189438.1, XP_034189434.1	XP_314814.3
OG0000099	XP_034179642.1, XP_034179643.1, XP_034179641.1	XP_320987.5
OG0000099	XP_034193873.1	XP_313462.4
OG0000100	XP_034186665.1, XP_034186661.1, XP_034186660.1, XP_034186663.1, XP_034186662.1, XP_034186656.1, XP_034186655.1, XP_034186659.1, XP_034186658.1, XP_034186664.1, XP_034186666.1, XP_034186667.1, XP_034186669.1, XP_034186670.1, XP_034186654.1	XP_313581.5
OG0000101	XP_034181509.1	XP_321098.5
OG0000101	XP_034181515.1	XP_001238368.1, XP_552458.3, XP_320729.4, XP_320730.2, XP_320721.3, XP_320722.4, XP_320723.2, XP_320728.3, XP_552464.1
OG0000102	XP_034184723.1, XP_034190695.1	XP_308709.4, XP_565152.3
OG0000108	XP_034193813.1	XP_557098.2, XP_316461.3, XP_001237813.1, XP_316460.3, XP_557100.2
OG0000109	XP_034187724.1, XP_034187720.1, XP_034187719.1, XP_034187723.1, XP_034187722.1	XP_309801.3
OG0000110	XP_034180203.1, XP_034180902.1	XP_001689285.1
OG0000112	XP_034175689.1	XP_309025.4
OG0000112	XP_034177437.1	XP_560420.2
OG0000113	XP_034185991.1, XP_034174201.1	XP_001231003.2, XP_550924.1, XP_321171.4, XP_550973.4, XP_321231.5, XP_321172.5, XP_321170.4
OG0000114	XP_034178036.1, XP_034190286.1	XP_312956.3, XP_307750.3, XP_003436426.1, XP_306194.4, XP_307755.1, XP_001237509.2, XP_001237510.1, XP_312959.4, XP_320219.3, XP_307756.2, XP_313032.4
OG0000114	XP_034192603.1	XP_314336.2
OG0000115	XP_034173929.1, XP_034174012.1, XP_034174010.1, XP_034174009.1	XP_311546.4
OG0000116	XP_034183708.1, XP_034183753.1, XP_034183636.1, XP_034183664.1, XP_034183656.1, XP_034183646.1, XP_034183695.1, XP_034183674.1, XP_034183684.1	XP_315806.4
OG0000117	XP_034188640.1	XP_318912.3
OG0000117	XP_034186050.1, XP_034186060.1, XP_034186043.1, XP_034186034.1	XP_001238428.3
OG0000120	XP_034188385.1	XP_319911.4
OG0000122	XP_034183230.1	XP_309303.3, XP_564139.3
OG0000122	XP_034171356.1, XP_034171357.1	XP_552160.3
OG0000123	XP_034189051.1, XP_034189052.1	XP_317585.4
OG0000124	XP_034195724.1, XP_034195725.1, XP_034195722.1, XP_034195721.1, XP_034195720.1, XP_034195715.1, XP_034195714.1, XP_034195719.1, XP_034195718.1, XP_034195717.1, XP_034195716.1	XP_312632.5
OG0000125	XP_034195792.1, XP_034195791.1, XP_034195790.1, XP_034195789.1	XP_321447.5
OG0000126	XP_034182851.1, XP_034182856.1, XP_034182855.1, XP_034182854.1, XP_034182857.1, XP_034182852.1, XP_034182850.1	XP_003436885.1, XP_311618.2
OG0000127	XP_034173169.1, XP_034173170.1	XP_309323.2
OG0000129	XP_034176178.1, XP_034176173.1, XP_034176171.1, XP_034176172.1, XP_034176175.1, XP_034176174.1, XP_034176177.1, XP_034176176.1	XP_319208.4
OG0000130	XP_034182741.1, XP_034182770.1, XP_034182761.1	XP_314859.4
OG0000130	XP_034183368.1, XP_034183281.1	XP_314860.4, XP_557898.3
OG0000131	XP_034176064.1	XP_311973.1, XP_003436315.1
OG0000131	XP_034182652.1, XP_034182661.1	XP_320516.2
OG0000132	XP_034187328.1, XP_034187330.1	XP_314281.4
OG0000132	XP_034173679.1, XP_034173677.1	XP_317287.4, XP_319288.2
OG0000133	XP_034182098.1, XP_034182097.1	XP_001238215.2
OG0000134	XP_034194546.1	XP_320672.3
OG0000135	XP_034173405.1	XP_321549.1
OG0000135	XP_034194710.1	XP_308966.4
OG0000136	XP_034180981.1, XP_034173810.1	XP_557311.3, XP_316252.2
OG0000137	XP_034196013.1, XP_034190610.1, XP_034190609.1, XP_034190611.1, XP_034190608.1, XP_034178422.1	XP_313095.4
OG0000138	XP_034181257.1, XP_034181256.1, XP_034181258.1, XP_034181252.1, XP_034181253.1, XP_034181250.1, XP_034181251.1, XP_034181249.1, XP_034181254.1, XP_034181259.1	XP_310751.5
OG0000139	XP_034187809.1	XP_318027.4
OG0000141	XP_034171520.1, XP_034171519.1, XP_034171518.1, XP_034171521.1	XP_312292.5
OG0000141	XP_034191369.1, XP_034191364.1, XP_034191348.1, XP_034191355.1	XP_317639.4
OG0000143	XP_034170956.1, XP_034170957.1, XP_034170955.1, XP_034170950.1	XP_311266.4, XP_311556.4
OG0000144	XP_034185501.1, XP_034185500.1	XP_321434.5, XP_321436.5, XP_321800.4, XP_001237710.1, XP_001688727.1, XP_315780.4
OG0000145	XP_034172080.1, XP_034172081.1, XP_034172082.1, XP_034172083.1, XP_034194879.1	XP_318854.4
OG0000146	XP_034191002.1	XP_556748.3
OG0000147	XP_034172317.1, XP_034176955.1, XP_034176956.1, XP_034176953.1, XP_034176954.1, XP_034176959.1, XP_034176957.1, XP_034176958.1	XP_312505.3, XP_003436127.1, XP_003436126.1
OG0000149	XP_034188253.1	XP_319018.3
OG0000150	XP_034191022.1	XP_316248.3
OG0000151	XP_034171188.1, XP_034171191.1, XP_034171190.1, XP_034171189.1	XP_001687986.1
OG0000152	XP_034190547.1, XP_034190545.1, XP_034190544.1, XP_034190543.1, XP_034190550.1, XP_034190549.1, XP_034190548.1, XP_034190542.1	XP_001688746.1, XP_315920.4
OG0000153	XP_034191920.1, XP_034191919.1, XP_034191916.1, XP_034191917.1, XP_034191915.1, XP_034191918.1	XP_315414.4
OG0000156	XP_034172064.1	XP_315693.3
OG0000157	XP_034178431.1, XP_034178176.1, XP_034178177.1, XP_034178427.1, XP_034178570.1, XP_034178430.1	XP_319874.4, XP_319873.4
OG0000160	XP_034176220.1, XP_034176221.1	XP_314536.3
OG0000160	XP_034182275.1	XP_314534.4
OG0000161	XP_034182690.1	XP_315381.4, XP_556009.2, XP_001237651.1, XP_556011.2
OG0000162	XP_034185575.1	XP_566274.3, XP_311007.4
OG0000162	XP_034184537.1	XP_311918.3
OG0000164	XP_034196183.1, XP_034195536.1	XP_552916.2
OG0000165	XP_034181772.1, XP_034181773.1, XP_034181774.1	XP_311219.3
OG0000165	XP_034193100.1	XP_311252.5
OG0000166	XP_034172021.1, XP_034172006.1, XP_034171988.1, XP_034171990.1	XP_001689364.2, XP_001689365.2, XP_001689363.2, XP_321832.5, XP_003435807.1
OG0000170	XP_034186105.1, XP_034186106.1	XP_315409.2
OG0000171	XP_034175616.1, XP_034175629.1	XP_553377.2, XP_318615.2, XP_317868.4, XP_554784.3
OG0000173	XP_034193474.1, XP_034193472.1, XP_034193473.1, XP_034193470.1, XP_034193475.1, XP_034193476.1	XP_313784.5
OG0000174	XP_034180576.1, XP_034180577.1, XP_034180578.1	XP_313394.4
OG0000175	XP_034180406.1, XP_034180404.1, XP_034180403.1, XP_034180402.1	XP_001687949.1, XP_308467.4
OG0000177	XP_034175291.1	XP_309771.2
OG0000177	XP_034176051.1, XP_034176049.1	XP_001230649.2
OG0000177	XP_034176052.1	XP_001688246.1
OG0000178	XP_034190100.1, XP_034190095.1	XP_307952.5
OG0000179	XP_034186839.1	XP_003437002.1, XP_310632.5
OG0000180	XP_034190519.1, XP_034190518.1, XP_034190520.1	XP_003436547.1, XP_003436546.1, XP_313417.5
OG0000181	XP_034175483.1, XP_034175486.1, XP_034175485.1, XP_034175484.1, XP_034175487.1, XP_034175489.1, XP_034175488.1	XP_321792.2
OG0000183	XP_034184393.1, XP_034184394.1	XP_311711.3
OG0000183	XP_034184584.1	XP_317936.4
OG0000184	XP_034172644.1, XP_034172643.1, XP_034172641.1, XP_034172642.1	XP_319373.1
OG0000185	XP_034191549.1, XP_034191548.1	XP_001688361.2
OG0000186	XP_034172036.1, XP_034172037.1, XP_034172035.1	XP_308393.4
OG0000187	XP_034184427.1, XP_034184426.1, XP_034184425.1, XP_034184424.1	XP_318759.3
OG0000188	XP_034183311.1	XP_315011.4, XP_315012.3, XP_001230552.2, XP_315010.4, XP_320581.4, XP_320580.4
OG0000188	XP_034174014.1	XP_316795.2
OG0000189	XP_034173527.1, XP_034173528.1, XP_034173529.1	XP_311343.4, XP_309276.4
OG0000190	XP_034178973.1	XP_003436713.1, XP_312971.1
OG0000191	XP_034193856.1	XP_321501.2, XP_320256.4, XP_001230641.2, XP_320896.4, XP_320897.4, XP_309543.4
OG0000192	XP_034188823.1, XP_034188824.1, XP_034188825.1	XP_311585.4
OG0000194	XP_034172732.1	XP_556986.2
OG0000196	XP_034182940.1, XP_034182938.1, XP_034182937.1	XP_321556.3
OG0000196	XP_034194596.1	XP_001687817.2, XP_560491.4
OG0000197	XP_034180318.1, XP_034180320.1, XP_034180317.1, XP_034180316.1	XP_308795.4
OG0000200	XP_034194186.1	XP_559572.2, XP_003436619.1, XP_003436618.1, XP_003436620.1
OG0000201	XP_034190160.1	XP_316379.4
OG0000201	XP_034190159.1	XP_312417.5, XP_003436144.1, XP_312416.4, XP_320665.4
OG0000203	XP_034187157.1	XP_321914.5
OG0000203	XP_034176454.1	XP_315944.3
OG0000204	XP_034178486.1, XP_034178485.1	XP_003436222.1, XP_312208.4
OG0000205	XP_034188205.1, XP_034188206.1, XP_034188203.1, XP_034188202.1, XP_034188198.1, XP_034188201.1, XP_034188199.1, XP_034188204.1	XP_001688795.1, XP_003436549.1
OG0000206	XP_034186883.1	XP_003435909.1, XP_321392.5
OG0000207	XP_034176138.1	XP_308487.3
OG0000207	XP_034183197.1, XP_034183198.1	XP_001688813.1, XP_001688814.1, XP_556880.3
OG0000208	XP_034183186.1	XP_001688810.1, XP_316236.4
OG0000208	XP_034182757.1	XP_314845.4
OG0000209	XP_034184421.1	XP_001230643.2, XP_309738.3
OG0000210	XP_034195547.1	XP_001688664.1
OG0000210	XP_034177733.1	XP_319144.3
OG0000212	XP_034171934.1, XP_034190213.1	XP_554502.2, XP_318238.4
OG0000213	XP_034181405.1, XP_034181403.1, XP_034181402.1, XP_034181400.1, XP_034181399.1, XP_034181401.1	XP_309297.2
OG0000214	XP_034181682.1	XP_313425.3, XP_003436551.1
OG0000215	XP_034179200.1, XP_034179201.1, XP_034179202.1, XP_034179204.1	XP_001689079.1, XP_001230280.1, XP_318019.4
OG0000216	XP_034174664.1	XP_310940.5, XP_001237336.2, XP_310941.5, XP_559040.3, XP_320018.4, XP_320019.4, XP_001237478.3, XP_001237476.3, XP_003436120.1, XP_003436121.1, XP_317098.4, XP_317096.4, XP_312527.4
OG0000217	XP_034192714.1	XP_310550.5, XP_309658.5, XP_001237269.3
OG0000218	XP_034179355.1, XP_034179356.1, XP_034179353.1	XP_308642.4
OG0000219	XP_034182415.1, XP_034182416.1, XP_034182417.1, XP_034182418.1, XP_034182419.1	XP_309335.4
OG0000220	XP_034185665.1, XP_034185663.1, XP_034185662.1, XP_034185661.1, XP_034185660.1, XP_034185659.1, XP_034185666.1, XP_034185667.1	XP_314482.4
OG0000221	XP_034172270.1	XP_310745.5
OG0000223	XP_034187872.1	XP_320146.3
OG0000223	XP_034174855.1	XP_308984.1
OG0000224	XP_034174532.1	XP_312099.2, XP_312102.4, XP_003436251.1
OG0000225	XP_034187524.1, XP_034187523.1, XP_034174370.1	XP_310636.2, XP_003437000.1
OG0000226	XP_034178580.1	XP_313395.2
OG0000226	XP_034178152.1, XP_034178153.1, XP_034178155.1	XP_317851.1
OG0000227	XP_034186580.1, XP_034186581.1, XP_034186577.1, XP_034186578.1, XP_034186579.1, XP_034186576.1	XP_308342.4, XP_001237064.2
OG0000230	XP_034176544.1, XP_034178098.1	XP_001688611.1
OG0000231	XP_034190001.1, XP_034190002.1	XP_003436333.1, XP_316371.4
OG0000232	XP_034180300.1	XP_315941.1, XP_315942.3, XP_315943.3
OG0000233	XP_034173028.1, XP_034173029.1, XP_034173027.1	XP_311447.4
OG0000234	XP_034195401.1	XP_314989.4, XP_316577.4
OG0000235	XP_034181826.1, XP_034181830.1, XP_034181832.1	XP_309952.4
OG0000236	XP_034193620.1, XP_034193619.1, XP_034193622.1, XP_034193621.1	XP_003435759.1, XP_003435758.1, XP_003435763.1, XP_322000.4
OG0000236	XP_034193614.1, XP_034177212.1	XP_312478.1, XP_001238571.2
OG0000237	XP_034194076.1	XP_559100.2
OG0000237	XP_034194078.1	XP_311581.3
OG0000239	XP_034178769.1, XP_034178779.1, XP_034178780.1, XP_034178777.1, XP_034178778.1	XP_003436598.1, XP_310299.2, XP_001230752.2, XP_559533.6, XP_319807.4
OG0000241	XP_034181063.1, XP_034176484.1, XP_034176485.1, XP_034176486.1	XP_553025.3
OG0000243	XP_034195602.1	XP_312943.4, XP_308057.4, XP_321049.3, XP_308058.4
OG0000244	XP_034191998.1	XP_313365.4
OG0000245	XP_034194081.1	XP_315084.2, XP_001230554.1, XP_307623.1, XP_315083.1, XP_001231041.1, XP_001687787.1, XP_315074.1, XP_315076.1, XP_315075.1, XP_315073.2, XP_316323.2, XP_312089.2
OG0000246	XP_034190713.1	XP_319840.2, XP_319841.3
OG0000246	XP_034190757.1	XP_319838.3
OG0000247	XP_034192948.1	XP_001687768.2, XP_313774.4
OG0000247	XP_034192941.1, XP_034192944.1, XP_034192943.1	XP_311005.4
OG0000247	XP_034192945.1	XP_003436566.1
OG0000248	XP_034175213.1	XP_308379.4, XP_315470.5, XP_003435724.1
OG0000248	XP_034176258.1	XP_316226.4
OG0000249	XP_034175198.1	XP_310971.5
OG0000250	XP_034185851.1, XP_034186045.1	XP_003436312.1, XP_003436311.1, XP_311978.5
OG0000252	XP_034172163.1	XP_321164.1
OG0000253	XP_034188715.1	XP_316966.4
OG0000254	XP_034176775.1	XP_312967.3, XP_003436712.1
OG0000255	XP_034175416.1	XP_003436960.1, XP_310845.5
OG0000256	XP_034172377.1, XP_034172378.1, XP_034172380.1, XP_034172381.1, XP_034172375.1, XP_034172379.1, XP_034172374.1	XP_307890.5
OG0000257	XP_034180530.1	XP_321870.5
OG0000257	XP_034180525.1	XP_321869.5, XP_001689370.2, XP_003435798.1, XP_321867.5, XP_321865.3
OG0000260	XP_034196198.1, XP_034196197.1	XP_321091.3, XP_321092.3, XP_312337.4
OG0000261	XP_034174496.1, XP_034174495.1, XP_034174497.1	XP_315985.3, XP_001688761.1
OG0000263	XP_034176251.1, XP_034176252.1, XP_034176253.1, XP_034176254.1	XP_001687857.1, XP_564524.3, XP_001687858.1
OG0000264	XP_034192517.1, XP_034192519.1	XP_001688533.1, XP_314137.4
OG0000264	XP_034192532.1, XP_034192535.1, XP_034192533.1	XP_311594.2
OG0000265	XP_034172043.1	XP_319555.4, XP_312273.4, XP_003436201.1
OG0000266	XP_034178854.1	XP_310704.3
OG0000266	XP_034179808.1	XP_308081.2
OG0000268	XP_034187249.1, XP_034187250.1	XP_309197.1, XP_003437164.1, XP_003437165.1, XP_560220.3, XP_001688171.2, XP_311384.3, XP_311355.3, XP_307829.2
OG0000269	XP_034171785.1, XP_034171786.1, XP_034171784.1	XP_315017.4
OG0000270	XP_034187848.1	XP_003436281.1, XP_312025.4, XP_003436282.1
OG0000270	XP_034187840.1	XP_003436280.1, XP_312026.4
OG0000271	XP_034173987.1, XP_034173988.1	XP_311184.3, XP_312761.3, XP_003436383.1
OG0000272	XP_034188739.1	XP_308042.3, XP_001230608.1
OG0000272	XP_034180090.1, XP_034180092.1	XP_309153.3, XP_314691.2
OG0000273	XP_034173815.1, XP_034173817.1	XP_308599.4, XP_001688028.1
OG0000274	XP_034177701.1	XP_317143.4, XP_318742.4, XP_318623.4
OG0000274	XP_034177647.1, XP_034177646.1, XP_034177645.1	XP_319531.4
OG0000275	XP_034184775.1, XP_034184776.1, XP_034184777.1, XP_034184778.1, XP_034184779.1	XP_001237830.2
OG0000276	XP_034183449.1	XP_003436154.1, XP_312380.3
OG0000277	XP_034180149.1	XP_315597.3, XP_001688685.1, XP_001688686.1
OG0000278	XP_034196238.1	XP_307914.5, XP_003436076.1
OG0000279	XP_034178078.1, XP_034178079.1	XP_308623.4, XP_317820.4
OG0000280	XP_034194688.1, XP_034194032.1	XP_001238321.1, XP_552131.1, XP_001688631.1
OG0000280	XP_034192520.1, XP_034192199.1	XP_001237207.1
OG0000281	XP_034183439.1	XP_312382.3
OG0000283	XP_034177112.1, XP_034177113.1, XP_034177114.1	XP_315855.4
OG0000284	XP_034177244.1	XP_003436098.1, XP_003436097.1, XP_312601.2
OG0000284	XP_034176794.1, XP_034176612.1	XP_308964.2
OG0000285	XP_034174210.1, XP_034174208.1, XP_034174209.1, XP_034174207.1	XP_309398.1
OG0000286	XP_034185528.1	XP_309986.3
