Orthogroup	Osmia_lignaria	Dufourea_novaeangliae
OG0000005	XP_034195050.1, XP_034194985.1, XP_034195200.1, XP_034194884.1, XP_034195199.1, XP_034194801.1, XP_034177368.1, XP_034183909.1, XP_034192544.1, XP_034194984.1, XP_034195194.1, XP_034195189.1	XP_015431885.1, XP_015430410.1, XP_015434271.1
OG0000006	XP_034178579.1	XP_015432327.1
OG0000006	XP_034178574.1	XP_015432304.1
OG0000006	XP_034178514.1	XP_015432303.1, XP_015432328.1
OG0000006	XP_034189642.1	XP_015437631.1
OG0000007	XP_034184035.1, XP_034192270.1, XP_034192484.1, XP_034194023.1, XP_034178195.1, XP_034194607.1	XP_015440301.1
OG0000008	XP_034185974.1	XP_015431031.1
OG0000008	XP_034185973.1	XP_015431231.1, XP_015431027.1, XP_015431244.1, XP_015431029.1, XP_015431028.1
OG0000008	XP_034181671.1	XP_015435962.1
OG0000008	XP_034185970.1	XP_015431211.1
OG0000008	XP_034185983.1	XP_015431032.1
OG0000008	XP_034185979.1, XP_034185978.1	XP_015431033.1
OG0000008	XP_034185982.1, XP_034185981.1, XP_034185980.1	XP_015431233.1
OG0000009	XP_034180228.1, XP_034180226.1	XP_015439019.1, XP_015438919.1, XP_015438920.1, XP_015438921.1
OG0000009	XP_034180498.1, XP_034180227.1	XP_015439018.1
OG0000010	XP_034183416.1, XP_034194926.1, XP_034195327.1, XP_034192190.1, XP_034190727.1, XP_034183422.1, XP_034182488.1	XP_015440399.1
OG0000011	XP_034179504.1, XP_034179577.1, XP_034179501.1, XP_034179503.1, XP_034179500.1, XP_034179514.1, XP_034178976.1	XP_015434578.1, XP_015434576.1
OG0000011	XP_034179499.1, XP_034179569.1, XP_034178978.1	XP_015434577.1, XP_015429492.1
OG0000012	XP_034181531.1	XP_015429534.1
OG0000012	XP_034195538.1	XP_015431007.1
OG0000012	XP_034193627.1	XP_015432417.1
OG0000012	XP_034193628.1	XP_015432474.1
OG0000012	XP_034193625.1	XP_015432475.1
OG0000013	XP_034173511.1, XP_034195020.1, XP_034174016.1	XP_015435345.1
OG0000013	XP_034173427.1	XP_015435409.1, XP_015440404.1
OG0000013	XP_034191425.1, XP_034191426.1	XP_015434156.1
OG0000014	XP_034173943.1, XP_034175387.1, XP_034171057.1, XP_034183943.1, XP_034173506.1	XP_015435357.1
OG0000014	XP_034173418.1	XP_015435350.1
OG0000016	XP_034194692.1, XP_034172342.1, XP_034177369.1	XP_015440395.1
OG0000017	XP_034170905.1	XP_015431748.1, XP_015431740.1, XP_015431771.1, XP_015431763.1, XP_015431754.1
OG0000017	XP_034178979.1	XP_015436973.1, XP_015436975.1, XP_015436974.1
OG0000017	XP_034178985.1, XP_034178984.1	XP_015436971.1
OG0000018	XP_034175482.1	XP_015440533.1, XP_015440532.1
OG0000018	XP_034193265.1, XP_034193266.1, XP_034193267.1, XP_034193268.1	XP_015437296.1
OG0000018	XP_034193261.1	XP_015437285.1, XP_015437283.1
OG0000018	XP_034193695.1, XP_034193694.1	XP_015433210.1
OG0000019	XP_034176014.1	XP_015436531.1
OG0000019	XP_034185020.1	XP_015430887.1
OG0000019	XP_034185441.1	XP_015431150.1
OG0000020	XP_034186692.1	XP_015433825.1
OG0000020	XP_034192547.1	XP_015439463.1
OG0000020	XP_034171877.1	XP_015431804.1
OG0000020	XP_034185768.1	XP_015440423.1
OG0000021	XP_034176195.1, XP_034176197.1, XP_034176196.1	XP_015436556.1
OG0000021	XP_034184869.1	XP_015430481.1
OG0000021	XP_034181343.1	XP_015428676.1
OG0000021	XP_034194090.1, XP_034194088.1, XP_034194089.1, XP_034194086.1, XP_034194087.1	XP_015436479.1
OG0000022	XP_034187482.1	XP_015430686.1
OG0000023	XP_034173938.1, XP_034173508.1, XP_034171788.1, XP_034173514.1, XP_034171836.1, XP_034195016.1, XP_034183944.1, XP_034171974.1, XP_034173515.1	XP_015435373.1, XP_015435410.1
OG0000023	XP_034173428.1	XP_015437943.1
OG0000024	XP_034183501.1, XP_034183524.1, XP_034183512.1	XP_015433449.1, XP_015433466.1, XP_015433467.1, XP_015433468.1, XP_015432613.1
OG0000024	XP_034173678.1	XP_015436496.1
OG0000024	XP_034193921.1	XP_015435623.1
OG0000024	XP_034193919.1	XP_015435622.1
OG0000025	XP_034192337.1, XP_034190498.1	XP_015437851.1, XP_015438720.1
OG0000025	XP_034190491.1	XP_015437446.1, XP_015433589.1, XP_015432548.1, XP_015429182.1
OG0000026	XP_034194425.1	XP_015439534.1
OG0000026	XP_034181081.1	XP_015434403.1
OG0000026	XP_034179246.1	XP_015437222.1
OG0000026	XP_034195801.1	XP_015440357.1
OG0000026	XP_034196365.1	XP_015440372.1
OG0000027	XP_034172089.1, XP_034173945.1, XP_034195019.1, XP_034174017.1, XP_034171801.1	XP_015435411.1
OG0000027	XP_034184143.1, XP_034173430.1	XP_015440405.1
OG0000028	XP_034194686.1	XP_015437076.1
OG0000028	XP_034194632.1	XP_015437897.1
OG0000028	XP_034195148.1, XP_034195155.1, XP_034195196.1, XP_034192183.1	XP_015437070.1, XP_015437828.1
OG0000028	XP_034194642.1	XP_015430609.1
OG0000029	XP_034181408.1	XP_015428726.1
OG0000029	XP_034187040.1	XP_015430246.1
OG0000029	XP_034181507.1	XP_015428686.1
OG0000030	XP_034172323.1	XP_015435285.1, XP_015435289.1, XP_015435290.1, XP_015435288.1, XP_015435286.1
OG0000030	XP_034183201.1	XP_015434622.1
OG0000031	XP_034190697.1	XP_015438722.1
OG0000032	XP_034177599.1, XP_034177331.1	XP_015439764.1, XP_015439837.1, XP_015439765.1, XP_015439830.1
OG0000032	XP_034185955.1	XP_015438580.1
OG0000033	XP_034192172.1	XP_015429327.1
OG0000033	XP_034174846.1	XP_015430869.1
OG0000035	XP_034174457.1	XP_015436890.1, XP_015436892.1
OG0000036	XP_034186699.1, XP_034186700.1	XP_015434703.1
OG0000038	XP_034191028.1, XP_034195488.1	XP_015436794.1
OG0000038	XP_034174737.1	XP_015430801.1
OG0000038	XP_034193717.1	XP_015433215.1
OG0000038	XP_034179069.1	XP_015437923.1
OG0000038	XP_034193748.1, XP_034193749.1, XP_034193750.1	XP_015439422.1
OG0000039	XP_034195325.1	XP_015430124.1
OG0000039	XP_034195223.1	XP_015435713.1
OG0000040	XP_034170854.1	XP_015428989.1
OG0000040	XP_034170811.1, XP_034170810.1, XP_034170809.1	XP_015429021.1
OG0000041	XP_034174489.1, XP_034174481.1	XP_015433852.1
OG0000041	XP_034183063.1	XP_015434640.1
OG0000041	XP_034183066.1	XP_015434651.1, XP_015434661.1
OG0000042	XP_034173998.1	XP_015431768.1
OG0000043	XP_034173650.1	XP_015429520.1
OG0000043	XP_034192576.1	XP_015440179.1
OG0000043	XP_034192580.1	XP_015440180.1
OG0000043	XP_034196124.1	XP_015438227.1
OG0000044	XP_034185647.1, XP_034185650.1, XP_034185648.1	XP_015435691.1
OG0000045	XP_034196329.1, XP_034196330.1	XP_015432638.1
OG0000045	XP_034181260.1	XP_015429239.1
OG0000045	XP_034177285.1, XP_034177286.1	XP_015439683.1
OG0000046	XP_034194263.1	XP_015433680.1
OG0000046	XP_034188783.1	XP_015435615.1
OG0000046	XP_034179386.1	XP_015435626.1
OG0000046	XP_034176742.1	XP_015437775.1
OG0000048	XP_034180854.1	XP_015436088.1
OG0000048	XP_034180253.1	XP_015436095.1
OG0000050	XP_034183260.1	XP_015434531.1, XP_015434396.1
OG0000051	XP_034192310.1, XP_034192309.1	XP_015440313.1
OG0000052	XP_034186731.1, XP_034194880.1	XP_015437086.1
OG0000052	XP_034176227.1	XP_015437305.1
OG0000053	XP_034192365.1	XP_015429676.1, XP_015435718.1, XP_015430868.1
OG0000054	XP_034176647.1	XP_015438760.1
OG0000054	XP_034176640.1	XP_015438771.1
OG0000054	XP_034176646.1	XP_015438765.1
OG0000055	XP_034185035.1, XP_034185036.1, XP_034185034.1, XP_034185037.1	XP_015437264.1
OG0000055	XP_034178359.1	XP_015436857.1
OG0000055	XP_034173748.1, XP_034173749.1, XP_034173750.1	XP_015431672.1
OG0000055	XP_034190706.1	XP_015428835.1
OG0000056	XP_034195921.1	XP_015437145.1
OG0000056	XP_034174982.1	XP_015440426.1
OG0000056	XP_034181068.1	XP_015428673.1
OG0000056	XP_034195945.1	XP_015437336.1
OG0000056	XP_034176871.1	XP_015433237.1, XP_015433238.1
OG0000056	XP_034175501.1, XP_034175497.1	XP_015437708.1
OG0000057	XP_034187515.1	XP_015430802.1
OG0000057	XP_034180852.1	XP_015434046.1
OG0000057	XP_034187514.1	XP_015430702.1, XP_015430703.1
OG0000057	XP_034187518.1	XP_015430706.1, XP_015430705.1
OG0000058	XP_034179634.1	XP_015439488.1
OG0000058	XP_034196442.1, XP_034179608.1, XP_034196577.1, XP_034179620.1, XP_034191910.1, XP_034196053.1	XP_015439489.1
OG0000060	XP_034191137.1	XP_015438716.1
OG0000060	XP_034187152.1, XP_034187149.1, XP_034187153.1, XP_034187150.1, XP_034187148.1, XP_034187151.1	XP_015432264.1, XP_015432266.1, XP_015432267.1
OG0000061	XP_034172253.1	XP_015432844.1
OG0000061	XP_034191746.1, XP_034191745.1, XP_034191749.1, XP_034191748.1, XP_034191747.1	XP_015431091.1
OG0000062	XP_034196475.1	XP_015431874.1
OG0000062	XP_034196526.1	XP_015431820.1
OG0000062	XP_034196469.1	XP_015431815.1
OG0000062	XP_034196468.1	XP_015431817.1
OG0000062	XP_034170830.1	XP_015431876.1
OG0000065	XP_034186031.1, XP_034186030.1, XP_034186029.1, XP_034186032.1	XP_015431269.1
OG0000065	XP_034186028.1	XP_015431347.1
OG0000066	XP_034194561.1	XP_015434666.1
OG0000067	XP_034188060.1	XP_015429287.1
OG0000067	XP_034180178.1	XP_015435217.1
OG0000067	XP_034176568.1	XP_015435565.1
OG0000067	XP_034180395.1	XP_015435216.1
OG0000067	XP_034192090.1	XP_015439239.1
OG0000069	XP_034175784.1	XP_015435554.1
OG0000069	XP_034175786.1, XP_034175787.1, XP_034175788.1	XP_015435557.1
OG0000070	XP_034184608.1	XP_015436059.1
OG0000070	XP_034184609.1	XP_015436060.1
OG0000071	XP_034194535.1	XP_015438117.1, XP_015437901.1, XP_015434022.1, XP_015435159.1
OG0000073	XP_034195423.1, XP_034195421.1	XP_015435659.1
OG0000074	XP_034175255.1	XP_015432069.1
OG0000074	XP_034195150.1	XP_015438453.1
OG0000075	XP_034184988.1	XP_015436017.1, XP_015432649.1, XP_015438009.1, XP_015435720.1, XP_015437588.1, XP_015433579.1, XP_015436678.1
OG0000077	XP_034178573.1, XP_034178581.1	XP_015436389.1
OG0000077	XP_034192524.1	XP_015435143.1
OG0000080	XP_034191096.1	XP_015432762.1
OG0000080	XP_034191102.1	XP_015430277.1
OG0000081	XP_034179208.1, XP_034179226.1, XP_034179214.1, XP_034179212.1, XP_034179508.1, XP_034179507.1, XP_034179211.1	XP_015437927.1
OG0000082	XP_034191540.1, XP_034191538.1, XP_034191541.1, XP_034191539.1	XP_015434043.1
OG0000082	XP_034191543.1, XP_034191542.1	XP_015434042.1
OG0000082	XP_034191544.1	XP_015434075.1
OG0000082	XP_034191545.1	XP_015434041.1
OG0000083	XP_034174838.1, XP_034173823.1	XP_015434759.1, XP_015437063.1, XP_015437856.1, XP_015438077.1, XP_015437811.1, XP_015430607.1
OG0000084	XP_034188705.1	XP_015429440.1
OG0000084	XP_034188707.1, XP_034188706.1	XP_015429441.1
OG0000084	XP_034188921.1	XP_015429460.1
OG0000085	XP_034192632.1, XP_034192631.1	XP_015439820.1
OG0000085	XP_034171418.1	XP_015433752.1
OG0000086	XP_034193956.1	XP_015439351.1
OG0000086	XP_034193661.1	XP_015439307.1
OG0000087	XP_034179280.1	XP_015433138.1
OG0000087	XP_034179279.1	XP_015433161.1
OG0000087	XP_034179278.1	XP_015433219.1, XP_015433217.1, XP_015433218.1
OG0000088	XP_034186223.1	XP_015430594.1
OG0000089	XP_034188076.1, XP_034188075.1, XP_034188074.1	XP_015429642.1, XP_015429641.1, XP_015429643.1, XP_015429644.1
OG0000089	XP_034183382.1	XP_015438011.1
OG0000091	XP_034181366.1, XP_034181369.1, XP_034181364.1	XP_015428722.1, XP_015428720.1, XP_015428718.1
OG0000092	XP_034172508.1	XP_015433035.1
OG0000092	XP_034196103.1	XP_015431194.1
OG0000092	XP_034178502.1	XP_015432408.1
OG0000093	XP_034194541.1	XP_015434215.1, XP_015429653.1
OG0000093	XP_034182476.1	XP_015431878.1
OG0000094	XP_034172066.1	XP_015432992.1
OG0000094	XP_034183347.1, XP_034183349.1, XP_034183348.1	XP_015432272.1
OG0000094	XP_034186765.1	XP_015430372.1
OG0000095	XP_034175885.1	XP_015436624.1, XP_015436625.1
OG0000096	XP_034192124.1	XP_015438977.1
OG0000096	XP_034177248.1	XP_015439740.1
OG0000097	XP_034190835.1, XP_034190836.1	XP_015428851.1, XP_015428850.1, XP_015428848.1
OG0000097	XP_034176738.1, XP_034176739.1	XP_015439293.1, XP_015439294.1
OG0000098	XP_034189435.1, XP_034189436.1, XP_034189437.1, XP_034189438.1, XP_034189434.1	XP_015431421.1, XP_015431420.1, XP_015431419.1, XP_015431416.1, XP_015431417.1
OG0000099	XP_034179642.1, XP_034179643.1, XP_034179641.1	XP_015434840.1
OG0000099	XP_034193873.1	XP_015439443.1
OG0000100	XP_034186665.1, XP_034186661.1, XP_034186660.1, XP_034186663.1, XP_034186662.1, XP_034186656.1, XP_034186655.1, XP_034186659.1, XP_034186658.1, XP_034186664.1, XP_034186666.1, XP_034186667.1, XP_034186669.1, XP_034186670.1, XP_034186654.1	XP_015432704.1, XP_015432705.1
OG0000101	XP_034181509.1	XP_015429187.1
OG0000101	XP_034181515.1	XP_015437434.1, XP_015434419.1
OG0000102	XP_034184723.1	XP_015437466.1
OG0000102	XP_034190695.1	XP_015437463.1
OG0000103	XP_034185802.1	XP_015431403.1
OG0000103	XP_034183404.1	XP_015431354.1
OG0000103	XP_034183410.1, XP_034183407.1, XP_034183408.1, XP_034183409.1	XP_015431408.1
OG0000106	XP_034172450.1	XP_015430089.1
OG0000107	XP_034193089.1	XP_015440456.1
OG0000108	XP_034193813.1	XP_015431062.1
OG0000109	XP_034187724.1, XP_034187720.1, XP_034187719.1, XP_034187723.1, XP_034187722.1	XP_015429717.1
OG0000110	XP_034180203.1	XP_015438727.1
OG0000110	XP_034180902.1	XP_015438930.1
OG0000111	XP_034190336.1	XP_015430891.1
OG0000112	XP_034175689.1	XP_015437727.1
OG0000112	XP_034177437.1	XP_015439824.1
OG0000113	XP_034185991.1	XP_015431174.1
OG0000113	XP_034174201.1	XP_015436887.1, XP_015436888.1
OG0000114	XP_034178036.1, XP_034190286.1	XP_015439692.1, XP_015439905.1
OG0000114	XP_034192603.1	XP_015439901.1
OG0000115	XP_034173929.1	XP_015439194.1
OG0000115	XP_034174010.1, XP_034174009.1	XP_015431789.1, XP_015431678.1
OG0000116	XP_034183708.1, XP_034183753.1	XP_015436046.1
OG0000116	XP_034183636.1, XP_034183664.1, XP_034183656.1, XP_034183646.1, XP_034183695.1, XP_034183674.1, XP_034183684.1	XP_015436326.1
OG0000117	XP_034188640.1	XP_015435315.1
OG0000117	XP_034186050.1, XP_034186060.1, XP_034186043.1, XP_034186034.1	XP_015436200.1
OG0000119	XP_034185219.1, XP_034185196.1, XP_034185454.1, XP_034185227.1	XP_015436228.1, XP_015436225.1
OG0000122	XP_034183230.1	XP_015433447.1
OG0000122	XP_034171356.1, XP_034171357.1	XP_015431888.1
OG0000122	XP_034174067.1	XP_015431901.1
OG0000123	XP_034189051.1, XP_034189052.1	XP_015435654.1, XP_015435655.1
OG0000124	XP_034195724.1, XP_034195725.1, XP_034195722.1, XP_034195721.1, XP_034195720.1, XP_034195715.1, XP_034195714.1, XP_034195719.1, XP_034195718.1, XP_034195717.1, XP_034195716.1	XP_015437181.1
OG0000125	XP_034195792.1, XP_034195791.1, XP_034195790.1, XP_034195789.1	XP_015440379.1, XP_015440359.1
OG0000126	XP_034182851.1, XP_034182856.1, XP_034182855.1, XP_034182854.1, XP_034182857.1, XP_034182852.1, XP_034182850.1	XP_015428496.1
OG0000129	XP_034176178.1, XP_034176173.1, XP_034176171.1, XP_034176172.1, XP_034176175.1, XP_034176174.1, XP_034176177.1, XP_034176176.1	XP_015436027.1
OG0000130	XP_034182741.1	XP_015429425.1
OG0000130	XP_034182770.1, XP_034182761.1	XP_015429434.1
OG0000130	XP_034183368.1, XP_034183281.1	XP_015429842.1
OG0000131	XP_034176064.1	XP_015436559.1
OG0000131	XP_034182652.1, XP_034182661.1	XP_015436693.1, XP_015436700.1, XP_015436679.1, XP_015436686.1
OG0000132	XP_034187328.1, XP_034187330.1	XP_015437606.1
OG0000132	XP_034173679.1, XP_034173677.1	XP_015431599.1
OG0000133	XP_034182098.1, XP_034182097.1	XP_015434318.1
OG0000133	XP_034172967.1	XP_015429111.1
OG0000135	XP_034180180.1	XP_015439063.1
OG0000135	XP_034173405.1	XP_015435320.1, XP_015435321.1
OG0000135	XP_034194710.1	XP_015431583.1
OG0000136	XP_034180981.1	XP_015437319.1
OG0000136	XP_034173810.1	XP_015438169.1
OG0000137	XP_034196013.1	XP_015432001.1
OG0000137	XP_034190610.1, XP_034190609.1, XP_034190611.1, XP_034190608.1	XP_015433288.1
OG0000138	XP_034181257.1, XP_034181256.1, XP_034181258.1, XP_034181252.1, XP_034181253.1, XP_034181250.1, XP_034181251.1, XP_034181249.1, XP_034181254.1	XP_015429248.1
OG0000138	XP_034181259.1	XP_015429192.1
OG0000139	XP_034187809.1	XP_015435212.1
OG0000140	XP_034191662.1, XP_034191663.1, XP_034191664.1, XP_034191666.1, XP_034191665.1, XP_034191659.1	XP_015439128.1
OG0000141	XP_034180611.1, XP_034180612.1, XP_034180613.1, XP_034180614.1	XP_015435225.1
OG0000141	XP_034171520.1, XP_034171519.1, XP_034171518.1, XP_034171521.1	XP_015431506.1
OG0000141	XP_034191369.1, XP_034191364.1, XP_034191348.1, XP_034191355.1	XP_015435072.1
OG0000142	XP_034178047.1, XP_034192200.1, XP_034178813.1, XP_034178812.1, XP_034192230.1	XP_015433594.1
OG0000142	XP_034178808.1, XP_034178698.1, XP_034178807.1, XP_034194621.1, XP_034194612.1, XP_034178806.1, XP_034178194.1, XP_034192201.1	XP_015433595.1
OG0000143	XP_034170956.1, XP_034170957.1, XP_034170955.1	XP_015429124.1
OG0000143	XP_034170950.1	XP_015429114.1
OG0000144	XP_034185501.1	XP_015428670.1
OG0000144	XP_034185500.1	XP_015428727.1
OG0000145	XP_034172080.1, XP_034172081.1, XP_034172082.1, XP_034172083.1	XP_015436844.1
OG0000145	XP_034194879.1	XP_015431112.1
OG0000146	XP_034191002.1	XP_015432760.1
OG0000146	XP_034184015.1, XP_034184014.1	XP_015436388.1
OG0000147	XP_034176955.1, XP_034176956.1, XP_034176953.1, XP_034176954.1, XP_034176959.1, XP_034176957.1, XP_034176958.1	XP_015439801.1
OG0000149	XP_034188253.1	XP_015435823.1
OG0000149	XP_034188255.1, XP_034188259.1, XP_034188258.1, XP_034188260.1, XP_034188261.1, XP_034188257.1	XP_015435834.1
OG0000150	XP_034191022.1	XP_015432205.1
OG0000151	XP_034171188.1, XP_034171191.1, XP_034171190.1, XP_034171189.1	XP_015429673.1, XP_015429674.1, XP_015429675.1
OG0000152	XP_034190547.1, XP_034190545.1, XP_034190544.1, XP_034190543.1, XP_034190550.1, XP_034190549.1, XP_034190548.1, XP_034190542.1	XP_015433494.1
OG0000153	XP_034191920.1, XP_034191919.1, XP_034191916.1, XP_034191917.1, XP_034191915.1, XP_034191918.1	XP_015439140.1
OG0000154	XP_034183985.1	XP_015436141.1
OG0000156	XP_034172064.1	XP_015429868.1
OG0000157	XP_034178570.1	XP_015433606.1
OG0000157	XP_034178430.1	XP_015433605.1
OG0000158	XP_034177301.1	XP_015439684.1
OG0000158	XP_034177337.1, XP_034177300.1, XP_034177310.1	XP_015440019.1, XP_015440020.1
OG0000158	XP_034177338.1	XP_015439979.1
OG0000160	XP_034176220.1, XP_034176221.1	XP_015437280.1
OG0000160	XP_034182275.1	XP_015436859.1, XP_015436868.1
OG0000162	XP_034185575.1	XP_015435684.1
OG0000162	XP_034184537.1	XP_015439554.1
OG0000164	XP_034196183.1	XP_015437865.1
OG0000164	XP_034195536.1	XP_015437774.1
OG0000165	XP_034181772.1, XP_034181773.1, XP_034181774.1	XP_015429586.1
OG0000165	XP_034193100.1	XP_015435493.1
OG0000166	XP_034172021.1, XP_034172006.1, XP_034171988.1, XP_034171990.1	XP_015435053.1
OG0000168	XP_034170859.1	XP_015431460.1
OG0000169	XP_034195551.1	XP_015437575.1
OG0000169	XP_034193805.1	XP_015431085.1
OG0000170	XP_034186105.1, XP_034186106.1	XP_015439592.1
OG0000170	XP_034186114.1	XP_015439594.1
OG0000171	XP_034175616.1	XP_015434404.1
OG0000171	XP_034175629.1	XP_015434466.1
OG0000172	XP_034186460.1, XP_034186461.1, XP_034186462.1, XP_034186463.1, XP_034186455.1, XP_034186454.1, XP_034186457.1, XP_034186459.1, XP_034186458.1, XP_034186464.1	XP_015432146.1
OG0000173	XP_034193474.1, XP_034193472.1, XP_034193473.1, XP_034193470.1, XP_034193475.1, XP_034193476.1	XP_015434867.1, XP_015434866.1, XP_015434871.1, XP_015434870.1, XP_015434869.1, XP_015434868.1
OG0000174	XP_034180576.1, XP_034180577.1, XP_034180578.1	XP_015438965.1
OG0000175	XP_034180406.1, XP_034180404.1, XP_034180403.1, XP_034180402.1	XP_015437422.1, XP_015437423.1
OG0000176	XP_034171203.1	XP_015428971.1
OG0000177	XP_034175291.1	XP_015435549.1
OG0000177	XP_034176051.1, XP_034176049.1	XP_015435485.1
OG0000177	XP_034176052.1	XP_015435546.1
OG0000178	XP_034190100.1, XP_034190095.1	XP_015438494.1
OG0000179	XP_034186565.1, XP_034186567.1	XP_015436506.1
OG0000179	XP_034186839.1	XP_015434426.1
OG0000180	XP_034190519.1, XP_034190518.1, XP_034190520.1	XP_015430454.1, XP_015430456.1, XP_015430455.1, XP_015430457.1
OG0000181	XP_034175483.1, XP_034175486.1, XP_034175485.1, XP_034175484.1, XP_034175487.1, XP_034175489.1, XP_034175488.1	XP_015440531.1
OG0000182	XP_034185960.1, XP_034185984.1, XP_034185975.1, XP_034185966.1	XP_015436232.1
OG0000183	XP_034184393.1, XP_034184394.1	XP_015431052.1
OG0000183	XP_034184584.1	XP_015435715.1
OG0000184	XP_034172644.1, XP_034172643.1, XP_034172641.1, XP_034172642.1	XP_015432847.1
OG0000185	XP_034191549.1, XP_034191548.1	XP_015434133.1
OG0000186	XP_034172036.1, XP_034172037.1, XP_034172035.1	XP_015434985.1, XP_015434960.1, XP_015434988.1, XP_015434990.1
OG0000187	XP_034184427.1, XP_034184426.1, XP_034184425.1, XP_034184424.1	XP_015436316.1
OG0000188	XP_034183311.1	XP_015431252.1
OG0000188	XP_034174014.1	XP_015431689.1
OG0000189	XP_034173527.1, XP_034173528.1, XP_034173529.1	XP_015429076.1
OG0000190	XP_034178973.1	XP_015440287.1, XP_015440288.1, XP_015440289.1
OG0000191	XP_034193856.1	XP_015434794.1
OG0000192	XP_034188823.1, XP_034188824.1, XP_034188825.1	XP_015433091.1
OG0000194	XP_034172732.1	XP_015439485.1
OG0000194	XP_034179980.1	XP_015439482.1
OG0000194	XP_034179976.1	XP_015439483.1
OG0000194	XP_034179971.1	XP_015439487.1
OG0000195	XP_034186983.1, XP_034186982.1, XP_034186892.1, XP_034186893.1	XP_015432263.1, XP_015432088.1
OG0000196	XP_034182940.1, XP_034182938.1, XP_034182937.1	XP_015432167.1
OG0000196	XP_034194596.1	XP_015437821.1
OG0000197	XP_034180318.1, XP_034180320.1	XP_015439072.1, XP_015439073.1
OG0000197	XP_034180317.1, XP_034180316.1	XP_015439149.1
OG0000199	XP_034179397.1	XP_015435599.1
OG0000200	XP_034194186.1	XP_015435653.1
OG0000200	XP_034175393.1	XP_015438807.1
OG0000200	XP_034175399.1	XP_015438810.1
OG0000201	XP_034190160.1	XP_015438380.1
OG0000201	XP_034190159.1	XP_015438436.1
OG0000202	XP_034174741.1	XP_015434898.1
OG0000202	XP_034179831.1, XP_034179748.1	XP_015433874.1
OG0000203	XP_034187157.1	XP_015429928.1
OG0000204	XP_034178486.1, XP_034178485.1	XP_015428607.1
OG0000205	XP_034188205.1, XP_034188206.1, XP_034188203.1, XP_034188202.1, XP_034188198.1, XP_034188201.1, XP_034188199.1, XP_034188204.1	XP_015435790.1
OG0000206	XP_034186883.1	XP_015432679.1
OG0000207	XP_034176138.1	XP_015437049.1
OG0000207	XP_034183197.1	XP_015434683.1
OG0000207	XP_034183198.1	XP_015434682.1
OG0000208	XP_034183186.1	XP_015434613.1
OG0000208	XP_034171050.1	XP_015429087.1, XP_015428990.1
OG0000208	XP_034182757.1	XP_015428530.1, XP_015428529.1
OG0000209	XP_034184421.1	XP_015436163.1
OG0000210	XP_034195547.1	XP_015440351.1
OG0000210	XP_034177733.1	XP_015439732.1
OG0000212	XP_034171934.1	XP_015431045.1
OG0000212	XP_034190213.1	XP_015430965.1, XP_015430966.1
OG0000213	XP_034181405.1, XP_034181403.1, XP_034181402.1, XP_034181400.1, XP_034181399.1, XP_034181401.1	XP_015428729.1
OG0000214	XP_034181682.1	XP_015435958.1
OG0000215	XP_034179200.1, XP_034179201.1, XP_034179202.1	XP_015432430.1
OG0000215	XP_034179204.1	XP_015432437.1
