Orthogroup	Osmia_lignaria	Nasonia_vitripennis
OG0000069	XP_034175784.1	XP_008210453.1, XP_031787743.1, XP_031787545.1, XP_032457315.1, XP_031777449.1, XP_031777448.1, XP_001603733.2, XP_032453221.1, XP_032453241.1, XP_031777616.1, XP_031777617.1
OG0000071	XP_034194535.1	XP_032455647.1, XP_032455648.1, XP_031784195.1, XP_031785865.1, XP_016845893.1
OG0000072	XP_034195182.1, XP_034190456.1, XP_034177521.1, XP_034192564.1, XP_034195052.1, XP_034194905.1, XP_034195080.1	XP_008213440.1
OG0000072	XP_034194705.1	XP_031789247.1
OG0000073	XP_034195423.1, XP_034195421.1	XP_031786450.1, XP_003428114.1, XP_003428113.1
OG0000074	XP_034175255.1	XP_008207498.1, XP_031787381.1
OG0000076	XP_034182479.1	XP_031788956.1, XP_031778430.1, XP_031789008.1
OG0000077	XP_034178573.1, XP_034178581.1	XP_003423914.1
OG0000077	XP_034192524.1	XP_001605700.1, XP_008203901.1
OG0000078	XP_034175210.1	XP_031781939.1, NP_001177509.1, NP_001177508.1, XP_031781938.1, NP_001177507.1, NP_001177506.1
OG0000079	XP_034174764.1	XP_031783468.1
OG0000080	XP_034191096.1	XP_016838697.1, XP_001600017.1
OG0000080	XP_034191102.1	XP_001600048.1
OG0000082	XP_034191540.1, XP_034191538.1, XP_034191541.1, XP_034191539.1	XP_016845753.1
OG0000083	XP_034194979.1, XP_034192554.1, XP_034184636.1, XP_034194645.1, XP_034195012.1, XP_034192179.1, XP_034177372.1, XP_034174835.1	XP_008214028.1, XP_008212142.1
OG0000083	XP_034174838.1, XP_034173823.1	XP_031783888.1, XP_031782195.1, XP_031779861.1, XP_008214443.1, XP_008212032.1, XP_031779746.1, XP_008202330.2, XP_016843264.1, XP_031781094.1, XP_031788958.1, XP_031781100.1, XP_031788378.1, XP_031783911.1
OG0000084	XP_034188707.1, XP_034188706.1	XP_001600141.2
OG0000084	XP_034188921.1	NP_001161311.1
OG0000084	XP_034189639.1	NP_001161297.1, NP_001161274.1, NP_001161305.1
OG0000085	XP_034192632.1, XP_034192631.1	XP_008205560.1, XP_032455585.1, XP_001604903.1, XP_031785409.1
OG0000086	XP_034193956.1	XP_031786740.1, NP_001166061.1
OG0000086	XP_034193661.1	XP_008218019.2
OG0000087	XP_034179280.1	NP_001153410.1
OG0000087	XP_034179279.1	NP_001153411.1
OG0000087	XP_034179278.1	XP_001603938.2
OG0000089	XP_034188076.1, XP_034188075.1, XP_034188074.1	XP_016843743.1
OG0000089	XP_034183382.1	XP_032457600.1, XP_031781522.1, XP_031781523.1, XP_003426759.1, XP_001601215.1, XP_001600717.1, XP_008212854.1, XP_031787101.1, XP_031781533.1, XP_001600653.1, XP_008207762.1, XP_001600905.2, XP_001600876.1, XP_001600931.2
OG0000091	XP_034181366.1, XP_034181369.1, XP_034181364.1	XP_016842346.1, XP_016842349.1, XP_001606111.2, XP_016842348.1, XP_001606152.2
OG0000092	XP_034196103.1	NP_001153343.1
OG0000092	XP_034196104.1, XP_034196105.1, XP_034196106.1, XP_034196107.1	XP_016843499.1
OG0000092	XP_034178502.1	XP_001599003.1
OG0000093	XP_034194541.1	XP_008205360.1, XP_031789189.1
OG0000093	XP_034182476.1	XP_031788001.1, XP_031783867.1, XP_008205373.1, XP_031789320.1, XP_016841922.2, XP_031789146.1, XP_031781374.1, XP_031788904.1
OG0000094	XP_034172066.1	XP_008208123.2, XP_001606944.4, XP_001606857.1, XP_008201862.1, XP_001606385.1
OG0000094	XP_034183347.1, XP_034183349.1, XP_034183348.1	XP_001605100.1
OG0000094	XP_034186765.1	XP_001600571.1
OG0000095	XP_034175885.1	XP_031783038.1, NP_001165978.1, NP_001165932.1, XP_001601822.2, NP_001165935.1, XP_031785516.1, XP_008213359.1, XP_031781916.1, NP_001165938.1, NP_001165934.1, XP_016841077.1, NP_001165987.1, NP_001352146.1, XP_016840411.1, NP_001165985.1
OG0000096	XP_034192124.1	XP_008209422.1
OG0000096	XP_034177248.1	XP_031777519.1, NP_001128139.2, XP_001600140.2, XP_008210082.1, XP_032454795.1, XP_008210079.1
OG0000097	XP_034190835.1, XP_034190836.1	XP_001600781.1
OG0000097	XP_034176738.1, XP_034176739.1	NP_001166227.1, XP_008208182.1
OG0000098	XP_034189435.1, XP_034189436.1, XP_034189437.1, XP_034189438.1, XP_034189434.1	XP_032454809.1, XP_032454803.1, XP_032454802.1, XP_032454801.1, XP_032454800.1, XP_032454805.1, XP_031786230.1, XP_016843896.1, XP_032454811.1, XP_032454806.1, XP_001603053.2, XP_032454810.1, XP_032454799.1, XP_032454808.1, XP_032454807.1
OG0000099	XP_034179642.1, XP_034179643.1, XP_034179641.1	XP_008207065.2
OG0000099	XP_034193873.1	XP_031785392.1
OG0000100	XP_034186665.1, XP_034186661.1, XP_034186660.1, XP_034186663.1, XP_034186662.1, XP_034186656.1, XP_034186655.1, XP_034186659.1, XP_034186658.1, XP_034186664.1, XP_034186666.1, XP_034186667.1, XP_034186669.1, XP_034186670.1, XP_034186654.1	XP_008215741.1, XP_008215742.1, XP_031787872.1, XP_032457061.1, XP_016844119.1
OG0000101	XP_034181509.1	XP_016842653.2
OG0000101	XP_034181515.1	NP_001155060.1
OG0000102	XP_034184723.1	XP_031786135.1
OG0000102	XP_034190695.1	XP_031786805.1
OG0000103	XP_034183404.1	XP_031786310.1, XP_001604969.2
OG0000106	XP_034172450.1, XP_034195545.1	NP_001177643.1, NP_001177620.1, NP_001177621.1
OG0000108	XP_034193813.1	XP_001600108.2, NP_001136332.1, XP_031777794.1, XP_008213502.1, XP_016842778.1
OG0000109	XP_034187724.1, XP_034187720.1, XP_034187719.1, XP_034187723.1, XP_034187722.1	XP_031780775.1, XP_032452756.1, XP_008217859.1, XP_008217864.1, XP_016837633.1
OG0000110	XP_034180203.1, XP_034180902.1	XP_008201867.1
OG0000111	XP_034179968.1, XP_034179487.1, XP_034179966.1, XP_034179488.1	XP_031786448.1, NP_001155154.1, XP_031786258.1, XP_001603551.4, XP_032452574.1
OG0000111	XP_034190336.1	XP_001605587.3
OG0000112	XP_034175689.1	XP_003425489.1
OG0000112	XP_034177437.1	XP_031780635.1
OG0000113	XP_034185991.1	XP_031785048.1, XP_001599906.1, XP_008208626.1
OG0000113	XP_034174201.1	XP_001603394.1, XP_008204873.1, XP_001603447.1
OG0000114	XP_034178036.1, XP_034190286.1	XP_031785569.1, NP_001155077.1
OG0000114	XP_034192603.1	XP_031788613.1, NP_001155043.1, XP_032454692.1
OG0000115	XP_034173929.1	NP_001165922.1, NP_001165921.1, NP_001165923.1
OG0000115	XP_034174012.1, XP_034174010.1, XP_034174009.1	NP_001165920.1, XP_008203102.1, XP_008203103.1, XP_032452848.1, XP_032457577.1, NP_001165924.1, NP_001165919.1, NP_001165918.1
OG0000116	XP_034183708.1, XP_034183753.1, XP_034183636.1, XP_034183664.1, XP_034183656.1, XP_034183646.1, XP_034183695.1, XP_034183674.1, XP_034183684.1	XP_031779751.1, XP_031779749.1, XP_031779753.1, XP_032451719.1, XP_031779741.1, XP_031779737.1, XP_032451720.1, XP_032451721.1
OG0000117	XP_034188640.1	XP_003424885.1
OG0000117	XP_034186050.1, XP_034186060.1, XP_034186043.1, XP_034186034.1	XP_016845279.1, XP_003428202.1, XP_008214870.1
OG0000119	XP_034185219.1, XP_034185196.1, XP_034185454.1, XP_034185227.1, XP_034185236.1	XP_031787150.1, XP_032456419.1, XP_031787154.1, XP_031787143.1, XP_031787149.1, XP_031787146.1, XP_031787160.1, XP_031787140.1
OG0000121	XP_034195060.1	XP_031788530.1, XP_008210259.1
OG0000122	XP_034183230.1	XP_001604760.1
OG0000122	XP_034174067.1	XP_031780275.1
OG0000123	XP_034189051.1, XP_034189052.1	XP_032452434.1, XP_001602993.1
OG0000124	XP_034195724.1, XP_034195725.1, XP_034195722.1, XP_034195721.1, XP_034195720.1, XP_034195715.1, XP_034195714.1, XP_034195719.1, XP_034195718.1, XP_034195717.1, XP_034195716.1	XP_031781470.1
OG0000125	XP_034195792.1, XP_034195791.1, XP_034195790.1, XP_034195789.1	XP_008201883.2, XP_031781412.1, XP_031788436.1, XP_031788437.1
OG0000126	XP_034182851.1, XP_034182856.1, XP_034182855.1, XP_034182854.1, XP_034182857.1, XP_034182852.1, XP_034182850.1	XP_031784298.1, NP_001161164.1
OG0000127	XP_034173169.1, XP_034173170.1	XP_001606042.2
OG0000129	XP_034176178.1, XP_034176173.1, XP_034176171.1, XP_034176172.1, XP_034176175.1, XP_034176174.1, XP_034176177.1, XP_034176176.1	XP_032454413.1, XP_016839449.1
OG0000130	XP_034183368.1, XP_034183281.1	XP_031776696.1
OG0000131	XP_034176064.1	NP_001153335.1, XP_032458192.1
OG0000131	XP_034182652.1, XP_034182661.1	XP_031781148.1, XP_032457466.1, XP_001599092.1, XP_032457465.1
OG0000132	XP_034187328.1, XP_034187330.1	XP_031780045.1, XP_032453407.1
OG0000132	XP_034173679.1, XP_034173677.1	XP_016837749.1
OG0000133	XP_034182098.1, XP_034182097.1	XP_031778739.1, XP_031778741.1, XP_008208013.1, XP_031778740.1
OG0000135	XP_034180180.1	XP_001603134.1
OG0000135	XP_034173405.1	XP_001603371.1
OG0000136	XP_034180981.1, XP_034173810.1	XP_008208307.1
OG0000137	XP_034190610.1, XP_034190609.1, XP_034190611.1, XP_034190608.1, XP_034178422.1	XP_016841737.2
OG0000138	XP_034181257.1, XP_034181256.1, XP_034181258.1, XP_034181252.1, XP_034181253.1, XP_034181250.1, XP_034181251.1, XP_034181249.1, XP_034181254.1, XP_034181259.1	XP_031787653.1, XP_001605659.1
OG0000139	XP_034187809.1	XP_016838561.1, XP_001602751.1, XP_008204858.1, XP_032452316.1, XP_032452315.1
OG0000141	XP_034180611.1, XP_034180612.1, XP_034180613.1, XP_034180614.1	XP_032458118.1, XP_032458115.1, XP_032458114.1, XP_031789200.1
OG0000142	XP_034178047.1, XP_034192200.1, XP_034178813.1, XP_034178812.1, XP_034192230.1, XP_034178808.1, XP_034178698.1, XP_034178807.1, XP_034194621.1, XP_034194612.1, XP_034178806.1, XP_034178194.1, XP_034192201.1	XP_031788758.1, NP_001177427.1, NP_001177428.1
OG0000143	XP_034170956.1, XP_034170957.1, XP_034170955.1	XP_008203875.1
OG0000143	XP_034170950.1	XP_003425736.1, XP_001605275.2, XP_032454553.1
OG0000144	XP_034185501.1	XP_016839327.2, NP_001153417.1, XP_032453317.1, XP_032453316.1
OG0000144	XP_034185500.1	NP_001164332.1
OG0000145	XP_034172080.1, XP_034172081.1, XP_034172082.1, XP_034172083.1	XP_001607062.1
OG0000145	XP_034194879.1	XP_001602428.1
OG0000146	XP_034191002.1	XP_016840249.1
OG0000147	XP_034172317.1, XP_034176955.1, XP_034176956.1, XP_034176953.1, XP_034176954.1, XP_034176959.1, XP_034176957.1, XP_034176958.1	XP_001602387.1
OG0000149	XP_034188253.1	XP_001606233.2
OG0000149	XP_034188255.1, XP_034188259.1, XP_034188258.1, XP_034188260.1, XP_034188261.1, XP_034188257.1	XP_016840414.1, XP_008211722.2
OG0000150	XP_034191022.1	XP_031781028.1, XP_031781038.1, XP_032457432.1
OG0000151	XP_034171188.1, XP_034171191.1, XP_034171190.1, XP_034171189.1	XP_003426709.1
OG0000152	XP_034190547.1, XP_034190545.1, XP_034190544.1, XP_034190543.1, XP_034190550.1, XP_034190549.1, XP_034190548.1, XP_034190542.1	XP_003425682.1, XP_032454103.1, XP_016839188.1, XP_008203561.1, XP_008203562.1, XP_032454105.1, XP_032454104.1, XP_032454106.1, XP_008203564.1, XP_008203563.1
OG0000153	XP_034191920.1, XP_034191919.1, XP_034191916.1, XP_034191917.1, XP_034191915.1, XP_034191918.1	XP_031778705.1, XP_031778704.1, XP_031778706.1
OG0000154	XP_034183985.1	XP_008203624.1, XP_008205027.1, XP_031788668.1, XP_008203596.1
OG0000155	XP_034192272.1, XP_034194779.1	XP_031788826.1
OG0000155	XP_034194795.1	XP_031784528.1, XP_031788865.1, XP_031781360.1, XP_031789237.1, XP_008214569.1, XP_031777466.1, XP_031781363.1
OG0000156	XP_034172064.1	XP_031782954.1, XP_031782971.1, XP_032457184.1, XP_031782949.1, XP_031782945.1
OG0000157	XP_034178430.1	XP_032456198.1, XP_031788611.1
OG0000158	XP_034177338.1	XP_016840739.1, XP_031785765.1, XP_016840738.1
OG0000160	XP_034176220.1, XP_034176221.1	XP_008204617.1
OG0000160	XP_034182275.1	XP_003424871.1, XP_003424872.1
OG0000161	XP_034182690.1	XP_001599809.1, XP_016839500.1, XP_001605936.1, NP_001165968.1, XP_001603114.1, XP_031779032.1, NP_001165966.1, NP_001165965.1
OG0000162	XP_034185575.1	NP_001234904.1, XP_031787426.1
OG0000162	XP_034184537.1	XP_031789332.1, NP_001234893.1
OG0000164	XP_034196183.1, XP_034195536.1	XP_031777945.1, XP_016843278.1, XP_031780582.1, XP_031777892.1, XP_031777902.1, XP_031780583.1
OG0000165	XP_034193100.1	XP_008211085.1
OG0000166	XP_034172021.1, XP_034172006.1, XP_034171988.1, XP_034171990.1	XP_032458153.1, XP_031777661.1, XP_031777675.1, XP_032458168.1
OG0000170	XP_034186105.1, XP_034186106.1	XP_032453170.1
OG0000170	XP_034186107.1	XP_001604322.2
OG0000170	XP_034186114.1	XP_016837471.1, XP_016837469.1, XP_008204248.1, XP_016837470.2
OG0000171	XP_034175616.1, XP_034175629.1	XP_016838928.1, XP_001608062.2, XP_031780002.1
OG0000172	XP_034186460.1, XP_034186461.1, XP_034186462.1, XP_034186463.1, XP_034186455.1, XP_034186454.1, XP_034186457.1, XP_034186459.1, XP_034186458.1, XP_034186464.1	XP_031789541.1
OG0000173	XP_034193474.1, XP_034193472.1, XP_034193473.1, XP_034193470.1, XP_034193475.1, XP_034193476.1	XP_031787440.1, NP_001153423.1, NP_001153422.1
OG0000174	XP_034180576.1, XP_034180577.1, XP_034180578.1	XP_001600210.1
OG0000176	XP_034171203.1	NP_001127789.1
OG0000177	XP_034175291.1	XP_001606472.1
OG0000177	XP_034176051.1, XP_034176049.1	XP_008210134.1
OG0000177	XP_034176052.1	XP_003427240.1
OG0000178	XP_034190100.1, XP_034190095.1	XP_031787092.1
