Orthogroup	Osmia_lignaria	Osmia_bicornis
OG0000005	XP_034194884.1, XP_034195199.1	XP_029053461.1
OG0000005	XP_034194801.1, XP_034177368.1	XP_029054741.1
OG0000005	XP_034183909.1	XP_029052591.1, XP_029053451.1
OG0000005	XP_034192544.1	XP_029052800.1
OG0000005	XP_034194984.1	XP_029054775.1
OG0000005	XP_034195194.1	XP_029054745.1, XP_029055162.1, XP_029055178.1, XP_029054077.1
OG0000005	XP_034195189.1	XP_029054700.1
OG0000005	XP_034194633.1	XP_029055241.1, XP_029055047.1
OG0000005	XP_034189857.1	XP_029036971.1
OG0000005	XP_034194584.1	XP_029055156.1, XP_029053759.1, XP_029054660.1
OG0000005	XP_034194881.1	XP_029054922.1, XP_029055229.1
OG0000006	XP_034178505.1, XP_034178504.1	XP_029036176.1
OG0000006	XP_034178575.1	XP_029036174.1
OG0000006	XP_034178513.1, XP_034178578.1, XP_034178576.1	XP_029036173.1
OG0000006	XP_034178500.1, XP_034178499.1	XP_029036170.1
OG0000006	XP_034178579.1	XP_029036167.1
OG0000006	XP_034178503.1	XP_029036178.1, XP_029036177.1
OG0000006	XP_034189642.1	XP_029033655.1
OG0000007	XP_034194792.1	XP_029055261.1
OG0000007	XP_034195128.1	XP_029055254.1
OG0000007	XP_034184035.1	XP_029055077.1, XP_029053862.1, XP_029053484.1
OG0000007	XP_034192270.1	XP_029053574.1
OG0000007	XP_034192484.1	XP_029053982.1
OG0000007	XP_034178195.1, XP_034194607.1	XP_029054809.1
OG0000007	XP_034194576.1	XP_029055155.1, XP_029054680.1
OG0000007	XP_034174772.1	XP_029054781.1
OG0000008	XP_034185974.1	XP_029037761.1
OG0000008	XP_034185973.1	XP_029037752.1, XP_029037753.1
OG0000008	XP_034181671.1	XP_029041248.1
OG0000008	XP_034185983.1	XP_029037757.1
OG0000008	XP_034185979.1, XP_034185978.1	XP_029037755.1
OG0000008	XP_034185982.1, XP_034185981.1, XP_034185980.1	XP_029037762.1
OG0000009	XP_034180231.1	XP_029039353.1
OG0000009	XP_034180230.1	XP_029039355.1
OG0000009	XP_034180232.1	XP_029039354.1
OG0000009	XP_034195958.1	XP_029050383.1
OG0000009	XP_034180228.1, XP_034180226.1	XP_029039416.1
OG0000009	XP_034180498.1	XP_029039350.1
OG0000009	XP_034180227.1	XP_029039348.1, XP_029039349.1
OG0000010	XP_034183416.1	XP_029054044.1, XP_029054342.1
OG0000010	XP_034194926.1, XP_034195327.1	XP_029053689.1, XP_029053833.1
OG0000010	XP_034192190.1	XP_029054571.1
OG0000010	XP_034183422.1	XP_029055204.1, XP_029055000.1, XP_029054706.1
OG0000010	XP_034182488.1	XP_029054238.1
OG0000010	XP_034195328.1	XP_029054267.1
OG0000010	XP_034195161.1, XP_034182489.1	XP_029053688.1, XP_029055081.1
OG0000011	XP_034179498.1	XP_029054371.1
OG0000011	XP_034179503.1	XP_029039510.1
OG0000011	XP_034179500.1, XP_034179514.1	XP_029039509.1
OG0000011	XP_034178976.1	XP_029039508.1
OG0000011	XP_034178986.1	XP_029039506.1
OG0000011	XP_034179499.1	XP_029039474.1
OG0000011	XP_034179569.1, XP_034178978.1	XP_029039507.1
OG0000011	XP_034179326.1	XP_029053128.1
OG0000011	XP_034179109.1	XP_029053127.1
OG0000011	XP_034179107.1	XP_029052576.1, XP_029054131.1
OG0000011	XP_034179567.1	XP_029054129.1
OG0000011	XP_034179496.1	XP_029052577.1, XP_029053130.1, XP_029053132.1, XP_029053134.1
OG0000011	XP_034178945.1, XP_034179106.1, XP_034179327.1, XP_034178946.1	XP_029052579.1
OG0000011	XP_034192240.1	XP_029053590.1
OG0000011	XP_034179568.1	XP_029053754.1, XP_029053755.1
OG0000011	XP_034179105.1	XP_029053123.1, XP_029054135.1, XP_029053126.1
OG0000011	XP_034179001.1, XP_034179112.1	XP_029053131.1, XP_029054368.1
OG0000011	XP_034179515.1	XP_029054370.1
OG0000011	XP_034179497.1	XP_029052586.1, XP_029054369.1
OG0000012	XP_034181531.1	XP_029044618.1
OG0000012	XP_034195538.1	XP_029040169.1
OG0000012	XP_034193627.1	XP_029036967.1
OG0000012	XP_034193628.1	XP_029036856.1
OG0000013	XP_034195020.1	XP_029054967.1
OG0000013	XP_034184139.1, XP_034171306.1, XP_034173427.1, XP_034171174.1	XP_029035638.1
OG0000013	XP_034191425.1, XP_034191426.1	XP_029037650.1
OG0000014	XP_034173943.1	XP_029035522.1
OG0000014	XP_034175387.1	XP_029053444.1
OG0000014	XP_034171057.1	XP_029055146.1, XP_029053956.1
OG0000014	XP_034183943.1	XP_029054088.1
OG0000014	XP_034173506.1	XP_029051685.1
OG0000014	XP_034173507.1	XP_029051694.1
OG0000014	XP_034173418.1	XP_029051987.1
OG0000015	XP_034195318.1, XP_034194991.1	XP_029054814.1
OG0000015	XP_034195038.1, XP_034194992.1, XP_034195335.1	XP_029055256.1
OG0000015	XP_034194993.1, XP_034195336.1, XP_034195047.1, XP_034195037.1	XP_029054815.1
OG0000016	XP_034192195.1	XP_029054344.1, XP_029054391.1, XP_029053686.1
OG0000016	XP_034177371.1	XP_029055268.1
OG0000016	XP_034174822.1	XP_029055014.1, XP_029051957.1, XP_029054619.1
OG0000016	XP_034182100.1	XP_029053691.1, XP_029054936.1
OG0000017	XP_034170905.1	XP_029036237.1
OG0000017	XP_034178979.1	XP_029039555.1
OG0000017	XP_034178985.1, XP_034178984.1	XP_029039565.1, XP_029039563.1, XP_029039564.1
OG0000018	XP_034175482.1	XP_029051327.1
OG0000018	XP_034193265.1, XP_034193266.1, XP_034193267.1, XP_034193268.1	XP_029049739.1, XP_029049738.1, XP_029049740.1
OG0000018	XP_034193261.1	XP_029049735.1
OG0000018	XP_034193695.1, XP_034193694.1	XP_029036695.1
OG0000019	XP_034176014.1	XP_029052871.1, XP_029052872.1
OG0000019	XP_034185020.1	XP_029052293.1
OG0000019	XP_034185441.1	XP_029033414.1
OG0000020	XP_034186692.1	XP_029043034.1
OG0000020	XP_034171877.1	XP_029055041.1
OG0000020	XP_034185768.1	XP_029051090.1
OG0000021	XP_034193153.1	XP_029032147.1
OG0000021	XP_034176195.1, XP_034176197.1, XP_034176196.1	XP_029046571.1
OG0000021	XP_034184869.1	XP_029049609.1
OG0000021	XP_034181343.1	XP_029041225.1
OG0000021	XP_034194090.1, XP_034194088.1, XP_034194089.1, XP_034194086.1, XP_034194087.1	XP_029039365.1, XP_029039366.1, XP_029039367.1, XP_029039368.1, XP_029039369.1, XP_029039363.1
OG0000022	XP_034173512.1	XP_029051688.1
OG0000022	XP_034173513.1	XP_029051703.1
OG0000022	XP_034187482.1	XP_029035866.1
OG0000022	XP_034184140.1	XP_029054087.1
OG0000022	XP_034173808.1	XP_029053362.1
OG0000022	XP_034171775.1	XP_029055198.1, XP_029053955.1, XP_029054818.1
OG0000022	XP_034171711.1	XP_029053454.1
OG0000022	XP_034195017.1, XP_034171584.1	XP_029053455.1
OG0000023	XP_034173938.1	XP_029053360.1
OG0000023	XP_034173514.1	XP_029053456.1, XP_029054574.1
OG0000023	XP_034171836.1, XP_034195016.1	XP_029053954.1, XP_029055089.1
OG0000023	XP_034183944.1	XP_029053953.1
OG0000023	XP_034171974.1	XP_029051697.1
OG0000023	XP_034173515.1	XP_029053457.1
OG0000023	XP_034173428.1	XP_029051991.1
OG0000024	XP_034183501.1	XP_029051585.1
OG0000024	XP_034183524.1	XP_029051584.1
OG0000024	XP_034183512.1	XP_029051583.1
OG0000024	XP_034183486.1	XP_029051581.1
OG0000024	XP_034173678.1	XP_029052345.1
OG0000024	XP_034193921.1	XP_029045871.1
OG0000024	XP_034193919.1	XP_029045870.1
OG0000025	XP_034192337.1, XP_034190498.1	XP_029052233.1
OG0000026	XP_034194425.1	XP_029039364.1
OG0000026	XP_034179246.1	XP_029035302.1
OG0000026	XP_034195801.1	XP_029032070.1, XP_029039545.1
OG0000026	XP_034196365.1	XP_029055886.1, XP_029031842.1, XP_029032017.1, XP_029055971.1, XP_029055800.1, XP_029031929.1
OG0000027	XP_034174017.1	XP_029053373.1
OG0000027	XP_034172344.1, XP_034173947.1, XP_034172482.1	XP_029035641.1, XP_029053960.1
OG0000027	XP_034173430.1	XP_029053445.1
OG0000028	XP_034194686.1	XP_029053864.1, XP_029053767.1, XP_029054640.1, XP_029053970.1
OG0000028	XP_034177277.1	XP_029054361.1
OG0000028	XP_034194632.1	XP_029054545.1, XP_029054436.1
OG0000028	XP_034195148.1, XP_034195155.1	XP_029054849.1
OG0000028	XP_034195196.1	XP_029054504.1, XP_029055176.1, XP_029053692.1, XP_029054588.1
OG0000028	XP_034192183.1	XP_029055042.1, XP_029053911.1, XP_029055035.1, XP_029055068.1
OG0000028	XP_034194642.1	XP_029054284.1, XP_029053972.1
OG0000029	XP_034181406.1	XP_029041154.1
OG0000029	XP_034181408.1	XP_029041149.1
OG0000029	XP_034187040.1	XP_029049864.1, XP_029049863.1
OG0000029	XP_034181507.1	XP_029041266.1
OG0000030	XP_034172323.1	XP_029038013.1, XP_029038012.1
OG0000030	XP_034183201.1	XP_029049282.1
OG0000031	XP_034183419.1	XP_029055242.1, XP_029054756.1
OG0000031	XP_034195153.1	XP_029054919.1
OG0000031	XP_034192177.1	XP_029055168.1, XP_029055143.1
OG0000031	XP_034194883.1	XP_029055290.1, XP_029055318.1
OG0000031	XP_034194575.1	XP_029054758.1, XP_029054093.1
OG0000031	XP_034187271.1	XP_029039306.1, XP_029039307.1, XP_029039305.1
OG0000031	XP_034187268.1, XP_034187270.1, XP_034187269.1	XP_029039303.1, XP_029039304.1
OG0000031	XP_034194909.1	XP_029053776.1, XP_029053777.1, XP_029053775.1, XP_029053774.1, XP_029053773.1, XP_029053772.1, XP_029053771.1
OG0000031	XP_034174313.1	XP_029035531.1
OG0000031	XP_034190697.1	XP_029054646.1, XP_029055138.1
OG0000031	XP_034172724.1, XP_034172725.1	XP_029053793.1, XP_029054769.1, XP_029053898.1
OG0000031	XP_034190885.1, XP_034190884.1	XP_029033246.1
OG0000031	XP_034183697.1	XP_029040500.1
OG0000031	XP_034183440.1	XP_029055091.1, XP_029054466.1, XP_029055036.1, XP_029054675.1
OG0000032	XP_034196186.1	XP_029053845.1, XP_029053357.1
OG0000032	XP_034177599.1	XP_029055718.1
OG0000032	XP_034177331.1	XP_029055719.1, XP_029055717.1
OG0000032	XP_034185955.1	XP_029050538.1
OG0000033	XP_034192173.1	XP_029055236.1
OG0000033	XP_034174846.1	XP_029044380.1
OG0000034	XP_034176024.1	XP_029052867.1, XP_029052866.1
OG0000034	XP_034175225.1	XP_029052851.1
OG0000034	XP_034175224.1	XP_029052877.1
OG0000034	XP_034178174.1	XP_029048590.1, XP_029048589.1
OG0000034	XP_034176023.1	XP_029052850.1
OG0000035	XP_034174457.1	XP_029032235.1
OG0000036	XP_034179596.1	XP_029047761.1
OG0000036	XP_034179600.1	XP_029047766.1
OG0000036	XP_034179597.1	XP_029047762.1
OG0000036	XP_034179599.1	XP_029047765.1
OG0000036	XP_034179598.1	XP_029047764.1
OG0000036	XP_034186699.1	XP_029043016.1
OG0000036	XP_034186700.1	XP_029043017.1
OG0000037	XP_034181170.1	XP_029047042.1
OG0000038	XP_034191028.1	XP_029041947.1
OG0000038	XP_034195488.1	XP_029050411.1
OG0000038	XP_034174737.1	XP_029032964.1
OG0000038	XP_034179614.1	XP_029039496.1
OG0000038	XP_034193717.1	XP_029036716.1
OG0000038	XP_034179069.1	XP_029034840.1
OG0000038	XP_034193748.1, XP_034193749.1, XP_034193750.1	XP_029045842.1, XP_029045843.1, XP_029045841.1
OG0000039	XP_034194957.1	XP_029055063.1
OG0000039	XP_034195223.1	XP_029055279.1, XP_029054655.1
OG0000040	XP_034170811.1	XP_029055961.1
OG0000040	XP_034170810.1	XP_029055960.1
OG0000040	XP_034170809.1	XP_029055959.1
OG0000041	XP_034174489.1, XP_034174481.1	XP_029032654.1, XP_029032653.1
OG0000041	XP_034183063.1	XP_029038902.1
OG0000041	XP_034183066.1	XP_029038901.1, XP_029038899.1
OG0000041	XP_034186914.1	XP_029053007.1
OG0000042	XP_034173998.1	XP_029048713.1
OG0000043	XP_034173650.1	XP_029038126.1
OG0000043	XP_034192576.1	XP_029042859.1
OG0000043	XP_034192580.1	XP_029042860.1
OG0000043	XP_034196124.1	XP_029032665.1
OG0000044	XP_034185423.1, XP_034185424.1	XP_029033389.1, XP_029033390.1
OG0000044	XP_034185422.1	XP_029033388.1
OG0000044	XP_034185647.1, XP_034185650.1, XP_034185648.1	XP_029033272.1, XP_029033270.1, XP_029033271.1
OG0000045	XP_034196329.1	XP_029050902.1
OG0000045	XP_034196330.1	XP_029050927.1, XP_029050914.1
OG0000045	XP_034181260.1	XP_029043746.1
OG0000046	XP_034194263.1	XP_029046126.1
OG0000046	XP_034188783.1	XP_029054140.1
OG0000046	XP_034179386.1	XP_029049335.1
OG0000046	XP_034176742.1	XP_029049438.1, XP_029049436.1, XP_029049437.1
OG0000047	XP_034177275.1, XP_034192311.1, XP_034192314.1, XP_034192434.1, XP_034192433.1, XP_034194157.1, XP_034194156.1, XP_034194155.1, XP_034182102.1, XP_034170845.1, XP_034177194.1, XP_034192178.1	XP_029054608.1, XP_029054038.1, XP_029055277.1, XP_029054997.1, XP_029054202.1
OG0000047	XP_034174821.1	XP_029055147.1
OG0000047	XP_034187731.1	XP_029054348.1, XP_029039380.1, XP_029053798.1
OG0000048	XP_034180854.1	XP_029038651.1
OG0000048	XP_034180253.1	XP_029038664.1
OG0000049	XP_034194850.1, XP_034195011.1, XP_034194963.1, XP_034194789.1, XP_034192558.1, XP_034195077.1	XP_029055197.1
OG0000050	XP_034183260.1	XP_029047238.1
OG0000051	XP_034195086.1	XP_029049350.1
OG0000051	XP_034189003.1	XP_029043251.1
OG0000051	XP_034192310.1, XP_034192309.1	XP_029054696.1
OG0000052	XP_034176227.1	XP_029042748.1
OG0000053	XP_034187776.1	XP_029035920.1, XP_029035921.1
OG0000053	XP_034192365.1	XP_029054836.1, XP_029054892.1, XP_029054993.1
OG0000054	XP_034176647.1	XP_029050144.1
OG0000054	XP_034176640.1	XP_029050156.1
OG0000054	XP_034176646.1	XP_029050150.1
OG0000055	XP_034185035.1, XP_034185036.1, XP_034185034.1, XP_034185037.1	XP_029033370.1, XP_029033371.1
OG0000055	XP_034178359.1	XP_029035680.1
OG0000055	XP_034173748.1, XP_034173749.1, XP_034173750.1	XP_029033281.1, XP_029033290.1, XP_029033297.1
OG0000055	XP_034190706.1	XP_029033206.1
OG0000056	XP_034195921.1	XP_029043848.1, XP_029043447.1
OG0000056	XP_034181068.1	XP_029041052.1
OG0000056	XP_034195945.1	XP_029050404.1
OG0000056	XP_034176871.1	XP_029048153.1
OG0000056	XP_034175501.1, XP_034175497.1	XP_029044167.1
OG0000057	XP_034187515.1	XP_029035838.1
OG0000057	XP_034180852.1	XP_029041778.1
OG0000057	XP_034187516.1	XP_029035983.1
OG0000057	XP_034187514.1	XP_029035967.1
OG0000057	XP_034187518.1	XP_029035984.1
OG0000058	XP_034179634.1	XP_029038287.1
OG0000058	XP_034196442.1	XP_029038274.1
OG0000058	XP_034179608.1	XP_029038900.1
OG0000058	XP_034196577.1	XP_029038888.1, XP_029038873.1
OG0000058	XP_034179620.1, XP_034191910.1	XP_029038863.1
OG0000060	XP_034191137.1	XP_029056239.1, XP_029056240.1
OG0000060	XP_034187152.1, XP_034187149.1, XP_034187153.1, XP_034187150.1, XP_034187148.1, XP_034187151.1	XP_029040322.1, XP_029040321.1, XP_029040320.1, XP_029040318.1, XP_029040317.1
OG0000061	XP_034172253.1	XP_029042514.1
OG0000061	XP_034191746.1, XP_034191745.1, XP_034191749.1, XP_034191748.1, XP_034191747.1	XP_029037437.1
OG0000062	XP_034196475.1	XP_029054767.1
OG0000062	XP_034196526.1	XP_029054389.1
OG0000062	XP_034196469.1	XP_029054437.1
OG0000062	XP_034196470.1	XP_029054392.1
OG0000062	XP_034196468.1	XP_029054447.1
OG0000062	XP_034170830.1	XP_029054763.1
OG0000063	XP_034182480.1, XP_034194997.1, XP_034195296.1, XP_034195297.1, XP_034194554.1, XP_034195174.1	XP_029046072.1, XP_029037443.1, XP_029054529.1, XP_029055142.1
OG0000063	XP_034192192.1	XP_029054014.1, XP_029054084.1
OG0000063	XP_034195302.1	XP_029054652.1
OG0000063	XP_034172329.1	XP_029053184.1
OG0000063	XP_034171030.1	XP_029054846.1
OG0000064	XP_034183284.1	XP_029049217.1
OG0000064	XP_034183285.1, XP_034183048.1	XP_029049232.1, XP_029049008.1
OG0000064	XP_034183283.1	XP_029049978.1
OG0000065	XP_034186031.1, XP_034186030.1, XP_034186029.1, XP_034186032.1	XP_029047719.1
OG0000065	XP_034186028.1	XP_029047711.1
OG0000066	XP_034192378.1	XP_029053476.1
OG0000067	XP_034188060.1	XP_029053164.1
OG0000067	XP_034176568.1	XP_029042775.1
OG0000067	XP_034180395.1	XP_029032763.1
OG0000067	XP_034180397.1	XP_029032764.1
OG0000067	XP_034192090.1	XP_029039161.1
OG0000069	XP_034175784.1	XP_029035424.1, XP_029035422.1
OG0000069	XP_034175786.1	XP_029035425.1
OG0000069	XP_034175787.1, XP_034175788.1	XP_029035429.1
OG0000070	XP_034184608.1	XP_029038560.1, XP_029038569.1
OG0000070	XP_034184609.1	XP_029038581.1
OG0000072	XP_034195182.1, XP_034190456.1	XP_029053885.1, XP_029055169.1, XP_029053735.1, XP_029055057.1, XP_029054943.1, XP_029054530.1, XP_029055166.1
OG0000072	XP_034195052.1, XP_034194905.1, XP_034195080.1	XP_029053861.1
OG0000072	XP_034194705.1	XP_029055058.1, XP_029055170.1
OG0000073	XP_034195422.1	XP_029054983.1, XP_029052801.1, XP_029050690.1
OG0000073	XP_034195423.1	XP_029051176.1
OG0000073	XP_034195421.1	XP_029051151.1
OG0000074	XP_034175255.1	XP_029038270.1
OG0000074	XP_034195150.1	XP_029053481.1
OG0000075	XP_034184988.1	XP_029044179.1, XP_029044180.1
OG0000076	XP_034182479.1	XP_029054930.1
OG0000076	XP_034177276.1	XP_029055240.1, XP_029054468.1, XP_029053734.1
OG0000076	XP_034194538.1	XP_029054673.1, XP_029054785.1, XP_029054773.1
OG0000076	XP_034194196.1	XP_029054260.1, XP_029054345.1
OG0000077	XP_034178573.1, XP_034178581.1	XP_029041461.1
OG0000077	XP_034192524.1	XP_029051620.1
OG0000078	XP_034175210.1	XP_029038384.1
OG0000078	XP_034175209.1, XP_034190765.1, XP_034176183.1, XP_034190809.1	XP_029038253.1
OG0000079	XP_034174764.1	XP_029035221.1
OG0000080	XP_034191096.1	XP_029048618.1, XP_029048619.1
OG0000080	XP_034191102.1	XP_029048621.1, XP_029048620.1
OG0000081	XP_034179208.1	XP_029040924.1, XP_029040923.1
OG0000081	XP_034179214.1	XP_029040922.1
OG0000081	XP_034179212.1	XP_029040928.1, XP_029040927.1, XP_029040929.1, XP_029040930.1
OG0000081	XP_034179508.1, XP_034179507.1	XP_029040871.1
OG0000082	XP_034191540.1, XP_034191538.1, XP_034191541.1, XP_034191539.1	XP_029037393.1
OG0000082	XP_034191543.1, XP_034191542.1	XP_029037394.1
OG0000082	XP_034191544.1	XP_029037432.1, XP_029037434.1, XP_029037430.1, XP_029037431.1, XP_029037428.1, XP_029037429.1, XP_029037433.1
OG0000082	XP_034191545.1	XP_029037395.1
OG0000083	XP_034192554.1, XP_034184636.1	XP_029054325.1, XP_029052474.1, XP_029054760.1, XP_029055217.1, XP_029054748.1
OG0000083	XP_034194645.1, XP_034195012.1	XP_029054659.1, XP_029054537.1, XP_029054360.1, XP_029054550.1
OG0000083	XP_034192179.1	XP_029054105.1, XP_029055102.1
OG0000083	XP_034177372.1	XP_029053432.1, XP_029055154.1, XP_029053881.1
OG0000083	XP_034174835.1	XP_029054230.1
OG0000083	XP_034174838.1	XP_029054295.1
OG0000083	XP_034173823.1	XP_029054390.1
OG0000084	XP_034188705.1	XP_029034284.1
OG0000084	XP_034188707.1, XP_034188706.1	XP_029034285.1
OG0000084	XP_034188921.1	XP_029034302.1
OG0000084	XP_034189639.1	XP_029039752.1
OG0000085	XP_034192632.1, XP_034192631.1	XP_029036566.1, XP_029036567.1
OG0000085	XP_034171418.1	XP_029036300.1, XP_029036301.1
OG0000086	XP_034193661.1	XP_029036714.1
OG0000087	XP_034179280.1	XP_029056468.1
OG0000087	XP_034179279.1	XP_029056467.1
OG0000087	XP_034179278.1	XP_029056466.1
OG0000088	XP_034186223.1	XP_029051133.1
OG0000089	XP_034188076.1, XP_034188075.1, XP_034188074.1	XP_029053161.1, XP_029053163.1, XP_029053162.1
OG0000089	XP_034183382.1	XP_029051588.1
OG0000090	XP_034194822.1, XP_034194531.1, XP_034192185.1	XP_029055220.1
OG0000091	XP_034181366.1, XP_034181369.1, XP_034181364.1	XP_029041126.1, XP_029041124.1
OG0000092	XP_034172508.1	XP_029048799.1
OG0000092	XP_034196103.1	XP_029041975.1, XP_029041991.1
OG0000092	XP_034196104.1, XP_034196105.1, XP_034196106.1, XP_034196107.1	XP_029043422.1, XP_029044965.1, XP_029044957.1
OG0000092	XP_034178502.1	XP_029036169.1
OG0000094	XP_034172066.1	XP_029033929.1
OG0000094	XP_034183347.1, XP_034183349.1, XP_034183348.1	XP_029034646.1, XP_029034647.1
OG0000094	XP_034186765.1	XP_029050994.1
OG0000095	XP_034175885.1	XP_029035463.1
OG0000096	XP_034192124.1	XP_029039146.1
OG0000096	XP_034177248.1	XP_029053037.1
OG0000097	XP_034190835.1, XP_034190836.1	XP_029033159.1, XP_029033157.1, XP_029033158.1
OG0000097	XP_034176738.1, XP_034176739.1	XP_029042191.1, XP_029042190.1
OG0000098	XP_034189437.1	XP_029040058.1, XP_029040062.1, XP_029040061.1
OG0000098	XP_034189438.1	XP_029040060.1
OG0000098	XP_034189434.1	XP_029040057.1
OG0000099	XP_034179642.1, XP_034179643.1, XP_034179641.1	XP_029034823.1
OG0000099	XP_034193873.1	XP_029045960.1
OG0000100	XP_034186665.1, XP_034186661.1, XP_034186660.1, XP_034186663.1, XP_034186662.1, XP_034186656.1, XP_034186655.1, XP_034186659.1, XP_034186658.1, XP_034186664.1, XP_034186666.1, XP_034186667.1, XP_034186669.1, XP_034186670.1, XP_034186654.1	XP_029038954.1, XP_029038955.1, XP_029038950.1, XP_029038951.1, XP_029038952.1, XP_029038953.1
OG0000101	XP_034181509.1	XP_029038150.1
OG0000101	XP_034181515.1	XP_029038151.1
OG0000102	XP_034184723.1	XP_029052948.1
OG0000103	XP_034185802.1	XP_029044547.1
OG0000103	XP_034183404.1	XP_029044558.1, XP_029044556.1
OG0000103	XP_034183410.1, XP_034183407.1, XP_034183408.1, XP_034183409.1	XP_029034468.1, XP_029034469.1, XP_029034466.1, XP_029034467.1
OG0000106	XP_034172450.1	XP_029044943.1
OG0000106	XP_034195545.1	XP_029048081.1, XP_029048075.1, XP_029048076.1
OG0000107	XP_034193089.1	XP_029051339.1
OG0000108	XP_034193813.1	XP_029040200.1, XP_029040201.1
OG0000109	XP_034187719.1	XP_029050471.1, XP_029050469.1
