Orthogroup	Osmia_lignaria	Solenopsis_invicta
OG0000007	XP_034184035.1, XP_034192270.1, XP_034192484.1, XP_034194023.1, XP_034178195.1, XP_034194607.1	XP_025990628.2, XP_039303538.1, XP_039310339.1, XP_025996264.2, XP_039304171.1
OG0000007	XP_034194576.1, XP_034174772.1, XP_034171871.1, XP_034195291.1	XP_039311885.1, XP_039311884.1, XP_039311883.1, XP_039310355.1, XP_039301901.1, XP_039314630.1, XP_039311747.1, XP_039311845.1, XP_039305718.1, XP_039308549.1, XP_011174600.3, XP_039306469.1, XP_039313182.1, XP_039304561.1, XP_039304533.1, XP_039311963.1, XP_039309385.1, XP_025989586.2, XP_039305688.1
OG0000008	XP_034185974.1	XP_011158384.1, XP_039305295.1, XP_039307163.1
OG0000008	XP_034181671.1	XP_039314393.1, XP_039314392.1, XP_025990966.2
OG0000008	XP_034185970.1	XP_039314890.1, XP_025990736.1, XP_039314253.1, XP_039314743.1, XP_025990780.1, XP_011174114.2, XP_011157509.1, XP_011161144.1, XP_011158387.1
OG0000008	XP_034185983.1	XP_039305326.1, XP_039305325.1, XP_039305297.1
OG0000008	XP_034185979.1, XP_034185978.1	XP_011158386.1, XP_039305296.1
OG0000008	XP_034185982.1, XP_034185981.1, XP_034185980.1	XP_039305528.1
OG0000009	XP_034180231.1, XP_034180230.1, XP_034180232.1	XP_039307552.1, XP_039307297.1, XP_011172819.1, XP_011172814.2, XP_011172813.1, XP_011172812.1, XP_039306889.1, XP_011172811.1, XP_011158271.1, XP_011155385.2, XP_039312296.1, XP_039312297.1
OG0000009	XP_034195958.1	XP_011175447.1, XP_039310444.1, XP_039310445.1, XP_039313457.1, XP_039315616.1, XP_039301753.1, XP_011175446.1, XP_011175444.1, XP_011168514.1, XP_011175440.1, XP_011175442.1, XP_011175441.1, XP_039310443.1
OG0000009	XP_034180498.1, XP_034180227.1	XP_011172780.1, XP_011160035.1
OG0000010	XP_034183416.1, XP_034194926.1, XP_034195327.1, XP_034192190.1, XP_034190727.1, XP_034183422.1, XP_034182488.1	XP_025997575.1, XP_011165199.1, XP_039315379.1, XP_039315378.1, XP_039315520.1, XP_011171567.1, XP_039313512.1, XP_039309910.1, XP_011173321.1, XP_011156630.1, XP_039313808.1, XP_039309913.1, XP_039312408.1, XP_039302116.1
OG0000010	XP_034195328.1, XP_034195161.1, XP_034182489.1	XP_025985789.1, XP_025996848.1, XP_011171529.1, XP_011165198.1, XP_039315521.1, XP_011173322.1, XP_039309946.1
OG0000011	XP_034179513.1	XP_039311372.1
OG0000012	XP_034181531.1	XP_011157834.1
OG0000012	XP_034193625.1	XP_025991007.1
OG0000013	XP_034195020.1	XP_011165753.2
OG0000013	XP_034171451.1, XP_034184139.1, XP_034171306.1, XP_034173427.1, XP_034171174.1	XP_011166327.1
OG0000013	XP_034191426.1	XP_011158467.1, XP_011158466.1, XP_039315701.1
OG0000014	XP_034173943.1, XP_034175387.1, XP_034171057.1, XP_034183943.1, XP_034173506.1	XP_011156264.2
OG0000014	XP_034173507.1, XP_034173418.1	XP_011163196.1
OG0000015	XP_034194842.1, XP_034195186.1	XP_039311973.1, XP_025997032.2, XP_039303427.1
OG0000016	XP_034192195.1	XP_025994129.1, XP_039306761.1
OG0000016	XP_034177371.1	XP_039313966.1, XP_039309074.1, XP_039304382.1, XP_039314252.1, XP_039306750.1, XP_039304356.1, XP_039301762.1, XP_039309915.1, XP_039303543.1, XP_039303418.1, XP_039303421.1, XP_039309887.1
OG0000016	XP_034174822.1	XP_039304375.1, XP_039308808.1, XP_025991342.1
OG0000016	XP_034182100.1	XP_039308631.1
OG0000016	XP_034194692.1	XP_011170184.2, XP_039310366.1, XP_039313041.1, XP_011159853.1, XP_011171075.1
OG0000018	XP_034175482.1	XP_025993846.1, XP_039312756.1
OG0000018	XP_034193265.1, XP_034193266.1, XP_034193267.1, XP_034193268.1	XP_011168181.2, XP_011168177.2
OG0000018	XP_034193261.1	XP_039312480.1, XP_039312479.1
OG0000019	XP_034176014.1	XP_025990211.2
OG0000019	XP_034185020.1	XP_025995191.1, XP_039305114.1, XP_039305111.1, XP_039305113.1, XP_039305526.1, XP_025995621.1, XP_011155911.3, XP_039305205.1, XP_039305125.1, XP_011176163.1
OG0000019	XP_034185441.1	XP_011155421.1, XP_025990075.1, XP_039308626.1
OG0000020	XP_034186694.1	XP_011159576.2
OG0000020	XP_034192547.1	XP_025986409.1
OG0000020	XP_034171877.1	XP_025987337.1
OG0000021	XP_034193153.1	XP_011162935.1
OG0000021	XP_034176195.1, XP_034176197.1, XP_034176196.1	XP_011159438.1
OG0000021	XP_034194090.1, XP_034194088.1, XP_034194089.1, XP_034194086.1, XP_034194087.1	XP_025991392.1
OG0000022	XP_034187482.1	XP_011163652.1
OG0000022	XP_034184140.1, XP_034173808.1, XP_034171775.1, XP_034171711.1, XP_034195017.1, XP_034171584.1	XP_011163198.1
OG0000023	XP_034173938.1	XP_011163199.1, XP_011166349.1
OG0000024	XP_034183501.1, XP_034183524.1, XP_034183512.1	XP_025992331.1
OG0000024	XP_034173678.1	XP_011168449.1, XP_011168448.1
OG0000024	XP_034193921.1	XP_025991932.1
OG0000024	XP_034193919.1	XP_025991934.1
OG0000026	XP_034194425.1	XP_039304799.1
OG0000026	XP_034181081.1	XP_011175708.1, XP_039313524.1, XP_039313525.1, XP_039313526.1, XP_025989861.1, XP_039313527.1
OG0000027	XP_034174017.1	XP_011156268.1
OG0000028	XP_034194686.1	XP_039307886.1, XP_025993453.2, XP_025997479.2, XP_011171716.1
OG0000028	XP_034195196.1	XP_039309129.1
OG0000029	XP_034181406.1, XP_034181408.1	XP_011175277.3
OG0000029	XP_034187040.1	XP_025987625.1
OG0000029	XP_034181507.1	XP_025994361.1
OG0000030	XP_034172323.1	XP_025986100.1
OG0000030	XP_034183201.1	XP_011165417.3, XP_039308147.1, XP_039313768.1
OG0000031	XP_034172724.1, XP_034172725.1, XP_034190885.1, XP_034190884.1, XP_034183697.1, XP_034183440.1	XP_025994108.1
OG0000032	XP_034191636.1	XP_025991246.2
OG0000032	XP_034177599.1, XP_034177331.1	XP_011159466.2
OG0000032	XP_034185955.1	XP_011165027.1, XP_011165031.2, XP_011165029.2, XP_011165028.2
OG0000033	XP_034192172.1, XP_034192173.1	XP_025996388.2
OG0000033	XP_034174846.1	XP_039315453.1
OG0000034	XP_034176024.1, XP_034175225.1, XP_034175224.1, XP_034178174.1, XP_034176023.1	XP_039302507.1, XP_039315321.1, XP_039307234.1
OG0000035	XP_034174457.1	XP_039312187.1
OG0000036	XP_034179599.1, XP_034179598.1, XP_034186699.1, XP_034186700.1	XP_011166049.1
OG0000037	XP_034181170.1	XP_011161783.1
OG0000038	XP_034191028.1, XP_034195488.1	XP_011172049.1
OG0000038	XP_034174737.1	XP_011173370.1
OG0000038	XP_034193717.1	XP_011174246.2
OG0000038	XP_034179069.1	XP_025991821.1
OG0000039	XP_034195325.1	XP_039311331.1, XP_039303495.1, XP_039303407.1, XP_039303449.1, XP_039312874.1, XP_039315492.1, XP_039312525.1, XP_039311327.1, XP_039305149.1, XP_025994381.1, XP_011162982.1, XP_039315449.1, XP_039309120.1, XP_039310752.1, XP_039304385.1, XP_011169959.1, XP_039301724.1, XP_039303416.1
OG0000039	XP_034194031.1	XP_011160646.1, XP_039303925.1, XP_011163115.1
OG0000040	XP_034170811.1, XP_034170810.1, XP_034170809.1	XP_039308303.1, XP_011155953.3, XP_025987097.2, XP_039308361.1, XP_039303181.1
OG0000041	XP_034174489.1, XP_034174481.1	XP_011173672.1, XP_011173741.1
OG0000041	XP_034183063.1	XP_039304943.1, XP_039304942.1, XP_011173639.1
OG0000041	XP_034183066.1, XP_034183064.1	XP_011173634.1, XP_011173641.1
OG0000041	XP_034186914.1	XP_011167847.1
OG0000042	XP_034173998.1	XP_025988401.1, XP_025988400.1
OG0000043	XP_034173650.1	XP_011166108.1
OG0000043	XP_034196124.1	XP_011172450.1
OG0000044	XP_034185423.1, XP_034185424.1	XP_039306340.1, XP_025986513.2
OG0000044	XP_034185422.1	XP_025986454.1
OG0000044	XP_034185647.1, XP_034185650.1, XP_034185648.1	XP_025986451.2, XP_025986364.1, XP_025986365.1, XP_025986366.1, XP_025986367.1
OG0000045	XP_034196329.1, XP_034196330.1	XP_011157503.2
OG0000045	XP_034181260.1	XP_011156768.2
OG0000045	XP_034177285.1, XP_034177286.1	XP_039312826.1
OG0000046	XP_034194263.1	XP_011168512.1
OG0000046	XP_034188783.1	XP_011168531.1
OG0000046	XP_034179386.1	XP_039310878.1, XP_039310880.1, XP_039310879.1
OG0000047	XP_034183417.1, XP_034177275.1, XP_034192311.1, XP_034192314.1, XP_034192434.1, XP_034192433.1, XP_034194157.1, XP_034194156.1, XP_034194155.1, XP_034182102.1, XP_034170845.1, XP_034177194.1, XP_034192178.1	XP_039307231.1, XP_039307232.1, XP_025997124.1, XP_039305177.1, XP_039308536.1, XP_039308537.1
OG0000047	XP_034174821.1, XP_034187731.1	XP_039302440.1
OG0000048	XP_034180854.1	XP_011160449.2, XP_039303831.1
OG0000051	XP_034192310.1, XP_034192309.1	XP_039312743.1, XP_011170442.1
OG0000052	XP_034191839.1	XP_011160846.1
OG0000052	XP_034176227.1	XP_025995966.1
OG0000053	XP_034192365.1	XP_011162891.2
OG0000054	XP_034176647.1	XP_011164393.2
OG0000054	XP_034176640.1, XP_034176646.1	XP_011164215.1, XP_011164214.2
OG0000055	XP_034185035.1, XP_034185036.1, XP_034185034.1, XP_034185037.1	XP_039311167.1
OG0000055	XP_034178359.1	XP_039311121.1
OG0000055	XP_034173748.1, XP_034173749.1, XP_034173750.1	XP_011169776.2
OG0000055	XP_034190706.1	XP_011162045.1
OG0000056	XP_034195921.1	XP_039301684.1
OG0000056	XP_034174982.1	XP_025992809.2
OG0000056	XP_034181068.1	XP_011167471.3
OG0000056	XP_034195945.1	XP_039313454.1
OG0000056	XP_034176871.1	XP_039306715.1
OG0000057	XP_034187515.1	XP_011165693.1
OG0000057	XP_034180852.1	XP_011161996.1
OG0000057	XP_034187516.1	XP_011165691.1
OG0000057	XP_034187514.1	XP_011165692.1
OG0000058	XP_034196442.1, XP_034179608.1, XP_034196577.1, XP_034179620.1, XP_034191910.1, XP_034196053.1	XP_011160196.3, XP_039304404.1, XP_011166290.1, XP_011160197.2, XP_039304698.1, XP_039304395.1, XP_039304704.1, XP_039304706.1
OG0000060	XP_034191137.1	XP_011166599.1, XP_039312995.1, XP_039313020.1
OG0000060	XP_034187152.1, XP_034187149.1, XP_034187153.1, XP_034187150.1, XP_034187148.1, XP_034187151.1	XP_011166588.1, XP_039313855.1, XP_039313856.1
OG0000061	XP_034172253.1	XP_039310102.1
OG0000063	XP_034192205.1, XP_034194193.1, XP_034182480.1, XP_034194997.1, XP_034195296.1, XP_034195297.1, XP_034194554.1, XP_034195174.1	XP_039310558.1, XP_039310562.1, XP_039314694.1, XP_039304383.1, XP_011171114.2
OG0000064	XP_034183284.1, XP_034183285.1, XP_034183048.1, XP_034183283.1, XP_034183052.1	XP_039307225.1, XP_039307226.1, XP_039311776.1, XP_039315322.1, XP_039307227.1, XP_039311779.1, XP_039315318.1, XP_039315366.1, XP_039303574.1, XP_039302503.1, XP_039302506.1, XP_039302487.1
OG0000065	XP_034186031.1, XP_034186030.1, XP_034186029.1, XP_034186032.1	XP_011161811.1, XP_039309142.1, XP_025991903.1, XP_011161836.1, XP_011161820.1
OG0000065	XP_034186028.1	XP_039307834.1, XP_039307956.1, XP_011165754.1, XP_039313781.1, XP_039313721.1, XP_039307833.1, XP_039313722.1, XP_011164020.1, XP_039307832.1, XP_039307645.1, XP_039308148.1, XP_025994478.1
OG0000066	XP_034192378.1	XP_039309173.1
OG0000066	XP_034194561.1	XP_039306035.1, XP_039312738.1, XP_039302943.1, XP_011173934.3, XP_025996408.2, XP_039303305.1, XP_039313707.1, XP_039303413.1, XP_025996127.1, XP_011159374.1
OG0000067	XP_034188060.1	XP_011168949.1
OG0000067	XP_034180178.1	XP_039302008.1, XP_011157859.1
OG0000067	XP_034180395.1	XP_011157858.1, XP_025991420.1
OG0000067	XP_034192090.1	XP_025989655.1
OG0000069	XP_034175784.1	XP_025987486.1
OG0000069	XP_034175786.1, XP_034175787.1, XP_034175788.1	XP_011163891.1, XP_039303799.1, XP_039303801.1, XP_025989421.2, XP_039303891.1, XP_011171057.2, XP_039309137.1, XP_039309138.1, XP_039308972.1, XP_039308973.1, XP_039308974.1, XP_039309139.1, XP_039308971.1, XP_039308970.1, XP_039308969.1, XP_039309140.1, XP_011168216.3
OG0000071	XP_034194535.1	XP_025993345.1
OG0000072	XP_034195052.1	XP_011174276.1, XP_039303571.1
OG0000072	XP_034194705.1	XP_039315631.1, XP_039308736.1, XP_039310326.1, XP_025996423.2, XP_039307110.1, XP_039310078.1
OG0000073	XP_034195422.1, XP_034195424.1, XP_034195423.1, XP_034195421.1	XP_011157914.1
OG0000074	XP_034175255.1	XP_011157636.1, XP_025987236.2, XP_025987238.1, XP_039314707.1
OG0000074	XP_034195150.1	XP_025985929.1
OG0000075	XP_034184988.1	XP_039315525.1, XP_039302537.1, XP_039309549.1, XP_039302019.1, XP_025993999.1, XP_025991875.2, XP_039303461.1, XP_011165249.1
OG0000076	XP_034182479.1	XP_039312428.1, XP_011164066.1, XP_039303422.1
OG0000077	XP_034178573.1, XP_034178581.1	XP_039302621.1, XP_039302625.1, XP_039315173.1, XP_039315174.1, XP_039315175.1, XP_039310516.1, XP_039315171.1, XP_039315172.1, XP_039302627.1, XP_039302624.1, XP_039306266.1, XP_039309147.1, XP_039309148.1, XP_039309146.1, XP_039306562.1, XP_039306405.1, XP_039303879.1, XP_039303880.1, XP_039308266.1, XP_039308272.1
OG0000077	XP_034192524.1	XP_039304084.1, XP_039313109.1, XP_011160421.1, XP_039312541.1, XP_039312459.1, XP_039312511.1, XP_039312512.1, XP_039312737.1, XP_039312644.1, XP_025993195.1
OG0000078	XP_034175210.1	XP_039309962.1, XP_039310440.1, XP_011156215.2, XP_039309961.1, XP_039310430.1, XP_039309963.1, XP_011155704.2, XP_011155659.3, XP_011155817.3, XP_039309966.1, XP_011156294.1, XP_039310434.1, XP_011155782.2, XP_011155805.2, XP_025991287.2, XP_039309964.1
OG0000080	XP_034191096.1	XP_039313662.1, XP_011161097.1, XP_011161096.1
OG0000080	XP_034191102.1	XP_025995013.1
OG0000081	XP_034179208.1, XP_034179226.1, XP_034179214.1, XP_034179212.1, XP_034179508.1, XP_034179507.1, XP_034179211.1	XP_025987228.1, XP_025987227.1, XP_025987226.2, XP_039314403.1, XP_039314406.1, XP_039314405.1, XP_039314325.1, XP_025987223.2, XP_039314716.1, XP_025987270.2
OG0000082	XP_034191543.1, XP_034191542.1	XP_011158501.1
OG0000082	XP_034191544.1	XP_011158493.1
OG0000082	XP_034191545.1	XP_011158531.2
OG0000083	XP_034194979.1, XP_034192554.1, XP_034184636.1, XP_034194645.1, XP_034195012.1, XP_034192179.1, XP_034177372.1, XP_034174835.1	XP_011169786.1, XP_011167579.1, XP_011175784.1, XP_039303505.1
OG0000083	XP_034174838.1, XP_034173823.1	XP_039309918.1, XP_039303503.1, XP_039311967.1, XP_011169881.1, XP_025994761.2, XP_025997387.2, XP_039303927.1, XP_039312445.1, XP_039314871.1, XP_011167206.1, XP_011174675.3, XP_025994696.2, XP_039315406.1, XP_011168851.2, XP_025996074.1, XP_039303955.1
OG0000084	XP_034188705.1	XP_011155841.2
OG0000084	XP_034188707.1, XP_034188706.1	XP_011155844.1
OG0000084	XP_034188921.1	XP_039310256.1, XP_011155840.3
OG0000084	XP_034189639.1	XP_011155335.1
OG0000085	XP_034171418.1	XP_025987478.1, XP_025987477.1
OG0000086	XP_034193956.1	XP_039314702.1, XP_039314703.1, XP_039314704.1, XP_039314705.1, XP_025990739.2
OG0000086	XP_034193661.1	XP_011160046.2, XP_039311358.1, XP_039311357.1, XP_025989233.2
OG0000087	XP_034179280.1, XP_034179279.1	XP_025989498.1, XP_011170042.2
OG0000088	XP_034186223.1	XP_025996218.1, XP_039311698.1
OG0000089	XP_034188076.1, XP_034188075.1, XP_034188074.1	XP_039308778.1, XP_011166981.2, XP_011166985.2
OG0000089	XP_034183382.1	XP_011171848.1
OG0000090	XP_034194822.1, XP_034194531.1, XP_034192185.1	XP_039308386.1
OG0000091	XP_034181366.1, XP_034181369.1, XP_034181364.1	XP_011175219.1, XP_011175223.1, XP_011175233.1
OG0000092	XP_034172508.1	XP_011165503.1
OG0000092	XP_034196103.1	XP_011175720.1, XP_011175721.1
OG0000092	XP_034178502.1	XP_011162964.1
OG0000093	XP_034194541.1	XP_039309916.1, XP_039304381.1, XP_039303396.1, XP_025991744.2, XP_039309657.1, XP_025997554.2
OG0000093	XP_034182476.1	XP_011162834.1, XP_011157346.1, XP_039302213.1
OG0000094	XP_034172066.1	XP_039302038.1, XP_039302037.1, XP_039302036.1, XP_025991363.1
OG0000094	XP_034183347.1, XP_034183349.1, XP_034183348.1	XP_039303166.1
OG0000095	XP_034175885.1	NP_001291530.1, XP_039307299.1, XP_039307298.1, XP_011156878.1, XP_039307311.1, NP_001291531.1, XP_039312645.1, XP_039304610.1, XP_039304261.1, XP_039304262.1, XP_025997578.1, XP_039304282.1
OG0000096	XP_034192124.1	XP_011156409.1, XP_039313932.1
OG0000096	XP_034177248.1	XP_039306601.1
OG0000097	XP_034190835.1, XP_034190836.1	XP_025987027.1, XP_025987029.1, XP_039302265.1, XP_025987030.1
OG0000097	XP_034176738.1, XP_034176739.1	XP_025992182.1, XP_011159441.1
OG0000098	XP_034189435.1, XP_034189436.1, XP_034189437.1, XP_034189438.1, XP_034189434.1	XP_025996352.1
OG0000099	XP_034179642.1, XP_034179643.1, XP_034179641.1	XP_039314446.1, XP_025989491.1, XP_025989492.2, XP_039314447.1, XP_011166692.1, XP_039301759.1, XP_039301757.1, XP_039301758.1, XP_039310390.1, XP_039314464.1, XP_039314463.1, XP_039311961.1, XP_039311641.1
OG0000099	XP_034193873.1	XP_011164670.2
OG0000101	XP_034181509.1	XP_011159599.3
OG0000101	XP_034181515.1	XP_025989569.1
OG0000102	XP_034184723.1	XP_025989688.2, XP_025989699.1
OG0000102	XP_034190695.1	XP_025989703.1
OG0000103	XP_034185802.1	XP_011161395.1
OG0000103	XP_034183404.1	XP_011161367.1
OG0000103	XP_034183410.1, XP_034183407.1, XP_034183408.1, XP_034183409.1	XP_011161334.1
OG0000106	XP_034195545.1	XP_039314717.1
OG0000107	XP_034193089.1	XP_011159805.1
OG0000108	XP_034193813.1	XP_025985914.1
OG0000109	XP_034187724.1, XP_034187720.1, XP_034187719.1, XP_034187723.1, XP_034187722.1	XP_011157413.1, XP_011157412.1
OG0000110	XP_034180203.1	XP_025991740.2, XP_025991741.2, XP_039308312.1, XP_039308317.1, XP_039308316.1, XP_039308308.1, XP_039308309.1, XP_039308311.1, XP_039308310.1, XP_039308313.1, XP_039308315.1, XP_039308314.1
OG0000111	XP_034179968.1, XP_034179487.1, XP_034179966.1, XP_034179488.1	XP_011165202.1, XP_025990766.2, NP_001291520.1
OG0000111	XP_034190336.1	XP_039308795.1
OG0000112	XP_034175689.1	XP_025989590.2
OG0000113	XP_034185991.1	XP_011169897.1
OG0000113	XP_034174201.1	XP_011176341.1, XP_011176387.1
OG0000114	XP_034178036.1, XP_034190286.1	XP_011161124.1
OG0000114	XP_034192603.1	XP_039314478.1, XP_011172282.1, XP_025993302.2, XP_025993279.1, XP_039314479.1
OG0000115	XP_034174012.1	XP_011165645.2
OG0000115	XP_034174010.1, XP_034174009.1	XP_011165643.1, XP_011165649.2, XP_011165650.1
OG0000116	XP_034183708.1, XP_034183753.1	XP_011158331.1, XP_039303768.1
OG0000116	XP_034183636.1, XP_034183664.1, XP_034183656.1, XP_034183646.1, XP_034183695.1, XP_034183674.1, XP_034183684.1	XP_039303766.1
OG0000117	XP_034188640.1	XP_011157894.1
OG0000117	XP_034186050.1, XP_034186060.1, XP_034186043.1, XP_034186034.1	XP_011170972.1, XP_011170971.1
OG0000118	XP_034194773.1	XP_039310529.1, XP_039312202.1, XP_039312203.1, XP_039302436.1, XP_011170400.3, XP_039306067.1
OG0000119	XP_034185219.1, XP_034185196.1, XP_034185454.1, XP_034185227.1, XP_034185236.1	XP_039303820.1, XP_025988519.1, XP_011160452.1, XP_011160472.1, XP_039303816.1, XP_011160453.1, XP_011160457.2, XP_011160459.1, XP_011160469.1
OG0000121	XP_034195060.1	XP_025995849.1, XP_039309070.1, XP_025994706.1, XP_039306767.1, XP_025987524.1, XP_039304086.1, XP_039313715.1, XP_011168110.3, XP_039305213.1, XP_011166654.2, XP_039304831.1
OG0000122	XP_034183230.1	XP_039310041.1
OG0000122	XP_034171356.1, XP_034171357.1	XP_039305859.1
OG0000122	XP_034174067.1	XP_025995487.2
OG0000123	XP_034189051.1, XP_034189052.1	XP_011169664.1
OG0000124	XP_034195724.1, XP_034195725.1, XP_034195722.1, XP_034195721.1, XP_034195720.1, XP_034195715.1, XP_034195714.1, XP_034195719.1, XP_034195718.1, XP_034195717.1, XP_034195716.1	XP_039302015.1
OG0000125	XP_034195792.1, XP_034195791.1, XP_034195790.1, XP_034195789.1	XP_011166830.1, XP_011166831.1
OG0000126	XP_034182851.1, XP_034182856.1, XP_034182855.1, XP_034182854.1, XP_034182857.1, XP_034182852.1, XP_034182850.1	XP_011155410.1, XP_039309160.1, XP_039309158.1, XP_025990026.1, XP_025990027.1, XP_025990024.1
OG0000127	XP_034173169.1, XP_034173170.1	XP_039307613.1, XP_039307615.1
OG0000129	XP_034176178.1, XP_034176173.1, XP_034176171.1, XP_034176172.1, XP_034176175.1, XP_034176174.1, XP_034176177.1, XP_034176176.1	XP_039310447.1, XP_039310449.1, XP_039310448.1, XP_025991275.2, XP_025991277.2
OG0000130	XP_034182741.1	XP_039309465.1
OG0000130	XP_034183368.1, XP_034183281.1	XP_025991693.1, XP_025991692.1
OG0000131	XP_034176064.1	XP_011159624.1
OG0000131	XP_034182652.1, XP_034182661.1	XP_011168548.1, XP_011168539.1
OG0000132	XP_034187328.1, XP_034187330.1	XP_039305040.1, XP_011175354.1
OG0000132	XP_034173679.1, XP_034173677.1	XP_011162113.1
OG0000133	XP_034182098.1, XP_034182097.1	XP_025988235.1, XP_025988236.1, XP_039308247.1, XP_039308246.1
OG0000133	XP_034172967.1	XP_039303648.1
OG0000135	XP_034180180.1	XP_025991427.1
OG0000135	XP_034173405.1	XP_011168086.1
OG0000135	XP_034194710.1	XP_025992521.1
