Orthogroup	Osmia_lignaria	Drosophila_melanogaster
OG0000052	XP_034191839.1	NP_652665.3, NP_609664.1, NP_620115.2
OG0000052	XP_034176227.1	NP_725600.1
OG0000054	XP_034176640.1, XP_034176646.1	NP_477282.2, NP_729146.1, NP_729147.1
OG0000055	XP_034185035.1, XP_034185036.1, XP_034185034.1, XP_034185037.1	NP_001284925.1
OG0000055	XP_034178359.1	NP_650904.3
OG0000055	XP_034173748.1, XP_034173749.1, XP_034173750.1	NP_609815.1
OG0000055	XP_034190706.1	NP_001246914.1
OG0000056	XP_034195921.1, XP_034174982.1	NP_001369131.1
OG0000056	XP_034181068.1	NP_647937.2
OG0000056	XP_034175501.1, XP_034175497.1	NP_995958.2
OG0000057	XP_034180852.1, XP_034187516.1	NP_524290.2
OG0000057	XP_034187514.1	NP_523842.2
OG0000057	XP_034187518.1	NP_729172.1
OG0000060	XP_034191137.1	NP_650848.1
OG0000060	XP_034187152.1, XP_034187149.1, XP_034187153.1, XP_034187150.1, XP_034187148.1, XP_034187151.1	NP_001163168.1
OG0000061	XP_034172253.1	NP_001097692.1
OG0000061	XP_034191746.1, XP_034191745.1, XP_034191749.1, XP_034191748.1, XP_034191747.1	NP_648605.1, NP_536732.1, NP_523675.1, NP_611234.1
OG0000065	XP_034186028.1	NP_524105.2, NP_001285777.1, NP_001027266.1, NP_001027272.1, NP_648885.1, NP_652673.2
OG0000066	XP_034194561.1	NP_610976.1
OG0000067	XP_034188060.1	NP_001284994.1
OG0000067	XP_034176568.1	NP_524243.2, NP_572330.2
OG0000067	XP_034180395.1, XP_034180397.1	NP_001261491.1
OG0000072	XP_034195182.1, XP_034190456.1, XP_034177521.1, XP_034192564.1, XP_034195052.1, XP_034194905.1, XP_034195080.1	NP_663311.1
OG0000074	XP_034195150.1	NP_536776.2
OG0000077	XP_034178573.1, XP_034178581.1	NP_001137778.2, NP_001259986.1
OG0000077	XP_034192524.1	NP_001015405.3
OG0000080	XP_034191096.1	NP_001262255.1
OG0000082	XP_034191540.1, XP_034191538.1, XP_034191541.1, XP_034191539.1, XP_034191543.1, XP_034191542.1, XP_034191544.1, XP_034191545.1	NP_001260835.1, NP_648293.1, NP_725122.2, NP_611364.2, NP_609726.1, NP_572219.1
OG0000085	XP_034192632.1, XP_034192631.1, XP_034171418.1	NP_651221.1
OG0000086	XP_034193956.1	NP_651662.1, NP_651661.1, NP_001287578.1, NP_611736.1, NP_001033953.1
OG0000086	XP_034193661.1	NP_650254.1, NP_001246901.1, NP_001368950.1, NP_001097766.1
OG0000087	XP_034179280.1, XP_034179279.1	NP_001261716.1
OG0000087	XP_034179278.1	NP_647840.1, NP_647839.1, NP_001287050.1, NP_610235.1, NP_001163844.1
OG0000088	XP_034186223.1	NP_476589.4
OG0000089	XP_034188076.1, XP_034188075.1, XP_034188074.1	NP_001162840.1, NP_001259800.1
OG0000091	XP_034181366.1, XP_034181369.1, XP_034181364.1	NP_524957.2, NP_524956.2, NP_001260209.1, NP_001356884.1, NP_001036345.1, NP_001163067.1, NP_001246154.1, NP_001163116.1, NP_610246.3, NP_524851.1, NP_524805.1, NP_609341.1, NP_001027395.1, NP_001036553.1, NP_610261.1, NP_524953.1, NP_524955.2, NP_610244.2
OG0000092	XP_034172508.1, XP_034196103.1, XP_034196104.1, XP_034196105.1, XP_034196106.1, XP_034196107.1, XP_034178502.1	NP_001262592.1
OG0000094	XP_034183347.1, XP_034183349.1, XP_034183348.1	NP_001284983.1, NP_651446.2, NP_650069.2
OG0000094	XP_034186765.1	NP_651889.3, NP_001189331.1, NP_651891.2
OG0000096	XP_034192124.1	NP_726022.1, NP_001246550.1
OG0000096	XP_034177248.1	NP_611542.2
OG0000097	XP_034190835.1, XP_034190836.1, XP_034176738.1, XP_034176739.1	NP_524611.1
OG0000098	XP_034189435.1, XP_034189436.1, XP_034189437.1, XP_034189438.1, XP_034189434.1	NP_001260487.1
OG0000099	XP_034179642.1, XP_034179643.1, XP_034179641.1	NP_608954.1
OG0000099	XP_034193873.1	NP_651628.1
OG0000100	XP_034186665.1, XP_034186661.1, XP_034186660.1, XP_034186663.1, XP_034186662.1, XP_034186656.1, XP_034186655.1, XP_034186659.1, XP_034186658.1, XP_034186664.1, XP_034186666.1, XP_034186667.1, XP_034186669.1, XP_034186670.1, XP_034186654.1	NP_001262908.1, NP_001262907.1
OG0000101	XP_034181509.1	NP_001286204.1, NP_610403.1, NP_609640.1
OG0000101	XP_034181515.1	NP_001285802.1, NP_001015212.1
OG0000102	XP_034184723.1, XP_034190695.1	NP_609468.4, NP_001163660.1, NP_001027201.1, NP_730363.2
OG0000103	XP_034185802.1	NP_001303368.1
OG0000108	XP_034193813.1	NP_648918.1
OG0000109	XP_034187724.1, XP_034187720.1, XP_034187719.1, XP_034187723.1, XP_034187722.1	NP_648392.1, NP_001245736.1
OG0000110	XP_034180203.1, XP_034180902.1	NP_788521.2, NP_729246.2, NP_729014.1
OG0000111	XP_034190336.1	NP_650264.1
OG0000112	XP_034177437.1	NP_001369123.1
OG0000113	XP_034185991.1, XP_034174201.1	NP_650037.2, NP_649736.3, NP_001097703.1, NP_652649.1, NP_652648.1, NP_652650.2, NP_649737.1, NP_001138022.2, NP_650035.1, NP_001262348.1, NP_649688.1
OG0000114	XP_034178036.1, XP_034190286.1	NP_572582.1, NP_651168.1, NP_524362.2, NP_001303421.1, NP_650380.2
OG0000115	XP_034173929.1, XP_034174012.1, XP_034174010.1, XP_034174009.1	NP_001261040.1
OG0000117	XP_034188640.1	NP_001286115.1
OG0000117	XP_034186050.1, XP_034186060.1, XP_034186043.1, XP_034186034.1	NP_001262809.1
OG0000120	XP_034188385.1	NP_001260010.1, NP_001162947.1
OG0000122	XP_034183230.1	NP_001287102.1, NP_001163462.1, NP_649023.1
OG0000122	XP_034171356.1, XP_034171357.1	NP_610807.3
OG0000123	XP_034189051.1, XP_034189052.1	NP_001259925.1
OG0000124	XP_034195724.1, XP_034195725.1, XP_034195722.1, XP_034195721.1, XP_034195720.1, XP_034195715.1, XP_034195714.1, XP_034195719.1, XP_034195718.1, XP_034195717.1, XP_034195716.1	NP_001260435.1, NP_001245746.1
OG0000125	XP_034195792.1, XP_034195791.1, XP_034195790.1, XP_034195789.1	NP_651172.1, NP_001097888.1
OG0000126	XP_034182851.1, XP_034182856.1, XP_034182855.1, XP_034182854.1, XP_034182857.1, XP_034182852.1, XP_034182850.1	NP_477498.1, NP_996167.1
OG0000127	XP_034173169.1, XP_034173170.1	NP_477127.1
OG0000129	XP_034176178.1, XP_034176173.1, XP_034176171.1, XP_034176172.1, XP_034176175.1, XP_034176174.1, XP_034176177.1, XP_034176176.1	NP_001188842.2
OG0000130	XP_034182741.1, XP_034182770.1, XP_034182761.1	NP_723165.2
OG0000130	XP_034183368.1, XP_034183281.1	NP_001014474.3
OG0000131	XP_034176064.1	NP_001259087.1
OG0000131	XP_034182652.1, XP_034182661.1	NP_001097667.1
OG0000132	XP_034187328.1, XP_034187330.1	NP_001245934.1, NP_001137808.1, NP_609121.2
OG0000132	XP_034173679.1, XP_034173677.1	NP_001245823.1, NP_724088.2, NP_724087.1
OG0000133	XP_034182098.1, XP_034182097.1	NP_001368939.1
OG0000134	XP_034194546.1	NP_572838.2
OG0000134	XP_034188579.1	NP_525003.2
OG0000135	XP_034173405.1	NP_001286904.1
OG0000135	XP_034194710.1	NP_524655.1
OG0000136	XP_034180981.1, XP_034173810.1	NP_611126.1, NP_611131.2, NP_001285647.1, NP_001097337.1
OG0000137	XP_034196013.1, XP_034190610.1, XP_034190609.1, XP_034190611.1, XP_034190608.1, XP_034178422.1	NP_727460.1, NP_611465.2
OG0000138	XP_034181257.1, XP_034181256.1, XP_034181258.1, XP_034181252.1, XP_034181253.1, XP_034181250.1, XP_034181251.1, XP_034181249.1, XP_034181254.1, XP_034181259.1	NP_001036303.2
OG0000139	XP_034187809.1	NP_651882.1
OG0000141	XP_034180611.1, XP_034180612.1, XP_034180613.1, XP_034180614.1	NP_001287037.1
OG0000141	XP_034171520.1, XP_034171519.1, XP_034171518.1, XP_034171521.1	NP_651471.2
OG0000141	XP_034191369.1, XP_034191364.1, XP_034191348.1, XP_034191355.1	NP_724101.4
OG0000143	XP_034170956.1, XP_034170957.1, XP_034170955.1, XP_034170950.1	NP_001259687.1
OG0000144	XP_034185501.1, XP_034185500.1	NP_001287042.1, NP_649034.3, NP_524065.1, NP_001261825.1, NP_511138.2, NP_001285556.1, NP_523868.1
OG0000145	XP_034172080.1, XP_034172081.1, XP_034172082.1, XP_034172083.1, XP_034194879.1	NP_651930.2
OG0000146	XP_034191002.1	NP_648843.1
OG0000147	XP_034172317.1, XP_034176955.1, XP_034176956.1, XP_034176953.1, XP_034176954.1, XP_034176959.1, XP_034176957.1, XP_034176958.1	NP_001245762.1
OG0000149	XP_034188253.1	NP_648425.1
OG0000149	XP_034188255.1, XP_034188259.1, XP_034188258.1, XP_034188260.1, XP_034188261.1, XP_034188257.1	NP_647686.1
OG0000150	XP_034191022.1	NP_001246198.1
OG0000151	XP_034171188.1, XP_034171191.1, XP_034171190.1, XP_034171189.1	NP_001287124.1
OG0000152	XP_034190547.1, XP_034190545.1, XP_034190544.1, XP_034190543.1, XP_034190550.1, XP_034190549.1, XP_034190548.1, XP_034190542.1	NP_001260743.1
OG0000153	XP_034191920.1, XP_034191919.1, XP_034191916.1, XP_034191917.1, XP_034191915.1, XP_034191918.1	NP_001261584.1
OG0000154	XP_034183985.1	NP_001262752.1, NP_730301.3, NP_611464.3, NP_728408.3, NP_788912.3, NP_001259763.1
OG0000156	XP_034172064.1	NP_647767.1
OG0000157	XP_034178431.1, XP_034178176.1, XP_034178177.1, XP_034178427.1, XP_034178570.1, XP_034178430.1	NP_787956.1, NP_608518.1, NP_608517.1, NP_001285871.1, NP_001285870.1, NP_650703.1
OG0000158	XP_034177301.1, XP_034177337.1, XP_034177300.1, XP_034177310.1, XP_034177338.1	NP_648354.1
OG0000160	XP_034176220.1, XP_034176221.1	NP_001034016.1, NP_649019.2
OG0000160	XP_034182275.1	NP_649428.1
OG0000161	XP_034182690.1	NP_001261749.1, NP_788501.1
OG0000162	XP_034185575.1	NP_001097669.2
OG0000162	XP_034184537.1	NP_001262916.1
OG0000164	XP_034196183.1, XP_034195536.1	NP_001137966.2, NP_649013.3, NP_649012.2, NP_001260346.1
OG0000165	XP_034181772.1, XP_034181773.1, XP_034181774.1	NP_001245593.1
OG0000165	XP_034193100.1	NP_001284986.1
OG0000166	XP_034172021.1, XP_034172006.1, XP_034171988.1, XP_034171990.1	NP_001097498.1
OG0000171	XP_034175616.1, XP_034175629.1	NP_609310.2, NP_609309.1
OG0000173	XP_034193474.1, XP_034193472.1, XP_034193473.1, XP_034193470.1, XP_034193475.1, XP_034193476.1	NP_001247239.1
OG0000174	XP_034180576.1, XP_034180577.1, XP_034180578.1	NP_725682.2, NP_001286533.1, NP_611218.1
OG0000175	XP_034180406.1, XP_034180404.1, XP_034180403.1, XP_034180402.1	NP_001163218.1
OG0000177	XP_034175291.1	NP_001261827.1
OG0000177	XP_034176051.1, XP_034176049.1	NP_001261829.1
OG0000177	XP_034176052.1	NP_001261830.1
OG0000178	XP_034190100.1, XP_034190095.1	NP_001356914.1
OG0000179	XP_034186839.1	NP_523366.2, NP_648697.1
OG0000180	XP_034190519.1, XP_034190518.1, XP_034190520.1	NP_001027161.1
OG0000182	XP_034185960.1, XP_034185984.1, XP_034185975.1, XP_034185966.1	NP_001163460.1
OG0000183	XP_034184393.1, XP_034184394.1	NP_001287555.1
OG0000183	XP_034184584.1	NP_524074.1
OG0000184	XP_034172644.1, XP_034172643.1, XP_034172641.1, XP_034172642.1	NP_995642.1, NP_523504.2, NP_001162633.1
OG0000185	XP_034191549.1, XP_034191548.1	NP_001259439.1
OG0000186	XP_034172036.1, XP_034172037.1, XP_034172035.1	NP_573320.1
OG0000187	XP_034184427.1, XP_034184426.1, XP_034184425.1, XP_034184424.1	NP_001188856.1
OG0000188	XP_034183311.1	NP_477462.1
OG0000188	XP_034174014.1	NP_524551.2, NP_476974.1
OG0000189	XP_034173527.1, XP_034173528.1, XP_034173529.1	NP_608557.4, NP_523485.3, NP_523484.2, NP_001036373.1
OG0000190	XP_034178973.1	NP_732717.1
OG0000191	XP_034193856.1	NP_001036260.3, NP_996138.2, NP_611672.1, NP_573169.2, NP_001246909.1, NP_477232.1, NP_648125.3
OG0000192	XP_034188823.1, XP_034188824.1, XP_034188825.1	NP_611994.3
OG0000194	XP_034172732.1	NP_648207.1
OG0000196	XP_034182940.1, XP_034182938.1, XP_034182937.1	NP_001261758.1
OG0000196	XP_034194596.1	NP_730938.1
OG0000197	XP_034180318.1, XP_034180320.1, XP_034180317.1, XP_034180316.1	NP_001287082.1
OG0000200	XP_034194186.1	NP_001262796.1
OG0000200	XP_034175393.1, XP_034175399.1	NP_001259616.1
OG0000201	XP_034190160.1	NP_649026.1
OG0000201	XP_034190159.1	NP_730973.1, NP_001262292.1, NP_649563.1, NP_730974.1, NP_569875.2
OG0000202	XP_034179831.1, XP_034179748.1	NP_001260674.1
OG0000203	XP_034187157.1	NP_001369023.1, NP_001287406.1, NP_650804.2, NP_650803.1
OG0000203	XP_034176454.1	NP_648067.2
OG0000204	XP_034178486.1, XP_034178485.1	NP_001188590.1
OG0000205	XP_034188205.1, XP_034188206.1, XP_034188203.1, XP_034188202.1, XP_034188198.1, XP_034188201.1, XP_034188199.1, XP_034188204.1	NP_001097505.1
OG0000206	XP_034186883.1	NP_650893.2
OG0000207	XP_034176138.1	NP_001286310.1, NP_001287091.1
OG0000207	XP_034183197.1, XP_034183198.1	NP_001246139.1
OG0000208	XP_034183186.1	NP_001137606.1
OG0000209	XP_034184421.1	NP_001163199.1
OG0000212	XP_034171934.1, XP_034190213.1	NP_611810.1, NP_788433.2, NP_611812.2, NP_001261154.1
OG0000213	XP_034181405.1, XP_034181403.1, XP_034181402.1, XP_034181400.1, XP_034181399.1, XP_034181401.1	NP_648589.1
OG0000214	XP_034181682.1	NP_001260290.1
OG0000215	XP_034179200.1, XP_034179201.1, XP_034179202.1, XP_034179204.1	NP_649139.1
OG0000216	XP_034174664.1	NP_524598.1, NP_001262008.1, NP_572780.3, NP_573003.2, NP_001284806.1, NP_647723.2, NP_609129.2, NP_523961.2, NP_648129.2, NP_525044.1
OG0000217	XP_034192714.1	NP_608323.1, NP_608322.1, NP_650959.2, NP_001286373.1, NP_651158.1, NP_996269.2, NP_651160.3, NP_651159.3, NP_001259710.1, NP_608590.2, NP_001285060.1
OG0000218	XP_034179355.1, XP_034179356.1, XP_034179353.1	NP_649086.2
OG0000219	XP_034182415.1, XP_034182416.1, XP_034182417.1, XP_034182418.1, XP_034182419.1	NP_610764.1
OG0000220	XP_034185665.1, XP_034185663.1, XP_034185662.1, XP_034185661.1, XP_034185660.1, XP_034185659.1, XP_034185666.1, XP_034185667.1	NP_650528.1
OG0000221	XP_034172270.1	NP_001036320.3
OG0000223	XP_034187872.1	NP_523986.2
OG0000223	XP_034174855.1	NP_524142.2, NP_524141.1
OG0000224	XP_034174532.1	NP_647862.1, NP_728942.1
OG0000225	XP_034187524.1, XP_034187523.1, XP_034174370.1	NP_536756.1
OG0000226	XP_034178580.1	NP_001356958.1
OG0000226	XP_034178152.1, XP_034178153.1, XP_034178155.1	NP_611241.2
OG0000227	XP_034186580.1, XP_034186581.1, XP_034186577.1, XP_034186578.1, XP_034186579.1, XP_034186576.1	NP_001262022.1
OG0000229	XP_034171126.1	NP_726223.1, NP_001303360.1, NP_001246468.1
OG0000230	XP_034178098.1	NP_001286852.1
OG0000231	XP_034190001.1, XP_034190002.1	NP_650028.1, NP_650029.1, NP_001285882.1
OG0000232	XP_034180300.1	NP_001303567.1
OG0000233	XP_034173028.1, XP_034173029.1, XP_034173027.1	NP_001284927.1, NP_572297.1, NP_727067.1, NP_572298.1
OG0000234	XP_034195401.1	NP_726740.1, NP_649880.1, NP_649881.1
OG0000235	XP_034181826.1, XP_034181830.1, XP_034181832.1	NP_001261046.1
OG0000236	XP_034193614.1, XP_034177212.1	NP_524368.5
OG0000237	XP_034194076.1	NP_523863.1
OG0000237	XP_034194078.1	NP_523862.1
OG0000239	XP_034178769.1, XP_034178779.1, XP_034178780.1, XP_034178777.1, XP_034178778.1	NP_733091.1, NP_611452.2, NP_001285793.1, NP_651369.1, NP_001027211.3, NP_001287526.1, NP_651371.1, NP_733121.1, NP_651372.1, NP_651370.2, NP_001262006.1, NP_001260130.1, NP_569859.1, NP_609015.2, NP_573269.1
OG0000241	XP_034181063.1, XP_034176484.1, XP_034176485.1, XP_034176486.1	NP_001097059.1, NP_647821.2, NP_001285749.1
OG0000243	XP_034195602.1	NP_608584.1, NP_523761.2
OG0000244	XP_034191998.1	NP_610117.1
OG0000245	XP_034194081.1	NP_476812.1, NP_610443.1, NP_524760.1
OG0000246	XP_034190713.1	NP_724163.1
OG0000246	XP_034190757.1	NP_476592.1
OG0000247	XP_034192948.1, XP_034192941.1, XP_034192944.1, XP_034192943.1	NP_651898.2, NP_001096949.1
OG0000247	XP_034192945.1	NP_649833.1, NP_648548.1
OG0000248	XP_034176258.1	NP_001137727.2
OG0000249	XP_034175198.1	NP_572996.1
OG0000250	XP_034185851.1, XP_034186045.1	NP_650508.1, NP_001285102.1
OG0000252	XP_034172163.1	NP_730950.2
OG0000253	XP_034188715.1	NP_001263132.1
OG0000254	XP_034181711.1	NP_732295.1
OG0000254	XP_034176775.1	NP_001368946.1
OG0000255	XP_034175416.1	NP_001033900.2, NP_572436.1
OG0000256	XP_034172377.1, XP_034172378.1, XP_034172380.1, XP_034172381.1, XP_034172375.1, XP_034172379.1, XP_034172374.1	NP_732900.1
OG0000257	XP_034180530.1	NP_001262861.1
OG0000257	XP_034180525.1	NP_001287485.1
OG0000259	XP_034173230.1	NP_723538.3
OG0000260	XP_034176615.1	NP_001261383.1
OG0000260	XP_034196198.1, XP_034196197.1	NP_572306.1
OG0000261	XP_034174496.1, XP_034174495.1, XP_034174497.1	NP_001286161.1, NP_610318.1, NP_610319.2
OG0000263	XP_034176251.1, XP_034176252.1, XP_034176253.1, XP_034176254.1	NP_001285111.1
OG0000264	XP_034192517.1, XP_034192519.1	NP_001033939.2
OG0000264	XP_034192532.1, XP_034192535.1, XP_034192533.1	NP_476735.1
OG0000265	XP_034172043.1	NP_649517.1, NP_650190.1
OG0000266	XP_034178854.1	NP_524387.1
OG0000266	XP_034179808.1	NP_001285202.1
OG0000268	XP_034187249.1, XP_034187250.1	NP_001285901.1, NP_001262995.1
OG0000269	XP_034171785.1, XP_034171786.1, XP_034171784.1	NP_001284901.1
OG0000270	XP_034187848.1	NP_001034048.2
OG0000270	XP_034187840.1	NP_001163596.2
OG0000271	XP_034173987.1, XP_034173988.1	NP_001014620.1, NP_731788.1, NP_731790.1
OG0000272	XP_034188739.1	NP_995675.1
OG0000272	XP_034180090.1, XP_034180092.1	NP_001162795.1, NP_001356885.1
OG0000273	XP_034173815.1, XP_034173817.1	NP_001097437.1
OG0000274	XP_034177701.1	NP_001014485.3
OG0000274	XP_034177647.1, XP_034177646.1, XP_034177645.1	NP_001036681.1
OG0000275	XP_034184775.1, XP_034184776.1, XP_034184777.1, XP_034184778.1, XP_034184779.1	NP_648909.1
OG0000276	XP_034183449.1	NP_649535.2
OG0000277	XP_034180149.1	NP_647800.1
OG0000278	XP_034196238.1	NP_612039.1, NP_647794.1
OG0000279	XP_034178078.1, XP_034178079.1	NP_001137708.2, NP_001356890.1
OG0000280	XP_034194688.1, XP_034194032.1	NP_001260503.1
OG0000280	XP_034192520.1, XP_034192199.1	NP_001286483.1
OG0000281	XP_034183439.1	NP_001350861.1
OG0000283	XP_034177112.1, XP_034177113.1, XP_034177114.1	NP_001286595.1
OG0000284	XP_034177244.1	NP_727448.1
OG0000284	XP_034176794.1, XP_034176612.1	NP_001259432.1
OG0000285	XP_034174210.1, XP_034174208.1, XP_034174209.1, XP_034174207.1	NP_001163186.1
OG0000286	XP_034185528.1	NP_729792.1
OG0000287	XP_034181060.1	NP_001260729.1
OG0000288	XP_034182201.1	NP_476934.2
OG0000288	XP_034176886.1	NP_001188784.1
OG0000289	XP_034172935.1	NP_001303316.1
OG0000292	XP_034185757.1	NP_612066.1
OG0000293	XP_034186973.1	NP_649119.2, NP_001262050.1
OG0000295	XP_034177800.1, XP_034177802.1, XP_034177803.1	NP_611878.1
OG0000296	XP_034182600.1, XP_034182597.1, XP_034182598.1	NP_573076.1, NP_001096988.2
OG0000297	XP_034181132.1	NP_651265.1
