Orthogroup	Ceratina_calcarata	Eufriesea_mexicana
OG0000056	XP_017884500.1, XP_017884505.1, XP_017884508.1, XP_017884509.1, XP_026671517.1, XP_017884504.1, XP_017884503.1, XP_017884502.1, XP_017884501.1	XP_017765580.1, XP_017759914.1, XP_017759915.1, XP_017759916.1
OG0000057	XP_017886019.1, XP_026668696.1, XP_017885066.1, XP_017887400.1, XP_017882922.1, XP_017881808.1, XP_017891009.1, XP_017884413.1, XP_017885064.1, XP_017875587.1, XP_017891010.1	XP_017759424.1
OG0000058	XP_026668785.1, XP_017878898.1, XP_017878899.1, XP_017878897.1, XP_017878896.1, XP_017878895.1	XP_017759716.1
OG0000058	XP_026668781.1, XP_026668773.1	XP_017759715.1
OG0000059	XP_017875203.1, XP_017887641.1	XP_017764543.1
OG0000059	XP_017888173.1	XP_017754143.1
OG0000060	XP_017883584.1, XP_017883585.1, XP_017883586.1, XP_026671031.1	XP_017755619.1
OG0000061	XP_017888656.1	XP_017759422.1
OG0000063	XP_017889422.1	XP_017761192.1
OG0000063	XP_017889438.1	XP_017761194.1
OG0000064	XP_017886375.1	XP_017765235.1
OG0000064	XP_017875625.1	XP_017766133.1
OG0000065	XP_026673014.1, XP_017887445.1, XP_017887444.1, XP_017887447.1	XP_017763404.1, XP_017763403.1
OG0000066	XP_017882452.1, XP_017882451.1, XP_026670567.1, XP_017882453.1, XP_026670566.1	XP_017760463.1, XP_017760479.1, XP_017760437.1, XP_017760456.1, XP_017760471.1, XP_017760487.1, XP_017760447.1, XP_017760493.1
OG0000067	XP_026667524.1, XP_026667523.1, XP_017876340.1, XP_026667525.1	XP_017767297.1, XP_017767298.1
OG0000068	XP_017878913.1, XP_026670968.1, XP_017878912.1, XP_017878910.1, XP_017878909.1	XP_017759707.1, XP_017759704.1, XP_017759700.1
OG0000069	XP_026671618.1, XP_017884723.1, XP_017884724.1, XP_017884725.1, XP_017884726.1	XP_017752578.1, XP_017752577.1
OG0000070	XP_026666470.1, XP_026666469.1, XP_026666468.1, XP_026666467.1, XP_026666466.1, XP_017892919.1	XP_017760341.1, XP_017758953.1, XP_017758954.1
OG0000071	XP_017887828.1, XP_026673221.1, XP_026673223.1, XP_017887829.1, XP_026673222.1	XP_017755804.1
OG0000072	XP_017877526.1, XP_017877521.1	XP_017755418.1, XP_017755417.1, XP_017755416.1, XP_017755419.1
OG0000073	XP_017884134.1, XP_026671383.1, XP_017884143.1, XP_017884145.1, XP_026671385.1, XP_026671384.1, XP_017884138.1, XP_017884135.1, XP_017884141.1, XP_017884140.1	XP_017761423.1
OG0000074	XP_026672903.1	XP_017765620.1, XP_017758638.1, XP_017758637.1
OG0000076	XP_026670219.1, XP_017881657.1	XP_017756858.1
OG0000077	XP_017889240.1, XP_017879879.1, XP_026673871.1, XP_017879865.1, XP_017889238.1, XP_017884325.1, XP_017893576.1, XP_017889237.1, XP_017880985.2, XP_017884322.1, XP_017884320.1, XP_017884321.1, XP_017891413.1, XP_017890095.1, XP_017885068.1, XP_017877687.1, XP_017877675.1	XP_017765695.1, XP_017765694.1
OG0000078	XP_017887324.1, XP_017880981.1	XP_017765599.1, XP_017757743.1, XP_017757733.1
OG0000079	XP_017886387.1, XP_017886390.1, XP_017886392.1	XP_017762072.1
OG0000080	XP_026672341.1	XP_017753139.1
OG0000081	XP_017892895.1	XP_017762308.1, XP_017762307.1
OG0000082	XP_017888224.1, XP_017888223.1	XP_017763260.1
OG0000083	XP_026669617.1, XP_026669618.1, XP_017880690.1, XP_017880691.1, XP_026669616.1	XP_017752414.1, XP_017752413.1
OG0000084	XP_026673534.1, XP_017890567.1, XP_017892844.1, XP_017875216.1, XP_017881849.1, XP_017877435.1, XP_017889234.1	XP_017756503.1
OG0000085	XP_026675280.1	XP_017758814.1
OG0000086	XP_017886426.1, XP_026672553.1, XP_017886424.1, XP_026672552.1, XP_017886423.1, XP_026672551.1, XP_017886421.1, XP_017886427.1	XP_017765267.1
OG0000087	XP_017878634.1	XP_017761493.1
OG0000088	XP_017884326.1, XP_026671462.1, XP_026671456.1, XP_026671458.1, XP_026671477.1	XP_017765680.1
OG0000090	XP_026672044.1, XP_026672042.1, XP_026672041.1, XP_026672043.1	XP_017757147.1
OG0000091	XP_017877858.1, XP_017877859.1, XP_026668295.1, XP_017877857.1	XP_017757596.1, XP_017757597.1, XP_017757598.1
OG0000093	XP_017876372.1	XP_017761469.1, XP_017761468.1
OG0000094	XP_017879294.1	XP_017756314.1, XP_017756313.1, XP_017756312.1
OG0000095	XP_026673145.1	XP_017761268.1
OG0000096	XP_017886082.1	XP_017755355.1
OG0000097	XP_017892085.1, XP_017892086.1, XP_017892083.1, XP_017892084.1, XP_026675169.1	XP_017756661.1, XP_017756664.1, XP_017756662.1, XP_017756663.1
OG0000098	XP_017882238.1	XP_017758002.1
OG0000099	XP_017889155.1, XP_026673796.1	XP_017753055.1, XP_017753057.1, XP_017753056.1
OG0000100	XP_017879159.1	XP_017752721.1, XP_017765748.1
OG0000101	XP_017886991.1	XP_017762179.1
OG0000102	XP_026667505.1, XP_026667481.1, XP_017889865.1, XP_017889782.1	XP_017761688.1, XP_017761692.1, XP_017761690.1, XP_017761691.1
OG0000103	XP_017877636.1, XP_017877637.1	XP_017754876.1
OG0000104	XP_017883820.1	XP_017767455.1
OG0000105	XP_026667948.1	XP_017752876.1
OG0000106	XP_017875115.1	XP_017754218.1
OG0000106	XP_026673061.1	XP_017763966.1
OG0000108	XP_026670402.1, XP_026670401.1, XP_026670400.1, XP_026670404.1, XP_026670403.1	XP_017758536.1, XP_017758535.1, XP_017758538.1, XP_017758537.1, XP_017758534.1
OG0000109	XP_026671007.1, XP_026671006.1, XP_026671005.1	XP_017763632.1
OG0000110	XP_017892171.1	XP_017759339.1
OG0000110	XP_017892165.1	XP_017759315.1
OG0000112	XP_026669569.1, XP_026672267.1	XP_017759703.1, XP_017759702.1
OG0000112	XP_017880491.1, XP_026669563.1, XP_026669568.1	XP_017759734.1
OG0000113	XP_017892665.1, XP_026675553.1, XP_026675554.1, XP_026675552.1, XP_026675550.1, XP_026675551.1	XP_017761057.1
OG0000114	XP_017886343.1, XP_017886344.1, XP_017886345.1, XP_026672489.1, XP_026672487.1, XP_026672490.1, XP_017886342.1	XP_017762074.1, XP_017762076.1, XP_017762077.1
OG0000115	XP_017886767.1, XP_017886766.1	XP_017759960.1, XP_017759969.1
OG0000116	XP_017884703.1, XP_017884704.1, XP_017884702.1, XP_026671694.1, XP_017884701.1	XP_017759381.1, XP_017759382.1, XP_017759380.1, XP_017759385.1
OG0000117	XP_017882899.1, XP_017882898.1, XP_017882897.1, XP_026670787.1	XP_017757675.1, XP_017757673.1, XP_017757674.1
OG0000118	XP_026668129.1, XP_017877527.1, XP_017877528.1, XP_026668130.1	XP_017755441.1, XP_017755443.1, XP_017755442.1, XP_017755445.1, XP_017755444.1, XP_017755448.1, XP_017755446.1
OG0000119	XP_017878262.1	XP_017757875.1
OG0000121	XP_026673616.1, XP_026673617.1, XP_017888701.1, XP_017888699.1, XP_026673621.1, XP_026673620.1, XP_026673619.1, XP_026673618.1	XP_017758615.1, XP_017758616.1, XP_017758614.1
OG0000122	XP_017882975.1	XP_017759065.1, XP_017759064.1
OG0000124	XP_017882800.1	XP_017765196.1, XP_017765195.1, XP_017765197.1, XP_017765198.1
OG0000125	NP_001352268.1, XP_026670615.1, XP_017883314.2, XP_017882560.1	XP_017759625.1
OG0000126	XP_017880325.2	XP_017755102.1
OG0000127	XP_026674951.1, XP_017891474.1, XP_026674959.1	XP_017766918.1
OG0000128	XP_017891768.1	XP_017753707.1
OG0000129	XP_026669826.1	XP_017759636.1
OG0000130	XP_017881384.1, XP_017881383.1, XP_017881382.1, XP_017881381.1	XP_017759671.1
OG0000131	XP_017878542.1	XP_017760921.1, XP_017760917.1, XP_017760918.1, XP_017760919.1
OG0000132	XP_017883758.1, XP_026671172.1, XP_026671174.1, XP_026671173.1, XP_017883759.1	XP_017757477.1
OG0000135	XP_026671116.1, XP_017883719.1, XP_026671117.1	XP_017763314.1, XP_017763313.1, XP_017763312.1, XP_017763311.1, XP_017763310.1
OG0000136	XP_026672920.1	XP_017765344.1, XP_017762993.1, XP_017756226.1, XP_017759329.1, XP_017765018.1, XP_017759643.1
OG0000138	XP_026671369.1, XP_017879512.1, XP_026671918.1, XP_026667100.1, XP_026674362.1, XP_026669807.1	XP_017765353.1, XP_017755995.1, XP_017765491.1, XP_017765601.1, XP_017765328.1, XP_017765342.1, XP_017756047.1, XP_017764695.1
OG0000139	XP_026666767.1, XP_017893376.1	XP_017767595.1, XP_017767594.1
OG0000140	XP_026674589.1, XP_017890677.1	XP_017753603.1
OG0000141	XP_017880688.1, XP_017880687.1, XP_017880686.1	XP_017766587.1, XP_017766604.1, XP_017766595.1
OG0000142	XP_017889788.1, XP_026666719.1, XP_026666720.1	XP_017766127.1, XP_017766135.1, XP_017756789.1, XP_017756788.1
OG0000143	XP_017887622.1	XP_017761449.1
OG0000143	XP_026673152.1	XP_017761457.1
OG0000144	XP_017890258.1	XP_017754095.1, XP_017754093.1, XP_017754096.1, XP_017754097.1
OG0000147	XP_026672117.1, XP_017885549.1	XP_017753919.1
OG0000148	XP_026670174.1, XP_026670184.1, XP_026670178.1, XP_017881549.1	XP_017761808.1, XP_017761809.1
OG0000149	XP_017877822.1, XP_017877823.1, XP_026668289.1, XP_017877820.1, XP_017877821.1	XP_017757484.1, XP_017757483.1, XP_017757482.1
OG0000150	XP_017885915.1	XP_017764388.1
OG0000151	XP_026674879.1, XP_026674878.1, XP_017891285.1	XP_017756441.1
OG0000152	XP_017888048.1, XP_017877450.1, XP_017888163.1, XP_017889733.1	XP_017754464.1
OG0000153	XP_017892608.1, XP_026666981.1, XP_026673328.1	XP_017764516.1, XP_017759423.1
OG0000155	XP_017875092.1, XP_017875091.1, XP_026666936.1, XP_026666937.1	XP_017752598.1, XP_017752600.1, XP_017752604.1, XP_017752603.1, XP_017752602.1, XP_017752601.1, XP_017752605.1, XP_017752599.1, XP_017752596.1, XP_017752595.1
OG0000156	XP_026675129.1, XP_017891686.1, XP_017891695.1	XP_017765698.1, XP_017765697.1, XP_017765696.1
OG0000157	XP_017892253.1	XP_017753462.1, XP_017753460.1
OG0000158	XP_017891545.1	XP_017752864.1
OG0000159	XP_017876697.1	XP_017757286.1
OG0000160	XP_026669836.1, XP_026669837.1	XP_017762808.1, XP_017762798.1
OG0000160	XP_026669845.1	XP_017763918.1, XP_017763923.1
OG0000161	XP_017886702.1	XP_017752918.1, XP_017752916.1, XP_017752917.1, XP_017752915.1
OG0000162	XP_017887986.1, XP_017887985.1, XP_026673272.1, XP_017887983.1	XP_017754406.1
OG0000163	XP_026670456.1, XP_017882110.1, XP_017882109.1	XP_017765374.1, XP_017765375.1, XP_017765376.1
OG0000164	XP_017875333.1, XP_026667075.1, XP_026667076.1, XP_026667074.1, XP_017875332.1, XP_017875336.1, XP_017875334.1, XP_026667073.1	XP_017764057.1
OG0000165	XP_017885731.1	XP_017762757.1
OG0000166	XP_017885198.1, XP_017885199.1	XP_017762820.1, XP_017762821.1, XP_017762819.1
OG0000167	XP_026670076.1, XP_026670075.1, XP_017881592.1	XP_017758010.1, XP_017758016.1, XP_017758017.1, XP_017758018.1, XP_017758011.1, XP_017758012.1, XP_017758013.1, XP_017758009.1
OG0000168	XP_026670843.1, XP_026670846.1, XP_017883071.2	XP_017757433.1
OG0000169	XP_017876202.1	XP_017765669.1
OG0000170	XP_017885221.1	XP_017763761.1
OG0000172	XP_017893620.1	XP_017757145.1
OG0000172	XP_017893593.1	XP_017757194.1
OG0000173	XP_026669498.1, XP_026669481.1, XP_026669413.1	XP_017766040.1, XP_017766039.1
OG0000174	XP_026673608.1, XP_017888695.1, XP_017888696.1, XP_017888680.1, XP_017888716.1	XP_017758626.1, XP_017758628.1, XP_017758627.1
OG0000175	XP_017890461.1	XP_017760787.1
OG0000176	XP_017880967.1	XP_017765023.1, XP_017765019.1
OG0000177	XP_017888965.2, XP_017890673.1, XP_017877494.1, XP_017878197.1	XP_017765621.1
OG0000177	XP_017882448.1	XP_017766190.1
OG0000178	XP_017875129.1, XP_026672588.1, XP_017887778.1, XP_017887780.1, XP_017885409.1	XP_017757043.1
OG0000179	XP_017877534.1, XP_026668146.1	XP_017766856.1
OG0000180	XP_026674969.1, XP_026674968.1, XP_017891628.1	XP_017758446.1
OG0000181	XP_026672518.1	XP_017762004.1, XP_017762005.1
OG0000182	XP_017880418.1, XP_017880419.1	XP_017755798.1
OG0000183	XP_017882623.1	XP_017761880.1, XP_017761881.1, XP_017761882.1
OG0000184	XP_017876664.1, XP_017876665.1, XP_017876663.1	XP_017766254.1, XP_017766253.1
OG0000185	XP_017879769.1	XP_017760240.1, XP_017760239.1
OG0000187	XP_026670559.1, XP_026670560.1, XP_026670558.1, XP_017882423.1	XP_017753953.1, XP_017753952.1, XP_017756071.1, XP_017756070.1, XP_017756072.1, XP_017753957.1
OG0000188	XP_017884176.1	XP_017765200.1
OG0000189	XP_017878226.1, XP_017878228.1, XP_017878227.1	XP_017754652.1, XP_017754659.1, XP_017754667.1
OG0000190	XP_017884018.1, XP_017884019.1, XP_017884017.1	XP_017766410.1, XP_017766409.1, XP_017766414.1, XP_017766415.1, XP_017766412.1, XP_017766413.1
OG0000191	XP_017880232.1	XP_017753554.1
OG0000192	XP_017880933.1, XP_017880930.1, XP_017880932.1, XP_017880934.1, XP_017880931.1	XP_017754347.1
OG0000193	XP_017887620.1	XP_017761219.1
OG0000194	XP_017878656.1, XP_026668642.1, XP_017878658.1	XP_017760945.1, XP_017760944.1
OG0000195	XP_017883056.1, XP_017883055.1, XP_017883054.1	XP_017755677.1, XP_017755678.1, XP_017755679.1
OG0000197	XP_026674136.1	XP_017757949.1
OG0000197	XP_026675479.1	XP_017760652.1, XP_017767290.1, XP_017757950.1
OG0000198	XP_017879823.1, XP_026669191.1	XP_017765770.1, XP_017765759.1
OG0000200	XP_026667451.1, XP_017876164.1	XP_017753509.1, XP_017753508.1
OG0000201	XP_017881852.1, XP_026669889.1, XP_026669892.1	XP_017755856.1, XP_017755853.1, XP_017755854.1, XP_017755851.1, XP_017755852.1, XP_017755858.1, XP_017755857.1
OG0000202	XP_017878411.1, XP_017878410.1	XP_017760841.1
OG0000203	XP_017884937.1	XP_017761525.1, XP_017761524.1, XP_017761523.1
OG0000204	XP_017887339.1	XP_017759506.1, XP_017759507.1
OG0000205	XP_026670898.1	XP_017755660.1
OG0000206	XP_017886453.1	XP_017757359.1
OG0000207	XP_017885543.1, XP_017885544.1	XP_017762624.1
OG0000208	XP_017877130.1, XP_026667913.1	XP_017764212.1, XP_017764213.1, XP_017764211.1
OG0000209	XP_017876246.1, XP_017876245.1, XP_017876248.1, XP_017876247.1, XP_017876249.1, XP_026667477.1	XP_017755037.1, XP_017755038.1
OG0000210	XP_026672513.1	XP_017765046.1
OG0000210	XP_026672512.1	XP_017765038.1
OG0000211	XP_017876182.1, XP_026667463.1, XP_026667461.1, XP_026667462.1	XP_017761260.1, XP_017761259.1
OG0000212	XP_017879981.1, XP_017879980.1	XP_017760364.1, XP_017760363.1, XP_017760362.1
OG0000213	XP_017879713.1, XP_017879711.1, XP_017879712.1, XP_017879710.1	XP_017765989.1, XP_017765987.1
OG0000214	XP_026674310.1, XP_017889485.1	XP_017765450.1, XP_017765451.1
OG0000215	XP_026667010.1, XP_026667011.1, XP_017875258.1, XP_017875259.1	XP_017762915.1
OG0000216	XP_026668623.1, XP_017878397.1	XP_017766078.1
OG0000217	XP_026666941.1	XP_017763974.1, XP_017764053.1
OG0000218	XP_026674156.1, XP_026674154.1	XP_017765029.1
OG0000219	XP_017882427.1, XP_017882428.1, XP_017882429.1, XP_017882425.1, XP_017882430.1, XP_026670577.1, XP_017882426.1	XP_017760481.1
OG0000220	XP_017885400.1	XP_017764513.1
OG0000221	XP_017875461.1	XP_017759937.1
OG0000222	XP_017891500.1	XP_017762934.1
OG0000222	XP_017891893.1, XP_017891894.1	XP_017767431.1
OG0000223	XP_017875942.1	XP_017760444.1
OG0000224	XP_017881499.1, XP_017881498.1, XP_026669970.1	XP_017760492.1
OG0000226	XP_026674159.1, XP_017889612.1	XP_017761831.1
OG0000227	XP_026675010.1	XP_017756242.1, XP_017756241.1
OG0000227	XP_026675012.1, XP_026675011.1	XP_017756232.1
OG0000228	XP_017892650.2, XP_026675538.1, XP_026669124.1, XP_017892649.1, XP_017879699.1, XP_017879788.1	XP_017764855.1, XP_017764854.1, XP_017764853.1
OG0000229	XP_026667970.1	XP_017755480.1
OG0000229	XP_017891609.2	XP_017753960.1
OG0000231	XP_017882489.1, XP_017882341.1, XP_017882406.1, XP_017882260.1	XP_017763159.1, XP_017763158.1, XP_017763161.1, XP_017763160.1
OG0000232	XP_017886042.1, XP_017886041.1, XP_026672367.1	XP_017766787.1
OG0000233	XP_026675168.1, XP_017891847.1, XP_017891846.1	XP_017756660.1
OG0000234	XP_017888840.1	XP_017756007.1, XP_017756006.1, XP_017756004.1, XP_017756005.1, XP_017756003.1
OG0000235	XP_026669622.1, XP_026669623.1, XP_017880635.1, XP_017880633.1, XP_017880636.1	XP_017752374.1, XP_017752371.1, XP_017752372.1
OG0000236	XP_017885150.1	XP_017764392.1, XP_017764391.1
OG0000237	XP_017881836.1	XP_017752738.1
OG0000238	XP_017878847.1	XP_017765337.1, XP_017765335.1, XP_017765336.1
OG0000239	XP_017881302.1	XP_017765562.1
OG0000240	XP_017878265.1	XP_017757896.1, XP_017757897.1
OG0000241	XP_017880094.1	XP_017759546.1
OG0000242	XP_026673537.1, XP_026666922.1	XP_017753481.1
OG0000243	XP_017891863.1	XP_017753486.1, XP_017753487.1
OG0000244	XP_017877510.1	XP_017755394.1
OG0000245	XP_017877931.1, XP_017877932.1, XP_017877933.1, XP_026668393.1, XP_026668394.1, XP_017877934.1	XP_017758588.1
OG0000246	XP_017880344.1	XP_017752449.1
OG0000246	XP_017888864.1, XP_017888867.1	XP_017765588.1, XP_017753107.1
OG0000247	XP_026666803.1	XP_017762833.1
OG0000248	XP_017887490.1	XP_017765753.1
OG0000249	XP_017878945.1, XP_017878947.1, XP_017875917.2	XP_017755131.1
OG0000250	XP_017878016.1, XP_026668371.1, XP_026668373.1, XP_026668372.1	XP_017753496.1
OG0000251	XP_017889837.1	XP_017765225.1
OG0000252	XP_026667651.1, XP_026667650.1, XP_026667652.1	XP_017767385.1
OG0000253	XP_017888863.1	XP_017759475.1
OG0000253	XP_026673668.1	XP_017759465.1
OG0000254	XP_026669691.1, XP_017880879.1, XP_017880881.1, XP_026669692.1	XP_017767116.1, XP_017767118.1, XP_017767117.1
OG0000255	XP_017875528.1, XP_017875529.1	XP_017759954.1, XP_017759955.1, XP_017759953.1, XP_017759956.1
