Orthogroup	Osmia_lignaria	Nomia_melanderi
OG0000043	XP_034173337.1, XP_034173336.1, XP_034173334.1, XP_034173335.1	XP_031837423.1, XP_031837422.1, XP_031837424.1, XP_031837418.1, XP_031837419.1, XP_031837415.1, XP_031837416.1, XP_031837417.1, XP_031837420.1
OG0000044	XP_034179353.1, XP_034179355.1, XP_034179356.1	XP_031843159.1, XP_031843160.1, XP_031843157.1, XP_031843158.1, XP_031843156.1, XP_031843147.1, XP_031843154.1, XP_031843149.1, XP_031843148.1, XP_031843151.1, XP_031843150.1, XP_031843153.1, XP_031843152.1
OG0000045	XP_034194538.1	XP_031848811.1
OG0000046	XP_034171928.1, XP_034171932.1, XP_034171930.1, XP_034171011.1	XP_031834877.1
OG0000047	XP_034173513.1, XP_034184140.1, XP_034173808.1, XP_034171775.1, XP_034171711.1, XP_034171584.1, XP_034173512.1	XP_031826113.1, XP_031839488.1, XP_031838234.1, XP_031839319.1
OG0000048	XP_034194531.1, XP_034194822.1	XP_031848787.1, XP_031841174.1, XP_031848702.1, XP_031843838.1, XP_031838604.1, XP_031828601.1, XP_031836614.1, XP_031842050.1, XP_031847656.1, XP_031836582.1
OG0000048	XP_034192185.1	XP_031827996.1
OG0000049	XP_034195423.1, XP_034195421.1	XP_031842058.1, XP_031837430.1
OG0000050	XP_034190520.1, XP_034190518.1, XP_034190519.1	XP_031829738.1, XP_031829737.1, XP_031829736.1, XP_031829735.1, XP_031829734.1, XP_031829739.1
OG0000051	XP_034191137.1	XP_031827529.1, XP_031827528.1
OG0000052	XP_034195801.1	XP_031839037.1
OG0000053	XP_034185422.1	XP_031848709.1, XP_031849052.1
OG0000054	XP_034195791.1, XP_034195790.1, XP_034195789.1, XP_034195792.1	XP_031839027.1
OG0000055	XP_034184425.1, XP_034184424.1, XP_034184427.1, XP_034184426.1	XP_031844556.1, XP_031844582.1, XP_031844537.1, XP_031844547.1, XP_031844574.1, XP_031844509.1, XP_031844479.1, XP_031844439.1, XP_031844458.1, XP_031844469.1, XP_031844518.1, XP_031844565.1, XP_031844499.1, XP_031844448.1, XP_031844489.1, XP_031844528.1
OG0000056	XP_034180577.1, XP_034180576.1, XP_034180578.1	XP_031832593.1, XP_031832592.1, XP_031832594.1
OG0000057	XP_034195035.1	XP_031830190.1, XP_031844104.1
OG0000058	XP_034171927.1	XP_031834873.1, XP_031834871.1, XP_031834537.1, XP_031834872.1
OG0000059	XP_034173506.1, XP_034183943.1, XP_034175387.1, XP_034171057.1, XP_034173943.1	XP_031839329.1
OG0000059	XP_034173418.1	XP_031848785.1, XP_031848784.1, XP_031839487.1, XP_031839374.1
OG0000060	XP_034192995.1, XP_034192984.1, XP_034192985.1, XP_034192986.1, XP_034192987.1, XP_034192988.1, XP_034192989.1, XP_034192990.1, XP_034192992.1, XP_034192993.1, XP_034192994.1, XP_034192997.1, XP_034192999.1, XP_034193000.1, XP_034192998.1, XP_034192996.1	XP_031831659.1, XP_031831658.1, XP_031831662.1, XP_031831660.1, XP_031831661.1
OG0000061	XP_034195041.1	XP_031839173.1
OG0000063	XP_034179598.1	XP_031844815.1
OG0000063	XP_034186699.1	XP_031849986.1
OG0000063	XP_034179599.1	XP_031844820.1, XP_031844747.1
OG0000064	XP_034193748.1, XP_034193749.1, XP_034193750.1	XP_031842989.1, XP_031842986.1
OG0000064	XP_034195488.1	XP_031848143.1, XP_031835042.1
OG0000065	XP_034175487.1, XP_034175486.1, XP_034175485.1, XP_034175484.1, XP_034175489.1, XP_034175483.1, XP_034175488.1	XP_031850218.1, XP_031850220.1, XP_031850222.1, XP_031850221.1, XP_031850223.1
OG0000066	XP_034182276.1, XP_034182277.1, XP_034182279.1, XP_034182278.1, XP_034182280.1	XP_031840718.1, XP_031840717.1, XP_031840716.1, XP_031840715.1
OG0000067	XP_034185661.1, XP_034185663.1, XP_034185666.1, XP_034185665.1, XP_034185667.1, XP_034185659.1, XP_034185660.1, XP_034185662.1	XP_031848727.1, XP_031848726.1, XP_031848722.1, XP_031848723.1, XP_031848720.1, XP_031848721.1, XP_031848719.1, XP_031848724.1
OG0000068	XP_034171931.1	XP_031834884.1, XP_031834534.1, XP_031834533.1, XP_031834882.1, XP_031834883.1, XP_031834885.1, XP_031834881.1, XP_031834879.1, XP_031834538.1, XP_031834536.1, XP_031834824.1
OG0000069	XP_034191920.1, XP_034191918.1, XP_034191919.1, XP_034191915.1, XP_034191916.1, XP_034191917.1	XP_031837357.1, XP_031837367.1, XP_031837312.1, XP_031837319.1, XP_031837284.1, XP_031837302.1, XP_031837338.1, XP_031837349.1, XP_031837294.1, XP_031837276.1, XP_031837329.1
OG0000070	XP_034188825.1, XP_034188823.1, XP_034188824.1	XP_031847208.1
OG0000071	XP_034186050.1, XP_034186060.1, XP_034186034.1, XP_034186043.1	XP_031841059.1, XP_031841084.1, XP_031841094.1, XP_031841068.1, XP_031841103.1, XP_031841113.1, XP_031841076.1, XP_031841042.1, XP_031841121.1, XP_031841129.1, XP_031841052.1
OG0000072	XP_034182415.1, XP_034182416.1, XP_034182419.1, XP_034182418.1, XP_034182417.1	XP_031844649.1, XP_031844644.1, XP_031844648.1, XP_031844646.1, XP_031844645.1
OG0000073	XP_034191022.1	XP_031826266.1, XP_031826326.1
OG0000076	XP_034183753.1, XP_034183708.1	XP_031837857.1, XP_031837858.1, XP_031837855.1, XP_031837856.1, XP_031837853.1, XP_031837854.1, XP_031837852.1
OG0000077	XP_034172037.1, XP_034172035.1	XP_031834869.1
OG0000078	XP_034175172.1, XP_034175972.1, XP_034175971.1, XP_034175970.1, XP_034175973.1, XP_034175974.1	XP_031836346.1, XP_031829498.1, XP_031836078.1
OG0000079	XP_034179339.1	XP_031843214.1, XP_031843210.1, XP_031843211.1, XP_031843208.1, XP_031843218.1, XP_031843209.1, XP_031843219.1, XP_031843216.1, XP_031843217.1, XP_031843220.1, XP_031843215.1, XP_031843213.1
OG0000080	XP_034178154.1	XP_031826524.1
OG0000081	XP_034175506.1	XP_031835342.1, XP_031835341.1, XP_031835340.1, XP_031835338.1, XP_031835337.1, XP_031835336.1, XP_031835335.1, XP_031835345.1, XP_031835344.1, XP_031835357.1, XP_031835353.1, XP_031835347.1, XP_031835333.1, XP_031835334.1, XP_031835355.1, XP_031835356.1, XP_031835346.1, XP_031835354.1, XP_031835351.1, XP_031835352.1, XP_031835348.1, XP_031835349.1, XP_031835331.1, XP_031835332.1, XP_031835343.1, XP_031835358.1
OG0000082	XP_034172377.1, XP_034172378.1, XP_034172374.1, XP_034172375.1, XP_034172381.1, XP_034172379.1, XP_034172380.1	XP_031847102.1, XP_031847099.1, XP_031847100.1, XP_031847101.1
OG0000083	XP_034188204.1, XP_034188205.1, XP_034188201.1, XP_034188199.1, XP_034188198.1, XP_034188203.1, XP_034188202.1, XP_034188206.1	XP_031844501.1, XP_031844500.1, XP_031844495.1
OG0000085	XP_034184545.1, XP_034184551.1, XP_034184550.1, XP_034184552.1, XP_034184547.1, XP_034184546.1, XP_034184549.1, XP_034184548.1	XP_031842867.1, XP_031842849.1, XP_031842898.1, XP_031842810.1, XP_031842875.1, XP_031842842.1, XP_031842858.1, XP_031842882.1, XP_031842831.1, XP_031842890.1, XP_031842820.1
OG0000086	XP_034193755.1	XP_031843003.1, XP_031842999.1, XP_031843000.1, XP_031843002.1, XP_031843001.1, XP_031843004.1
OG0000087	XP_034175005.1, XP_034175008.1, XP_034174999.1, XP_034175001.1, XP_034175000.1, XP_034175002.1, XP_034175004.1, XP_034175007.1, XP_034175006.1, XP_034175003.1, XP_034175009.1	XP_031835468.1
OG0000088	XP_034172021.1, XP_034171990.1, XP_034172006.1, XP_034171988.1	XP_031834789.1, XP_031834782.1, XP_031834779.1, XP_031834778.1, XP_031834773.1
OG0000089	XP_034176486.1, XP_034176485.1, XP_034176484.1	XP_031829071.1, XP_031839440.1, XP_031829061.1
OG0000090	XP_034174806.1, XP_034174807.1, XP_034174804.1, XP_034174805.1, XP_034174809.1, XP_034174808.1	XP_031845031.1
OG0000091	XP_034176758.1, XP_034176759.1, XP_034176760.1, XP_034176761.1, XP_034176762.1, XP_034176757.1	XP_031831260.1, XP_031831262.1, XP_031831258.1, XP_031831263.1, XP_031831257.1, XP_031831259.1
OG0000092	XP_034192190.1, XP_034183416.1, XP_034194926.1, XP_034195327.1, XP_034190727.1, XP_034182488.1, XP_034183422.1	XP_031831047.1
OG0000093	XP_034176689.1	XP_031835519.1, XP_031835518.1, XP_031835523.1, XP_031835521.1, XP_031835520.1, XP_031835515.1, XP_031835526.1, XP_031835517.1, XP_031835516.1, XP_031835524.1, XP_031835522.1, XP_031835527.1
OG0000094	XP_034189000.1, XP_034188997.1, XP_034188999.1, XP_034188998.1, XP_034189001.1, XP_034189002.1	XP_031831880.1, XP_031831898.1, XP_031831908.1, XP_031831918.1, XP_031831890.1
OG0000095	XP_034182328.1, XP_034182296.1, XP_034182318.1, XP_034182312.1, XP_034182303.1	XP_031840582.1, XP_031840581.1, XP_031840580.1, XP_031840577.1, XP_031840579.1
OG0000096	XP_034182648.1, XP_034182649.1, XP_034182646.1, XP_034182647.1, XP_034182653.1, XP_034182650.1, XP_034182651.1, XP_034182631.1, XP_034182643.1, XP_034182642.1, XP_034182641.1, XP_034182640.1, XP_034182639.1, XP_034182638.1, XP_034182637.1, XP_034182644.1, XP_034182630.1, XP_034182632.1, XP_034182633.1, XP_034182628.1, XP_034182629.1, XP_034182645.1, XP_034182634.1, XP_034182635.1, XP_034182654.1	XP_031840722.1
OG0000097	XP_034194113.1, XP_034194115.1, XP_034194114.1	XP_031838150.1, XP_031838151.1, XP_031838152.1
OG0000098	XP_034183858.1, XP_034183859.1, XP_034183860.1, XP_034183857.1, XP_034183855.1, XP_034183854.1, XP_034183861.1, XP_034183862.1	XP_031830530.1, XP_031830534.1, XP_031830533.1, XP_031830532.1, XP_031830531.1, XP_031830529.1
OG0000099	XP_034172361.1, XP_034172360.1, XP_034172357.1, XP_034172359.1	XP_031832566.1, XP_031832565.1, XP_031832564.1
OG0000101	XP_034190967.1, XP_034190977.1, XP_034190974.1, XP_034190966.1, XP_034190972.1, XP_034190973.1, XP_034190965.1, XP_034190964.1, XP_034190980.1, XP_034190971.1, XP_034190970.1, XP_034190981.1, XP_034190976.1, XP_034190982.1, XP_034190975.1, XP_034190983.1, XP_034190968.1, XP_034190978.1, XP_034190969.1	XP_031826818.1, XP_031826826.1
OG0000102	XP_034181038.1, XP_034181041.1, XP_034181039.1, XP_034181040.1, XP_034181037.1	XP_031834225.1
OG0000103	XP_034175113.1, XP_034175112.1, XP_034175114.1	XP_031829080.1, XP_031829082.1, XP_031829084.1, XP_031829083.1
OG0000104	XP_034186114.1	XP_031847933.1
OG0000104	XP_034186107.1	XP_031847930.1
OG0000104	XP_034186108.1	XP_031847931.1
OG0000105	XP_034191356.1, XP_034191353.1, XP_034191357.1, XP_034191354.1, XP_034191358.1, XP_034191359.1, XP_034191360.1, XP_034191361.1, XP_034191352.1, XP_034191351.1	XP_031843476.1, XP_031843474.1
OG0000108	XP_034183658.1, XP_034183657.1	XP_031830649.1
OG0000109	XP_034185678.1, XP_034185675.1, XP_034185679.1, XP_034185680.1, XP_034185683.1, XP_034185684.1, XP_034185676.1, XP_034185673.1, XP_034185674.1, XP_034185681.1, XP_034185682.1, XP_034185677.1	XP_031829945.1, XP_031829946.1
OG0000113	XP_034171786.1, XP_034171784.1, XP_034171785.1	XP_031828530.1, XP_031828532.1, XP_031828526.1, XP_031828527.1, XP_031828528.1, XP_031828529.1, XP_031828531.1
OG0000114	XP_034179365.1, XP_034179363.1, XP_034179367.1, XP_034179366.1, XP_034179361.1, XP_034179362.1	XP_031843162.1
OG0000115	XP_034191324.1, XP_034191323.1	XP_031826731.1, XP_031826730.1, XP_031826733.1, XP_031826732.1
OG0000116	XP_034180712.1, XP_034180711.1, XP_034180710.1, XP_034180709.1	XP_031848546.1
OG0000117	XP_034178973.1	XP_031829383.1, XP_031829381.1, XP_031829385.1, XP_031829384.1, XP_031829386.1
OG0000118	XP_034182422.1, XP_034182423.1, XP_034182421.1, XP_034182424.1	XP_031844651.1, XP_031844650.1
OG0000119	XP_034191746.1, XP_034191745.1, XP_034191747.1, XP_034191749.1, XP_034191748.1	XP_031840063.1, XP_031838029.1
OG0000120	XP_034190809.1, XP_034176183.1, XP_034190765.1, XP_034175209.1	XP_031840326.1, XP_031840327.1, XP_031840325.1, XP_031840314.1, XP_031840328.1
OG0000121	XP_034174273.1, XP_034174272.1, XP_034174271.1, XP_034174270.1	XP_031846080.1, XP_031846079.1, XP_031846082.1, XP_031846084.1, XP_031846083.1, XP_031846086.1, XP_031846085.1
OG0000122	XP_034172163.1	XP_031844068.1, XP_031844071.1, XP_031844072.1, XP_031844073.1, XP_031844067.1, XP_031844069.1, XP_031844070.1, XP_031844065.1, XP_031844066.1, XP_031844063.1, XP_031844064.1
OG0000124	XP_034185528.1	XP_031842765.1, XP_031842584.1, XP_031842673.1, XP_031842494.1
OG0000126	XP_034181554.1	XP_031846455.1, XP_031846454.1, XP_031846456.1
OG0000127	XP_034179569.1, XP_034178978.1	XP_031844741.1
OG0000128	XP_034176819.1, XP_034176820.1, XP_034176821.1, XP_034176817.1, XP_034176818.1	XP_031825577.1, XP_031825582.1, XP_031825583.1, XP_031825584.1, XP_031825578.1, XP_031825580.1, XP_031825581.1, XP_031825579.1
OG0000129	XP_034176168.1, XP_034176167.1, XP_034176169.1	XP_031828873.1, XP_031828866.1, XP_031828870.1, XP_031828869.1, XP_031828871.1, XP_031828872.1, XP_031828875.1, XP_031828876.1, XP_031828867.1
OG0000130	XP_034177344.1, XP_034177330.1, XP_034177323.1, XP_034177336.1	XP_031826392.1, XP_031826395.1, XP_031826396.1, XP_031826397.1, XP_031826394.1, XP_031826393.1
OG0000131	XP_034175704.1, XP_034175702.1, XP_034175701.1, XP_034175700.1, XP_034175703.1, XP_034175699.1	XP_031848825.1, XP_031848826.1, XP_031848827.1, XP_031848824.1, XP_031848823.1, XP_031848821.1, XP_031848822.1
OG0000132	XP_034177586.1, XP_034177584.1, XP_034177583.1	XP_031833493.1, XP_031833492.1, XP_031833489.1, XP_031833487.1, XP_031833491.1, XP_031833490.1, XP_031833488.1, XP_031833486.1, XP_031833494.1
OG0000133	XP_034192378.1	XP_031826346.1, XP_031830448.1
OG0000134	XP_034193805.1	XP_031848872.1, XP_031836795.1, XP_031836630.1, XP_031836796.1
OG0000135	XP_034191110.1, XP_034191109.1	XP_031826841.1, XP_031826842.1, XP_031826844.1, XP_031826843.1, XP_031826838.1, XP_031826839.1, XP_031826845.1
OG0000139	XP_034195309.1, XP_034195317.1, XP_034195314.1, XP_034195304.1	XP_031834348.1
OG0000140	XP_034183102.1, XP_034183103.1, XP_034183104.1, XP_034183105.1, XP_034183106.1, XP_034183101.1	XP_031826910.1, XP_031826913.1, XP_031826911.1
OG0000141	XP_034182597.1, XP_034182600.1, XP_034182598.1	XP_031844567.1
OG0000142	XP_034186603.1, XP_034186606.1, XP_034186605.1, XP_034188116.1, XP_034188457.1	XP_031839533.1, XP_031839532.1
OG0000143	XP_034182661.1, XP_034182652.1	XP_031840625.1, XP_031840624.1, XP_031840623.1, XP_031840622.1
OG0000144	XP_034173463.1, XP_034173465.1, XP_034173464.1	XP_031847157.1, XP_031847156.1, XP_031847155.1, XP_031847154.1
OG0000145	XP_034184612.1	XP_031850549.1
OG0000146	XP_034173815.1, XP_034173817.1	XP_031842445.1, XP_031842444.1, XP_031842442.1, XP_031842451.1, XP_031842450.1, XP_031842446.1, XP_031842452.1, XP_031842453.1, XP_031842454.1, XP_031842455.1, XP_031842456.1, XP_031842457.1, XP_031842443.1, XP_031842447.1, XP_031842448.1
OG0000147	XP_034181254.1, XP_034181253.1, XP_034181258.1, XP_034181249.1, XP_034181250.1, XP_034181251.1, XP_034181257.1, XP_034181256.1, XP_034181252.1	XP_031839076.1
OG0000148	XP_034185966.1, XP_034185984.1, XP_034185960.1, XP_034185975.1	XP_031841728.1
OG0000149	XP_034177625.1, XP_034177623.1, XP_034177622.1, XP_034177626.1	XP_031825620.1, XP_031825618.1, XP_031825619.1
OG0000150	XP_034176323.1, XP_034176352.1, XP_034176342.1, XP_034176332.1	XP_031826632.1, XP_031826634.1, XP_031826630.1, XP_031826633.1
OG0000151	XP_034189041.1, XP_034189040.1	XP_031834986.1, XP_031834984.1, XP_031834995.1, XP_031834989.1, XP_031834994.1, XP_031834993.1, XP_031834987.1, XP_031834997.1, XP_031834985.1, XP_031834996.1, XP_031834988.1, XP_031834991.1, XP_031834992.1
OG0000152	XP_034170811.1, XP_034170810.1, XP_034170809.1	XP_031847213.1
OG0000153	XP_034182476.1	XP_031847203.1
OG0000155	XP_034171114.1, XP_034171099.1, XP_034171091.1, XP_034171105.1	XP_031828345.1
OG0000156	XP_034170950.1	XP_031839547.1
OG0000157	XP_034173810.1	XP_031828130.1
OG0000158	XP_034179685.1	XP_031842819.1, XP_031842816.1, XP_031842817.1, XP_031842818.1, XP_031842823.1, XP_031842824.1, XP_031842821.1, XP_031842822.1, XP_031842827.1, XP_031842828.1, XP_031842825.1, XP_031842826.1
OG0000159	XP_034190002.1, XP_034190001.1	XP_031830558.1, XP_031830557.1
OG0000160	XP_034175010.1, XP_034175012.1	XP_031848508.1
OG0000161	XP_034186534.1, XP_034186533.1	XP_031827467.1, XP_031827469.1, XP_031827464.1, XP_031827465.1, XP_031827463.1, XP_031827468.1
OG0000162	XP_034178501.1, XP_034178492.1	XP_031840589.1, XP_031840588.1, XP_031840587.1
OG0000163	XP_034189578.1, XP_034189579.1, XP_034189580.1, XP_034189581.1	XP_031848261.1, XP_031848263.1, XP_031848262.1
OG0000164	XP_034182895.1, XP_034182896.1	XP_031843950.1, XP_031843942.1, XP_031843962.1
OG0000165	XP_034194095.1, XP_034194096.1, XP_034194097.1	XP_031843663.1, XP_031843664.1, XP_031843666.1, XP_031843667.1, XP_031843668.1, XP_031843669.1, XP_031843670.1, XP_031843671.1, XP_031843665.1
OG0000166	XP_034195596.1, XP_034195604.1, XP_034195587.1	XP_031826538.1
OG0000167	XP_034172270.1	XP_031847181.1, XP_031847177.1, XP_031847178.1, XP_031847176.1, XP_031847173.1, XP_031847174.1, XP_031847171.1, XP_031847172.1, XP_031847170.1, XP_031847182.1, XP_031847179.1, XP_031847180.1
OG0000168	XP_034176770.1	XP_031833469.1
OG0000168	XP_034176766.1	XP_031833468.1
OG0000169	XP_034183965.1, XP_034183967.1, XP_034183963.1, XP_034183964.1, XP_034183968.1, XP_034183962.1	XP_031842422.1, XP_031842364.1, XP_031842384.1, XP_031842395.1, XP_031842406.1, XP_031842344.1, XP_031842328.1, XP_031842335.1, XP_031842374.1, XP_031842355.1, XP_031842413.1
OG0000170	XP_034189531.1, XP_034189541.1	XP_031846753.1
OG0000172	XP_034187515.1	XP_031845337.1
OG0000172	XP_034187516.1	XP_031845460.1
OG0000172	XP_034180852.1	XP_031832931.1
OG0000173	XP_034173077.1, XP_034173076.1, XP_034173069.1	XP_031846922.1, XP_031846915.1
OG0000174	XP_034174497.1, XP_034174496.1, XP_034174495.1	XP_031846059.1, XP_031846055.1, XP_031846054.1, XP_031846053.1, XP_031846060.1, XP_031846061.1, XP_031846057.1, XP_031846056.1
OG0000175	XP_034193114.1, XP_034193113.1, XP_034193115.1	XP_031849329.1, XP_031849330.1, XP_031849331.1, XP_031849324.1, XP_031849325.1, XP_031849326.1, XP_031849327.1, XP_031849332.1, XP_031849333.1, XP_031849328.1
OG0000176	XP_034190369.1, XP_034190365.1, XP_034190693.1, XP_034190367.1, XP_034190366.1, XP_034194217.1, XP_034194216.1	XP_031840772.1
OG0000177	XP_034182690.1	XP_031840747.1, XP_031840748.1
OG0000178	XP_034174012.1	XP_031842331.1, XP_031842255.1
OG0000179	XP_034178078.1, XP_034178079.1	XP_031827770.1, XP_031827777.1, XP_031827778.1, XP_031827775.1, XP_031827776.1, XP_031827773.1, XP_031827774.1, XP_031827771.1, XP_031827779.1, XP_031827780.1, XP_031827772.1, XP_031827784.1, XP_031827783.1, XP_031827781.1
OG0000180	XP_034189596.1, XP_034189595.1	XP_031846259.1, XP_031846257.1, XP_031846251.1, XP_031846252.1, XP_031846249.1, XP_031846250.1, XP_031846255.1, XP_031846256.1, XP_031846253.1, XP_031846254.1
OG0000181	XP_034178956.1	XP_031829459.1
OG0000182	XP_034184451.1, XP_034184450.1, XP_034184449.1, XP_034184448.1, XP_034184452.1	XP_031845190.1, XP_031845201.1, XP_031845183.1, XP_031845175.1, XP_031845164.1
OG0000183	XP_034196191.1	XP_031841922.1
