Orthogroup	Osmia_lignaria	Megalopta_genalis
OG0000025	XP_034182854.1, XP_034182857.1, XP_034182852.1, XP_034182855.1, XP_034182851.1, XP_034182850.1, XP_034182856.1	XP_033325052.1, XP_033325051.1, XP_033325054.1, XP_033325053.1, XP_033325048.1, XP_033325047.1, XP_033325050.1, XP_033325049.1, XP_033325055.1
OG0000026	XP_034189435.1, XP_034189434.1, XP_034189436.1, XP_034189437.1, XP_034189438.1	XP_033321452.1, XP_033321451.1, XP_033321450.1
OG0000027	XP_034176177.1, XP_034176176.1, XP_034176171.1, XP_034176175.1, XP_034176174.1, XP_034176173.1, XP_034176178.1, XP_034176172.1	XP_033337252.1, XP_033337236.1, XP_033337245.1, XP_033337219.1, XP_033337227.1, XP_033337260.1
OG0000028	XP_034171188.1, XP_034171191.1, XP_034171190.1, XP_034171189.1	XP_033330647.1, XP_033330816.1, XP_033330486.1, XP_033330568.1, XP_033330405.1, XP_033330738.1, XP_033330319.1
OG0000029	XP_034189051.1, XP_034189052.1	XP_033333520.1, XP_033333521.1
OG0000030	XP_034174216.1	XP_033332405.1
OG0000030	XP_034173942.1	XP_033332404.1
OG0000031	XP_034187152.1, XP_034187153.1, XP_034187150.1, XP_034187149.1, XP_034187151.1, XP_034187148.1	XP_033326345.1, XP_033326344.1, XP_033326347.1, XP_033326346.1, XP_033326351.1, XP_033326352.1, XP_033326348.1, XP_033326349.1
OG0000032	XP_034188074.1, XP_034188075.1, XP_034188076.1	XP_033329243.1, XP_033329242.1, XP_033329244.1
OG0000033	XP_034180404.1, XP_034180403.1, XP_034180406.1, XP_034180402.1	XP_033336003.1, XP_033336004.1, XP_033336005.1, XP_033336006.1, XP_033336007.1, XP_033336008.1, XP_033336009.1
OG0000034	XP_034176957.1, XP_034176958.1, XP_034176959.1, XP_034176953.1, XP_034176954.1, XP_034176955.1, XP_034176956.1	XP_033324165.1
OG0000035	XP_034193470.1, XP_034193472.1, XP_034193474.1, XP_034193475.1, XP_034193473.1, XP_034193476.1	XP_033324679.1, XP_033324678.1, XP_033324677.1, XP_033324680.1
OG0000036	XP_034186581.1, XP_034186577.1, XP_034186579.1, XP_034186578.1, XP_034186576.1, XP_034186580.1	XP_033335344.1, XP_033335343.1, XP_033335345.1, XP_033335342.1, XP_033335341.1
OG0000037	XP_034172064.1	XP_033328353.1, XP_033328354.1, XP_033328352.1, XP_033328348.1, XP_033328347.1, XP_033328345.1, XP_033328346.1, XP_033328349.1, XP_033328356.1, XP_033328355.1
OG0000038	XP_034190835.1, XP_034190836.1, XP_034176738.1, XP_034176739.1	XP_033322825.1
OG0000039	XP_034181405.1, XP_034181399.1, XP_034181401.1, XP_034181402.1, XP_034181400.1, XP_034181403.1	XP_033335273.1, XP_033335248.1, XP_033335255.1, XP_033335265.1
OG0000040	XP_034184421.1	XP_033325796.1, XP_033325797.1
OG0000041	XP_034194031.1	XP_033321520.1
OG0000041	XP_034195325.1	XP_033336526.1, XP_033328733.1, XP_033321465.1, XP_033338214.1
OG0000043	XP_034173337.1, XP_034173336.1, XP_034173334.1, XP_034173335.1	XP_033341999.1
OG0000044	XP_034179353.1, XP_034179355.1, XP_034179356.1	XP_033324696.1, XP_033324693.1, XP_033324694.1, XP_033324700.1, XP_033324699.1, XP_033324698.1, XP_033324701.1, XP_033324695.1
OG0000047	XP_034173513.1, XP_034184140.1, XP_034173808.1, XP_034171775.1, XP_034171711.1, XP_034171584.1, XP_034173512.1	XP_033328481.1, XP_033328625.1, XP_033328967.1, XP_033328581.1
OG0000049	XP_034195422.1, XP_034195424.1	XP_033341369.1, XP_033341264.1, XP_033341263.1
OG0000050	XP_034190520.1, XP_034190518.1, XP_034190519.1	XP_033332614.1, XP_033332612.1, XP_033332613.1, XP_033332615.1
OG0000051	XP_034191137.1	XP_033325147.1, XP_033325149.1
OG0000052	XP_034195801.1	XP_033321049.1
OG0000052	XP_034196365.1	XP_033333313.1, XP_033333310.1, XP_033333311.1, XP_033333314.1
OG0000053	XP_034185422.1	XP_033323667.1, XP_033323078.1
OG0000054	XP_034195791.1, XP_034195790.1, XP_034195789.1, XP_034195792.1	XP_033321046.1, XP_033321048.1
OG0000055	XP_034184425.1, XP_034184424.1, XP_034184427.1, XP_034184426.1	XP_033333278.1, XP_033333280.1, XP_033333281.1, XP_033333279.1
OG0000056	XP_034180577.1, XP_034180576.1, XP_034180578.1	XP_033336684.1, XP_033336683.1, XP_033336682.1
OG0000059	XP_034173506.1, XP_034183943.1, XP_034175387.1, XP_034171057.1, XP_034173943.1, XP_034173507.1	XP_033328603.1, XP_033328582.1, XP_033328621.1
OG0000059	XP_034173418.1	XP_033328576.1
OG0000060	XP_034192995.1, XP_034192984.1, XP_034192985.1, XP_034192986.1, XP_034192987.1, XP_034192988.1, XP_034192989.1, XP_034192990.1, XP_034192992.1, XP_034192993.1, XP_034192994.1, XP_034192997.1, XP_034192999.1, XP_034193000.1, XP_034192998.1, XP_034192996.1	XP_033324135.1, XP_033324136.1
OG0000062	XP_034194211.1, XP_034178195.1, XP_034194607.1, XP_034174772.1, XP_034194576.1, XP_034195291.1, XP_034171871.1, XP_034184035.1, XP_034194023.1, XP_034195128.1, XP_034192555.1, XP_034192484.1, XP_034192270.1, XP_034195060.1	XP_033334294.1
OG0000063	XP_034179598.1	XP_033341364.1
OG0000063	XP_034186699.1	XP_033324523.1
OG0000063	XP_034179599.1	XP_033341282.1
OG0000064	XP_034193748.1, XP_034193749.1, XP_034193750.1	XP_033322375.1, XP_033322376.1
OG0000064	XP_034195488.1	XP_033322848.1, XP_033330101.1
OG0000065	XP_034175487.1, XP_034175486.1, XP_034175485.1, XP_034175484.1, XP_034175489.1, XP_034175483.1, XP_034175488.1	XP_033334751.1, XP_033334748.1, XP_033334749.1, XP_033334750.1
OG0000066	XP_034182276.1, XP_034182277.1, XP_034182279.1, XP_034182278.1, XP_034182280.1	XP_033322048.1, XP_033322049.1, XP_033322050.1
OG0000067	XP_034185661.1, XP_034185663.1, XP_034185666.1, XP_034185665.1, XP_034185667.1, XP_034185659.1, XP_034185660.1, XP_034185662.1	XP_033334552.1
OG0000069	XP_034191920.1, XP_034191918.1, XP_034191919.1, XP_034191915.1, XP_034191916.1, XP_034191917.1	XP_033336074.1, XP_033336075.1, XP_033336076.1
OG0000070	XP_034188825.1, XP_034188823.1, XP_034188824.1	XP_033330676.1, XP_033330685.1, XP_033330686.1, XP_033330689.1, XP_033330692.1, XP_033330678.1, XP_033330679.1, XP_033330690.1, XP_033330677.1, XP_033330674.1, XP_033330675.1, XP_033330687.1, XP_033330688.1, XP_033330682.1, XP_033330681.1, XP_033330684.1, XP_033330683.1
OG0000071	XP_034186050.1, XP_034186060.1, XP_034186034.1, XP_034186043.1	XP_033333385.1
OG0000072	XP_034182415.1, XP_034182416.1, XP_034182419.1, XP_034182418.1, XP_034182417.1	XP_033341823.1, XP_033341838.1, XP_033341847.1, XP_033341813.1, XP_033341832.1
OG0000073	XP_034191022.1	XP_033330026.1, XP_033330029.1
OG0000074	XP_034180498.1	XP_033323885.1, XP_033323887.1
OG0000075	XP_034177367.1, XP_034195149.1, XP_034195129.1, XP_034194811.1, XP_034195165.1, XP_034195313.1, XP_034182490.1, XP_034194953.1, XP_034195179.1, XP_034194794.1, XP_034195185.1, XP_034195329.1, XP_034195227.1, XP_034195057.1, XP_034194871.1, XP_034195055.1, XP_034194954.1, XP_034195156.1, XP_034190401.1, XP_034194793.1, XP_034195178.1, XP_034195131.1, XP_034182478.1	XP_033323553.1
OG0000076	XP_034183753.1, XP_034183708.1	XP_033334963.1, XP_033334929.1, XP_033334954.1, XP_033334945.1, XP_033334936.1
OG0000077	XP_034172037.1, XP_034172035.1	XP_033322600.1
OG0000078	XP_034175172.1, XP_034175972.1, XP_034175971.1, XP_034175970.1, XP_034175973.1, XP_034175974.1	XP_033326692.1, XP_033331288.1
OG0000079	XP_034179339.1	XP_033324601.1
OG0000080	XP_034178154.1	XP_033328473.1
OG0000081	XP_034175506.1	XP_033342457.1, XP_033342461.1
OG0000082	XP_034172377.1, XP_034172378.1, XP_034172374.1, XP_034172375.1, XP_034172381.1, XP_034172379.1, XP_034172380.1	XP_033341517.1
OG0000083	XP_034188204.1, XP_034188205.1, XP_034188201.1, XP_034188199.1, XP_034188198.1, XP_034188203.1, XP_034188202.1, XP_034188206.1	XP_033323244.1, XP_033323243.1, XP_033323242.1, XP_033323241.1
OG0000084	XP_034182489.1, XP_034195161.1	XP_033332263.1, XP_033333309.1, XP_033337116.1, XP_033339381.1, XP_033337295.1
OG0000085	XP_034184545.1, XP_034184551.1, XP_034184550.1, XP_034184552.1, XP_034184547.1, XP_034184546.1, XP_034184549.1, XP_034184548.1	XP_033334351.1, XP_033334352.1
OG0000087	XP_034175005.1, XP_034175008.1, XP_034174999.1, XP_034175001.1, XP_034175000.1, XP_034175002.1, XP_034175004.1, XP_034175007.1, XP_034175006.1, XP_034175003.1, XP_034175009.1	XP_033342872.1
OG0000089	XP_034176486.1, XP_034176485.1, XP_034176484.1	XP_033334507.1, XP_033334506.1, XP_033334502.1, XP_033334501.1, XP_033334500.1, XP_033334508.1, XP_033334505.1, XP_033334495.1, XP_033334489.1, XP_033334497.1, XP_033334490.1, XP_033334498.1, XP_033334499.1
OG0000090	XP_034174806.1, XP_034174807.1, XP_034174804.1, XP_034174805.1, XP_034174809.1, XP_034174808.1	XP_033338119.1, XP_033338120.1, XP_033338121.1, XP_033338123.1, XP_033338118.1, XP_033338124.1
OG0000091	XP_034176758.1, XP_034176759.1, XP_034176760.1, XP_034176761.1, XP_034176762.1, XP_034176757.1	XP_033323823.1, XP_033323824.1, XP_033323821.1, XP_033323822.1
OG0000093	XP_034176689.1	XP_033342589.1, XP_033342588.1, XP_033342587.1, XP_033342590.1, XP_033342594.1, XP_033342595.1, XP_033342586.1, XP_033342593.1
OG0000094	XP_034189000.1, XP_034188997.1, XP_034188999.1, XP_034188998.1, XP_034189001.1, XP_034189002.1	XP_033341961.1, XP_033341964.1, XP_033341962.1, XP_033341963.1
OG0000095	XP_034182328.1, XP_034182296.1, XP_034182318.1, XP_034182312.1, XP_034182303.1	XP_033340438.1, XP_033340437.1, XP_033340435.1, XP_033340436.1
OG0000096	XP_034182648.1, XP_034182649.1, XP_034182646.1, XP_034182647.1, XP_034182653.1, XP_034182650.1, XP_034182651.1, XP_034182631.1, XP_034182643.1, XP_034182642.1, XP_034182641.1, XP_034182640.1, XP_034182639.1, XP_034182638.1, XP_034182637.1, XP_034182644.1, XP_034182630.1, XP_034182632.1, XP_034182633.1, XP_034182628.1, XP_034182629.1, XP_034182645.1, XP_034182634.1, XP_034182635.1, XP_034182654.1	XP_033327190.1
OG0000097	XP_034194113.1, XP_034194115.1, XP_034194114.1	XP_033339361.1, XP_033339360.1, XP_033339359.1, XP_033339357.1, XP_033339358.1
OG0000098	XP_034183858.1, XP_034183859.1, XP_034183860.1, XP_034183857.1, XP_034183855.1, XP_034183854.1, XP_034183861.1, XP_034183862.1	XP_033339580.1
OG0000099	XP_034172361.1, XP_034172360.1, XP_034172357.1, XP_034172359.1	XP_033340259.1, XP_033340261.1, XP_033340260.1, XP_033340258.1
OG0000100	XP_034194798.1, XP_034194960.1, XP_034195023.1, XP_034194846.1, XP_034195027.1, XP_034194033.1	XP_033323173.1
OG0000101	XP_034190967.1, XP_034190977.1, XP_034190974.1, XP_034190966.1, XP_034190972.1, XP_034190973.1, XP_034190965.1, XP_034190964.1, XP_034190980.1, XP_034190971.1, XP_034190970.1, XP_034190981.1, XP_034190976.1, XP_034190982.1, XP_034190975.1, XP_034190983.1, XP_034190968.1, XP_034190978.1, XP_034190969.1	XP_033326283.1
OG0000102	XP_034181038.1, XP_034181041.1, XP_034181039.1, XP_034181040.1, XP_034181037.1	XP_033333983.1, XP_033333985.1, XP_033333982.1
OG0000103	XP_034175113.1, XP_034175112.1, XP_034175114.1	XP_033334793.1, XP_033334791.1, XP_033334792.1
OG0000104	XP_034186107.1	XP_033325783.1
OG0000104	XP_034186108.1	XP_033325782.1
OG0000105	XP_034191356.1, XP_034191353.1, XP_034191357.1, XP_034191354.1, XP_034191358.1, XP_034191359.1, XP_034191360.1, XP_034191361.1, XP_034191352.1, XP_034191351.1	XP_033330005.1, XP_033330008.1, XP_033330004.1, XP_033330007.1, XP_033330006.1, XP_033330009.1
OG0000107	XP_034189003.1, XP_034195086.1	XP_033333536.1, XP_033332759.1
OG0000109	XP_034185678.1, XP_034185675.1, XP_034185679.1, XP_034185680.1, XP_034185683.1, XP_034185684.1, XP_034185676.1, XP_034185673.1, XP_034185674.1, XP_034185681.1, XP_034185682.1, XP_034185677.1	XP_033337630.1, XP_033337629.1, XP_033337631.1
OG0000110	XP_034194089.1, XP_034194090.1, XP_034194088.1, XP_034194086.1, XP_034194087.1	XP_033336486.1, XP_033336485.1
OG0000113	XP_034171786.1, XP_034171784.1, XP_034171785.1	XP_033324463.1, XP_033324455.1, XP_033324487.1, XP_033324472.1, XP_033324481.1
OG0000114	XP_034179365.1, XP_034179363.1, XP_034179367.1, XP_034179366.1, XP_034179361.1, XP_034179362.1	XP_033324702.1
OG0000115	XP_034191324.1, XP_034191323.1	XP_033338597.1, XP_033338594.1, XP_033338596.1, XP_033338595.1, XP_033338590.1, XP_033338592.1, XP_033338591.1, XP_033338593.1
OG0000116	XP_034180712.1, XP_034180711.1, XP_034180710.1, XP_034180709.1	XP_033335852.1, XP_033335851.1, XP_033335854.1, XP_033335853.1
OG0000117	XP_034178973.1	XP_033320794.1, XP_033320777.1, XP_033320785.1, XP_033320771.1
OG0000118	XP_034182422.1, XP_034182423.1, XP_034182421.1, XP_034182424.1	XP_033341864.1, XP_033341872.1
OG0000119	XP_034191746.1, XP_034191745.1, XP_034191747.1, XP_034191749.1, XP_034191748.1	XP_033333649.1
OG0000120	XP_034190809.1, XP_034176183.1, XP_034190765.1, XP_034175209.1	XP_033337565.1, XP_033337616.1, XP_033337576.1, XP_033337589.1, XP_033337322.1, XP_033337603.1, XP_033337334.1, XP_033337342.1, XP_033337637.1, XP_033337625.1
OG0000121	XP_034174273.1, XP_034174272.1, XP_034174271.1, XP_034174270.1	XP_033329737.1
OG0000122	XP_034172163.1	XP_033340167.1, XP_033340169.1
OG0000124	XP_034185528.1	XP_033335144.1, XP_033335143.1, XP_033335142.1, XP_033335145.1
OG0000125	XP_034190826.1, XP_034190827.1	XP_033322509.1, XP_033338371.1, XP_033338373.1
OG0000126	XP_034181554.1	XP_033332905.1, XP_033332906.1, XP_033332896.1, XP_033332898.1, XP_033332899.1, XP_033332902.1, XP_033332904.1, XP_033332900.1, XP_033332901.1
OG0000127	XP_034179569.1, XP_034178978.1	XP_033325356.1
OG0000128	XP_034176819.1, XP_034176820.1, XP_034176821.1, XP_034176817.1, XP_034176818.1	XP_033337265.1, XP_033337266.1, XP_033337267.1, XP_033337269.1, XP_033337270.1, XP_033337268.1
OG0000129	XP_034176168.1, XP_034176167.1, XP_034176169.1	XP_033324466.1, XP_033324465.1, XP_033324464.1
OG0000130	XP_034177344.1, XP_034177330.1, XP_034177323.1, XP_034177336.1	XP_033331923.1, XP_033331924.1, XP_033331922.1
OG0000131	XP_034175704.1, XP_034175702.1, XP_034175701.1, XP_034175700.1, XP_034175703.1, XP_034175699.1	XP_033342656.1, XP_033342657.1, XP_033342660.1, XP_033342658.1, XP_033342659.1, XP_033342655.1
OG0000132	XP_034177586.1, XP_034177584.1, XP_034177583.1	XP_033328245.1
OG0000133	XP_034192378.1	XP_033325792.1, XP_033332603.1, XP_033326446.1
OG0000134	XP_034193805.1	XP_033333680.1, XP_033333360.1, XP_033339825.1, XP_033333679.1, XP_033333681.1
OG0000135	XP_034191110.1, XP_034191109.1	XP_033335530.1, XP_033335529.1, XP_033335528.1, XP_033335531.1
OG0000137	XP_034194964.1, XP_034194849.1, XP_034194935.1, XP_034194934.1, XP_034195061.1	XP_033323314.1
OG0000139	XP_034195309.1, XP_034195317.1, XP_034195314.1, XP_034195304.1	XP_033326623.1
OG0000140	XP_034183102.1, XP_034183103.1, XP_034183104.1, XP_034183105.1, XP_034183106.1, XP_034183101.1	XP_033332465.1, XP_033332464.1
OG0000141	XP_034182597.1, XP_034182600.1, XP_034182598.1	XP_033322099.1, XP_033322094.1, XP_033322100.1, XP_033322098.1, XP_033322097.1, XP_033322095.1
OG0000142	XP_034186603.1, XP_034186606.1, XP_034186605.1, XP_034188116.1, XP_034188457.1	XP_033329994.1, XP_033332455.1, XP_033332539.1
OG0000143	XP_034182661.1, XP_034182652.1	XP_033340309.1, XP_033340308.1
OG0000144	XP_034173463.1, XP_034173465.1, XP_034173464.1	XP_033328638.1, XP_033328637.1, XP_033328636.1
OG0000145	XP_034172417.1, XP_034172418.1, XP_034172420.1, XP_034172414.1, XP_034172415.1, XP_034172416.1, XP_034172421.1, XP_034192199.1, XP_034192520.1, XP_034195079.1, XP_034192516.1	XP_033342857.1
OG0000145	XP_034194688.1, XP_034194032.1	XP_033340363.1, XP_033340364.1
OG0000146	XP_034173815.1, XP_034173817.1	XP_033335472.1
OG0000147	XP_034181254.1, XP_034181253.1, XP_034181258.1, XP_034181249.1, XP_034181250.1, XP_034181251.1, XP_034181257.1, XP_034181256.1, XP_034181252.1	XP_033329204.1, XP_033329208.1, XP_033329209.1, XP_033329205.1, XP_033329207.1, XP_033329210.1
OG0000148	XP_034185966.1, XP_034185984.1, XP_034185960.1, XP_034185975.1	XP_033334305.1, XP_033334302.1, XP_033334301.1, XP_033334304.1
OG0000149	XP_034177625.1, XP_034177623.1, XP_034177622.1, XP_034177626.1	XP_033332751.1
OG0000150	XP_034176323.1, XP_034176352.1, XP_034176342.1, XP_034176332.1	XP_033340372.1, XP_033340373.1, XP_033340375.1, XP_033340374.1
OG0000151	XP_034189041.1, XP_034189040.1	XP_033340563.1
OG0000152	XP_034170811.1, XP_034170810.1, XP_034170809.1	XP_033323605.1, XP_033323606.1
OG0000153	XP_034182476.1	XP_033330936.1
OG0000154	XP_034195315.1, XP_034195308.1, XP_034195349.1, XP_034194873.1, XP_034195134.1, XP_034195247.1, XP_034194647.1, XP_034195162.1, XP_034194930.1, XP_034195221.1, XP_034195223.1, XP_034195307.1, XP_034195159.1, XP_034195222.1, XP_034194932.1, XP_034195151.1, XP_034195147.1	XP_033328449.1, XP_033329898.1
OG0000155	XP_034171114.1, XP_034171099.1, XP_034171091.1, XP_034171105.1	XP_033339983.1
OG0000156	XP_034170950.1	XP_033338224.1
OG0000157	XP_034173810.1	XP_033340891.1, XP_033340948.1
OG0000158	XP_034179685.1	XP_033324595.1, XP_033324597.1, XP_033324598.1, XP_033324600.1, XP_033324596.1, XP_033324599.1
OG0000159	XP_034190002.1, XP_034190001.1	XP_033341034.1, XP_033341035.1, XP_033341036.1, XP_033341044.1, XP_033341039.1, XP_033341042.1, XP_033341043.1, XP_033341041.1, XP_033341033.1, XP_033341032.1, XP_033341037.1, XP_033341038.1
OG0000160	XP_034175010.1, XP_034175012.1	XP_033334444.1, XP_033334451.1
OG0000161	XP_034186534.1, XP_034186533.1	XP_033338617.1, XP_033338616.1, XP_033338842.1
OG0000162	XP_034178501.1, XP_034178492.1	XP_033340314.1, XP_033340315.1, XP_033340313.1, XP_033340310.1
OG0000163	XP_034189578.1, XP_034189579.1, XP_034189580.1, XP_034189581.1	XP_033325441.1
OG0000164	XP_034182895.1, XP_034182896.1	XP_033331312.1, XP_033331313.1
OG0000165	XP_034194095.1, XP_034194096.1, XP_034194097.1	XP_033333308.1, XP_033333301.1, XP_033333312.1, XP_033333320.1
OG0000166	XP_034195596.1, XP_034195604.1, XP_034195587.1	XP_033328363.1
OG0000167	XP_034172270.1	XP_033341189.1
OG0000168	XP_034176770.1	XP_033323837.1
OG0000169	XP_034183965.1, XP_034183967.1, XP_034183963.1, XP_034183964.1, XP_034183968.1, XP_034183962.1	XP_033332192.1
OG0000170	XP_034189531.1, XP_034189541.1	XP_033323045.1, XP_033322951.1
OG0000171	XP_034175132.1, XP_034175130.1, XP_034175131.1	XP_033334479.1
OG0000172	XP_034187515.1	XP_033338100.1
OG0000172	XP_034187516.1	XP_033338102.1
OG0000172	XP_034180852.1	XP_033330917.1
OG0000173	XP_034173077.1, XP_034173076.1, XP_034173069.1	XP_033341477.1, XP_033341474.1, XP_033341487.1, XP_033341483.1
OG0000174	XP_034174497.1, XP_034174496.1, XP_034174495.1	XP_033329797.1
OG0000175	XP_034193114.1, XP_034193113.1, XP_034193115.1	XP_033342393.1
OG0000176	XP_034190369.1, XP_034190365.1, XP_034190693.1, XP_034190367.1, XP_034190366.1, XP_034194217.1, XP_034194216.1	XP_033321740.1, XP_033321739.1
OG0000177	XP_034182690.1	XP_033331231.1
OG0000178	XP_034174010.1, XP_034174009.1	XP_033335187.1
OG0000178	XP_034174012.1	XP_033326630.1, XP_033335186.1, XP_033335200.1, XP_033335199.1, XP_033335198.1
OG0000179	XP_034178078.1, XP_034178079.1	XP_033323438.1
OG0000180	XP_034189596.1, XP_034189595.1	XP_033325819.1, XP_033325821.1, XP_033325822.1
OG0000181	XP_034178956.1	XP_033322282.1, XP_033322281.1, XP_033322284.1, XP_033322283.1, XP_033322286.1, XP_033322285.1
OG0000182	XP_034184451.1, XP_034184450.1, XP_034184449.1, XP_034184448.1, XP_034184452.1	XP_033321343.1, XP_033321342.1, XP_033321344.1
OG0000183	XP_034196191.1	XP_033328687.1
OG0000184	XP_034183395.1, XP_034183397.1, XP_034183396.1	XP_033325763.1
OG0000185	XP_034183428.1	XP_033320838.1, XP_033320836.1, XP_033320837.1
OG0000186	XP_034185101.1, XP_034185087.1, XP_034185093.1, XP_034185104.1	XP_033337769.1
OG0000187	XP_034182467.1, XP_034182466.1, XP_034182468.1, XP_034182469.1	XP_033329875.1, XP_033329874.1
OG0000188	XP_034170835.1, XP_034170836.1	XP_033321545.1, XP_033321544.1
OG0000189	XP_034171567.1, XP_034171566.1	XP_033334134.1
OG0000190	XP_034171366.1, XP_034171365.1	XP_033337368.1, XP_033337377.1, XP_033337357.1
OG0000191	XP_034182960.1, XP_034182962.1, XP_034182961.1, XP_034182965.1, XP_034182963.1, XP_034182964.1	XP_033322576.1
OG0000192	XP_034188503.1	XP_033322054.1, XP_033322055.1
OG0000193	XP_034182344.1	XP_033340517.1, XP_033340518.1
OG0000194	XP_034175689.1	XP_033342648.1, XP_033342647.1, XP_033342649.1, XP_033342645.1, XP_033342644.1
OG0000195	XP_034177803.1, XP_034177800.1, XP_034177802.1	XP_033321430.1, XP_033321431.1, XP_033321429.1
OG0000197	XP_034192365.1	XP_033331112.1, XP_033339815.1, XP_033323538.1, XP_033323537.1, XP_033323540.1
OG0000198	XP_034177599.1, XP_034177331.1	XP_033322502.1, XP_033339875.1, XP_033322501.1, XP_033322500.1, XP_033322503.1
OG0000200	XP_034172080.1, XP_034172081.1, XP_034172083.1, XP_034172082.1	XP_033326152.1, XP_033326153.1, XP_033326154.1, XP_033326155.1, XP_033326156.1, XP_033326151.1
