Orthogroup	Osmia_lignaria	Megachile_rotundata
OG0000043	XP_034173337.1, XP_034173336.1, XP_034173334.1, XP_034173335.1	XP_012147890.1
OG0000044	XP_034179353.1, XP_034179355.1, XP_034179356.1	XP_012146996.1, XP_012146995.1, XP_012146998.1, XP_012146997.1, XP_012146999.1, XP_012147000.1
OG0000045	XP_034177276.1	XP_012151864.1, XP_012147289.1, XP_012153234.1, XP_012143820.1
OG0000045	XP_034194538.1	XP_012146526.1, XP_012136213.1, XP_012136798.1, XP_012151893.1
OG0000046	XP_034171928.1	XP_003700842.2
OG0000046	XP_034171932.1, XP_034171930.1	XP_003700923.1, XP_003700925.1, XP_003700922.1
OG0000046	XP_034171011.1	XP_012135245.1
OG0000047	XP_034173513.1	XP_012151724.1
OG0000047	XP_034173808.1	XP_012141737.1
OG0000048	XP_034194531.1, XP_034194822.1, XP_034192185.1	XP_012149905.1
OG0000049	XP_034195424.1	XP_012139216.1, XP_003702701.1
OG0000049	XP_034195423.1	XP_003702704.1, XP_003702718.1
OG0000050	XP_034190520.1, XP_034190518.1, XP_034190519.1	XP_012138838.1, XP_012138835.1, XP_003702490.1, XP_012138837.1, XP_012138836.1
OG0000051	XP_034191137.1	XP_012134574.1, XP_012134573.1, XP_012134572.1
OG0000052	XP_034196365.1	XP_012140603.1, XP_012140604.1, XP_003703247.1, XP_012140602.1, XP_012140601.1, XP_012140598.1, XP_012140597.1, XP_012140600.1, XP_012140599.1, XP_012140605.1
OG0000053	XP_034185422.1	XP_012148084.1
OG0000054	XP_034195791.1, XP_034195790.1, XP_034195789.1, XP_034195792.1	XP_003703348.2
OG0000055	XP_034184425.1, XP_034184424.1, XP_034184427.1, XP_034184426.1	XP_012144258.1
OG0000056	XP_034180577.1, XP_034180576.1, XP_034180578.1	XP_012139779.1, XP_012139778.1, XP_012139774.1, XP_012139776.1, XP_012139777.1, XP_012139775.1
OG0000057	XP_034194542.1	XP_012150420.1
OG0000057	XP_034195049.1	XP_003708371.1
OG0000058	XP_034171015.1	XP_003700912.1, XP_012135096.1, XP_003700913.1, XP_003700836.1, XP_003700837.1
OG0000058	XP_034171927.1	XP_003700911.2
OG0000059	XP_034173506.1, XP_034183943.1, XP_034175387.1, XP_034171057.1, XP_034173943.1	XP_003703733.1
OG0000059	XP_034173507.1	XP_012153581.1, XP_012141730.1
OG0000059	XP_034173418.1	XP_003707917.1
OG0000060	XP_034192995.1, XP_034192984.1, XP_034192985.1, XP_034192986.1, XP_034192987.1, XP_034192988.1, XP_034192989.1, XP_034192990.1, XP_034192992.1, XP_034192993.1, XP_034192994.1, XP_034192997.1, XP_034192999.1, XP_034193000.1, XP_034192998.1, XP_034192996.1	XP_012154009.1
OG0000061	XP_034195041.1	XP_012151871.1, XP_012152955.1
OG0000062	XP_034195060.1	XP_012153568.1
OG0000063	XP_034179598.1	XP_003708656.1
OG0000063	XP_034186700.1	XP_003700660.1
OG0000064	XP_034193748.1, XP_034193749.1, XP_034193750.1	XP_012153286.1
OG0000064	XP_034195488.1	XP_003703285.1
OG0000064	XP_034191028.1	XP_012136030.1
OG0000065	XP_034175487.1, XP_034175486.1, XP_034175485.1, XP_034175484.1, XP_034175489.1, XP_034175483.1, XP_034175488.1	XP_012135659.1
OG0000067	XP_034185661.1, XP_034185663.1, XP_034185666.1, XP_034185665.1, XP_034185667.1, XP_034185659.1, XP_034185660.1, XP_034185662.1	XP_003706502.1
OG0000068	XP_034171931.1	XP_003700844.1, XP_003700845.1, XP_003700846.1
OG0000069	XP_034191920.1, XP_034191918.1, XP_034191919.1, XP_034191915.1, XP_034191916.1, XP_034191917.1	XP_012139835.1
OG0000070	XP_034188825.1, XP_034188823.1, XP_034188824.1	XP_003702365.2
OG0000071	XP_034186050.1, XP_034186060.1, XP_034186034.1, XP_034186043.1	XP_012140336.1, XP_003699580.1, XP_012140342.1, XP_012140354.1, XP_012140349.1
OG0000072	XP_034182415.1, XP_034182416.1, XP_034182419.1, XP_034182418.1, XP_034182417.1	XP_003707713.1, XP_012151048.1
OG0000073	XP_034191022.1	XP_012149658.1, XP_012149660.1, XP_003707166.1, XP_012149661.1, XP_012149659.1, XP_012149656.1, XP_012149657.1
OG0000074	XP_034180498.1, XP_034180227.1	XP_003705489.1, XP_003705491.1
OG0000075	XP_034177367.1, XP_034195149.1, XP_034195129.1, XP_034194811.1	XP_012151963.1
OG0000075	XP_034182490.1	XP_012142755.1
OG0000075	XP_034195156.1	XP_012152146.1
OG0000076	XP_034183753.1, XP_034183708.1	XP_003700102.1
OG0000077	XP_034172037.1	XP_003702219.1
OG0000077	XP_034172035.1	XP_003702293.1
OG0000078	XP_034175172.1, XP_034175972.1, XP_034175971.1, XP_034175970.1, XP_034175973.1, XP_034175974.1	XP_012140362.1, XP_012135466.1, XP_012138672.1
OG0000079	XP_034179339.1	XP_003705989.1, XP_012147006.1, XP_012147007.1, XP_012147009.1
OG0000080	XP_034178154.1	XP_012140163.1, XP_012140166.1, XP_012140140.1, XP_012140138.1, XP_012140145.1, XP_012140144.1, XP_012140143.1, XP_012140158.1, XP_012140149.1, XP_012140141.1, XP_012140161.1, XP_012140159.1, XP_012140160.1, XP_012140139.1, XP_012140165.1, XP_012140156.1, XP_012140147.1, XP_012140162.1, XP_012140137.1, XP_012140146.1, XP_012140148.1, XP_012140151.1, XP_012140150.1, XP_012140153.1, XP_012140155.1, XP_012140154.1, XP_012140164.1, XP_012140157.1, XP_012140142.1
OG0000081	XP_034175506.1	XP_012135630.1
OG0000082	XP_034172377.1, XP_034172378.1, XP_034172374.1, XP_034172375.1, XP_034172381.1, XP_034172379.1, XP_034172380.1	XP_012141781.1, XP_012141780.1, XP_012141779.1, XP_012141774.1, XP_012141775.1, XP_012141777.1, XP_012141778.1, XP_003703743.1, XP_012141782.1
OG0000083	XP_034188204.1, XP_034188205.1, XP_034188201.1, XP_034188199.1, XP_034188198.1, XP_034188203.1, XP_034188202.1, XP_034188206.1	XP_003705021.1, XP_012144619.1, XP_012144618.1, XP_012144620.1, XP_012144622.1
OG0000084	XP_034182489.1, XP_034195161.1	XP_012145702.1
OG0000085	XP_034184545.1, XP_034184551.1, XP_034184550.1, XP_034184552.1, XP_034184547.1, XP_034184546.1, XP_034184549.1, XP_034184548.1	XP_012150709.1, XP_012150707.1, XP_012150713.1, XP_012150712.1, XP_012150711.1, XP_012150710.1, XP_012150708.1
OG0000086	XP_034193755.1	XP_003708587.1, XP_012153255.1, XP_012153256.1, XP_012153257.1
OG0000087	XP_034175005.1, XP_034175008.1, XP_034174999.1, XP_034175001.1, XP_034175000.1, XP_034175002.1, XP_034175004.1, XP_034175007.1, XP_034175006.1, XP_034175003.1, XP_034175009.1	XP_012148433.1, XP_012148442.1, XP_012148424.1, XP_003699981.1, XP_012148439.1, XP_012148450.1, XP_012148458.1
OG0000088	XP_034172021.1	XP_012138260.1
OG0000088	XP_034171990.1, XP_034172006.1, XP_034171988.1	XP_012138247.1, XP_012138255.1, XP_012138249.1
OG0000089	XP_034176486.1, XP_034176485.1, XP_034176484.1	XP_012138647.1, XP_012138646.1, XP_012138648.1, XP_012138644.1
OG0000090	XP_034174806.1, XP_034174807.1, XP_034174804.1, XP_034174805.1, XP_034174809.1, XP_034174808.1	XP_012138159.1, XP_012138151.1, XP_012138103.1, XP_012138138.1, XP_012138142.1, XP_012138107.1, XP_012138131.1, XP_012138125.1, XP_012138118.1
OG0000091	XP_034176758.1, XP_034176759.1, XP_034176760.1, XP_034176761.1, XP_034176762.1, XP_034176757.1	XP_003705245.1
OG0000092	XP_034192190.1, XP_034183416.1, XP_034194926.1, XP_034195327.1, XP_034190727.1, XP_034182488.1, XP_034183422.1	XP_012153225.1
OG0000093	XP_034176689.1	XP_012150943.1, XP_003707675.1, XP_012150944.1
OG0000094	XP_034189000.1, XP_034188997.1, XP_034188999.1, XP_034188998.1, XP_034189001.1, XP_034189002.1	XP_003701456.1
OG0000095	XP_034182328.1, XP_034182296.1, XP_034182318.1, XP_034182312.1, XP_034182303.1	XP_003702089.1, XP_012138104.1
OG0000096	XP_034182648.1, XP_034182649.1, XP_034182646.1, XP_034182647.1, XP_034182653.1, XP_034182650.1, XP_034182651.1, XP_034182631.1, XP_034182643.1, XP_034182642.1, XP_034182641.1, XP_034182640.1, XP_034182639.1, XP_034182638.1, XP_034182637.1, XP_034182644.1, XP_034182630.1, XP_034182632.1, XP_034182633.1, XP_034182628.1, XP_034182629.1, XP_034182645.1, XP_034182634.1, XP_034182635.1, XP_034182654.1	XP_012142191.1
OG0000097	XP_034194113.1, XP_034194115.1, XP_034194114.1	XP_003707142.1, XP_012149524.1
OG0000098	XP_034183858.1, XP_034183859.1, XP_034183860.1, XP_034183857.1, XP_034183855.1, XP_034183854.1, XP_034183861.1, XP_034183862.1	XP_003706809.1, XP_012148932.1, XP_012148931.1, XP_012148926.1, XP_012148934.1, XP_012148935.1, XP_012148937.1, XP_012148938.1, XP_012148928.1, XP_012148927.1, XP_012148933.1, XP_012148929.1
OG0000099	XP_034172361.1, XP_034172360.1, XP_034172357.1, XP_034172359.1	XP_003703781.1, XP_012141871.1, XP_012141870.1, XP_012141872.1, XP_012141873.1
OG0000101	XP_034190967.1, XP_034190977.1, XP_034190974.1, XP_034190966.1, XP_034190972.1, XP_034190973.1, XP_034190965.1, XP_034190964.1, XP_034190980.1, XP_034190971.1, XP_034190970.1, XP_034190981.1, XP_034190976.1, XP_034190982.1, XP_034190975.1, XP_034190983.1, XP_034190968.1, XP_034190978.1, XP_034190969.1	XP_003704125.1
OG0000102	XP_034181038.1, XP_034181041.1, XP_034181039.1, XP_034181040.1, XP_034181037.1	XP_012141540.1
OG0000103	XP_034175113.1, XP_034175112.1, XP_034175114.1	XP_012135254.1, XP_012135257.1, XP_012135256.1, XP_012135255.1, XP_012135258.1
OG0000104	XP_034186114.1	XP_012135505.1
OG0000104	XP_034186107.1	XP_003701076.1
OG0000104	XP_034186108.1	XP_012135503.1
OG0000105	XP_034191356.1, XP_034191353.1, XP_034191357.1, XP_034191354.1, XP_034191358.1, XP_034191359.1, XP_034191360.1, XP_034191361.1, XP_034191352.1, XP_034191351.1	XP_012136124.1
OG0000106	XP_034194636.1	XP_012145431.1
OG0000106	XP_034195009.1	XP_012145429.1
OG0000107	XP_034189003.1	XP_012136548.1
OG0000107	XP_034195086.1	XP_012153588.1
OG0000108	XP_034183658.1, XP_034183657.1	XP_012143361.1, XP_012143353.1, XP_012143348.1, XP_012143367.1, XP_012143333.1, XP_003699743.1, XP_012143339.1
OG0000109	XP_034185678.1, XP_034185675.1, XP_034185679.1, XP_034185680.1, XP_034185683.1, XP_034185684.1, XP_034185676.1, XP_034185673.1, XP_034185674.1, XP_034185681.1, XP_034185682.1, XP_034185677.1	XP_003705113.1, XP_012144753.1, XP_012144754.1
OG0000110	XP_034194089.1, XP_034194090.1, XP_034194088.1, XP_034194086.1, XP_034194087.1	XP_003708289.1, XP_012152675.1
OG0000111	XP_034195146.1, XP_034195033.1, XP_034184638.1, XP_034194774.1, XP_034194955.1, XP_034195054.1, XP_034195056.1, XP_034195160.1, XP_034194928.1, XP_034194933.1, XP_034195225.1, XP_034194777.1, XP_034192272.1, XP_034194779.1	XP_012148720.1
OG0000112	XP_034171933.1	XP_003700936.1, XP_003700935.1
OG0000113	XP_034171786.1, XP_034171784.1, XP_034171785.1	XP_003707502.1
OG0000114	XP_034179365.1, XP_034179363.1, XP_034179367.1, XP_034179366.1, XP_034179361.1, XP_034179362.1	XP_003705927.2
OG0000115	XP_034191324.1, XP_034191323.1	XP_012145495.1, XP_012145493.1, XP_012145496.1, XP_012145497.1, XP_012145494.1
OG0000116	XP_034180712.1, XP_034180711.1, XP_034180710.1, XP_034180709.1	XP_012152486.1, XP_003708319.1
OG0000117	XP_034178973.1	XP_012142605.1
OG0000118	XP_034182422.1, XP_034182423.1, XP_034182421.1, XP_034182424.1	XP_003707712.2
OG0000119	XP_034191746.1, XP_034191745.1, XP_034191747.1, XP_034191749.1, XP_034191748.1	XP_003704535.1, XP_012143272.1, XP_012143275.1, XP_012143274.1, XP_012143273.1, XP_012143269.1, XP_012143334.1, XP_003704521.1, XP_003704545.1, XP_003704542.1, XP_003704539.1, XP_003704544.2, XP_012143526.1, XP_003704543.1
OG0000120	XP_034190809.1, XP_034176183.1	XP_012149882.1
OG0000120	XP_034190765.1, XP_034175209.1	XP_012149881.1
OG0000121	XP_034174273.1, XP_034174272.1, XP_034174271.1, XP_034174270.1	XP_003703934.2
OG0000122	XP_034172163.1	XP_003706376.1
OG0000124	XP_034185528.1	XP_003701800.2
OG0000125	XP_034190826.1, XP_034190827.1	XP_012136077.1, XP_003701343.1, XP_012136078.1, XP_003701310.1, XP_003701345.1, XP_012136079.1
OG0000126	XP_034181554.1	XP_012137602.1, XP_012137603.1, XP_012137605.1, XP_012137606.1, XP_012137601.1, XP_003701985.1
OG0000128	XP_034176819.1, XP_034176820.1, XP_034176821.1, XP_034176817.1, XP_034176818.1	XP_003707308.1, XP_012150148.1, XP_012150149.1, XP_012150150.1
OG0000129	XP_034176168.1, XP_034176167.1, XP_034176169.1	XP_012137132.1, XP_012137131.1, XP_012137130.1, XP_012137133.1
OG0000130	XP_034177344.1, XP_034177330.1, XP_034177323.1, XP_034177336.1	XP_012143873.1, XP_012143874.1, XP_012143872.1, XP_003704704.1
OG0000131	XP_034175704.1, XP_034175702.1, XP_034175701.1, XP_034175700.1, XP_034175703.1, XP_034175699.1	XP_012147756.1
OG0000132	XP_034177586.1, XP_034177584.1, XP_034177583.1	XP_003707345.2
OG0000133	XP_034192378.1	XP_012147785.1
OG0000134	XP_034193805.1	XP_003705457.1, XP_003705455.2, XP_003705458.1, XP_003705446.1
OG0000135	XP_034191110.1, XP_034191109.1	XP_012154330.1, XP_003700520.1
OG0000136	XP_034194807.1	XP_012147779.1
OG0000138	XP_034192727.1	XP_012144947.1, XP_012144976.1, XP_012144975.1, XP_012145003.1, XP_012145005.1, XP_012145004.1, XP_012151858.1
OG0000139	XP_034195309.1, XP_034195317.1, XP_034195314.1, XP_034195304.1	XP_012139972.1, XP_012139971.1, XP_003703059.1
OG0000140	XP_034183102.1, XP_034183103.1, XP_034183104.1, XP_034183105.1, XP_034183106.1, XP_034183101.1	XP_012154290.1, XP_012154284.1, XP_012154283.1, XP_012154287.1, XP_012154285.1, XP_012154289.1, XP_003700441.1, XP_012154288.1
OG0000141	XP_034182597.1, XP_034182600.1, XP_034182598.1	XP_012136934.1, XP_012136932.1, XP_003701648.1, XP_012136933.1, XP_012136935.1
OG0000142	XP_034188457.1	XP_003704078.1
OG0000143	XP_034182661.1	XP_012138075.1
OG0000143	XP_034182652.1	XP_012138074.1
OG0000144	XP_034173463.1, XP_034173465.1, XP_034173464.1	XP_012151683.1, XP_012151684.1, XP_012151682.1
OG0000145	XP_034194688.1, XP_034194032.1, XP_034184612.1	XP_012145329.1
OG0000146	XP_034173815.1, XP_034173817.1	XP_003708387.1
OG0000147	XP_034181254.1, XP_034181253.1, XP_034181258.1, XP_034181249.1, XP_034181250.1, XP_034181251.1, XP_034181257.1, XP_034181256.1, XP_034181252.1	XP_012141572.1
OG0000148	XP_034185966.1, XP_034185984.1, XP_034185960.1, XP_034185975.1	XP_003700170.2, XP_012149742.1, XP_012149750.1
OG0000149	XP_034177625.1, XP_034177623.1, XP_034177622.1, XP_034177626.1	XP_003702628.1, XP_012139175.1
OG0000150	XP_034176323.1, XP_034176352.1, XP_034176342.1, XP_034176332.1	XP_012138047.1, XP_012138046.1, XP_003702066.1, XP_012138044.1, XP_012138043.1, XP_012138048.1
OG0000151	XP_034189041.1, XP_034189040.1	XP_003699394.1
OG0000152	XP_034170811.1	XP_003700885.1, XP_012135227.1
OG0000152	XP_034170810.1, XP_034170809.1	XP_003700881.1, XP_003700979.1, XP_012135225.1, XP_003700879.1
OG0000152	XP_034170854.1	XP_012139968.1
OG0000153	XP_034194541.1	XP_012151021.1, XP_012152030.1
OG0000153	XP_034182476.1	XP_012147493.1
OG0000154	XP_034195315.1, XP_034195308.1, XP_034195349.1, XP_034194873.1, XP_034195134.1, XP_034195247.1, XP_034194647.1, XP_034195162.1, XP_034194930.1, XP_034195221.1, XP_034195223.1, XP_034195307.1, XP_034195159.1, XP_034195222.1, XP_034194932.1, XP_034195151.1, XP_034195147.1	XP_012148716.1
OG0000155	XP_034171114.1, XP_034171099.1, XP_034171091.1, XP_034171105.1	XP_012153031.1, XP_012153030.1, XP_003708480.1
OG0000156	XP_034170950.1	XP_012138202.1, XP_012138201.1, XP_012138199.1, XP_003702328.1, XP_012138200.1
OG0000157	XP_034173810.1	XP_012146210.1
OG0000158	XP_034179685.1	XP_012141367.1, XP_003699623.1
OG0000159	XP_034190002.1, XP_034190001.1	XP_012148494.1, XP_003706704.1, XP_012148489.1, XP_012148490.1, XP_012148491.1, XP_012148493.1
OG0000160	XP_034175010.1, XP_034175012.1	XP_003701781.1, XP_012137702.1
OG0000161	XP_034186534.1, XP_034186533.1	XP_003700698.1, XP_012134590.1, XP_012134591.1
OG0000162	XP_034178501.1, XP_034178492.1	XP_012153110.1, XP_012153115.1, XP_012153112.1, XP_012153111.1, XP_012153114.1, XP_012153113.1, XP_003708460.1
OG0000163	XP_034189578.1, XP_034189579.1, XP_034189580.1, XP_034189581.1	XP_012149369.1, XP_012149368.1
OG0000164	XP_034182895.1, XP_034182896.1	XP_003701347.1, XP_012136090.1, XP_012136091.1, XP_012136092.1
OG0000165	XP_034194095.1, XP_034194096.1, XP_034194097.1	XP_012149513.1, XP_012149516.1, XP_012149517.1, XP_012149515.1, XP_012149514.1, XP_003707105.1
OG0000166	XP_034195596.1, XP_034195604.1, XP_034195587.1	XP_012137989.1, XP_012137994.1, XP_012137995.1, XP_012137993.1, XP_012137992.1, XP_012137991.1, XP_012137990.1, XP_012137988.1, XP_012137986.1, XP_012137996.1
OG0000167	XP_034172270.1	XP_003703821.1
OG0000168	XP_034176770.1	XP_003705265.2
OG0000168	XP_034176766.1	XP_012145088.1
OG0000169	XP_034183965.1, XP_034183967.1, XP_034183963.1, XP_034183964.1, XP_034183968.1, XP_034183962.1	XP_012150893.1, XP_003700128.1
OG0000170	XP_034189531.1, XP_034189541.1	XP_012143706.1, XP_012143704.1, XP_012143705.1, XP_012143702.1, XP_012143703.1, XP_012143700.1, XP_012143701.1, XP_003704643.1
OG0000171	XP_034175132.1, XP_034175130.1, XP_034175131.1	XP_003702453.2
OG0000172	XP_034187515.1	XP_003706217.1
OG0000172	XP_034187516.1	XP_012147418.1
OG0000172	XP_034180852.1	XP_003702759.1
OG0000173	XP_034173077.1, XP_034173076.1, XP_034173069.1	XP_012151659.1, XP_012151663.1, XP_012151656.1, XP_012151664.1
OG0000174	XP_034174497.1, XP_034174496.1, XP_034174495.1	XP_012139949.1, XP_003703046.1
OG0000175	XP_034193114.1, XP_034193113.1, XP_034193115.1	XP_003699277.1, XP_012134863.1, XP_012134848.1, XP_012134881.1, XP_012134890.1, XP_012134857.1, XP_012134872.1, XP_012134840.1
OG0000176	XP_034194216.1	XP_012146686.1
OG0000177	XP_034182690.1	XP_003703976.1
OG0000178	XP_034174010.1, XP_034174009.1	XP_003703954.1
OG0000178	XP_034174012.1	XP_003703956.1
OG0000179	XP_034178078.1, XP_034178079.1	XP_003704233.1
OG0000180	XP_034189596.1, XP_034189595.1	XP_003701026.1
