Orthogroup	Osmia_lignaria	Apis_mellifera
OG0000050	XP_034190520.1, XP_034190518.1, XP_034190519.1	XP_006559502.1, XP_006559501.1, XP_016769006.1, XP_393573.1, XP_016769007.1
OG0000051	XP_034191137.1	XP_016770937.2, XP_016770938.2, XP_026300076.1, XP_026300077.1, XP_006565270.3, XP_006565271.2
OG0000052	XP_034196365.1	XP_003251584.1
OG0000053	XP_034185422.1	XP_006565544.2
OG0000054	XP_034195791.1, XP_034195790.1, XP_034195789.1, XP_034195792.1	XP_016768147.1
OG0000055	XP_034184425.1, XP_034184424.1, XP_034184427.1, XP_034184426.1	XP_016769442.2
OG0000056	XP_034180577.1, XP_034180576.1, XP_034180578.1	XP_394018.2
OG0000058	XP_034171015.1	XP_016773538.1, XP_003250765.1
OG0000059	XP_034173506.1, XP_034183943.1, XP_034175387.1, XP_034171057.1, XP_034173943.1, XP_034173507.1	XP_003251627.1
OG0000060	XP_034192995.1, XP_034192984.1, XP_034192985.1, XP_034192986.1, XP_034192987.1, XP_034192988.1, XP_034192989.1, XP_034192990.1, XP_034192992.1, XP_034192993.1, XP_034192994.1, XP_034192997.1, XP_034192999.1, XP_034193000.1, XP_034192998.1, XP_034192996.1	XP_006572088.1
OG0000063	XP_034179598.1	XP_001121077.2
OG0000063	XP_034186700.1, XP_034186699.1	XP_003250085.1
OG0000063	XP_034179599.1	XP_006563422.1
OG0000064	XP_034193748.1, XP_034193749.1, XP_034193750.1	XP_396338.2
OG0000064	XP_034195488.1	XP_623220.1, XP_006567025.1
OG0000065	XP_034175487.1, XP_034175486.1, XP_034175485.1, XP_034175484.1, XP_034175489.1, XP_034175483.1, XP_034175488.1	XP_393751.2, XP_016770282.2, XP_006570397.2
OG0000066	XP_034182276.1, XP_034182277.1, XP_034182279.1, XP_034182278.1, XP_034182280.1	XP_016766794.1
OG0000068	XP_034171931.1	NP_001229907.1, NP_001229906.1
OG0000069	XP_034191920.1, XP_034191918.1, XP_034191919.1, XP_034191915.1, XP_034191916.1, XP_034191917.1	XP_006557622.1
OG0000070	XP_034188825.1, XP_034188823.1, XP_034188824.1	XP_006557723.1, XP_396406.5, XP_006557720.1
OG0000071	XP_034186050.1, XP_034186060.1, XP_034186034.1, XP_034186043.1	XP_006561713.1, XP_006561715.1, XP_006561714.1, XP_006561716.1, XP_016769650.1
OG0000072	XP_034182415.1, XP_034182416.1, XP_034182419.1, XP_034182418.1, XP_034182417.1	XP_006563970.2, XP_392277.4
OG0000073	XP_034191022.1	XP_393853.1, XP_006565288.1, XP_006565289.1, XP_006565286.1, XP_006565287.1, XP_006565285.1
OG0000074	XP_034180498.1	XP_026300962.1
OG0000076	XP_034183753.1, XP_034183708.1	XP_006567638.1, XP_006567639.1, XP_006567636.1, XP_001119871.2
OG0000077	XP_034172037.1, XP_034172035.1	XP_001119981.4
OG0000078	XP_034175172.1, XP_034175972.1, XP_034175971.1, XP_034175970.1, XP_034175973.1, XP_034175974.1	XP_006565095.2, XP_001120578.2
OG0000079	XP_034179339.1	XP_016772297.1, XP_006558308.1, XP_006558307.1, XP_006558309.1, XP_006558304.1, XP_006558306.1, XP_006558305.1, XP_016772296.1, XP_026301099.1, XP_026301100.1, XP_026301101.1
OG0000080	XP_034178154.1	XP_006569489.2
OG0000081	XP_034175506.1	XP_006570477.1
OG0000082	XP_034172377.1, XP_034172378.1, XP_034172374.1, XP_034172375.1, XP_034172381.1, XP_034172379.1, XP_034172380.1	XP_006571385.1
OG0000083	XP_034188204.1, XP_034188205.1, XP_034188201.1, XP_034188199.1, XP_034188198.1, XP_034188203.1, XP_034188202.1, XP_034188206.1	XP_016766914.1
OG0000085	XP_034184545.1, XP_034184551.1, XP_034184550.1, XP_034184552.1, XP_034184547.1, XP_034184546.1, XP_034184549.1, XP_034184548.1	XP_006561782.1, XP_003249920.2
OG0000086	XP_034193755.1	XP_016772166.1, XP_026301176.1, XP_026301177.1, XP_003250293.1
OG0000087	XP_034175005.1, XP_034175008.1, XP_034174999.1, XP_034175001.1, XP_034175000.1, XP_034175002.1, XP_034175004.1, XP_034175007.1, XP_034175006.1, XP_034175003.1, XP_034175009.1	XP_006566517.1, XP_016770257.1, XP_016770258.1, XP_026299433.1
OG0000088	XP_034172021.1, XP_034171990.1, XP_034172006.1, XP_034171988.1	XP_016766234.2, XP_016766233.2, XP_016766231.2, XP_016766244.2, XP_006569170.3, XP_006569176.3
OG0000089	XP_034176486.1, XP_034176485.1, XP_034176484.1	XP_016770807.2, XP_016770806.2, XP_016770795.1, XP_016770796.1, XP_026299638.1
OG0000090	XP_034174806.1, XP_034174807.1, XP_034174804.1, XP_034174805.1, XP_034174809.1, XP_034174808.1	XP_026295887.1, XP_395146.3
OG0000091	XP_034176758.1, XP_034176759.1, XP_034176760.1, XP_034176761.1, XP_034176762.1, XP_034176757.1	XP_026296707.1
OG0000093	XP_034176689.1	XP_006566536.1, XP_016770813.1
OG0000094	XP_034189000.1, XP_034188997.1, XP_034188999.1, XP_034188998.1, XP_034189001.1, XP_034189002.1	XP_006568900.1, XP_397517.2, XP_006568901.1, XP_006568902.1, XP_006568903.1
OG0000095	XP_034182328.1, XP_034182296.1, XP_034182318.1, XP_034182312.1, XP_034182303.1	XP_006570088.2, XP_394997.3, XP_016770157.2, XP_006570087.2, XP_016770156.2, XP_026300785.1
OG0000096	XP_034182648.1, XP_034182649.1, XP_034182646.1, XP_034182647.1, XP_034182653.1, XP_034182650.1, XP_034182651.1, XP_034182631.1, XP_034182643.1, XP_034182642.1, XP_034182641.1, XP_034182640.1, XP_034182639.1, XP_034182638.1, XP_034182637.1, XP_034182644.1, XP_034182630.1, XP_034182632.1, XP_034182633.1, XP_034182628.1, XP_034182629.1, XP_034182645.1, XP_034182634.1, XP_034182635.1, XP_034182654.1	XP_016766748.2, XP_026295428.1
OG0000097	XP_034194113.1, XP_034194115.1, XP_034194114.1	XP_026300806.1, XP_026300805.1
OG0000098	XP_034183858.1, XP_034183859.1, XP_034183860.1, XP_034183857.1, XP_034183855.1, XP_034183854.1, XP_034183861.1, XP_034183862.1	XP_392582.1
OG0000099	XP_034172361.1, XP_034172360.1, XP_034172357.1, XP_034172359.1	XP_394152.2
OG0000101	XP_034190967.1, XP_034190977.1, XP_034190974.1, XP_034190966.1, XP_034190972.1, XP_034190973.1, XP_034190965.1, XP_034190964.1, XP_034190980.1, XP_034190971.1, XP_034190970.1, XP_034190981.1, XP_034190976.1, XP_034190982.1, XP_034190975.1, XP_034190983.1, XP_034190968.1, XP_034190978.1, XP_034190969.1	XP_026296772.1, XP_001121869.2
OG0000102	XP_034181038.1, XP_034181041.1, XP_034181039.1, XP_034181040.1, XP_034181037.1	XP_016768929.1, XP_016768928.1, XP_016768927.1, XP_003249519.2, XP_006559656.1, XP_006559657.1, XP_006559659.1
OG0000103	XP_034175113.1, XP_034175112.1, XP_034175114.1	XP_006564458.1, XP_006564456.1, XP_006564457.1, XP_006564454.1, XP_006564455.1
OG0000104	XP_034186114.1	XP_006566079.2
OG0000104	XP_034186108.1	XP_006566077.2
OG0000105	XP_034191356.1, XP_034191353.1, XP_034191357.1, XP_034191354.1, XP_034191358.1, XP_034191359.1, XP_034191360.1, XP_034191361.1, XP_034191352.1, XP_034191351.1	XP_006567039.1
OG0000108	XP_034183658.1, XP_034183657.1	XP_026298976.1, XP_026298975.1
OG0000109	XP_034185678.1, XP_034185675.1, XP_034185679.1, XP_034185680.1, XP_034185683.1, XP_034185684.1, XP_034185676.1, XP_034185673.1, XP_034185674.1, XP_034185681.1, XP_034185682.1, XP_034185677.1	XP_393594.3
OG0000112	XP_034171933.1	XP_016773529.1, XP_016773528.1, XP_016773537.1, XP_006565970.2
OG0000113	XP_034171786.1, XP_034171784.1, XP_034171785.1	XP_001120910.2
OG0000114	XP_034179365.1, XP_034179363.1, XP_034179367.1, XP_034179366.1, XP_034179361.1, XP_034179362.1	XP_026301302.1, XP_016772326.1, XP_392709.3, XP_006557654.1
OG0000115	XP_034191324.1, XP_034191323.1	XP_006561447.1, XP_026301562.1, XP_016772425.1
OG0000116	XP_034180712.1, XP_034180711.1, XP_034180710.1, XP_034180709.1	XP_623083.1, XP_006563129.1
OG0000117	XP_034178973.1	XP_006563703.1, XP_006563700.1, XP_006563701.1, XP_006563702.1
OG0000118	XP_034182422.1, XP_034182423.1, XP_034182421.1, XP_034182424.1	XP_006563971.1, XP_006563972.1, XP_396934.4
OG0000119	XP_034191746.1, XP_034191745.1, XP_034191747.1, XP_034191749.1, XP_034191748.1	XP_016773033.1, XP_624322.1
OG0000120	XP_034190809.1, XP_034176183.1, XP_034190765.1, XP_034175209.1	XP_026294841.1
OG0000121	XP_034174273.1, XP_034174272.1, XP_034174271.1, XP_034174270.1	XP_026296163.1, XP_026296160.1, XP_026296162.1, XP_026296161.1
OG0000124	XP_034185528.1	NP_001164443.1
OG0000125	XP_034190826.1, XP_034190827.1	XP_016770827.2, NP_001191991.1
OG0000126	XP_034181554.1	XP_006572424.1, NP_001265256.1
OG0000127	XP_034179569.1, XP_034178978.1	XP_016771071.1, XP_026300257.1, XP_026300256.1, XP_026300258.1
OG0000128	XP_034176819.1, XP_034176820.1, XP_034176821.1, XP_034176817.1, XP_034176818.1	XP_006562145.1
OG0000129	XP_034176168.1, XP_034176167.1, XP_034176169.1	XP_006564303.1
OG0000130	XP_034177344.1, XP_034177330.1, XP_034177323.1, XP_034177336.1	XP_006565559.1, XP_016768555.1
OG0000131	XP_034175704.1, XP_034175702.1, XP_034175701.1, XP_034175700.1, XP_034175703.1, XP_034175699.1	XP_006566631.1
OG0000132	XP_034177586.1, XP_034177584.1, XP_034177583.1	XP_006567941.1
OG0000133	XP_034192378.1	XP_006569791.3
OG0000134	XP_034193805.1	XP_026296993.1
OG0000138	XP_034192727.1	XP_001120449.2
OG0000139	XP_034195309.1, XP_034195317.1, XP_034195314.1, XP_034195304.1	XP_026295883.1, XP_016767420.2, XP_016767421.2, XP_006567363.2, XP_001120680.3, XP_006567362.2, XP_006567361.2
OG0000140	XP_034183102.1, XP_034183103.1, XP_034183104.1, XP_034183105.1, XP_034183106.1, XP_034183101.1	XP_003249499.1, XP_003249498.1
OG0000141	XP_034182597.1, XP_034182600.1, XP_034182598.1	XP_003249767.1, XP_392285.1
OG0000143	XP_034182661.1, XP_034182652.1	XP_392990.2, XP_003251503.1
OG0000144	XP_034173463.1, XP_034173465.1, XP_034173464.1	XP_003251707.1, XP_003251708.1, XP_006571340.1
OG0000145	XP_034172417.1, XP_034172418.1, XP_034172420.1, XP_034172414.1, XP_034172415.1, XP_034172416.1, XP_034172421.1, XP_034192199.1, XP_034192520.1, XP_034195079.1, XP_034192516.1	XP_006557713.1
OG0000145	XP_034194688.1, XP_034194032.1, XP_034184612.1	XP_026300514.1
OG0000146	XP_034173815.1, XP_034173817.1	XP_006560612.2
OG0000147	XP_034181254.1, XP_034181253.1, XP_034181258.1, XP_034181249.1, XP_034181250.1, XP_034181251.1, XP_034181257.1, XP_034181256.1, XP_034181252.1	XP_006561534.1
OG0000148	XP_034185966.1, XP_034185984.1, XP_034185960.1, XP_034185975.1	XP_006561855.2
OG0000149	XP_034177625.1, XP_034177623.1, XP_034177622.1, XP_034177626.1	XP_006567968.1, XP_006567970.1, XP_006567969.1, XP_016767798.1, XP_006567967.1
OG0000150	XP_034176323.1, XP_034176352.1, XP_034176342.1, XP_034176332.1	XP_397532.3, XP_006569470.2, XP_006569471.2
OG0000151	XP_034189041.1, XP_034189040.1	XP_393087.2
OG0000152	XP_034170811.1, XP_034170810.1, XP_034170809.1	XP_394370.2
OG0000155	XP_034171114.1, XP_034171099.1, XP_034171091.1, XP_034171105.1	XP_001120519.2
OG0000156	XP_034170950.1	XP_006568271.1, XP_006568273.1, XP_016766288.1, XP_006568272.1, XP_001120755.1
OG0000157	XP_034173810.1	XP_026298823.1, XP_003251589.1, XP_006570633.1, XP_006570637.2
OG0000158	XP_034179685.1	XP_006560737.1, XP_006560736.1, XP_625123.1
OG0000159	XP_034190002.1, XP_034190001.1	XP_006562424.1
OG0000160	XP_034175010.1, XP_034175012.1	XP_006564400.1, XP_006564397.1
OG0000161	XP_034186534.1, XP_034186533.1	XP_006565324.1
OG0000162	XP_034178501.1, XP_034178492.1	XP_006565382.1
OG0000163	XP_034189578.1, XP_034189579.1, XP_034189580.1, XP_034189581.1	XP_006566138.2, XP_016769823.2
OG0000164	XP_034182895.1, XP_034182896.1	XP_006566943.1, XP_393874.3
OG0000165	XP_034194095.1, XP_034194096.1, XP_034194097.1	XP_006567337.1
OG0000166	XP_034195596.1, XP_034195604.1, XP_034195587.1	XP_016767886.2, XP_006569700.2
OG0000167	XP_034172270.1	XP_006571382.1
OG0000168	XP_034176770.1	XP_016767898.1
OG0000168	XP_034176766.1	XP_016767897.1
OG0000169	XP_034183965.1, XP_034183967.1, XP_034183963.1, XP_034183964.1, XP_034183968.1, XP_034183962.1	XP_394771.5, XP_026298813.1, XP_026298815.1, XP_026298814.1
OG0000170	XP_034189531.1, XP_034189541.1	XP_026299404.1
OG0000171	XP_034175132.1, XP_034175130.1, XP_034175131.1	XP_026299531.1, XP_026299533.1, XP_026299532.1, XP_026299534.1
OG0000172	XP_034187515.1	XP_392313.1
OG0000172	XP_034187516.1	XP_394471.1
OG0000172	XP_034180852.1	XP_026300739.1
OG0000173	XP_034173077.1, XP_034173076.1, XP_034173069.1	XP_026301980.1, XP_026301925.1, XP_026301991.1, XP_026301994.1
OG0000174	XP_034174497.1, XP_034174496.1, XP_034174495.1	XP_393396.2
OG0000175	XP_034193114.1, XP_034193113.1, XP_034193115.1	XP_624349.1
OG0000177	XP_034182690.1	NP_001011563.1
OG0000178	XP_034174012.1	XP_026295756.1, NP_001153742.1
OG0000179	XP_034178078.1, XP_034178079.1	NP_001164579.1
OG0000180	XP_034189596.1, XP_034189595.1	XP_001121653.2
OG0000181	XP_034178956.1	XP_003249464.1
OG0000182	XP_034184451.1, XP_034184450.1, XP_034184449.1, XP_034184448.1, XP_034184452.1	XP_006561675.1, XP_003249977.1
OG0000183	XP_034196191.1	XP_003251772.2
OG0000184	XP_034183395.1, XP_034183397.1, XP_034183396.1	XP_006562893.1, XP_006562894.1
OG0000185	XP_034183428.1	XP_016768791.1, XP_393026.2, XP_006563285.1
OG0000186	XP_034185101.1, XP_034185087.1, XP_034185093.1, XP_034185104.1	XP_006563887.1, XP_006563890.1, XP_006563882.1
OG0000187	XP_034182467.1, XP_034182466.1, XP_034182468.1, XP_034182469.1	XP_016766990.1, XP_006564055.1, XP_006564053.1
OG0000188	XP_034170835.1, XP_034170836.1	XP_006565899.1, XP_026294733.1, XP_026294734.1, XP_006565900.1
OG0000189	XP_034171567.1, XP_034171566.1	XP_006568930.1
OG0000190	XP_034171366.1, XP_034171365.1	XP_006568998.1, XP_006569000.1, XP_016766331.1, XP_006568999.1
OG0000191	XP_034182960.1, XP_034182962.1, XP_034182961.1, XP_034182965.1, XP_034182963.1, XP_034182964.1	XP_006569550.1, XP_624266.2, XP_006569551.1
OG0000192	XP_034188503.1	XP_016766933.1, XP_026295178.1
OG0000193	XP_034182344.1	XP_016767794.2, XP_016767790.2, XP_016767787.2
OG0000194	XP_034175689.1	XP_016770669.1
OG0000195	XP_034177803.1, XP_034177800.1, XP_034177802.1	XP_026296372.1, XP_026296371.1
OG0000200	XP_034172080.1, XP_034172081.1, XP_034172083.1, XP_034172082.1	NP_001128406.1, XP_006571519.1
OG0000201	XP_034184461.1, XP_034184462.1, XP_034184460.1	XP_001119951.1, XP_006561688.1, XP_003249895.1
OG0000202	XP_034175101.1, XP_034175099.1, XP_034175100.1, XP_034175097.1, XP_034175098.1, XP_034175102.1, XP_034175095.1	XP_003250896.1, XP_001120350.1, XP_003250898.1
OG0000203	XP_034180149.1	XP_006565811.2, XP_001122835.3
OG0000204	XP_034182241.1, XP_034182242.1, XP_034182243.1, XP_034182244.1	XP_003251155.1, XP_003251156.1
OG0000205	XP_034177794.1, XP_034177796.1, XP_034177793.1, XP_034177790.1, XP_034177792.1, XP_034177797.1, XP_034177795.1, XP_034177798.1	XP_006572173.2, XP_026296702.1, XP_003251882.2, XP_006572174.2
OG0000206	XP_034194321.1	XP_006557316.1, XP_006557318.1, XP_006557317.1, XP_006557319.1, XP_016766730.1
OG0000207	XP_034181121.1	XP_006558259.2, XP_016769048.2
OG0000208	XP_034185553.1, XP_034185552.1	XP_006559494.1
OG0000209	XP_034184026.1, XP_034184027.1, XP_034184025.1	XP_026298756.1, XP_006561872.1, XP_392540.2, XP_006561871.1
OG0000210	XP_034193594.1	XP_006563397.1
OG0000211	XP_034185535.1, XP_034185540.1, XP_034185536.1, XP_034185537.1, XP_034185538.1, XP_034185539.1	XP_006568070.1
OG0000212	XP_034176251.1, XP_034176252.1, XP_034176254.1, XP_034176253.1	XP_393761.1, XP_006570503.1
OG0000213	XP_034172935.1	XP_006571185.1, XP_006571187.1, XP_006571186.1, XP_396469.1
OG0000214	XP_034173135.1, XP_034173136.1	XP_392808.2, XP_016772009.1, XP_006571553.1
OG0000215	XP_034182772.1, XP_034182771.1	XP_016766808.1, XP_016766809.1, XP_016766810.1, XP_016766811.1, XP_623991.1
OG0000216	XP_034195726.1, XP_034195727.1, XP_034195728.1	XP_016768345.2
OG0000218	XP_034179204.1	XP_394061.2
OG0000218	XP_034179200.1, XP_034179202.1, XP_034179201.1	XP_016772012.1
OG0000219	XP_034192589.1	XP_026296787.1
OG0000220	XP_034181640.1	XP_026297714.1
OG0000221	XP_034191998.1	XP_026300900.1
OG0000222	XP_034185956.1	XP_395771.3
OG0000222	XP_034189852.1	XP_395824.1
OG0000223	XP_034188959.1, XP_034188958.1, XP_034188954.1, XP_034188955.1, XP_034188956.1, XP_034188957.1	XP_623076.2
OG0000226	XP_034179612.1, XP_034179613.1	XP_026301042.1, NP_001011567.1
OG0000227	XP_034178979.1	XP_006563394.1, NP_001171499.1
OG0000228	XP_034173028.1, XP_034173027.1, XP_034173029.1	XP_016768768.2, XP_001120116.2, XP_397073.5, XP_026300288.1
OG0000229	XP_034178871.1	XP_016771112.2
OG0000230	XP_034181654.1	XP_001123187.2
OG0000231	XP_034187972.1	XP_006557693.1, XP_397140.4
OG0000232	XP_034178303.1, XP_034178300.1, XP_034178301.1, XP_034178299.1	XP_006557909.1, XP_624210.1
OG0000233	XP_034194111.1, XP_034194110.1	XP_397055.1, XP_006558287.1
OG0000234	XP_034184736.1, XP_034184734.1, XP_034184733.1, XP_034184735.1	XP_006559641.1
OG0000235	XP_034188255.1, XP_034188260.1, XP_034188261.1, XP_034188259.1, XP_034188258.1, XP_034188257.1	XP_006560541.1
OG0000236	XP_034195907.1, XP_034195787.1	XP_006568709.1
OG0000237	XP_034181102.1, XP_034181105.1, XP_034181103.1, XP_034181101.1, XP_034181104.1	XP_006569713.1, XP_396989.2
OG0000238	XP_034176782.1	XP_006569984.1
OG0000240	XP_034180058.1, XP_034180056.1	XP_623109.1, XP_006572024.1
OG0000241	XP_034185581.1, XP_034185578.1, XP_034185582.1, XP_034185583.1, XP_034185580.1	XP_026298312.1, XP_026298311.1, XP_016769009.2
OG0000242	XP_034181365.1	XP_026300495.1
OG0000243	XP_034173756.1	XP_016773325.1
OG0000244	XP_034182098.1, XP_034182097.1	XP_026295595.1, XP_026295601.1, XP_026295597.1, XP_026295596.1, XP_026295598.1, XP_026295599.1, XP_026295602.1, XP_026295600.1
OG0000245	XP_034187246.1, XP_034187245.1	XP_026295766.1
OG0000246	XP_034196159.1	XP_026297284.1
OG0000246	XP_034195100.1	XP_026298045.1
OG0000247	XP_034183856.1, XP_034183850.1, XP_034183840.1, XP_034183826.1, XP_034183833.1, XP_034183865.1, XP_034183817.1	XP_026297623.1
OG0000248	XP_034187781.1, XP_034187782.1, XP_034187783.1	XP_026299577.1
OG0000249	XP_034181364.1, XP_034181366.1, XP_034181369.1	XP_026299596.1, XP_026299597.1
OG0000250	XP_034172097.1, XP_034172096.1, XP_034172095.1	XP_026301515.1, XP_026301514.1, XP_026301532.1, XP_026301521.1, XP_026301519.1, XP_026301526.1, XP_026301524.1, XP_026301523.1
OG0000251	XP_034179315.1, XP_034179314.1	XP_392055.2
