Orthogroup	Osmia_lignaria	Ceratina_calcarata
OG0000029	XP_034189051.1, XP_034189052.1	XP_026671916.1, XP_017885077.1, XP_017885082.1, XP_017885085.1, XP_017885083.1, XP_017885081.1, XP_017885084.1
OG0000030	XP_034173942.1	XP_026668859.1
OG0000031	XP_034187152.1, XP_034187153.1, XP_034187150.1, XP_034187149.1, XP_034187151.1, XP_034187148.1	XP_017888818.1, XP_017888829.1, XP_017888809.1, XP_017888800.1
OG0000032	XP_034188074.1, XP_034188075.1, XP_034188076.1	XP_017879467.1, XP_026669096.1, XP_026669111.1, XP_017879474.1, XP_026669105.1
OG0000033	XP_034180404.1, XP_034180403.1, XP_034180406.1, XP_034180402.1	XP_017893183.1, XP_017893184.1, XP_017893185.1
OG0000034	XP_034176957.1, XP_034176958.1, XP_034176959.1, XP_034176953.1, XP_034176954.1, XP_034176955.1, XP_034176956.1	XP_017875842.1, XP_017875843.1, XP_026667285.1
OG0000035	XP_034193470.1, XP_034193472.1, XP_034193474.1, XP_034193475.1, XP_034193473.1, XP_034193476.1	XP_017889483.1, XP_026674100.1, XP_026674098.1, XP_026674099.1
OG0000036	XP_034186581.1, XP_034186577.1, XP_034186579.1, XP_034186578.1, XP_034186576.1, XP_034186580.1	XP_017888470.1, XP_017888471.1, XP_017888469.1, XP_017888468.1, XP_017888467.1
OG0000037	XP_034172064.1	XP_026673086.1, XP_026673087.1, XP_017887760.1, XP_017887762.1, XP_017887761.1, XP_017887763.1
OG0000038	XP_034190835.1, XP_034190836.1	XP_026670731.1, XP_026670734.1, XP_026670732.1, XP_017882779.1, XP_017882777.1
OG0000038	XP_034176738.1, XP_034176739.1	XP_017879834.1, XP_026669182.1
OG0000039	XP_034181405.1, XP_034181399.1, XP_034181401.1, XP_034181402.1, XP_034181400.1, XP_034181403.1	XP_017880312.1, XP_017880311.1, XP_017880320.1, XP_017880319.1, XP_017880316.1, XP_017880314.1, XP_017880318.1, XP_017880317.1, XP_017880310.1
OG0000040	XP_034184421.1	XP_017877461.1
OG0000041	XP_034195325.1	XP_017880265.1, XP_017879099.1, XP_017885294.1, XP_017884160.1
OG0000042	XP_034185236.1	XP_026672944.1
OG0000043	XP_034173337.1, XP_034173336.1, XP_034173334.1, XP_034173335.1	XP_026667059.1
OG0000044	XP_034179353.1, XP_034179355.1, XP_034179356.1	XP_017886339.1, XP_017886341.1, XP_017886340.1
OG0000046	XP_034171928.1, XP_034171932.1, XP_034171930.1, XP_034171011.1	XP_026668788.1, XP_026668778.1
OG0000047	XP_034173513.1, XP_034184140.1, XP_034173808.1, XP_034171775.1, XP_034171711.1, XP_034171584.1, XP_034173512.1	XP_017892302.1, XP_017887616.1, XP_017881012.1, XP_017888174.1
OG0000049	XP_034195422.1, XP_034195424.1	XP_026667851.1
OG0000049	XP_034195423.1, XP_034195421.1	XP_017875573.2
OG0000050	XP_034190520.1, XP_034190518.1, XP_034190519.1	XP_017890818.1
OG0000051	XP_034191137.1	XP_017886873.1
OG0000052	XP_034195801.1	XP_026667172.1, XP_026667174.1, XP_026667177.1, XP_026667173.1, XP_026667176.1, XP_026667175.1
OG0000053	XP_034185422.1	XP_026670119.1, XP_017884091.1, XP_026673538.1, XP_026674938.1, XP_026669100.1, XP_017885362.1, XP_026675632.1, XP_026675047.1, XP_026673602.1, XP_026673855.1, XP_017889116.2, XP_026668993.1, XP_026672068.1, XP_026671363.1, XP_017885415.1, XP_017876325.2, XP_017889231.1, XP_017885815.1, XP_017885814.1, XP_026672067.1, XP_017891649.2, XP_026672436.1, XP_026672437.1, XP_026673854.1, XP_026671359.1, XP_017890614.1, XP_017888729.1
OG0000054	XP_034195791.1, XP_034195790.1, XP_034195789.1, XP_034195792.1	XP_017875567.1, XP_026667182.1, XP_026674457.1, XP_026667179.1, XP_026667181.1, XP_017875575.1, XP_017875574.1
OG0000055	XP_034184425.1, XP_034184424.1, XP_034184427.1, XP_034184426.1	XP_026672109.1, XP_026672110.1, XP_017885442.1, XP_017885441.1
OG0000056	XP_034180577.1, XP_034180576.1, XP_034180578.1	XP_017884500.1, XP_017884505.1, XP_017884508.1, XP_017884509.1, XP_026671517.1, XP_017884504.1, XP_017884503.1, XP_017884502.1, XP_017884501.1
OG0000057	XP_034195035.1	XP_026668696.1, XP_017885066.1
OG0000057	XP_034194817.1	XP_017882922.1
OG0000057	XP_034194163.1	XP_017881808.1
OG0000058	XP_034171015.1	XP_026668785.1, XP_017878898.1, XP_017878899.1, XP_017878897.1, XP_017878896.1, XP_017878895.1
OG0000059	XP_034173506.1, XP_034183943.1, XP_034175387.1, XP_034171057.1, XP_034173943.1	XP_017875203.1, XP_017887641.1
OG0000059	XP_034173418.1	XP_017888173.1
OG0000060	XP_034192995.1, XP_034192984.1, XP_034192985.1, XP_034192986.1, XP_034192987.1, XP_034192988.1, XP_034192989.1, XP_034192990.1, XP_034192992.1, XP_034192993.1, XP_034192994.1, XP_034192997.1, XP_034192999.1, XP_034193000.1, XP_034192998.1, XP_034192996.1	XP_017883584.1, XP_017883585.1, XP_017883586.1, XP_026671031.1
OG0000061	XP_034195041.1	XP_017888656.1
OG0000062	XP_034178195.1, XP_034194607.1, XP_034174772.1, XP_034194576.1, XP_034195291.1, XP_034171871.1, XP_034184035.1, XP_034194023.1, XP_034195128.1, XP_034192555.1	XP_017875316.1, XP_026667908.1, XP_017881154.1
OG0000062	XP_034192270.1	XP_026673863.1
OG0000063	XP_034179598.1	XP_017889422.1
OG0000063	XP_034186700.1	XP_017888379.2
OG0000063	XP_034179599.1	XP_017889438.1
OG0000064	XP_034193748.1, XP_034193749.1, XP_034193750.1	XP_017886375.1
OG0000064	XP_034195488.1	XP_017875625.1, XP_017877449.1
OG0000065	XP_034175487.1, XP_034175486.1, XP_034175485.1, XP_034175484.1, XP_034175489.1, XP_034175483.1, XP_034175488.1	XP_026673014.1, XP_017887445.1, XP_017887444.1, XP_017887447.1
OG0000066	XP_034182276.1, XP_034182277.1, XP_034182279.1, XP_034182278.1, XP_034182280.1	XP_017882452.1, XP_017882451.1, XP_026670567.1, XP_017882453.1, XP_026670566.1
OG0000067	XP_034185661.1, XP_034185663.1, XP_034185666.1, XP_034185665.1, XP_034185667.1, XP_034185659.1, XP_034185660.1, XP_034185662.1	XP_026667524.1, XP_026667523.1, XP_017876340.1, XP_026667525.1
OG0000068	XP_034171931.1	XP_017878913.1, XP_026670968.1, XP_017878912.1, XP_017878910.1, XP_017878909.1
OG0000069	XP_034191920.1, XP_034191918.1, XP_034191919.1, XP_034191915.1, XP_034191916.1, XP_034191917.1	XP_026671618.1, XP_017884723.1, XP_017884724.1, XP_017884725.1, XP_017884726.1
OG0000070	XP_034188825.1, XP_034188823.1, XP_034188824.1	XP_026666470.1, XP_026666469.1, XP_026666468.1, XP_026666467.1, XP_026666466.1, XP_017892919.1
OG0000071	XP_034186050.1, XP_034186060.1, XP_034186034.1, XP_034186043.1	XP_017887828.1, XP_026673221.1, XP_026673223.1, XP_017887829.1, XP_026673222.1
OG0000072	XP_034182415.1, XP_034182416.1, XP_034182419.1, XP_034182418.1, XP_034182417.1	XP_017877526.1, XP_017877521.1
OG0000073	XP_034191022.1	XP_017884134.1, XP_026671383.1, XP_017884143.1, XP_017884145.1, XP_026671385.1, XP_026671384.1, XP_017884138.1, XP_017884135.1, XP_017884141.1, XP_017884140.1
OG0000074	XP_034180498.1	XP_026672903.1
OG0000075	XP_034177367.1, XP_034195149.1, XP_034195129.1, XP_034194811.1, XP_034195165.1, XP_034195313.1, XP_034182490.1, XP_034194953.1, XP_034195179.1, XP_034194794.1, XP_034195185.1, XP_034195329.1, XP_034195227.1, XP_034195057.1, XP_034194871.1, XP_034195055.1, XP_034194954.1, XP_034195156.1	XP_017875054.1, XP_017875124.1
OG0000075	XP_034190401.1, XP_034194793.1, XP_034195178.1, XP_034195131.1, XP_034182478.1	XP_017875322.1
OG0000076	XP_034183753.1, XP_034183708.1	XP_026670219.1, XP_017881657.1
OG0000077	XP_034172037.1, XP_034172035.1	XP_017889240.1, XP_017879879.1, XP_026673871.1, XP_017879865.1, XP_017889238.1, XP_017884325.1, XP_017893576.1, XP_017889237.1, XP_017880985.2, XP_017884322.1, XP_017884320.1, XP_017884321.1, XP_017891413.1, XP_017890095.1, XP_017885068.1, XP_017877687.1, XP_017877675.1
OG0000078	XP_034175172.1, XP_034175972.1, XP_034175971.1, XP_034175970.1, XP_034175973.1, XP_034175974.1	XP_017887324.1, XP_017880981.1
OG0000079	XP_034179339.1	XP_017886392.1
OG0000080	XP_034178154.1	XP_026672341.1
OG0000081	XP_034175506.1	XP_017892895.1
OG0000082	XP_034172377.1, XP_034172378.1, XP_034172374.1, XP_034172375.1, XP_034172381.1, XP_034172379.1, XP_034172380.1	XP_017888224.1, XP_017888223.1
OG0000083	XP_034188204.1, XP_034188205.1, XP_034188201.1, XP_034188199.1, XP_034188198.1, XP_034188203.1, XP_034188202.1, XP_034188206.1	XP_026669617.1, XP_026669618.1, XP_017880690.1, XP_017880691.1, XP_026669616.1
OG0000085	XP_034184545.1, XP_034184551.1, XP_034184550.1, XP_034184552.1, XP_034184547.1, XP_034184546.1, XP_034184549.1, XP_034184548.1	XP_026675280.1
OG0000086	XP_034193755.1	XP_017886426.1, XP_026672553.1, XP_017886424.1, XP_026672552.1, XP_017886423.1, XP_026672551.1, XP_017886421.1, XP_017886427.1
OG0000087	XP_034175005.1, XP_034175008.1, XP_034174999.1, XP_034175001.1, XP_034175000.1, XP_034175002.1, XP_034175004.1, XP_034175007.1, XP_034175006.1, XP_034175003.1, XP_034175009.1	XP_017878634.1
OG0000088	XP_034172021.1, XP_034171990.1, XP_034172006.1, XP_034171988.1	XP_017884326.1, XP_026671462.1, XP_026671456.1, XP_026671458.1, XP_026671477.1
OG0000089	XP_034176486.1, XP_034176485.1, XP_034176484.1	XP_026666464.1
OG0000090	XP_034174806.1, XP_034174807.1, XP_034174804.1, XP_034174805.1, XP_034174809.1, XP_034174808.1	XP_026672044.1, XP_026672042.1, XP_026672041.1, XP_026672043.1
OG0000091	XP_034176758.1, XP_034176759.1, XP_034176760.1, XP_034176761.1, XP_034176762.1, XP_034176757.1	XP_017877858.1, XP_017877859.1, XP_026668295.1, XP_017877857.1
OG0000093	XP_034176689.1	XP_017876372.1
OG0000094	XP_034189000.1, XP_034188997.1, XP_034188999.1, XP_034188998.1, XP_034189001.1, XP_034189002.1	XP_017879294.1
OG0000095	XP_034182328.1, XP_034182296.1, XP_034182318.1, XP_034182312.1, XP_034182303.1	XP_026673145.1
OG0000096	XP_034182648.1, XP_034182649.1, XP_034182646.1, XP_034182647.1, XP_034182653.1, XP_034182650.1, XP_034182651.1, XP_034182631.1, XP_034182643.1, XP_034182642.1, XP_034182641.1, XP_034182640.1, XP_034182639.1, XP_034182638.1, XP_034182637.1, XP_034182644.1, XP_034182630.1, XP_034182632.1, XP_034182633.1, XP_034182628.1, XP_034182629.1, XP_034182645.1, XP_034182634.1, XP_034182635.1, XP_034182654.1	XP_017886082.1
OG0000097	XP_034194113.1, XP_034194115.1, XP_034194114.1	XP_017892085.1, XP_017892086.1, XP_017892083.1, XP_017892084.1, XP_026675169.1
OG0000098	XP_034183858.1, XP_034183859.1, XP_034183860.1, XP_034183857.1, XP_034183855.1, XP_034183854.1, XP_034183861.1, XP_034183862.1	XP_017882238.1
OG0000099	XP_034172361.1, XP_034172360.1, XP_034172357.1, XP_034172359.1	XP_017889155.1, XP_026673796.1
OG0000100	XP_034194798.1, XP_034194960.1, XP_034195023.1, XP_034194846.1, XP_034195027.1, XP_034194033.1	XP_017889191.1
OG0000101	XP_034190967.1, XP_034190977.1, XP_034190974.1, XP_034190966.1, XP_034190972.1, XP_034190973.1, XP_034190965.1, XP_034190964.1, XP_034190980.1, XP_034190971.1, XP_034190970.1, XP_034190981.1, XP_034190976.1, XP_034190982.1, XP_034190975.1, XP_034190983.1, XP_034190968.1, XP_034190978.1, XP_034190969.1	XP_017886991.1
OG0000102	XP_034181038.1, XP_034181041.1, XP_034181039.1, XP_034181040.1, XP_034181037.1	XP_026667505.1, XP_026667481.1, XP_017889865.1, XP_017889782.1
OG0000103	XP_034175113.1, XP_034175112.1, XP_034175114.1	XP_017877636.1, XP_017877637.1
OG0000104	XP_034186107.1	XP_017883824.1
OG0000104	XP_034186108.1	XP_026671257.1, XP_026671258.1, XP_017883828.1
OG0000105	XP_034191356.1, XP_034191353.1, XP_034191357.1, XP_034191354.1, XP_034191358.1, XP_034191359.1, XP_034191360.1, XP_034191361.1, XP_034191352.1, XP_034191351.1	XP_026667948.1
OG0000106	XP_034194636.1, XP_034195009.1	XP_026673061.1
OG0000107	XP_034189003.1, XP_034195086.1	XP_017891841.1
OG0000108	XP_034183658.1, XP_034183657.1	XP_026670402.1, XP_026670401.1, XP_026670400.1, XP_026670404.1, XP_026670403.1
OG0000109	XP_034185678.1, XP_034185675.1, XP_034185679.1, XP_034185680.1, XP_034185683.1, XP_034185684.1, XP_034185676.1, XP_034185673.1, XP_034185674.1, XP_034185681.1, XP_034185682.1, XP_034185677.1	XP_026671007.1, XP_026671006.1, XP_026671005.1
OG0000110	XP_034194089.1, XP_034194090.1, XP_034194088.1, XP_034194086.1, XP_034194087.1	XP_017892165.1
OG0000112	XP_034171933.1	XP_017880491.1, XP_026669563.1, XP_026669568.1
OG0000113	XP_034171786.1, XP_034171784.1, XP_034171785.1	XP_017892665.1, XP_026675553.1, XP_026675554.1, XP_026675552.1, XP_026675550.1, XP_026675551.1
OG0000114	XP_034179365.1, XP_034179363.1, XP_034179367.1, XP_034179366.1, XP_034179361.1, XP_034179362.1	XP_017886343.1, XP_017886344.1, XP_017886345.1, XP_026672489.1, XP_026672487.1, XP_026672490.1, XP_017886342.1
OG0000115	XP_034191324.1, XP_034191323.1	XP_017886767.1, XP_017886766.1
OG0000116	XP_034180712.1, XP_034180711.1, XP_034180710.1, XP_034180709.1	XP_017884703.1, XP_017884704.1, XP_017884702.1, XP_026671694.1, XP_017884701.1
OG0000117	XP_034178973.1	XP_017882899.1, XP_017882898.1, XP_017882897.1, XP_026670787.1
OG0000118	XP_034182422.1, XP_034182423.1, XP_034182421.1, XP_034182424.1	XP_026668129.1, XP_017877527.1, XP_017877528.1, XP_026668130.1
OG0000119	XP_034191746.1, XP_034191745.1, XP_034191747.1, XP_034191749.1, XP_034191748.1	XP_017878262.1
OG0000121	XP_034174273.1, XP_034174272.1, XP_034174271.1, XP_034174270.1	XP_026673616.1, XP_026673617.1, XP_017888701.1, XP_017888699.1, XP_026673621.1, XP_026673620.1, XP_026673619.1, XP_026673618.1
OG0000122	XP_034172163.1	XP_017882975.1
OG0000124	XP_034185528.1	XP_017882800.1
OG0000125	XP_034190826.1, XP_034190827.1	NP_001352268.1, XP_026670615.1, XP_017883314.2, XP_017882560.1
OG0000126	XP_034181554.1	XP_017880325.2
OG0000127	XP_034179569.1, XP_034178978.1	XP_026674951.1, XP_017891474.1, XP_026674959.1
OG0000128	XP_034176819.1, XP_034176820.1, XP_034176821.1, XP_034176817.1, XP_034176818.1	XP_017891768.1
OG0000129	XP_034176168.1, XP_034176167.1, XP_034176169.1	XP_026669826.1
OG0000130	XP_034177344.1, XP_034177330.1, XP_034177323.1, XP_034177336.1	XP_017881384.1, XP_017881383.1, XP_017881382.1, XP_017881381.1
OG0000131	XP_034175704.1, XP_034175702.1, XP_034175701.1, XP_034175700.1, XP_034175703.1, XP_034175699.1	XP_017878542.1
OG0000132	XP_034177586.1, XP_034177584.1, XP_034177583.1	XP_017883758.1, XP_026671172.1, XP_026671174.1, XP_026671173.1, XP_017883759.1
OG0000133	XP_034192378.1	XP_017893308.1
OG0000134	XP_034193805.1	XP_017875026.1
OG0000135	XP_034191110.1, XP_034191109.1	XP_026671116.1, XP_017883719.1, XP_026671117.1
OG0000138	XP_034192727.1	XP_026671369.1, XP_017879512.1, XP_026671918.1, XP_026667100.1, XP_026674362.1, XP_026669807.1
OG0000139	XP_034195309.1, XP_034195317.1, XP_034195314.1, XP_034195304.1	XP_026666767.1, XP_017893376.1
OG0000140	XP_034183102.1, XP_034183103.1, XP_034183104.1, XP_034183105.1, XP_034183106.1, XP_034183101.1	XP_026674589.1, XP_017890677.1
OG0000141	XP_034182597.1, XP_034182600.1, XP_034182598.1	XP_017880688.1, XP_017880687.1, XP_017880686.1
OG0000142	XP_034186603.1, XP_034186606.1, XP_034186605.1, XP_034188116.1, XP_034188457.1	XP_017889788.1, XP_026666719.1, XP_026666720.1
OG0000143	XP_034182661.1, XP_034182652.1	XP_017887622.1, XP_026673152.1
OG0000144	XP_034173463.1, XP_034173465.1, XP_034173464.1	XP_017890258.1
OG0000145	XP_034172417.1, XP_034172418.1, XP_034172420.1, XP_034172414.1, XP_034172415.1, XP_034172416.1, XP_034172421.1, XP_034192199.1, XP_034192520.1, XP_034195079.1, XP_034192516.1	XP_017878800.1
OG0000145	XP_034184612.1	XP_017885680.1
OG0000146	XP_034173815.1, XP_034173817.1	XP_026670142.1, XP_026670143.1, XP_017881716.1
OG0000147	XP_034181254.1, XP_034181253.1, XP_034181258.1, XP_034181249.1, XP_034181250.1, XP_034181251.1, XP_034181257.1, XP_034181256.1, XP_034181252.1	XP_026672117.1, XP_017885549.1
OG0000148	XP_034185966.1, XP_034185984.1, XP_034185960.1, XP_034185975.1	XP_026670174.1, XP_026670184.1, XP_026670178.1, XP_017881549.1
OG0000149	XP_034177625.1, XP_034177623.1, XP_034177622.1, XP_034177626.1	XP_017877822.1, XP_017877823.1, XP_026668289.1, XP_017877820.1, XP_017877821.1
OG0000150	XP_034176323.1, XP_034176352.1, XP_034176342.1, XP_034176332.1	XP_017885915.1
OG0000151	XP_034189041.1, XP_034189040.1	XP_026674879.1, XP_026674878.1, XP_017891285.1
OG0000152	XP_034170811.1, XP_034170810.1, XP_034170809.1	XP_017888048.1, XP_017877450.1, XP_017888163.1, XP_017889733.1
OG0000153	XP_034182476.1	XP_017892608.1, XP_026666981.1, XP_026673328.1
OG0000155	XP_034171114.1, XP_034171099.1, XP_034171091.1, XP_034171105.1	XP_017875092.1, XP_017875091.1, XP_026666936.1, XP_026666937.1
OG0000156	XP_034170950.1	XP_026675129.1, XP_017891686.1, XP_017891695.1
OG0000157	XP_034173810.1	XP_017892253.1
OG0000158	XP_034179685.1	XP_017891545.1
OG0000159	XP_034190002.1, XP_034190001.1	XP_017876697.1
OG0000160	XP_034175010.1, XP_034175012.1	XP_026669836.1, XP_026669837.1
OG0000161	XP_034186534.1, XP_034186533.1	XP_017886702.1
OG0000162	XP_034178501.1, XP_034178492.1	XP_017887986.1, XP_017887985.1, XP_026673272.1, XP_017887983.1
OG0000163	XP_034189578.1, XP_034189579.1, XP_034189580.1, XP_034189581.1	XP_026670456.1, XP_017882110.1, XP_017882109.1
OG0000164	XP_034182895.1, XP_034182896.1	XP_017875333.1, XP_026667075.1, XP_026667076.1, XP_026667074.1, XP_017875332.1, XP_017875336.1, XP_017875334.1, XP_026667073.1
OG0000165	XP_034194095.1, XP_034194096.1, XP_034194097.1	XP_017885731.1
OG0000166	XP_034195596.1, XP_034195604.1, XP_034195587.1	XP_017885198.1, XP_017885199.1
OG0000167	XP_034172270.1	XP_026670076.1, XP_026670075.1, XP_017881592.1
OG0000169	XP_034183965.1, XP_034183967.1, XP_034183963.1, XP_034183964.1, XP_034183968.1, XP_034183962.1	XP_017876202.1
OG0000170	XP_034189531.1, XP_034189541.1	XP_017885221.1
OG0000171	XP_034175132.1, XP_034175130.1, XP_034175131.1	XP_017881127.1, XP_017881130.1, XP_017881133.1, XP_026669825.1, XP_026669824.1, XP_026669823.1
OG0000172	XP_034187515.1	XP_017893620.1
OG0000172	XP_034187516.1	XP_017893593.1
OG0000173	XP_034173077.1, XP_034173076.1, XP_034173069.1	XP_026669498.1, XP_026669481.1, XP_026669413.1
OG0000174	XP_034174497.1, XP_034174496.1, XP_034174495.1	XP_026673608.1, XP_017888695.1, XP_017888696.1, XP_017888680.1, XP_017888716.1
OG0000175	XP_034193114.1, XP_034193113.1, XP_034193115.1	XP_017890461.1
OG0000176	XP_034190369.1, XP_034190365.1, XP_034190693.1, XP_034190367.1, XP_034190366.1, XP_034194217.1, XP_034194216.1	XP_017880967.1
OG0000177	XP_034182690.1	XP_017882448.1
OG0000178	XP_034174010.1, XP_034174009.1	XP_017881697.1
OG0000178	XP_034174012.1	XP_017875129.1, XP_026672588.1, XP_017887778.1, XP_017887780.1, XP_017885409.1
OG0000179	XP_034178078.1, XP_034178079.1	XP_017877534.1, XP_026668146.1
OG0000180	XP_034189596.1, XP_034189595.1	XP_026674969.1, XP_026674968.1, XP_017891628.1
OG0000181	XP_034178956.1	XP_026672518.1
OG0000182	XP_034184451.1, XP_034184450.1, XP_034184449.1, XP_034184448.1, XP_034184452.1	XP_017880418.1, XP_017880419.1
OG0000183	XP_034196191.1	XP_017882623.1
OG0000184	XP_034183395.1, XP_034183397.1, XP_034183396.1	XP_017876664.1, XP_017876665.1, XP_017876663.1
OG0000185	XP_034183428.1	XP_017879769.1
OG0000187	XP_034182467.1, XP_034182466.1, XP_034182468.1, XP_034182469.1	XP_026670559.1, XP_026670560.1, XP_026670558.1, XP_017882423.1
OG0000188	XP_034170835.1, XP_034170836.1	XP_017884176.1
OG0000189	XP_034171567.1, XP_034171566.1	XP_017878226.1, XP_017878228.1, XP_017878227.1
OG0000190	XP_034171366.1, XP_034171365.1	XP_017884018.1, XP_017884019.1, XP_017884017.1
OG0000191	XP_034182960.1, XP_034182962.1, XP_034182961.1, XP_034182965.1, XP_034182963.1, XP_034182964.1	XP_017880232.1
OG0000192	XP_034188503.1	XP_017880933.1, XP_017880930.1, XP_017880932.1, XP_017880934.1, XP_017880931.1
OG0000193	XP_034182344.1	XP_017887620.1
OG0000194	XP_034175689.1	XP_017878656.1, XP_026668642.1, XP_017878658.1
OG0000195	XP_034177803.1, XP_034177800.1, XP_034177802.1	XP_017883056.1, XP_017883055.1, XP_017883054.1
OG0000196	XP_034195248.1, XP_034195133.1, XP_034195164.1	XP_017884071.1
OG0000196	XP_034195240.1	XP_017876343.2, XP_017892042.1, XP_017881561.1
OG0000197	XP_034192365.1	XP_026674136.1
OG0000198	XP_034177599.1, XP_034177331.1	XP_017879823.1, XP_026669191.1
OG0000200	XP_034172080.1, XP_034172081.1, XP_034172083.1, XP_034172082.1	XP_026667451.1, XP_017876164.1
